#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.17793523491936 1.26997239096768</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.09800947149277 1.15596537581973</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.07883685448857 1.24876080339722 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp93:0.0793015201,sp94:0.0793015201)nd95:1.598806018,sp74:1.678107538)nd82:7.957933041,((sp95:0.06183281792,sp96:0.06183281792)nd69:4.920545372,(sp83:1.640236295,(((sp91:0.1063873848,sp92:0.1063873848)nd92:0.8289653611,(sp89:0.1476127607,sp90:0.1476127607)nd93:0.7877399851)nd89:0.1701249098,(sp87:0.4263642918,sp85:0.4263642918)nd90:0.6791133638)nd85:0.5347586389)nd70:3.342141895)nd45:4.65366239)nd1;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp85" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp92" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp93" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp94" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp95" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp96" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp74=1,sp83=2,sp85=2,sp87=1,sp89=2,sp90=2,sp91=2,sp92=2,sp93=1,sp94=1,sp95=1,sp96=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214818.24987471872	-27.544827208035212	-214790.70504751068	1.17793523491936	1.26997239096768	1.09800947149277	1.15596537581973	1.0E-10	1.07883685448857	1.24876080339722	1.0E-10
5000	-17.691832141556326	-27.545465685028688	9.853633543472363	1.1257468272492583	1.2839537720646217	1.100166308017855	1.199221334695443	1.0943449859357224	1.0895303606052722	1.1156378606208637	1.2354477694906802
10000	-15.469445914677273	-27.67247155494124	12.203025640263967	1.1724213542079125	1.1923463144251654	1.219671362359022	1.113822836739709	1.0704842439720994	1.1679301686503214	1.167349896628847	1.0832205290430132
15000	-18.837050024947462	-27.508427830589557	8.671377805642095	1.24046707278875	1.2208454833926257	1.2730311140479247	1.0350069922139338	1.1041908924484443	1.1422702601152093	1.1057605626558764	1.149282385509881
20000	-16.539471509323413	-27.62699529563153	11.087523786308118	1.270974060291762	1.2096721717295627	1.2070245219914795	1.1663226841851477	1.1465936496273033	1.2189413403334213	1.2297137955058455	1.0927203835227073
25000	-18.189581301105918	-27.48208124474736	9.292499943641442	1.1054891560244469	1.131766034483656	1.028751428594829	1.065498033171017	1.17564013705792	1.2254408416738938	1.1818038791047967	1.2230972043661987
30000	-17.993484933538248	-27.530128174679543	9.536643241141297	1.2534493549833485	1.231955644453283	1.1771606539396409	1.031849063845214	1.1462140656636932	1.1657900349394947	1.1983931606446552	1.083360201454659
35000	-15.477629924815233	-27.707443113644633	12.2298131888294	1.172045787466726	1.2118091291447695	1.1558429237625671	1.2125600144051123	1.15711133514853	1.0851233031233811	1.1121784190745672	1.0741341536409097
40000	-14.130307405575108	-27.649943078286064	13.519635672710956	1.1586788616498427	1.2354007537539864	1.2064936313704884	1.1502476559875554	1.1380523103001912	1.1075956756651442	1.1184286642787624	1.1464243823712845
45000	-16.605833816348486	-27.601481538312537	10.995647721964051	1.1153326152432181	1.285590715547657	1.1467043021525178	1.173033451153306	1.1407366697445231	1.1986150122280907	1.058178704273836	1.157906209339789
50000	-14.633249007991605	-27.834684207187934	13.201435199196329	1.1016423103453525	1.1628460888733314	1.189724376833029	1.1216076269125492	1.2440182226974887	1.1456532303570062	1.1384402015924424	1.2015362452256375
55000	-16.00179754261258	-27.61412445222874	11.612326909616161	1.1155280751953591	1.1103033323190452	1.0723327065663404	1.1061511798466364	1.227781664369344	1.2038302428506085	1.0994665544422835	1.1628512148437606
60000	-14.493942506158772	-28.304935560450453	13.81099305429168	1.1049044642893873	1.1199222818601673	1.2068826167463864	1.1866398294099398	1.1373629591354697	1.1653065664457292	1.1687199326040343	1.2113895227936309
65000	-18.28170083653063	-27.493681236887802	9.211980400357174	1.259877832228443	1.1330052617130721	1.1328313854736396	1.0301104187726386	1.1153120310413502	1.2522815126852915	1.1386960921264404	1.2029246154748756
70000	-18.129242474557252	-28.061062880738863	9.931820406181613	1.0908452148706014	1.203466486631728	1.2456822280685602	1.1455655441312629	1.0667644577890207	1.1223951446789497	1.2717089437446565	1.185481301232015
75000	-18.814332063648333	-28.04183406031189	9.227501996663555	1.2591144746302751	1.0483406459399576	1.2025453237462937	1.1846949558245607	1.1204684905461704	1.2584684810392348	1.0978289982378089	1.1172475864198088
80000	-13.855680742676007	-27.54204309568135	13.686362353005343	1.196730715659923	1.193674294332737	1.1240033325870757	1.1430482846130223	1.223004069290147	1.1798897891041151	1.131053498829568	1.1101311650728107
85000	-16.11412251163615	-27.48846394333986	11.374341431703709	1.224344897586141	1.1775923143139504	1.1379180895130843	1.1028878583845547	1.1757956658439004	1.0916718031822201	1.099442815644314	1.0620079309401924
90000	-18.02289559731023	-27.535635278976798	9.512739681666568	1.2555603378478564	1.1976123965273109	1.1482552800169064	1.0215011651961832	1.170334454511458	1.1904925968245494	1.2408424938678748	1.1868601867669657
95000	-15.654261508620744	-27.52690387004471	11.872642361423965	1.0994842272246266	1.2239149316674591	1.07552968724524	1.130662021632351	1.177831404872292	1.2099751636609342	1.1054258989253138	1.1153732037703596
