#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.22453529961982 1.142647113087</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.14205241653155 1.22639981166979</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.06291681688513 1.18465530282797 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp100:1.697937506,((((sp126:0.07895555267,sp127:0.07895555267)nd127:0.1272380648,sp122:0.2061936175)nd124:0.6707288505,(sp111:0.5312053408,(sp113:0.4235503328,sp114:0.4235503328)nd120:0.1076550081)nd118:0.3457171271)nd113:0.1619244442,(((sp116:0.4067575804,sp117:0.4067575804)nd122:0.02471029028,((sp123:0.1615354462,sp124:0.1615354462)nd125:0.1760290651,sp118:0.3375645113)nd123:0.09390335935)nd119:0.5801693498,sp107:1.01163722)nd115:0.02720969165)nd107:0.6590905934)nd104:8.070320649,((((sp128:0.0103462235,sp129:0.0103462235)nd128:0.08530003668,sp125:0.09564626018)nd126:0.2299206352,sp119:0.3255668953)nd121:0.8615471453,(sp120:0.300255878,sp121:0.300255878)nd112:0.8868581626)nd109:8.581144114)nd1;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp100" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp107" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp111" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp113" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp114" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp116" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp117" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp118" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp119" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp120" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp121" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp122" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp123" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp124" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp125" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp126" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp127" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp128" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp129" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp100=2,sp107=2,sp111=1,sp113=1,sp114=2,sp116=2,sp117=1,sp118=2,sp119=2,sp120=2,sp121=2,sp122=2,sp123=2,sp124=2,sp125=2,sp126=2,sp127=2,sp128=2,sp129=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214822.41762796644	-33.242610684037196	-214789.1750172824	1.22453529961982	1.142647113087	1.14205241653155	1.22639981166979	1.0E-10	1.06291681688513	1.18465530282797	1.0E-10
5000	-22.23582753027328	-33.03790801088092	10.80208048060764	1.1481593924553877	1.1717842695252154	1.1446567869137552	1.253166367333786	1.1102374188923105	1.0908860764881885	1.132127554239294	1.2845245753745154
10000	-20.74829246903084	-33.03889500437205	12.290602535341211	1.0943061119565454	1.145187827701397	1.1222424256109955	1.1561191003752433	1.204722285893907	1.1317661889579598	1.2277928024642626	1.0739660752810964
15000	-18.980408067517715	-32.30936120702394	13.328953139506226	1.0830428102318708	1.1886909879412226	1.1440309321736446	1.18650685123382	1.1284406534100089	1.1733870766399532	1.0945737187428173	1.1360379627695232
20000	-19.807182102676755	-32.34370877051847	12.536526667841713	1.2042711324157827	1.1792003377199545	1.1142229475455308	1.1197869570579944	1.097550038978923	1.1163295190926272	1.1743259223659581	1.2472960057461968
25000	-20.71130704315117	-32.2662864678228	11.554979424671632	1.05421786061692	1.2182093347274665	1.1476582406596947	1.1270648411809758	1.1676050831338827	1.2091424389204521	1.2374936810997592	1.1934481396193823
30000	-21.515461934373448	-32.82385929806718	11.308397363693729	1.1417448923129787	1.120906686704646	1.0807237545755108	1.140401024734337	1.2200792485850644	1.0544675153939331	1.118978326333889	1.201548101151923
35000	-24.151013777767538	-32.895216924057735	8.744203146290197	1.2676637522352414	1.0771440436196456	1.1155904137482953	1.165100355523377	1.1459792241645417	1.2511828862150634	1.2180029541068598	1.0483422947055128
40000	-20.015783298994172	-32.554411499358444	12.538628200364272	1.0978284544937205	1.129141688614756	1.0924894362228357	1.1285842625025329	1.2459117209742174	1.1935364292296617	1.1626247245087966	1.1329613425668537
45000	-18.272528077466465	-32.31932621170483	14.046798134238369	1.2111539539301661	1.1618808927311317	1.149085555027484	1.1425087624114014	1.1086735183399883	1.1452378490248287	1.1365740146609082	1.2142725128471823
50000	-19.10156701853547	-32.303487520258656	13.201920501723187	1.1557220366008556	1.1392921454014462	1.1433493915755166	1.1208379351549047	1.1689596855623974	1.2146266915723696	1.1487540829584912	1.0649227024905792
55000	-18.2312920043421	-31.96270447710722	13.731412472765118	1.158927548996745	1.2530254166142856	1.142144765094099	1.1550763743717547	1.1211689849867617	1.1584140617100738	1.1784546869702437	1.1272074632547968
60000	-17.807660847174432	-32.14434234950248	14.336681502328046	1.1625143597473697	1.1869147500738224	1.1506036802666446	1.1874095058016436	1.1608126113804094	1.222716708884404	1.117241985485175	1.1610102779668539
65000	-19.74242803264554	-32.5575145899581	12.815086557312561	1.1637644402886311	1.0918061487288901	1.1844023145759541	1.0819452624257444	1.2027017253420247	1.1437076094714091	1.1100387759664745	1.1253619166764541
70000	-20.025680778848223	-32.484557519841914	12.458876740993691	1.2405310821580726	1.1118146979680361	1.1490596155068198	1.11885221429862	1.150273533344093	1.232510839339693	1.1915830661150584	1.1019042807657276
75000	-24.982099819829834	-31.849491758741095	6.867391938911259	1.2657658986588058	1.1720266718587704	1.1715615569644684	1.1908307199419341	1.149399825480567	1.3822902730647884	1.1401319385560666	1.1009781830531262
80000	-21.62400890649975	-32.405408875412704	10.781399968912954	1.1977012745360296	1.1775592598166436	1.323805053339325	1.1600829964503379	1.115743224034713	1.1818291698772423	1.120948924394195	1.1186826255147293
85000	-18.07984613015084	-32.47875214903575	14.398906018884906	1.1997813394690944	1.1723335076659065	1.1112946547646703	1.1694701068065338	1.1602480290828738	1.1287992596140646	1.157564091192037	1.200719512805717
90000	-19.881788372725943	-32.038840085259096	12.157051712533153	1.1512345594450408	1.283391168773613	1.1420713020440376	1.1812701589893293	1.1084233672845119	1.1007964296196435	1.1754448745124586	1.1844147235738733
95000	-22.10094783027365	-32.34905403735218	10.248106207078532	1.2398120947635582	1.2425179248469655	1.1077609710334577	1.2017476886892158	1.085671108500565	1.1396991100164864	1.2116313087970254	1.2570430848612801
100000	-19.447712461878055	-32.36606151332719	12.918349051449134	1.2377097273269084	1.1310472082445822	1.1021465363948237	1.1109341687250427	1.1141171298257782	1.1997538652379696	1.1793688153816326	1.177012863699702
105000	-20.34576154165007	-32.5770046135997	12.231243071949626	1.207528456805742	1.1869423779732489	1.2458163399865596	1.223575725827403	1.1368697943786437	1.1368632483037597	1.105648275216396	1.219337910995544
110000	-22.2774796500967	-32.97241204448452	10.69493239438782	1.0286079570882558	1.1349054393148368	1.2208225147118366	1.146765972516604	1.1998448932106858	1.2405708676169869	1.1650520364318164	1.1789825555872337
115000	-19.403543208927008	-32.0196848967012	12.616141687774192	1.2423343131798819	1.239777118618704	1.22437680454112	1.1406101360192549	1.1417052152550007	1.155570373139293	1.1926130058129667	1.1377602785601026
