#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.12882665308391 1.13335239111097</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.03929045028178 1.18268400743706</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.16544873363009 1.22028924678435 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp61:0.7546239149,(sp69:0.09040577959,sp70:0.09040577959)nd67:0.6642181353)nd59:5.749670058,(((sp63:0.2333376562,sp64:0.2333376562)nd61:1.126050105,(sp59:0.2626684323,sp60:0.2626684323)nd63:1.096719329)nd58:0.9902534329,(sp67:0.2084334348,sp68:0.2084334348)nd69:2.141207759)nd53:4.154652779)nd9;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp60" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp68" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp59=1,sp60=2,sp61=2,sp63=1,sp64=2,sp67=1,sp68=2,sp69=2,sp70=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214811.22571700928	-21.73914908480118	-214789.48656792447	1.12882665308391	1.13335239111097	1.03929045028178	1.18268400743706	1.0E-10	1.16544873363009	1.22028924678435	1.0E-10
5000	-8.22055918728115	-21.75203975655101	13.53148056926986	1.1230193954120116	1.1229731895307544	1.189734325310547	1.1269113077622628	1.1122284893059091	1.2271445547601678	1.1234782808744996	1.1692592013232344
10000	-8.714935867237477	-21.738397780785487	13.02346191354801	1.2310357305860269	1.1780789867072958	1.1491589662167818	1.2130585576957824	1.1397170710886435	1.159650486771782	1.134396392609646	1.0783029485570947
15000	-11.342189872553373	-21.792038538561542	10.449848666008169	1.0877648312320105	1.1545810697022796	1.1072524493123952	1.0952061846681025	1.1434144718313268	1.0607813958893293	1.123530674030935	1.0685912826724926
20000	-12.706791767587495	-21.593270828176575	8.88647906058908	1.3065530535155783	1.2647236657946137	1.1184220833794785	1.1957738423412334	1.0988315508944573	1.1387768366611102	1.0778688846420124	1.151884602871852
25000	-10.6221437555157	-22.0069666549018	11.3848228993861	1.1197775544503186	1.0634840306891387	1.1121294304652178	1.143570360510356	1.1828863495574315	1.112632458422864	1.2194016811676616	1.244584806096719
30000	-11.08162026928691	-22.103745464650444	11.022125195363534	1.2415178348730693	1.134745189161632	1.194465834336231	1.2715001700876463	1.118449052418799	1.1083737103563178	1.1704126540558388	1.0881462686906413
35000	-7.413034480232691	-21.649094732033863	14.236060251801172	1.124891181945076	1.2110585150205135	1.159057088727289	1.1187156905784919	1.2016061675168288	1.1419767249072394	1.1452730540028848	1.1756178970484488
40000	-11.472064288368859	-21.627635505067573	10.155571216698714	1.1194800511609082	1.1364152842433115	1.072118989577607	1.1411942055874347	1.0695995372775087	1.185357600765035	1.050982840176389	1.2113407818593258
45000	-8.963035654031074	-21.86653710672396	12.903501452692886	1.2115264465789513	1.1951942768354882	1.1673149331922037	1.2216603906474037	1.1489944662697975	1.107669555229607	1.173485061978427	1.2400643749562172
50000	-8.729272228957905	-21.64335689098614	12.914084662028236	1.2480835842346152	1.21151139992269	1.1778065850712671	1.13616822216067	1.1780600704948079	1.1372730381324128	1.2292780746210754	1.1377670751692224
55000	-11.198616148720923	-21.392892277229034	10.194276128508111	1.1530726615958493	1.232875518101594	1.0567668621549715	1.0806659010725093	1.107662966146665	1.1947899250351133	1.0792645221279962	1.193124349135288
60000	-11.604926199222303	-21.624945479032668	10.020019279810365	1.1708705789124076	1.1413841903286117	1.090265530798594	1.1204134861282584	1.3093813871893991	1.1352649423820993	1.0729540051641455	1.1321792815761442
65000	-9.724338898225703	-21.947899921706796	12.223561023481093	1.2508274995160644	1.0974568753799685	1.2348813240006222	1.1789100479058738	1.2030775882838372	1.1425925829044543	1.141719225590896	1.1216970029689641
70000	-10.889892979924955	-21.751666310259623	10.861773330334668	1.202748679310355	1.1158810404739556	1.1583891403928934	1.1210833605350485	1.2213641849865458	1.1098265371256208	1.070893568133582	1.2675837734553015
75000	-14.725425006356266	-21.63612169618733	6.910696689831065	1.120799193988331	1.326362620392723	1.126775096464863	1.272137175782433	1.1800260122405481	1.2133285795807145	1.0440157502627874	1.1351944650242347
80000	-14.474976278434799	-21.672873751290666	7.197897472855868	1.2822921450363076	1.1380397804352005	1.0819813899232653	1.1416419880214868	1.2621625995914654	1.141794130636255	1.2598890871434179	1.2879721328776779
85000	-10.543875052803603	-21.879078544197085	11.335203491393482	1.158107868734485	1.075231914048586	1.1279185664753548	1.1751129226065147	1.1571662393407407	1.1832593574550094	1.0921286280822413	1.2804271874242747
