#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.06877833324649 1.17142661568457</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.30392111202111 1.2204734883148</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.2880398636584 1.20888500545642 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp60:1.253935854,sp56:1.253935854)nd53:0.7004492464,(((sp64:0.07466535691,sp65:0.07466535691)nd64:0.002854894153,sp63:0.07752025106)nd62:0.5738379757,sp62:0.6513582268)nd59:1.303026874)nd42;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp56" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp60" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp62" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp56=2,sp60=1,sp62=2,sp63=1,sp64=1,sp65=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214806.50824953965	-10.862096908333347	-214795.64615263132	1.06877833324649	1.17142661568457	1.356076345396283	1.2204734883148	1.0E-10	1.2880398636584	1.20888500545642	1.0E-10
5000	1.3346684849898285	-10.25551185134117	11.590180336330999	1.1436441768798364	1.1326920782389236	1.0706376818545826	1.1540372656723248	1.223359442502306	1.0561852250380328	1.1878344609548261	1.1537692073463397
10000	3.4629311695864793	-10.323485223744534	13.786416393331013	1.1344820874616812	1.1910110325168344	1.1408495694774226	1.1121377346800065	1.217881705364995	1.2034361191801897	1.1278436743278644	1.1830076647071797
15000	3.6655871269876545	-10.337806892602261	14.003394019589916	1.1680105114611523	1.1884002692454678	1.1404579875846779	1.1997868183728722	1.2187198757574116	1.134588549689751	1.1091755610251977	1.150896322757787
20000	-0.658061398279493	-10.47390148180111	9.815840083521618	1.071008557830029	1.2540175813867946	1.1361302499515542	1.176708757154397	1.1363787273074795	1.0493970135849777	1.0883482678822904	1.126997137212915
25000	3.1494367319870857	-10.311003609660533	13.460440341647619	1.2277862132491724	1.1534329635167813	1.1746908575014245	1.2354994066593583	1.2021417075061553	1.161102295701647	1.191231902257397	1.1478735322288467
30000	-0.5676475910555876	-10.09823235640041	9.530584765344823	1.2209388415101465	1.0888544959383504	1.1075973235425303	1.0718720654631602	1.2382765880699267	1.0905335697854421	1.1126824122036736	1.0800737435883143
35000	-1.3542095986046085	-10.230540748691514	8.876331150086905	1.1828100991964796	1.182193612324919	1.0407357415076968	1.2277048043241556	1.287467022398312	1.170993234617332	1.082325934730468	1.1995799933768334
40000	3.1903576524029322	-10.249883710017553	13.440241362420485	1.218612287226301	1.1576338355700657	1.1560298963040483	1.1729921222365636	1.1276381315664454	1.2268107328226325	1.2163558988337002	1.194596934326295
45000	-1.467296802562636	-10.52126033135879	9.053963528796153	1.1162676978760198	1.1266629919984106	1.319264424536051	1.0574055561917797	1.1376127042000799	1.117519458111103	1.142896829304326	1.1014348883164409
50000	0.2006089496562371	-10.205782565963768	10.406391515620005	1.1438433491353166	1.1515567116947711	1.097362978431395	1.0666268304689885	1.081823842951297	1.1961601768498857	1.2701540890262064	1.1936393703492263
55000	2.3981389445446855	-10.247273742090554	12.64541268663524	1.2286816326258756	1.1835130020276565	1.147322983579682	1.2189486494275616	1.1535482691186922	1.0808082181302674	1.19943886192952	1.2017417434289195
60000	2.09296745371722	-10.179793853587197	12.272761307304417	1.1671714699622984	1.1764111632087584	1.1011384140410199	1.08731824490552	1.2008945810139877	1.1190090320336166	1.2533054184865864	1.1744031141479705
65000	-0.8936262301392066	-10.117328358669967	9.22370212853076	1.2553976795289665	1.103467461698204	1.054832096296704	1.206504448796682	1.1959103874777408	1.1612619546227874	1.0838461036508245	1.2542885705786349
70000	0.5287507361725066	-10.08625180082698	10.615002536999487	1.2878928111276509	1.1381947565279684	1.1686346858321472	1.108889867347288	1.197290985974702	1.1873570201224242	1.2656611112343625	1.199137903606412
75000	0.2678610753306465	-10.519300941243557	10.787162016574204	1.1383879471840166	1.1418643796040326	1.274347247030291	1.1281067516175618	1.2339371558479895	1.2107733818288764	1.0694531456141274	1.130830000464812
