#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.136488419381 1.08484791204601</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.10228767520994 1.12840254781305</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.22600385328134 1.0876606382163 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp127:2.220582914,(sp143:0.5294135666,sp144:0.5294135666)nd142:1.691169347)nd117:0.302054971,((sp120:1.121172219,(sp146:0.1460650191,sp147:0.1460650191)nd135:0.9751072001)nd131:0.878556987,((sp148:0.07355645668,sp149:0.07355645668)nd129:1.567845764,sp133:1.641402221)nd125:0.3583269856)nd118:0.5229086788)nd113:2.221693711,((sp129:0.6351094309,sp130:0.6351094309)nd138:0.2890619459,((sp135:0.4310835026,(sp138:0.2338402174,sp140:0.2338402174)nd146:0.1972432852)nd140:0.1629059709,((sp136:0.3929115352,sp137:0.3929115352)nd143:0.1713068895,sp132:0.5642184247)nd141:0.02977104878)nd139:0.3301819033)nd136:3.820160219)nd65;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp120" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp127" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp129" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp130" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp132" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp133" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp135" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp136" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp137" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp138" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp140" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp143" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp144" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp146" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp147" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp148" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp149" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp120=1,sp127=1,sp129=1,sp130=1,sp132=1,sp133=1,sp135=2,sp136=1,sp137=1,sp138=2,sp140=1,sp143=1,sp144=2,sp146=2,sp147=2,sp148=2,sp149=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214825.37441418174	-36.08861110131365	-214789.28580308042	1.136488419381	1.08484791204601	1.10228767520994	1.12840254781305	1.0E-10	1.22600385328134	1.0876606382163	1.0E-10
5000	-23.49140482701219	-35.41323992753246	11.92183510052027	1.2503455915042683	1.2305427023938593	1.2041089030886452	1.1093739174303061	1.156695400817117	1.2026487815347129	1.2211261099437873	1.129220962111127
10000	-25.344127054735814	-36.3796799589685	11.035552904232686	1.198767765188254	1.0453692252515197	1.2072765070637328	1.2092578664449904	1.1865642899229984	1.1457343160068947	1.2278557306549678	1.2203395348223298
15000	-25.541740292567493	-35.68819825190798	10.146457959340484	1.1655160029338154	1.2191898354669701	1.2223405712066922	1.0733735354426235	1.0315973414798065	1.150741328339596	1.1341888786032186	1.1962775220817525
20000	-27.549271947583676	-36.36673549264102	8.817463545057342	1.2685453971743017	1.185196323557853	1.3050013475484772	1.213955597391238	1.2300108379895016	1.2115296151562887	1.1166530831148762	1.1190054294375222
25000	-27.561423829735336	-35.058104115945135	7.496680286209798	1.1897939355714997	1.3238279891279654	1.1567739277444022	1.0850882850887553	1.1600584889311005	1.194275192453345	1.2347316464080589	1.038703128521323
30000	-23.363495233936273	-35.386575812019665	12.023080578083391	1.1506750327327344	1.261014935521437	1.1124128544464653	1.2086774450362288	1.2258998875172442	1.161631510257646	1.2145268505695963	1.1223660048838358
35000	-23.99350833858801	-34.97253681330969	10.979028474721677	1.1334524343953236	1.2484492799630997	1.0516989793712488	1.0857243878253477	1.1442258042745845	1.1569590716198634	1.206361167790269	1.1908263095590583
40000	-24.14522520188747	-35.40075766140621	11.255532459518742	1.2648383279962383	1.2225969993095933	1.154219687993421	1.1632810727438148	1.2126090586394056	1.2268452681061308	1.2047149715268366	1.0922341272193319
45000	-22.966608897112202	-35.570308712195605	12.603699815083402	1.2375163381345942	1.1561867736092195	1.1671846718852708	1.1170535668098325	1.138961102559846	1.1276894136677618	1.1185485053415296	1.2529279813131475
50000	-25.484469125133607	-35.86018409681672	10.375714971683111	1.150584260464303	1.1748244261148444	1.140490502806252	1.1775231842399134	1.1011913395862765	1.070114684365148	1.0302894480383111	1.1123719801476568
55000	-22.876117832921015	-35.85956761925277	12.983449786331757	1.1335396165365266	1.1045452226601964	1.1513234541284534	1.113235622203185	1.1415211847685556	1.0730535478225107	1.1370549070072828	1.1191299314615506
60000	-26.351425163493907	-35.4525032694067	9.10107810591279	1.091398987838913	1.1557523295885765	1.0434158794704569	1.1568418507064613	1.0741325643032893	1.060484912958712	1.1274779999309175	1.1017123079321578
65000	-25.567888127118298	-35.99301949146249	10.425131364344193	1.2281936853236848	1.2014414434216552	1.1682902498504624	1.2386256043685793	1.194719575197291	1.2688397953206885	1.1253370854088403	1.2509951391062606
70000	-22.63723178129202	-36.03254831501683	13.395316533724813	1.1766067633437358	1.2005519650770418	1.2223439854257108	1.1978158005701123	1.1849332303788194	1.1992176996597352	1.193415206139502	1.2149127592588562
75000	-24.087270808533162	-35.9904628235855	11.90319201505234	1.2452635044819482	1.0978239126102463	1.2208102299976507	1.1992402654898486	1.189948301862132	1.0939547895311545	1.2052433074984947	1.1490748062118508
80000	-24.734466906539065	-36.14849849808917	11.414031591550103	1.2461281242201951	1.084634903232703	1.264270543182887	1.150502281384579	1.1387309807089698	1.1271502017223325	1.207346304427443	1.1642033616977412
85000	-25.673158736795163	-35.685324545760125	10.012165808964962	1.0964035631259759	1.2660010116026699	1.1684399340387184	1.2213544131053975	1.2362486574025613	1.1323904922478252	1.2645992719913501	1.1968546825132167
90000	-24.93650054553109	-35.32005078598321	10.383550240452124	1.1328653466053136	1.318367360535049	1.1778459928979026	1.090796374078927	1.1545598343455128	1.1440085625021823	1.1483802955092843	1.0890041969275388
95000	-28.20549782608014	-35.992199909152255	7.7867020830721145	1.2699366210441578	1.011805746644277	1.2021072144122829	1.0556901442324471	1.140845395163496	1.195394636793945	1.1497223955101632	1.1488743674560242
100000	-21.462446549263117	-35.890890637565015	14.428444088301898	1.135090734739957	1.174753666658836	1.1796033674988167	1.144535877195208	1.174256802535752	1.2050717978561132	1.2142244308744616	1.1648712976054136
105000	-22.714288170752056	-35.9797968033298	13.26550863257774	1.1669123521620919	1.1924826650269291	1.1407770976355858	1.2339323431324278	1.1336918168708117	1.1737237801076843	1.0851204113574466	1.1916456891530605
110000	-25.50395511996426	-36.45402750804334	10.950072388079077	1.1084427839331064	1.162381776582834	1.226097596283531	1.1311083415987864	1.097766116306464	1.1796256653729318	1.0505029396740106	1.090437129512878
