#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.14074478204698 1.09003250276223</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.15595407449084 1.15662938445988</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.174896359192 1.1544442382824 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((((sp76:0.6905961502,sp77:0.6905961502)nd81:0.1713066745,(sp84:0.3307133411,sp87:0.3307133411)nd88:0.5311894837)nd80:0.5044402868,sp70:1.366343112)nd68:0.2333574776,((sp85:0.2356769426,sp86:0.2356769426)nd86:0.3146757705,sp81:0.5503527131)nd69:1.049347876)nd67:0.05561726078,(sp82:0.6969066857,((sp89:0.1525541745,sp90:0.1525541745)nd90:0.04416396801,((sp92:0.06106825639,sp93:0.06106825639)nd92:0.09145956757,sp91:0.152527824)nd91:0.04419031856)nd85:0.5001885432)nd77:0.9584111642)nd57:2.600272706,(sp73:2.750352336,sp74:2.750352336)nd49:1.50523822)nd32;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp73" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp76" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp77" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp85" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp86" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp92" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp93" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp70=1,sp73=2,sp74=2,sp76=2,sp77=2,sp81=2,sp82=2,sp84=1,sp85=2,sp86=1,sp87=2,sp89=1,sp90=2,sp91=1,sp92=1,sp93=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214819.68879631427	-32.591860273187955	-214787.09693604108	1.14074478204698	1.09003250276223	1.15595407449084	1.15662938445988	1.0E-10	1.174896359192	1.1544442382824	1.0E-10
5000	-20.466127469613557	-31.85120785420348	11.385080384589923	1.1576043159428078	1.2061083403731765	1.078347407900217	1.0809204040918032	1.2335588142819507	1.2074561621969544	1.2170128378252343	1.1873074974944406
10000	-19.224984979030424	-32.672325748078734	13.44734076904831	1.1485224449142988	1.1499666099682497	1.1986909253819629	1.1714958696613347	1.0669863210152108	1.1627735570998017	1.2042642710952158	1.1437791672419668
15000	-19.652995509075403	-32.650731970577	12.997736461501596	1.1808462491760519	1.2017535805781987	1.2278773745034188	1.2460321086615989	1.18095504890835	1.191209644643048	1.166002870431624	1.19066334085969
20000	-18.249587063503007	-31.899831287450127	13.65024422394712	1.1847432332477257	1.166596806955084	1.106548452911306	1.0910235089557856	1.1807805025950044	1.183970832701821	1.1872167677957763	1.1992481092273082
25000	-22.497631696525218	-31.98811539367053	9.490483697145313	1.2710885263765168	1.1678737373057901	1.1137112832203764	1.1296883514256066	1.1224087673551377	1.0678131400005553	1.1911475068110577	1.2830893000615227
30000	-20.4923019008222	-31.88745676486091	11.395154864038714	1.2329802490585395	1.2188811027818236	1.1146506172447765	1.0858232160316887	1.1042622788746368	1.1068789964219448	1.2237923639927533	1.1874403972883252
35000	-21.606559164924743	-31.87451581211222	10.267956647187479	1.2048092697498818	1.12316865763177	1.2272505367425333	1.0213835133748272	1.1535032005497599	1.2152475498072661	1.2058355724924612	1.1425717552839196
40000	-21.33383127013041	-31.888460589138724	10.554629319008315	1.2079431698224619	1.094116828969841	1.1572012060813153	1.123343338477253	1.0782293394354259	1.2611725453573108	1.0774151800739609	1.189297553106045
45000	-20.897996891661776	-32.05148185244666	11.153484960784887	1.1806065562689902	1.0626996420803962	1.0903148539078362	1.1265940747722474	1.1075021806603587	1.2387644475226933	1.1869310895246572	1.2106011472945741
50000	-20.53568854230862	-32.48567795505452	11.949989412745902	1.162777161970503	1.1122018580410082	1.1734786924119929	1.1304719753041985	1.1130593571094847	1.0882381081546533	1.0671196242365393	1.218207456453785
55000	-20.96099702697162	-33.067950984607755	12.106953957636138	1.1167024785003745	1.1481497839133292	1.1724712463834326	1.194760685790458	1.1693754175672453	1.0406555004621127	1.118107664052551	1.1981047805117764
60000	-23.739125730072168	-31.977293999623285	8.238168269551117	1.152042387204715	1.1994732826132377	1.05871753209178	1.2071912021705449	1.06633587238156	1.2621516519595808	1.0541349678433347	1.2073143146456322
65000	-20.310139381670652	-32.16495047463849	11.854811092967836	1.1928321997532751	1.1994928636447235	1.053170899037415	1.1793016885074292	1.1176278862275544	1.084612442587584	1.13197719730948	1.1710756134567057
70000	-20.360451635828248	-32.618898293965074	12.258446658136826	1.1529852508392755	1.0894640775161266	1.2276135929909326	1.1469592147561187	1.2228152177474392	1.2072020136386568	1.1420930508928573	1.0896370672439004
75000	-19.85575313992939	-32.11933793481626	12.263584794886867	1.1741700616698962	1.1832822188405088	1.2386111556587005	1.107497105981193	1.092295744298641	1.2138370375905352	1.1034710744641398	1.1892051804793076
80000	-19.340537712037886	-32.4584568015561	13.11791908951822	1.1097021828909155	1.2353000582016989	1.1659078231846038	1.1369322933612982	1.1325139284969659	1.1437684993361539	1.1602279931680626	1.2390273486695123
85000	-18.51827176889244	-32.143355329035764	13.625083560143324	1.1861349204093716	1.1807664814062402	1.1188636450436915	1.1945874827327185	1.1130935847838426	1.1905315199467412	1.1099628742512817	1.2082595196022874
90000	-20.500874931905457	-33.14606440917591	12.645189477270447	1.1235791878374164	1.18284773064828	1.2213988394140738	1.2158800168921915	1.1078487355896733	1.0928657572382154	1.210484735466416	1.1479659648326737
95000	-21.346091264972664	-32.45149068665868	11.105399421686016	1.2341496344019445	1.0994997728685938	1.1775330417614098	1.1970187816241589	1.140386956403048	1.1325177146966987	1.1928474098914967	1.038939762274238
100000	-19.693145750973695	-32.48262839124044	12.789482640266744	1.1622369854242547	1.1959783315937125	1.1094570970986017	1.1832682698345247	1.1935809635220518	1.0621876752019608	1.1188386522190237	1.1724751508092648
105000	-20.25677462035283	-31.888039055635385	11.631264435282556	1.2718050874710536	1.1382085394247168	1.0783145798703417	1.1728873377279956	1.2264544991307906	1.1290117882377126	1.1739945954943518	1.1877477348690122
110000	-19.544961577429973	-32.10755099724096	12.56258941981099	1.2260723012178867	1.132072098201348	1.135909397649194	1.2066765553723529	1.1943362520688985	1.1982726801531485	1.1014506422144275	1.2340824763731384
115000	-22.46525012121857	-32.04052646961668	9.57527634839811	1.2582476812562635	1.1707684424019813	1.2253520846804151	1.1382453756190807	1.3048885102299188	1.1209059024520436	1.0899266049282972	1.1587197267490494
120000	-19.132084666520033	-32.24176597047468	13.109681303954648	1.2085351326512228	1.1905190559241525	1.2375429552918236	1.175424522786329	1.1859472837482963	1.2087507475835393	1.1404357831380751	1.1079234233265407
125000	-21.740421665514546	-31.758737206945277	10.018315541430733	1.170006310485751	1.1966309601734093	1.1004343802476584	1.0662356368557677	1.11015487904593	1.2431508835695915	1.2375715779072896	1.2456140565154623
130000	-19.637279737144123	-32.50653235437183	12.869252617227705	1.1858240979597197	1.1475304812499632	1.1665447511830627	1.2108119623261893	1.1377170462979134	1.159186449100155	1.1571109523551593	1.0494510290331693
135000	-20.833520540213108	-32.06773196509119	11.234211424878085	1.2347942513908037	1.1084594301929427	1.1101343371127659	1.17140748494751	1.0792759263709757	1.1284800929751486	1.091964870114015	1.2312090897672001
140000	-18.890979503332385	-32.124007081358684	13.233027578026299	1.1602566608514966	1.0943594173986824	1.1363126127798155	1.0884077668409713	1.1119669979425448	1.19032941279993	1.1365348412391183	1.1325257066679675
145000	-27.662872933746684	-31.19758990928677	3.5347169755400847	1.3990445619929908	1.1375597659310075	1.1906703953308988	1.0531034411771065	1.2224437509195931	1.1194545065244281	1.0553267266939745	1.1948446106731412
150000	-18.687242927517868	-31.887339177460184	13.200096249942316	1.1786999698309246	1.1915553961181822	1.158120605252369	1.1072558695923387	1.2198792066054613	1.2461532530177568	1.1547485970075397	1.169241944623441
155000	-23.290245624213615	-32.99176354273051	9.701517918516895	1.052976972206095	1.1347658938496956	1.2174662379442485	1.0703429826631765	1.0691895985304012	1.0953095414643719	1.1846334475861413	1.1499374832827525
160000	-19.23768749034699	-32.2963486836889	13.058661193341909	1.2012613201523525	1.1991264270346782	1.2131760061226136	1.1231147362736473	1.1498086228152502	1.0793131254803543	1.1235299342489913	1.1422410434689296
165000	-19.72885082845776	-32.04823227748198	12.31938144902422	1.2532269026357765	1.091036353811951	1.106555437034735	1.1499817106661718	1.1755497983725833	1.1004860802949046	1.1336449483217483	1.14285507194258
170000	-20.3971883321691	-31.89582160523269	11.498633273063588	1.1917065136639162	1.1313493592246795	1.113650690831081	1.1130158954479994	1.094317226986015	1.1756401861287427	1.0559007102566658	1.2228615381509833
175000	-21.303549291933514	-32.00926702613052	10.705717734197007	1.2283288944800335	1.0990531568277804	1.0424935028104605	1.2159018066730525	1.2102286620001028	1.1817602997952876	1.1358477875051507	1.2001559900894394
180000	-18.565657998031526	-32.44846543580849	13.882807437776961	1.1368330585422546	1.123457815321354	1.1516785427418343	1.172193322626781	1.1033074764434228	1.2252846510872628	1.129052546908561	1.1581931501932172
185000	-21.28227912847397	-31.458587198252403	10.176308069778432	1.263023906085149	1.2178324967407812	1.1632780577769437	1.0561980343705843	1.1844154838555385	1.2165245807997558	1.1661234745884381	1.0806475068275339
190000	-21.40778965583768	-31.59329512916784	10.18550547333016	1.3143463407818576	1.112267942817832	1.137903337204113	1.143761526048605	1.1392971317223222	1.2314094789711134	1.2086607375621101	1.1032575681130734
