#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.10714340948951 1.2146051180177</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.17062893420971 1.22164431088618</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.18647930952471 1.12873877608297 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((((sp154:0.1061419344,sp155:0.1061419344)nd157:0.1154715852,sp146:0.2216135197)nd155:0.02012596637,sp144:0.2417394861)nd149:0.5513835679,(sp152:0.1155948366,sp153:0.1155948366)nd148:0.6775282174)nd108:4.160977408,(sp135:4.933826495,((sp133:1.407280483,((sp156:0.05937490888,sp157:0.05937490888)nd158:0.08468183469,sp149:0.1440567436)nd143:1.26322374)nd136:0.4151104375,(sp150:0.138712085,sp151:0.138712085)nd153:1.683678836)nd127:3.111435574)nd85:0.02027396698)nd73:3.365268203,((sp131:1.028072474,(sp138:0.8110972382,((sp145:0.2416514669,(sp147:0.1716799842,sp148:0.1716799842)nd156:0.06997148272)nd151:0.3509207238,sp134:0.5925721907)nd146:0.2185250475)nd144:0.2169752359)nd137:0.4530117321,(sp158:0.02228668202,sp159:0.02228668202)nd138:1.458797524)nd130:6.838284458)nd19;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp131" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp133" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp134" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp135" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp138" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp144" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp145" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp146" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp147" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp148" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp149" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp150" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp151" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp152" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp153" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp154" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp155" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp156" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp157" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp158" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp159" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp131=2,sp133=1,sp134=1,sp135=2,sp138=2,sp144=1,sp145=1,sp146=1,sp147=1,sp148=2,sp149=1,sp150=2,sp151=1,sp152=1,sp153=1,sp154=1,sp155=1,sp156=2,sp157=2,sp158=2,sp159=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214830.81209156144	-42.875510933708085	-214787.93658062772	1.10714340948951	1.2146051180177	1.17062893420971	1.22164431088618	1.0E-10	1.18647930952471	1.12873877608297	1.0E-10
5000	-31.93264268576156	-42.6696088023978	10.736966116636243	1.213436672873579	1.1139197013967654	1.2892843614191196	1.1131037382557136	1.158589498638135	1.1676176870453085	1.2476771020499557	1.2009275785124924
10000	-32.28883274813875	-41.80481098382718	9.51597823568843	1.2992967990734403	1.2108562156549392	1.1474137005822114	1.216364307276145	1.1632122761450756	1.2123815064069714	1.1009929788154313	1.263301125144135
15000	-31.39973683429265	-41.98473210539074	10.58499527109809	1.1910198967116934	1.1967644154887793	1.0452382318340132	1.257744269564825	1.1268594515440207	1.2303415786759075	1.1744001786792009	1.1857820480245191
20000	-29.775829817622633	-42.21786815739564	12.44203833977301	1.1780617996481724	1.070612033978295	1.124156971096927	1.066568530590497	1.1457133403989663	1.1551418435060088	1.18116284263412	1.1525530273224547
25000	-29.13111162258261	-42.845338251526435	13.714226628943827	1.107255739456076	1.1947646180142744	1.1800532567494186	1.1810833030076389	1.158526340320327	1.0967143252001688	1.1224053363076998	1.1919136648000332
30000	-31.416705288524476	-42.687028153177	11.270322864652528	1.0951904841888256	1.1663010731426673	1.196239836451863	1.0870906412594865	1.0750091278271212	1.230063634396238	1.2222200568575874	1.135850489452698
35000	-33.79479691289065	-42.685050706390584	8.89025379349994	1.0908399286843173	1.1303405086667315	1.1510214903918008	1.0737390405759406	1.2203110132085997	1.229018542763364	1.1585511998716598	1.0196581147182955
40000	-33.67336113648517	-41.99874578553216	8.325384649046986	1.2273483809639767	1.185685706739854	1.194307873795769	1.0452511999733165	1.1535383470526168	1.2874077102681898	1.1296076577864043	1.0574945248803413
45000	-28.71415661932612	-41.91544640976666	13.201289790440542	1.1992510048324727	1.1819490820797538	1.134084893617323	1.082214847275386	1.1396152169139877	1.1744711967034043	1.1651249462627955	1.2337165959857497
50000	-30.120110695563845	-41.92241179079797	11.80230109523413	1.2546490896023803	1.1996958577758445	1.1135573407111725	1.2269095829000478	1.1286372835844949	1.1983260872302555	1.0991313910078566	1.1203226538514144
55000	-33.03135527343701	-41.99027286684756	8.958917593410556	1.3035954715933988	1.0901812686333254	1.1100435134120408	1.2285518863100555	1.1832654069441475	1.2463512322315837	1.104812644780632	1.2044383988449388
60000	-30.85386431046029	-43.00580016678218	12.151935856321892	1.1777694514157	1.1221012097288805	1.2576607964955069	1.1439652159892009	1.1165484027111028	1.2129901607505855	1.090558909022325	1.1969567647709243
65000	-34.04304854929125	-41.69223305794429	7.649184508653042	1.3068047099906854	1.2640290530357698	1.148097948996747	1.0996523828452762	1.1819370981622506	1.1120425840024983	1.0395492119829595	1.1739037443725482
70000	-30.329663602047667	-42.00898728601989	11.67932368397222	1.189040831333062	1.1710032044546268	1.0668198049799804	1.1744964145825807	1.092761589047011	1.128148187744507	1.0985770208877932	1.088933971839073
75000	-29.761580770982125	-43.02533177613846	13.263751005156333	1.1337487696249515	1.1680384924319436	1.2010385212111137	1.210393088517219	1.2160547314499381	1.100865124873963	1.1085924222200318	1.1740890954400223
80000	-30.155455614669524	-43.00729287046958	12.851837255800053	1.0453115827673287	1.2021152328730529	1.168643121181742	1.144139999701029	1.1542693818665888	1.1310470100615535	1.1538874700119255	1.1632700748402667
85000	-27.76118009089003	-42.041412899233094	14.280232808343067	1.1658457893522163	1.2439756648591513	1.1424594356722662	1.1381167381133295	1.1577419560301148	1.1627773114818825	1.1704775572543409	1.164978487377543
90000	-29.942474032984116	-42.093805419981955	12.151331386997837	1.1266010887133593	1.2268465658221428	1.1384678535081947	1.0875515605366533	1.1636213007240648	1.0995010601761748	1.2309834975005711	1.114370356533323
95000	-30.39713401911989	-42.10330835838459	11.706174339264699	1.2356590653530068	1.1934673445212236	1.244990667737133	1.0794070229418344	1.2041710690267842	1.1402798516477537	1.1124538706126972	1.1653286721943643
100000	-33.25514875749168	-43.13108126791763	9.875932510425947	1.0334897650981048	1.1938030584473325	1.193209814049895	1.0915669594949884	1.1258947273865416	1.1479177440863482	1.0600542529797972	1.1830158227105103
105000	-29.435377996010757	-42.17657439963877	12.74119640362801	1.2264008781873728	1.1125611248751641	1.1663985485898445	1.1139973560495604	1.1898066602830957	1.0856485522229706	1.1085320396273624	1.1618343118033754
110000	-28.267067651430523	-42.14499162917944	13.877923977748914	1.2160088592450702	1.1783651037323233	1.1443329070796677	1.208259805038198	1.1651027294684733	1.1255486356602007	1.1604227125999145	1.216652502849819
115000	-30.658823221533748	-41.71129406600996	11.052470844476215	1.2207335240050006	1.1758388195594407	1.1036182124612697	1.0934281058002313	1.1584407541329953	1.184705697094494	1.2502331030710654	1.2596125711005526
120000	-30.113437439453243	-41.77572535056111	11.662287911107867	1.2447128777321488	1.2689138966705202	1.1474999710547127	1.126922853917916	1.1191642030818194	1.208867176852414	1.1266920207750448	1.192487385969845
125000	-31.283539612825685	-42.477663997991925	11.194124385166242	1.1289665215184537	1.2963098175561831	1.1772198653030603	1.2518386159835786	1.1487165315793566	1.1237757401511197	1.1893939568569742	1.1646156495761322
