#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.06049047509678 1.11822112000137</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.14315747864109 1.16856573503878</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.08064797463949 1.13875992718316 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp212:2.585882524,(sp228:0.1142865239,sp229:0.1142865239)nd179:2.471596)nd150:4.037868481,(((sp206:1.494367918,sp205:1.494367918)nd204:0.2180980627,(sp220:0.2105524928,sp221:0.2105524928)nd217:1.501913488)nd191:1.290491295,((sp208:0.4152601089,sp209:0.4152601089)nd221:0.2911836389,sp227:0.7064437478)nd183:2.296513528)nd134:3.62079373)nd15:1.204955319,((((sp222:0.1972228519,sp223:0.1972228519)nd229:0.02339464658,sp231:0.2206174985)nd190:4.314230493,(((sp191:1.144422014,sp201:1.144422014)nd215:0.8258106743,(sp224:0.1766888646,sp225:0.1766888646)nd227:1.793543824)nd188:0.2665593328,(sp188:1.687121851,(sp203:0.6086738932,(sp217:0.2888807963,sp218:0.2888807963)nd224:0.3197930968)nd212:1.078447958)nd189:0.5496701703)nd157:2.29805597)nd99:0.4947700331,sp215:5.029618024)nd83:2.7990883)nd12;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp188" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp191" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp201" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp203" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp205" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp206" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp208" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp209" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp212" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp215" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp217" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp218" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp220" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp221" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp222" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp223" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp224" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp225" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp227" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp228" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp229" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp231" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp188=1,sp191=2,sp201=2,sp203=1,sp205=1,sp206=2,sp208=1,sp209=1,sp212=2,sp215=1,sp217=1,sp218=1,sp220=1,sp221=1,sp222=2,sp223=2,sp224=1,sp225=2,sp227=2,sp228=2,sp229=2,sp231=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214845.95550982392	-56.779553147485856	-214789.17595667642	1.06049047509678	1.11822112000137	1.14315747864109	1.16856573503878	1.0E-10	1.08064797463949	1.13875992718316	1.0E-10
5000	-44.081787654704634	-55.68535572104501	11.60356806634038	1.1932387510509757	1.246540433526193	1.0743555781879348	1.1941449576715693	1.0968283088455644	1.2052441511417322	1.207913845910761	1.1535047392808107
10000	-50.13087661485347	-55.452681816077316	5.321805201223849	1.2229891004375963	1.113008464971771	1.0449744647585504	1.0689127397508271	1.0601751310360272	1.203849808226417	1.32753942944493	1.1246030273925554
15000	-46.122578383488246	-56.32344877688341	10.20087039339516	1.1654439629622868	1.0252686216371383	1.1579067825736362	1.0862870552897894	1.1746752919979315	1.0882446843977684	1.2186737062440245	1.142330381336509
20000	-46.19647741686434	-55.625191800503394	9.42871438363905	1.1823118411225477	1.149591987646231	1.0465360869017302	1.1462705239476838	1.223409133752934	1.2162084025542645	1.1260393361485035	1.2983230560309933
25000	-47.28372650417653	-56.69494389513953	9.411217390963007	1.1871588088694458	1.0602100733529942	1.159350176540315	1.175918115908487	1.2332816447009929	1.270514590599914	1.273324883625751	1.1742054522818377
30000	-47.653273620380936	-55.38709360752384	7.733819987142899	1.1857914745527962	1.2606781475969944	1.0667774464732727	1.0800647057023305	1.0965238882673272	1.1149898292086313	1.028146010630216	1.1464547070896245
35000	-43.5890933367987	-56.552514796656745	12.963421459858047	1.2221533264692042	1.122193373464324	1.222067288274175	1.1736642057567905	1.0867872910483571	1.1923997234708708	1.1850275624115452	1.152080824933229
40000	-47.29371285302042	-55.41107823706679	8.117365384046364	1.1561903395071185	1.2380194369279793	1.1027841774716964	1.058156703815053	1.2970518136292806	1.0908319971655533	1.1754264505635006	1.2428320168344806
45000	-45.618914370454405	-56.040029152371844	10.421114781917442	1.1851145764257924	1.1486127090799276	1.0433157642690245	1.2620462729291415	1.197216805230215	1.210927892419339	1.1585443789567194	1.0957325794494295
50000	-44.67015491347497	-55.83342776327619	11.163272849801226	1.2162852789673373	1.1447736685134149	1.1755667233292093	1.0892713324856287	1.030476047013994	1.1658074060658425	1.1440461662350372	1.1915816358494655
55000	-43.16668283653418	-55.6452231364172	12.478540299883022	1.185435423070614	1.2798372342838018	1.1441487867428313	1.1358937887277132	1.1384924189532948	1.0966596863398363	1.1353144647843736	1.1628709891953937
60000	-44.73870744942145	-55.65302473845215	10.914317289030704	1.289100522750376	1.2593874079778145	1.1186841334704265	1.1588771368325377	1.2089092569744762	1.1669034959202218	1.1210548507718117	1.145954001922428
65000	-43.22145505185291	-56.21257719445794	12.991122142605036	1.2164508434934962	1.2004726922949214	1.2130686929379	1.1750635495878656	1.201189335148697	1.1464228318096432	1.2429952806729687	1.1578471659281953
70000	-44.34849574984698	-55.99579568011636	11.647299930269375	1.1613253249150282	1.2467187918726055	1.1419744292003728	1.1932595380539357	1.264517762175292	1.1904820942527827	1.2357192554080119	1.1664015834122308
75000	-44.3555233396943	-55.57540125123665	11.219877911542351	1.1854141715529742	1.2648917352499542	1.145515098452632	1.1039331235571925	1.2167037758026584	1.0599563905026326	1.1637119299945597	1.1561852846122769
80000	-42.43538115883559	-56.407178961591086	13.971797802755496	1.1025301198731436	1.15892380468949	1.123538755506833	1.1917061540506946	1.1752344132002241	1.174345806160713	1.1956437672800946	1.2075948071096487
85000	-42.23836891548021	-55.74253553608378	13.504166620603572	1.2353316973611208	1.1916954717041168	1.1250210065752317	1.157286460974995	1.1321008379972024	1.160414402632752	1.1832091520513055	1.2228749507570118
90000	-48.246015599900005	-57.751514343927035	9.505498744027033	1.1543904999836836	1.1487192253823242	1.23441941482236	1.3134710898596007	1.081296568878376	1.1009296436402718	1.1497698658273257	1.1041699331841484
95000	-46.041995332686625	-55.91003547931829	9.86804014663166	1.2548001018230936	1.1968372485237693	1.1217207064554524	1.1990407300088768	1.1987191083456235	1.277526796056078	1.2499902691009046	1.2099366592985399
100000	-43.06499352933187	-56.241036975804676	13.1760434464728	1.1844336899148395	1.1344896917921812	1.1109610018691025	1.2162748783071866	1.2140816521215108	1.2066281480997496	1.1663394443624842	1.2166975051180604
105000	-42.88556314147275	-56.103989644321324	13.218426502848573	1.1934956659064042	1.2342074208670097	1.2322873802853473	1.1391147200206724	1.2031549516815334	1.1734994139790391	1.1871323101107063	1.161701090950468
110000	-45.37309048197996	-57.83188292764035	12.45879244566039	1.0896657031161288	1.0940543789407648	1.2427343358303693	1.2015817964439823	1.1621019908311871	1.144094660093211	1.1266576832710007	1.1866730632248546
115000	-44.9457492565284	-55.62667987504885	10.680930618520453	1.153328829423284	1.1832050207521465	1.1647023201087936	1.0381193318258164	1.2503575063342574	1.0960053226547566	1.2054948919785848	1.128971864204397
120000	-44.11975801898466	-55.806573993439294	11.686815974454632	1.206588592528811	1.2615384527999354	1.1640241965402822	1.1737147927834064	1.1845825513238326	1.053393354507419	1.1608942574513024	1.169881949094938
125000	-45.00983407104721	-56.39325338219744	11.383419311150234	1.2474529306630262	1.2121364845332288	1.1955569354666664	1.2624903120899134	1.1506097934935144	1.182823347155797	1.125628517259201	1.0955722255179403
