#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.18909986401927 1.23500763833751</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.19518885535115 1.08502997615126</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.17508116571886 1.12570565938494 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp66:0.1536531867,sp67:0.1536531867)nd68:2.307461701,((sp69:0.05750340142,sp70:0.05750340142)nd69:0.7907777234,(sp61:0.731760458,sp62:0.731760458)nd66:0.1165206668)nd63:1.612833763)nd50;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp62" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp66" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp61=2,sp62=1,sp66=2,sp67=2,sp69=1,sp70=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214799.25775851993	-10.79862608125891	-214788.45913243867	1.18909986401927	1.23500763833751	1.19518885535115	1.08502997615126	1.0E-10	1.17508116571886	1.12570565938494	1.0E-10
5000	1.9649035473931669	-10.8901984684985	12.855102015891667	1.1934459724940483	1.1336180274881509	1.1094019432783473	1.171145193195181	1.160597304058984	1.081111593383469	1.191893079773465	1.0891256948029346
10000	-0.23365387034745666	-11.081610545782233	10.847956675434776	1.1017418481905583	1.096827228289961	1.1561996672752315	1.179568429315919	1.052150444159539	1.198166899049636	1.083284110495927	1.1087288997100673
15000	-1.6190372163638571	-10.643756134906917	9.02471891854306	1.23527300843825	1.217009965867469	1.0600765408587534	1.0992681939112057	1.192327777516139	1.1677729317775882	1.0617882478871088	1.0707320998378584
20000	0.2960382238847128	-10.959960545465439	11.255998769350152	1.127131103520628	1.1103439122861298	1.1086407891659757	1.1456336047412168	1.1367260757435196	1.2766056779660255	1.2213336098723186	1.0909423783243246
25000	2.1960939285639114	-10.910021235793945	13.106115164357856	1.2157482528542256	1.1817256920037638	1.196153202224613	1.1694884830734265	1.1508002789304592	1.2317946007739957	1.1785617634047219	1.2325287127457007
30000	0.860773958703005	-10.856887217617716	11.717661176320721	1.2242933432256637	1.1282461405119861	1.186556674044521	1.101817734265876	1.0486633722734686	1.1430891459905963	1.1840287960425964	1.1219975499325963
35000	-2.7566865389531117	-11.108441060575037	8.351754521621926	1.1175947784317464	1.260606684145307	1.1750943562288232	1.3092098848306146	1.1316212253424927	1.0421901096751924	1.1586988813999515	1.1490841726538987
40000	-0.06718507306225163	-11.13632450144813	11.069139428385878	1.184561795038622	1.0844882524762436	1.1991496936810606	1.2588691107439147	1.2041808445547522	1.2005862630704733	1.0830915483363703	1.206082434356606
45000	2.7117800660043105	-10.93442895137884	13.64620901738315	1.2370375210919877	1.1181104427675523	1.1993398713109769	1.1590239107982125	1.1861689777793951	1.1647920998946362	1.2016628621885195	1.1390073874463351
50000	1.2385954281223945	-11.174273080909604	12.412868509031998	1.1010027207426591	1.0795778308569621	1.2063932876904442	1.172875484976628	1.1009708555406972	1.1037222614438	1.1793548480549723	1.1799452633456091
55000	1.3889162208733303	-10.943316536141161	12.332232757014491	1.2321396685082027	1.1445923029222351	1.1523678284168717	1.2121272773080574	1.148877422209485	1.0967038266487825	1.2384776904720098	1.2116511491040751
60000	-0.07498050620560903	-10.808067093096753	10.733086586891144	1.180683887098678	1.2601059977245546	1.159059467389244	1.132138651854148	1.0396100011720524	1.1877525916455074	1.1362988616434653	1.2214496994568633
65000	-8.679416723378587	-11.20183307579085	2.5224163524122627	1.0857889303299113	1.2808922668599079	1.3279537535157842	1.193282467234284	1.2599591149466103	1.1705535122135438	1.326903798660618	1.0764070993720838
70000	0.4202726691484049	-11.18363313558658	11.603905804734985	1.0435542937730236	1.1951654833172016	1.2232035590877661	1.1909606128505532	1.2094303468793148	1.1747712685109843	1.2040572056302001	1.1661820281684243
75000	0.6511566241131899	-10.871917136283697	11.523073760396887	1.1395944368339386	1.2519249395798395	1.2055521007145256	1.1043509713669366	1.174367739980859	1.2343634608725391	1.07819290778428	1.1638120959354679
80000	-0.42820526897362043	-10.843357651064432	10.415152382090811	1.1646138579803746	1.2002947291120143	1.1760570251498752	1.0954845668614637	1.037674330268338	1.1314590783936667	1.150648488865775	1.2642537782667285
85000	-0.1651543624099876	-11.011077670551497	10.84592330814151	1.0932621078427995	1.072396789793872	1.1837579527931057	1.0631170935391898	1.1532947706358319	1.2352768482996095	1.1448871543147443	1.2019564672902294
90000	-4.6734560458999015	-10.867919721730566	6.194463675830664	1.1899346169865321	1.0968441481997195	1.1337936563259303	1.122513373302065	1.2690992315346277	1.2298639438608348	1.005659099169243	1.274411381774698
95000	0.6609974119266386	-10.867385633002636	11.528383044929274	1.1227654712708304	1.1085369092983788	1.0929988382590536	1.0843055770623726	1.2453518731689919	1.1941944366235275	1.1845647192150488	1.107171851126483
100000	-1.2509614722969182	-11.300624563732354	10.049663091435436	1.144848114713596	1.055279052008679	1.253415649185234	1.2405033730607573	1.219866263787517	1.1400350911999555	1.21714831081926	1.2102694317862965
105000	1.8004632923119654	-10.847868738031567	12.648332030343532	1.2305125897654452	1.1963151624077593	1.1059753430803554	1.2207169143979386	1.2318921956275688	1.1515432598635191	1.1880851105668435	1.1552804708203612
110000	0.8226938767297778	-11.087373176104702	11.91006705283448	1.1638873180823122	1.1672396919346328	1.2677087916637244	1.2010942662152415	1.1322499634711678	1.196402807924726	1.068698164123708	1.150630072466119
115000	1.4820924568765008	-11.018432832716787	12.500525289593288	1.0829299492772626	1.189235308075568	1.2444961331779187	1.089753668874231	1.164163274066074	1.1833460505912166	1.1539535129391454	1.1636765767301454
120000	1.970314031448389	-11.073981544146871	13.04429557559526	1.0973151942328612	1.1181260685085568	1.10861222295693	1.22806886064925	1.125980689141285	1.1776529175083503	1.1263456724116319	1.1359768338618443
125000	-2.109123102213676	-10.746661008950635	8.63753790673696	1.2543911221228843	1.193778764609056	1.0849716558075448	1.1256540109059485	1.1807800937311843	1.0513379891028478	1.266091570526579	1.0885050030306707
130000	2.7535543052607654	-10.876429727604561	13.629984032865327	1.215367439342255	1.110741085978688	1.1179662159580264	1.176733815515896	1.1206434808547647	1.1383092586872428	1.1092468512206723	1.155567431696521
135000	1.2749009643126286	-10.869229839153038	12.144130803465666	1.2701977233225366	1.1583598539475124	1.226871816256326	1.144425685031391	1.1869012923568072	1.194299671491267	1.1673857099051184	1.0964864615786485
140000	-5.700707530209538	-10.86368115122586	5.162973621016322	1.148903369410215	1.228141443715045	1.0162544659551336	1.286532788841432	1.1838351410137031	1.0649886642334376	1.0617273832513041	1.0843493974221932
145000	-0.37452786479242306	-10.853996456888657	10.479468592096234	1.1343776510774204	1.1682812186679636	1.1623068188299057	1.0706278027054545	1.079239541569332	1.2499607590413933	1.0696346706969038	1.1897648368206517
150000	0.920809475158098	-10.982358696772664	11.903168171930762	1.174867311533432	1.1341889077182672	1.1304161516199207	1.2081773408509469	1.1054796970715666	1.0998024711156102	1.2158932939032319	1.063858365247654
155000	1.699981845773756	-10.765812344070984	12.46579418984474	1.241102116728957	1.1880773068249746	1.1122093011652345	1.1354154797961407	1.2136882809962233	1.2231465650081903	1.2148189073741134	1.171308873886318
160000	0.024972430471212448	-10.840471708951497	10.86544413942271	1.1537026645946138	1.17428782863973	1.1464974123168072	1.0855423610616164	1.1681179360193779	1.3202482185026039	1.1301145144566613	1.1857941484231116
165000	2.1175412073191353	-10.810242177102076	12.927783384421211	1.1806477216087736	1.1358947245220206	1.1642250801772227	1.0575971014351266	1.1645028687068406	1.189306116672788	1.1007865443829603	1.1587290787437015
170000	1.5184153113016894	-10.988566564371164	12.506981875672853	1.1899781062873318	1.0725486568050033	1.166842230032297	1.1580526385871779	1.1954721157199426	1.0804362748572287	1.1594371278832425	1.2113685146972901
175000	2.058395482689704	-10.93340519607051	12.991800678760214	1.2193469800381418	1.1733829700164842	1.1620528166968953	1.2125909144258866	1.2110380569497794	1.1559178744544465	1.2158090602653457	1.2256761890180654
180000	1.2901873546467844	-10.81044652746197	12.100633882108754	1.203995568049361	1.1789935996650156	1.0800270292199823	1.1494887610952509	1.1420529502876333	1.132107065708286	1.2717943300645802	1.1832249649970479
185000	2.5297324923034683	-10.996827851915603	13.526560344219071	1.1272391513519295	1.1779809898715559	1.2053242196176044	1.1354385191756493	1.2183365146129035	1.1932866380772849	1.2247914847547987	1.148136451510251
190000	-0.1921470156703915	-10.755861309321604	10.563714293651213	1.1377836004720925	1.2368004918923898	1.068729336733452	1.0891965620535036	1.1274554540091168	1.0676102241187342	1.208722268490939	1.1504612759805952
195000	0.9061550764225075	-10.879932076782467	11.786087153204974	1.2317689550942608	1.1491782250281821	1.1131267770042435	1.214473199639425	1.1498783859047648	1.1231646534793813	1.174312629265563	1.2767204059435031
200000	-0.8744463738431687	-10.887815496440789	10.01336912259762	1.1008827937479357	1.2811464115058109	1.0683999691619652	1.2330899464572613	1.174587215131179	1.1373204980539842	1.0940259253541902	1.1512604390771726
