#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.1339635654394 1.15113645321318</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.27329760367755 1.21442122708989</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.17909818666432 1.16765809213581 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp27:0.856865205,sp24:0.856865205)nd22:0.8888319929,sp22:1.745697198)nd21;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp22" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp24" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp27" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp22=1,sp24=1,sp27=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214796.3936183895	-7.75709919601008	-214788.63651919347	1.1339635654394	1.15113645321318	1.27329760367755	1.21442122708989	1.0E-10	1.17909818666432	1.16765809213581	1.0E-10
5000	5.170156730164299	-7.630059844805496	12.800216574969795	1.2197248607162374	1.0882112344819665	1.15598713544389	1.1106735225424043	1.2181544850928592	1.1518513509533017	1.1125836834272569	1.1323228372807348
10000	4.414622846879625	-7.649912620401369	12.064535467280994	1.227787655074124	1.1002975050042643	1.2221469985085396	1.1870467363241748	1.2559327144441088	1.1612585179484407	1.1917940089088068	1.1457434239729087
15000	0.8017264704883607	-7.681372132814663	8.483098603303024	1.2322720359141772	1.0329899159917986	1.2611065725649802	1.2297750453441578	1.2097209675713474	1.1601054701505762	1.2434208216026525	1.1776180996429197
20000	-0.03352325402657019	-7.293411406191434	7.259888152164864	1.2172508064315721	1.093142759472697	1.1599313741761033	1.1967998900003407	1.1326885003455873	0.9757952042096547	1.2281365383750353	1.1848365340296116
25000	3.573121492524	-7.426940542985094	11.000062035509094	1.2515562835972167	1.0985810032332197	1.158901163039454	1.1597405510712222	1.157030788734991	1.0528691156765508	1.1923249786601746	1.0939760370651437
30000	0.2652869485957625	-7.593159812149106	7.858446760744869	1.205220251979456	1.0925306926926643	1.3015342595163506	1.188158017602572	1.1922386727089525	1.128676456495998	1.3032161085332938	1.229127255359283
35000	5.499217610807165	-7.7286153838111495	13.227832994618314	1.1961811370101116	1.2187957212256866	1.213755009702678	1.2286773395069692	1.178918667040707	1.1823290604443815	1.1197506036182925	1.1538309412207983
40000	1.9708112905213744	-7.764929546234101	9.735740836755475	1.1594721580641945	1.1571265946005647	1.2639395784096719	1.273812817407285	1.204283734590536	1.0906959133920455	1.0738014117087673	1.1227196936987431
45000	3.3436515325132143	-7.452689169532092	10.796340702045306	1.176179260743219	1.0644850625550357	1.1177224175128966	1.0958661817675233	1.2732023987352699	1.1388696840716777	1.2010285876332973	1.1928673324618728
50000	5.783175162092473	-7.576768790573453	13.359943952665926	1.0859832550829969	1.2067226530439956	1.197331348289875	1.1542709843694436	1.1792332403705252	1.1858454014807318	1.2045173116131	1.1974119249244635
55000	4.319644504389756	-7.583814498291617	11.903459002681373	1.057869014810885	1.0962366928450795	1.153677657320756	1.1774911632795304	1.2495284426533448	1.169711452868856	1.170615689882688	1.14987858132238
60000	3.936570873890214	-7.4431752916217535	11.379746165511968	1.1888684620318863	1.0752843706624058	1.0992921080146092	1.1962531269315388	1.2472882755714096	1.1481002228067325	1.2251637301051466	1.1136345911235794
65000	5.986622840446432	-7.567440389175782	13.554063229622214	1.1306400388421807	1.1703115340513959	1.2230730776516283	1.1774023547733772	1.1945590589287023	1.0932891740075066	1.1600785971292453	1.1198662070773333
