#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.24639700336923 1.17921140735619</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.15963554593814 1.26123125197409</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.17590363924571 1.09683282312895 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp142:0.1588042743,sp143:0.1588042743)nd142:0.6231603803,sp141:0.7819646547)nd139:0.01610327925,sp139:0.7980679339)nd125:6.397807055,(((sp144:1.232526701,((sp146:0.07576088262,(sp150:0.05386994863,(sp151:0.04141560078,sp152:0.04141560078)nd151:0.01245434785)nd150:0.02189093399)nd146:0.5224491531,sp133:0.5982100358)nd144:0.6343166656)nd112:1.071009385,sp131:2.303536087)nd102:4.204312325,((sp147:0.06022082289,sp148:0.06022082289)nd145:0.8551269708,(sp134:0.4898299788,sp135:0.4898299788)nd138:0.425517815)nd135:5.592500617)nd27:0.6880265781)nd9;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp131" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp133" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp134" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp135" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp139" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp141" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp142" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp143" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp144" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp146" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp147" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp148" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp150" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp151" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp152" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp131=2,sp133=1,sp134=1,sp135=1,sp139=1,sp141=2,sp142=1,sp143=1,sp144=1,sp146=2,sp147=1,sp148=1,sp150=2,sp151=2,sp152=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214819.48304009964	-30.031178845875974	-214789.45186125376	1.24639700336923	1.17921140735619	1.15963554593814	1.26123125197409	1.0E-10	1.17590363924571	1.09683282312895	1.0E-10
5000	-19.13171101011976	-29.774964493534988	10.64325348341523	1.0857509290612553	1.2482693865510865	1.1616296197005187	1.10062755529317	1.2484197802893846	1.137233840977891	1.1494454635531068	1.248229606545775
10000	-19.197845616272527	-29.98341299982291	10.785567383550383	1.1287343016043645	1.219572128095067	1.1904921988389208	1.1536154820776812	1.2196079410737002	1.230472953524543	1.247988416093985	1.0629122981207577
15000	-19.36016739058908	-30.036386158706858	10.676218768117778	1.1441407342413301	1.255100576580353	1.28739660462303	1.160746473329213	1.2092511469831628	1.0937068625549382	1.1689056776801616	1.124075933425893
20000	-20.047479832604054	-30.496105371362887	10.448625538758833	1.20040476489348	1.167933423538487	1.2549171094907756	1.2225506473831234	1.1570115002617456	1.243544221550582	1.1929132233154827	1.271496609871334
25000	-17.345810116011048	-30.307741865613963	12.961931749602915	1.125838419839616	1.145163521433343	1.1971681509168701	1.1681125433284445	1.1087906602777782	1.1233824835155937	1.1354877705367712	1.0667519366716118
30000	-17.9612741828304	-30.049127522546488	12.087853339716087	1.1868916527792261	1.1844312953621228	1.1977625794530165	1.212578446906352	1.085170250463835	1.2035723785256436	1.2544141217339209	1.1336574570035147
35000	-17.168711764150352	-29.56496610961628	12.396254345465927	1.2447954896694668	1.2256459386332343	1.1155691292659882	1.1256021094980533	1.1485937894283877	1.1561036828518723	1.129249352095826	1.2329669555777298
40000	-20.39635668265657	-29.8762667440467	9.479910061390129	1.0891474913156471	1.1443710593894938	1.015487988844465	1.2353894656208855	1.1178419572500593	1.1856000024059903	1.2026678044725132	1.1233502692758652
45000	-16.077808842095713	-29.7736368556477	13.695828013551983	1.2128776362184963	1.1871697020779959	1.169252665534635	1.1852557322438646	1.1962700902418473	1.1620429890602986	1.2258807620748087	1.1187728023837926
50000	-18.818594418889365	-29.604316957789795	10.78572253890043	1.1333217056110403	1.136592830754362	1.0879889249465138	1.090561343094715	1.213780813960585	1.0877270459221136	1.1947753190263173	1.2640680584011754
55000	-16.313334395766663	-29.9445900786655	13.631255682898836	1.1172751535155723	1.136817726286111	1.1120332021037278	1.1197226082651224	1.2314274358934525	1.1708322444384773	1.1802435236282833	1.1772277583790982
60000	-16.78572929835954	-29.706745303367107	12.921016005007566	1.1872890866285135	1.229175451533929	1.1061136656511341	1.220488863852517	1.1078693525424754	1.2009630822457815	1.1719081563160225	1.1751065497366384
65000	-18.66319990471417	-30.47252832041351	11.809328415699342	1.1479074132954319	1.1047287612496681	1.2663298442340658	1.1011102176302772	1.106261394038568	1.1463182953583142	1.2065157874067198	1.2017058117812807
70000	-15.6399592545553	-29.914377060153893	14.274417805598592	1.1892329471698606	1.1292172366556592	1.1369003372568036	1.0949684596344809	1.1573971306891504	1.1923872639298492	1.1581196982427266	1.1615338437905793
75000	-17.804992951123253	-29.541267039498994	11.736274088375739	1.2279192814370707	1.1679478170810733	1.0926743261125462	1.051697436042671	1.2102882405618385	1.1457537901648362	1.1672248407194872	1.169490441385268
80000	-19.203587068782433	-29.920685898581922	10.71709882979949	1.1410311005526164	1.1535477072582645	1.0738164295311188	1.2372937416653227	1.2939318526824597	1.1448683659100503	1.1377643446277907	1.1322393549130207
85000	-16.594926478052884	-29.93430546759287	13.339378989539988	1.1674120968812123	1.2128694480330886	1.2254451021517205	1.12403491410665	1.2205580242440657	1.1411844086033096	1.1501419731438132	1.1183082396797823
90000	-18.34102299151997	-29.362567045519043	11.021544053999072	1.212240176018659	1.270077101900062	1.1348610258698741	1.0872927465692954	1.0864141651303099	1.113506899515448	1.201758717831942	1.1606321534563575
95000	-16.921381338213287	-30.133544795887865	13.212163457674578	1.1551037153544448	1.1085566773606794	1.0905163412193755	1.2026847226300281	1.146231563997845	1.1741097010802195	1.1175599011224115	1.2169614721884316
100000	-19.33262140277657	-30.244895854495233	10.912274451718663	1.2256664829338109	1.116463687113351	1.1508242514248492	1.2159487857553062	1.1402522216765791	1.1450490866303393	1.02682009783805	1.188110116925712
105000	-18.23232139770651	-30.189292483546627	11.956971085840117	1.084582961731661	1.0985509322250782	1.1235411832355515	1.1396302355631118	1.1789147602215033	1.163546876016771	1.2556417270729003	1.213304258872912
