#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.14649508402442 1.2006915251428</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.09608124822773 1.11212458548131</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.12166726219242 1.15873596104071 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp93:0.8660151196,sp100:0.8660151196)nd102:0.1732257213,sp83:1.039240841)nd100:0.6502968491,(sp110:0.2323216941,sp120:0.2323216941)nd89:1.457215996)nd58:3.388811739,(((sp87:0.9815445588,(sp96:0.7421198351,sp97:0.7421198351)nd104:0.2394247237)nd94:1.500417458,(sp104:0.5210425911,((sp111:0.1970620078,sp112:0.1970620078)nd116:0.1952209663,sp107:0.3922829741)nd114:0.128759617)nd81:1.960919426)nd51:0.9390169932,((sp102:0.8881741322,(sp113:0.1418809416,sp114:0.1418809416)nd115:0.7462931907)nd96:1.877261691,(((sp82:1.047138119,(sp118:0.1032957552,(sp115:0.08031810076,sp116:0.08031810076)nd119:0.02297765449)nd111:0.9438423639)nd90:1.302783484,sp99:2.349921604)nd75:0.1870869541,(sp108:0.3258143153,sp109:0.3258143153)nd108:2.211194242)nd65:0.2284272656)nd62:0.6555431868)nd46:1.657370419)nd29;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp93" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp96" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp97" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp99" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp100" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp102" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp104" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp107" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp108" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp109" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp110" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp111" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp112" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp113" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp114" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp115" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp116" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp118" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp120" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp82=1,sp83=2,sp87=2,sp93=2,sp96=1,sp97=2,sp99=2,sp100=1,sp102=2,sp104=1,sp107=1,sp108=1,sp109=1,sp110=2,sp111=2,sp112=1,sp113=1,sp114=1,sp115=1,sp116=1,sp118=2,sp120=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214836.43310231972	-48.730833778463264	-214787.70226854127	1.14649508402442	1.2006915251428	1.09608124822773	1.11212458548131	1.0E-10	1.12166726219242	1.15873596104071	1.0E-10
5000	-41.49103277553444	-48.87440457851196	7.383371802977512	1.149375231889495	1.2936897781011603	1.0876096263459305	1.2170749948283908	1.1961416925073476	1.3286001900672642	1.152466183597001	1.2106979312873074
10000	-38.560653207209754	-49.7224456736159	11.161792466406148	1.0910119244271548	1.1979944546140666	1.1368487082729453	1.223527060722637	1.0710007516788713	1.2223169448732032	1.1140759870503638	1.1009469131051448
15000	-36.80981330326775	-48.43027250301958	11.620459199751828	1.3004893573607565	1.1631315416606816	1.1846021210635387	1.0886329865907147	1.136520746784159	1.1623864160453579	1.1527378963356991	1.1244721197696137
20000	-35.722266602467606	-48.648346906777356	12.92608030430975	1.2327169422785795	1.2064766659723047	1.1450915214606223	1.1401950261121643	1.2237787662834658	1.0921864573833981	1.1701929531180804	1.1486647954862537
25000	-37.07514658466645	-48.946029629099606	11.870883044433159	1.1943095197628886	1.153268493253956	1.1509450513687247	1.1264487465877497	1.112347623540701	1.0417877326089289	1.1801980265217142	1.1011707048934116
30000	-38.221825923596754	-48.31361359587782	10.091787672281061	1.210359889323565	1.164511429397088	1.0760471551572932	1.0906930831112223	1.0870385445177257	1.2374293783244292	1.244362842983565	1.106899220721693
35000	-42.253885238829184	-48.552489679186664	6.298604440357483	1.187873465996555	1.3510302716311697	1.1256372908346766	1.156144307975025	1.1516746393853416	1.1466852609833194	1.2876954503627254	1.276866640352002
40000	-41.50634862800478	-49.24868649484717	7.742337866842392	1.1795902316314324	1.122359597813009	1.2796029900054449	1.0181447441748832	1.2349030248402912	1.0734910354974432	1.187266787951297	1.1612774257192138
45000	-36.33462123169634	-48.49223507547351	12.157613843777172	1.221767932990959	1.2302239182033912	1.0868839322692474	1.1708227610903654	1.1884541951581742	1.1565839511775449	1.1889871431339363	1.2390304185135383
50000	-37.37504906367439	-48.68792916205637	11.31288009838198	1.1326545232173602	1.2851236904154717	1.0587846744165605	1.1747749339738491	1.1337676139891768	1.1644194045715006	1.1516515738377375	1.1838498353706663
55000	-39.73305239061274	-49.49865336867932	9.765600978066583	1.119272601311913	1.1516510156741107	1.1818960525939852	1.1449086487113207	1.118663120861075	1.2392945596460538	1.3249752585913486	1.2223171072710017
60000	-36.71672899583913	-49.45216681346794	12.735437817628815	1.1062945778804192	1.1553989182189128	1.1388056664772472	1.1611572103634762	1.1486401950817762	1.2316618392688015	1.1874282350918648	1.2569368201177276
65000	-36.12857722811316	-48.90268478885925	12.774107560746085	1.2078946877751382	1.2015332686115618	1.1481918302363712	1.1869898836931583	1.1820579688473636	1.1972665593981016	1.2456318247873646	1.223317060547169
70000	-42.17737177176497	-48.23783576596429	6.0604639941993215	1.3076457311287821	1.2985175586631115	1.1311117557021284	1.1664595629710897	1.0936191309081509	1.203773184133413	1.2794497854893665	1.235430395114372
75000	-35.85111792248848	-48.77682775210187	12.925709829613396	1.1508942657189989	1.2425606238145228	1.118547135198546	1.1301758201349825	1.1986909445949663	1.1540435833826903	1.1524839352054217	1.2394737404143477
80000	-37.55053598893353	-48.50748449750248	10.956948508568946	1.2014881161181108	1.2645850302650632	1.1524385355914	1.0890590320446143	1.1639113601634072	1.1822179617754638	1.1833674515187436	1.0558534415521665
85000	-38.50593250899172	-49.10191768379236	10.595985174800639	1.107743291775679	1.2200643832112137	1.148448135094939	1.1257419222662095	1.235114500131771	1.2537195228577966	1.2492335758595616	1.1005817157857993
90000	-37.23344098357994	-49.200357334077545	11.966916350497604	1.122104733407937	1.1626041392785116	1.131101027879571	1.1306467420319035	1.1202309956012628	1.2784837241322302	1.1335781159045373	1.0900791182920468
95000	-39.10330147166869	-48.55637819019272	9.453076718524024	1.2118702612934222	1.0778895005893405	1.0814764595261708	1.073821444435565	1.1596301767626471	1.1617209318949075	1.0388875803267688	1.151672593106874
100000	-37.00595128774158	-50.014129281880585	13.008177994139007	1.0948722806321671	1.1333457260276807	1.2445613468478873	1.123713486956075	1.1371669325184475	1.1574994983226594	1.188424725377516	1.117537792430648
105000	-38.18998794069901	-49.192823330166654	11.002835389467645	1.088758992417596	1.1706339798697014	1.1150507989162455	1.109703314294603	1.071671975193776	1.205048249886247	1.1088867654013315	1.0788126423454527
110000	-35.5012502920951	-49.015994137444864	13.514743845349763	1.150427791368475	1.2271843297231564	1.1416765774070081	1.155271388903498	1.191238102013173	1.1992819049640377	1.1270409208222614	1.0944384758589292
115000	-39.08199324002739	-48.400734548052924	9.31874130802554	1.2469494969822932	1.1659227483523165	1.1274594318677353	1.0789233235903763	1.1740933186281124	1.0662977769221635	1.2471342807735475	1.0673996831306287
120000	-37.81164795694721	-48.67080801000866	10.859160053061448	1.195613860071973	1.1744441094921565	1.113092017033605	1.127605751327845	1.1950356429989277	1.1833191383911403	1.1701727581908465	1.3244957657239387
125000	-36.20050201386729	-49.241414689476784	13.040912675609494	1.1377191207449817	1.1902992482067134	1.1584394037295684	1.1553960742032945	1.1560865861539802	1.1881213095034862	1.1724925536659818	1.0481588914199516
