#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.07924382548988 1.20520829116689</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.18751748137183 1.15316303397876</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.15732831487721 1.07153976542325 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp113:0.05420253982,sp114:0.05420253982)nd113:0.02852230808,sp110:0.0827248479)nd109:2.308901259,(sp93:1.596528919,((sp106:0.3239348979,sp107:0.3239348979)nd112:0.3674586742,(sp111:0.07700175734,sp112:0.07700175734)nd111:0.6143918148)nd104:0.9051353468)nd93:0.7950971883)nd78:1.080420131,(sp100:2.766725725,sp85:2.766725725)nd74:0.7053205127)nd68;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp85" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp93" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp100" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp106" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp107" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp110" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp111" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp112" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp113" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp114" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp85=1,sp93=1,sp100=1,sp106=2,sp107=2,sp110=2,sp111=2,sp112=2,sp113=2,sp114=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214811.53424998996	-22.606164959002104	-214788.92808503096	1.07924382548988	1.20520829116689	1.18751748137183	1.15316303397876	1.0E-10	1.15732831487721	1.07153976542325	1.0E-10
5000	-10.845857819731243	-22.717675813415763	11.87181799368452	1.139716626293275	1.2375301581866813	1.2269362772600592	1.231787226332883	1.2525626107778325	1.1510134394314928	1.1462343084756543	1.1563830132046786
10000	-9.97645679756873	-22.3336927291209	12.357235931552172	1.155751453280455	1.2324233772720572	1.2170669960020153	1.0633127346101092	1.1577221171998506	1.1618349453804275	1.1399746884881525	1.2040408227223383
15000	-8.865917499015035	-22.65821366611766	13.792296167102625	1.1662424829929836	1.1510808667511019	1.1508078075411718	1.1497895395421558	1.0831157545190846	1.1666009059921518	1.1801437059400866	1.2243179151287091
20000	-12.158867598796101	-22.254611963444273	10.095744364648171	1.0800405730872722	1.19062756759155	1.087373490190771	1.0575340176310204	1.1987645480309108	1.1572961704119546	1.1625207536216449	1.063741349354446
25000	-9.28927709262079	-22.47096869235205	13.18169159973126	1.1914729941808253	1.1843454809191676	1.1052072530917105	1.1455348412909339	1.170859048149517	1.1463703229094995	1.2057487070594428	1.250609217570404
30000	-8.119364479806876	-22.63816087446038	14.518796394653503	1.223013034760335	1.1446848108060288	1.1388986894827153	1.1428050109860772	1.1601006007844092	1.1245158213804831	1.1657338510924744	1.1522146447458521
35000	-8.31602316920873	-22.769723363723983	14.453700194515253	1.1497308087981515	1.1406880213182151	1.1504087047715144	1.1773133806918936	1.2304264715845388	1.1334543753023245	1.1668626609546031	1.1467437010617336
40000	-8.984857397497079	-22.467884336327625	13.483026938830546	1.2368065198726335	1.2028321785706269	1.124589626393371	1.151203077958447	1.1561835101664069	1.1674437927383199	1.1208736389693266	1.2115474079585364
45000	-10.250321649423938	-22.515908115965136	12.265586466541198	1.1127416617594645	1.1499625156683342	1.1269002282068443	1.0879637344694422	1.2125048169712696	1.174351285687452	1.0882629777547177	1.0959242292710378
50000	-11.66003730890999	-22.495934336065766	10.835897027155776	1.201841715509886	1.1877388763438141	1.0953434249926632	1.1595414522707461	1.1059428396858437	1.0768830870726993	1.091302568489876	1.2572885697276988
55000	-7.807440828481912	-22.635352714394184	14.827911885912272	1.1408562359637549	1.1705521269808785	1.1693646430754978	1.14914063785992	1.1626024511296036	1.1475984197255025	1.185451712490966	1.2100762041064885
60000	-11.87390957308832	-22.616737130505516	10.742827557417197	1.1069036298324313	1.2812850189427132	1.2580314314394176	1.222215232567412	1.173562249028767	1.187140525394725	1.1843287705473045	1.1840858396039022
65000	-10.637334218698216	-22.83780987087105	12.200475652172836	1.2412172576671892	1.07551339593261	1.1184370530268166	1.151551124239429	1.1436623166530437	1.2309849344441972	1.1507664142436773	1.1294433426028676
70000	-9.379979884180287	-22.337633443175513	12.957653558995226	1.1242763039398243	1.2127935568585162	1.1129685042962354	1.1099825714672156	1.1330605172516792	1.2202356568929762	1.135644804951888	1.215478914580998
75000	-12.51906313035644	-22.230307622670228	9.711244492313789	1.214026812071124	1.2558975276225834	1.134003917001318	1.1015569987830045	1.2774066454545232	1.201869966036735	1.252960729503502	1.1639992818423541
80000	-13.59288962046839	-22.869603138240294	9.276713517771903	1.0940471463180683	1.0688732006370716	1.0606227773545505	1.1691349480278517	1.091062678791979	1.1958490052174673	1.1548352449784667	1.0580022857555795
85000	-14.568263488773173	-23.31072229723926	8.742458808466086	1.1364619275495602	1.0753980433684365	1.2185398473587055	1.2149683160541622	1.2102910949127583	1.2039383618748698	1.036399620758874	1.2590525960560133
90000	-10.504021362814893	-22.709901424605476	12.205880061790584	1.1922594559284452	1.1765762367139432	1.2581324411055628	1.1353484805181544	1.0934214579757136	1.191091898242218	1.182718393942557	1.2279354013641257
