#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.26414735047704 1.19373135327636</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.21813668914945 1.15715685955904</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.18345494490893 1.18165558042943 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp54:0.5441096661,(sp61:0.1396050097,(sp62:0.136867443,sp63:0.136867443)nd64:0.002737566693)nd61:0.4045046563)nd57:0.4415391533,((sp64:0.1007211581,sp65:0.1007211581)nd62:0.435932448,sp55:0.5366536061)nd59:0.4489952133)nd50:1.957796844,(sp50:0.6235185841,sp51:0.6235185841)nd60:2.319927079)nd36:3.503993493,(sp56:0.5110840737,sp59:0.5110840737)nd52:5.936355083)nd13;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp50" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp51" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp54" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp55" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp56" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp62" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp50=1,sp51=2,sp54=2,sp55=1,sp56=2,sp59=1,sp61=1,sp62=1,sp63=1,sp64=1,sp65=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214812.6730649787	-24.07479044187119	-214788.59827453684	1.26414735047704	1.19373135327636	1.21813668914945	1.15715685955904	1.0E-10	1.18345494490893	1.18165558042943	1.0E-10
5000	-12.567876060605183	-24.52387390898971	11.955997848384527	1.070327829994008	1.2146274120199292	1.1540540063827893	1.164712275705712	1.1223496590709099	1.1604412827321102	1.1209864777827188	1.2572587962188404
10000	-14.193419477358207	-24.345258386225122	10.151838908866916	1.258376383132723	1.1503842070211991	1.276213014982559	1.185912140154135	1.2260214734353116	1.2517613438467425	1.1795026568794882	1.139179945438764
15000	-10.610253301334858	-24.115317881729297	13.50506458039444	1.1759352891398052	1.2088271058795952	1.1572557327495352	1.086140415107652	1.1861887283006423	1.155913673255699	1.125577047464686	1.1082774914539024
20000	-18.22903234423533	-23.895702487751613	5.666670143516285	1.351922624964591	1.3032140300294763	1.241448838103089	1.1729185292983206	1.1657525772054425	1.1375194899531174	1.2204358403843323	1.093605856399013
25000	-12.012670447849725	-23.99689229469753	11.984221846847806	1.2272340368823242	1.1932155339455384	1.1755359155573262	1.0514458331029268	1.1890539863088443	1.2153496965557689	1.153780922734269	1.1343914577797658
30000	-14.94954223326851	-24.313002284251954	9.363460050983445	1.2070276504249087	1.2332495526699376	1.1752522463466797	1.1840649992029992	1.2522271889595398	1.133194078075737	1.0164331597374154	1.1354235821200602
35000	-11.80984338904171	-24.21971497345766	12.40987158441595	1.1326085452235102	1.208333519325624	1.2066508083845786	1.0606589801509678	1.2191043152038437	1.1463661215342045	1.1877823783538215	1.1659968462529695
40000	-12.831325080872535	-23.91749148236981	11.086166401497277	1.3010045649308777	1.1949692879087974	1.1500066753260305	1.1969943184632224	1.1179966944444077	1.1838486714651806	1.1813791213807803	1.0865115240131664
45000	-13.17210336484953	-24.705108196862103	11.533004832012573	1.0836733690673215	1.0889731783762322	1.1361143880350202	1.2331381923811702	1.1976909390925132	1.1044641211877824	1.2269761890147728	1.1439281377604225
50000	-12.88295376258068	-24.716793396861217	11.833839634280537	1.098215145401221	1.2126190565797395	1.2688649621387427	1.1568826801194956	1.1818625221116204	1.1494924037300083	1.135761073355054	1.0884945047432577
55000	-12.308509295243539	-24.283397966071586	11.974888670828047	1.2431478886788099	1.0928753703721747	1.177536613124521	1.1765595841491894	1.1567441113494594	1.1693486317377073	1.0837756966531331	1.2328407077853263
60000	-12.267768654551126	-24.541763675343397	12.27399502079227	1.162327858062874	1.1077188546578307	1.2402857711415942	1.1350454993453805	1.075826949508517	1.1468981684369302	1.1408557838439832	1.099503428492071
65000	-13.26657906487603	-24.531509177193733	11.264930112317703	1.1351262500217827	1.137017509864766	1.173833869436968	1.2051707961680975	1.2202843819286138	1.0880726226651152	1.146560088199174	1.2904324497037056
70000	-11.884134439575346	-24.10085650516852	12.216722065593173	1.1138250460513965	1.117135622558462	1.0734998989089675	1.0657082968007654	1.1530749705926717	1.1692955576815605	1.15824926505827	1.171215633152297
75000	-9.915383695074768	-24.21659420097579	14.301210505901023	1.193339901495044	1.129392348061253	1.151249618563765	1.1496666724810525	1.1915239407484772	1.1287960890692477	1.1173332817093602	1.1197211260951179
80000	-15.621203132781144	-24.247285832197417	8.626082699416273	1.2910755070102173	1.2007548643870791	1.3001667588800316	1.1570369911337008	1.1387520123914765	1.1163240557541618	1.111421237412899	1.2382830360779158
85000	-11.067743709191854	-24.11191710168957	13.044173392497717	1.1509833554546893	1.224562400892944	1.1157565081922391	1.175065767152335	1.225652141960536	1.098950143617373	1.1981003456798294	1.1460675870752544
90000	-15.451238856599163	-24.088720192849735	8.637481336250572	1.1026122814039916	1.2800234906360286	1.1087366164728012	1.0822378437783682	1.273131769673244	1.1711412820414175	1.2002301347153168	1.2417130910322485
95000	-10.748710710143413	-24.0948402080266	13.346129497883187	1.1345211612913244	1.24133866206637	1.145428738108116	1.096941028629636	1.156304863546786	1.168525163492982	1.210860785033093	1.1683596399453113
100000	-10.96121106330483	-24.378966416081592	13.417755352776762	1.1703065038543705	1.1507014815122492	1.2233499327899497	1.1288026562549685	1.0871930189788284	1.2065549880638495	1.1507910421802676	1.1329994594146637
105000	-11.337894662827612	-24.258108059770283	12.920213396942671	1.2241278345327293	1.2094941076845114	1.2356948764556792	1.171231637123242	1.116544046626182	1.1644273497665474	1.140972048681278	1.2094828950513612
110000	-10.655668242578173	-24.147367882180006	13.491699639601833	1.2018943575573566	1.1823194288561327	1.1081555763806517	1.215265085355118	1.146246562669076	1.1998722429686899	1.12031225444691	1.199857211606434
115000	-10.724203478816293	-24.29879156461836	13.574588085802066	1.1912321020250527	1.167537631130359	1.1884366773631088	1.2033151866986518	1.1348395023674729	1.1594573687336032	1.18224647168059	1.0756889107334369
120000	-11.261671404861094	-23.976650058287678	12.714978653426584	1.1760376216425352	1.1607199679885931	1.1229388871486026	1.1013999554550291	1.2187311028323051	1.1088311053388213	1.2452430634113076	1.1704572067762284
