#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.16419209804301 1.13894541364442</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.19791897584531 1.16840748960573</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.2454093452124 1.18113918556729 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp101:2.891982294,sp100:2.891982294)nd92:6.824769808,(((sp135:1.303047051,((sp157:0.9391271864,(sp167:0.2011787265,(sp172:0.01567638463,sp173:0.01567638463)nd172:0.1855023419)nd164:0.7379484599)nd161:0.04292021036,sp168:0.9820473968)nd152:0.3209996546)nd120:1.129772857,(sp143:2.275179097,sp150:2.275179097)nd126:0.157640811)nd113:6.216679384,((sp140:4.92744113,sp132:4.92744113)nd58:1.607179544,((sp163:0.4352165482,sp164:0.4352165482)nd167:3.010657392,(sp123:1.67943588,((sp170:0.05111197067,sp171:0.05111197067)nd171:0.161635609,sp166:0.2127475797)nd169:1.466688301)nd119:1.76643806)nd94:3.088746734)nd29:2.114878617)nd9:1.06725281)nd4;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp100" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp101" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp123" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp132" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp135" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp140" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp143" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp150" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp157" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp163" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp164" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp166" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp167" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp168" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp170" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp171" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp172" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp173" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp100=2,sp101=2,sp123=1,sp132=1,sp135=1,sp140=2,sp143=1,sp150=1,sp157=1,sp163=2,sp164=2,sp166=2,sp167=1,sp168=2,sp170=2,sp171=2,sp172=1,sp173=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214839.09151627962	-51.43389821407537	-214787.65761806554	1.16419209804301	1.13894541364442	1.19791897584531	1.16840748960573	1.0E-10	1.2454093452124	1.18113918556729	1.0E-10
5000	-37.8749113039983	-50.85980488625373	12.984893582255424	1.1510486868394851	1.1140061111971693	1.0938940061608313	1.1394798490178244	1.1903907498596662	1.0961856505704055	1.2190795998232995	1.187415984936083
10000	-42.60148557072887	-50.79493874647511	8.193453175746239	1.2247998329303282	1.1034340493238644	1.1608197501597473	1.0784922952697455	1.0458726941196719	1.0871646461962483	1.2379402768036454	1.2565561111890475
15000	-38.84585119228223	-50.78251028824957	11.936659095967338	1.2995871741226563	1.1218545748006394	1.137217804797458	1.1211589746781065	1.1279099114851825	1.152018665858802	1.1306785115642035	1.1830178024472295
20000	-39.79357112966245	-51.37791972394688	11.584348594284428	1.1900229115962853	1.179470684082524	1.2116016225139477	1.2106908835939503	1.09102274926369	1.0836151139230321	1.0742003314712318	1.136548089262093
25000	-37.76165708457383	-51.23203378293986	13.470376698366033	1.1515363607343838	1.0836401476675515	1.188860416135099	1.10103602472697	1.1314833111492673	1.1942183163603173	1.1344849271011515	1.1550261696659243
30000	-42.19968513746465	-50.485101845989725	8.285416708525077	1.1404896563724667	1.167771040149903	1.072568871294768	1.0551792186835665	1.03794238028645	1.0761592705236696	1.1200662682952969	1.1111368129835297
35000	-36.94133326098442	-50.965960768710495	14.024627507726073	1.2404873695095207	1.1671336081073522	1.1580016049437427	1.1744809999119676	1.113851952223157	1.180255154009159	1.1414156236421373	1.162126500695918
40000	-38.46636252852705	-51.15466362235627	12.688301093829217	1.1524776174563442	1.2538046432580807	1.1603978939193367	1.2249743237025963	1.1768143204177497	1.1260351510972162	1.189351821023201	1.1007813453323505
45000	-39.64482248931234	-51.01702761266872	11.372205123356382	1.1598548262299668	1.1829503113877462	1.0774988531954914	1.246980347641702	1.0648481086387933	1.1120674582054884	1.1621268018140554	1.1393952525382673
50000	-39.38071306716125	-51.28995481985105	11.909241752689795	1.160921304998742	1.1864815395182644	1.232118061828462	1.1578279531287923	1.0844120600551623	1.071353735009173	1.1030032167793093	1.1414164293933065
55000	-39.762302548942216	-50.95756116508634	11.195258616144125	1.137522710823627	1.0783401234998997	1.186366440056197	1.0471355672756868	1.1943745129061392	1.1084409766417236	1.135566682313678	1.204047205913393
60000	-37.7067308280297	-50.90440008482361	13.197669256793908	1.1221926278855052	1.1275731137036993	1.0658609416985039	1.1666881227333297	1.1390230679532394	1.1886568973508214	1.1912646061711125	1.131091942618388
65000	-39.592442895559735	-50.98839777674693	11.395954881187194	1.0537980334266706	1.1916992557972415	1.0829690792087259	1.1615513074276567	1.138477618838524	1.1798845728472545	1.2325880091849646	1.201232440739167
70000	-41.084757191597205	-50.75211149956239	9.667354307965184	1.1513493526400664	1.2734703041460762	1.1871514296755676	1.024858715538414	1.1599719950807303	1.0968488408960626	1.1962303969463939	1.1722119741754058
75000	-38.99767978697055	-50.91778134599303	11.920101559022479	1.2442493246208124	1.2442186812599028	1.1735974739238813	1.1168405897555655	1.1766617644248267	1.2246663449111692	1.1838758735800146	1.214317995718848
80000	-38.57229245157808	-50.98137566571842	12.409083214140338	1.122520918679681	1.1845586210070231	1.1820401566384529	1.0951563434569491	1.1002499027157233	1.257773700263016	1.1698656942989731	1.1851060840113867
85000	-37.4752855031286	-51.08988339163501	13.614597888506413	1.1612803034936474	1.2097220794329202	1.1765429012041684	1.1628338644680074	1.174888041563332	1.2488856324002158	1.119685983408395	1.1614411551972879
90000	-37.44707671153025	-50.87310012210679	13.42602341057654	1.1526728239774136	1.0771996043830738	1.1000932517561066	1.117072899241977	1.1693534349820274	1.1524498921807194	1.1794674726038212	1.1719717418670301
95000	-40.389449871875655	-50.9592679000235	10.569818028147846	1.2524028061389496	1.2145721677204488	1.2093156229105864	1.118006211770869	1.232198666348924	1.1543257657315384	1.2684522187718468	1.122383194530479
100000	-42.40188662502289	-51.7910022782287	9.389115653205813	1.1683789761670251	1.0431833993706585	1.1690907377173807	1.1889434603760132	1.1913413616702069	1.1834124934300418	1.0803223709571828	1.294146304701477
105000	-47.580580332322796	-51.25049342736269	3.669913095039898	1.2949114182644899	1.274790440907835	1.1821284702383095	1.2756775360686121	1.1407077381660427	1.018028119218806	1.2840000120811004	1.17636880825531
110000	-37.703622270380464	-51.3820711648594	13.67844889447893	1.1837155717687402	1.0852979014567452	1.1919606670564107	1.1461051177983752	1.1652484886668175	1.149296123158998	1.223471797893286	1.1644964254317443
115000	-37.5520331405279	-51.067950886895325	13.515917746367425	1.1786866878708033	1.204273181448213	1.1835514308131323	1.1686627659273203	1.103135055516998	1.1764019446450966	1.1084078836993092	1.1010351920935146
