#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.18356933810895 1.16572367258255</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.23392620120146 1.29470833123848</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.19715302158432 1.27983627119102 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp82:0.7111801551,sp96:0.7111801551)nd78:2.922524407,((sp78:3.101822613,(sp53:2.592343229,(sp88:1.042457698,sp86:1.042457698)nd84:1.549885531)nd51:0.5094793843)nd47:0.07694310628,(sp93:0.8749193279,(sp97:0.1686082561,sp98:0.1686082561)nd94:0.7063110718)nd87:2.303846391)nd44:0.4549388427)nd40:2.804006833,((sp72:2.311546739,(sp90:0.4693972373,sp91:0.4693972373)nd80:1.842149501)nd59:0.3051260454,sp59:2.616672784)nd56:3.821038611)nd15;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp53" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp72" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp78" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp86" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp88" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp93" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp96" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp97" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp98" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp53=1,sp59=1,sp72=1,sp78=2,sp82=2,sp86=2,sp88=1,sp90=1,sp91=2,sp93=2,sp96=1,sp97=2,sp98=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214831.17669650126	-39.40747454393004	-214791.76922195734	1.18356933810895	1.16572367258255	1.23392620120146	1.29470833123848	1.0E-10	1.19715302158432	1.27983627119102	1.0E-10
5000	-23.92117311037976	-38.620938507754836	14.699765397375078	1.141015215785021	1.198552302283275	1.1751807342383507	1.1746127272269802	1.1898737707034763	1.1787596906032685	1.1379679963163203	1.1867009649166607
10000	-27.034752210314483	-38.207400387756714	11.17264817744223	1.1996029666392938	1.2472642142939625	1.1825660398392495	1.048867638126298	1.2118054427492682	1.2151470415384522	1.1524955209515406	1.1666162916792195
15000	-27.456788625420472	-38.74710655046086	11.290317925040393	1.0802700821750912	1.193512781762961	1.2664647716754585	1.0943064623777323	1.1678240137980502	1.0959615201423356	1.184364182881586	1.167087633175556
20000	-25.79050271451478	-38.197559472639455	12.407056758124675	1.1874351665194702	1.2075600089878735	1.0560199565992774	1.1513110455935514	1.190223139202822	1.1233925581872455	1.129170417791099	1.208571315388595
25000	-25.35672875397221	-39.04541400783948	13.688685253867273	1.1633898891020804	1.1058099861930295	1.206632811140336	1.1927851537907446	1.1411568233926408	1.1203422792468747	1.2079534846898217	1.1943101308018618
30000	-26.50692328224609	-38.44092089483097	11.933997612584879	1.1288622259079337	1.0831581230655147	1.1183058033910225	1.1090344078213203	1.216260567644399	1.1678938094117377	1.251985730640179	1.1882232094144298
35000	-26.21870840735339	-38.03929363007833	11.820585222724944	1.1101531009576628	1.1377477770215145	1.0994814190100408	1.0397829657264763	1.190984584111694	1.1845270946557114	1.1632375246183972	1.1506622057333056
40000	-24.379977617418582	-38.632560044251136	14.252582426832552	1.0921486170746368	1.181760964320428	1.170306972001599	1.1561291174190296	1.1156133856181898	1.159218407173171	1.1415994884073004	1.143663860303685
45000	-25.872259203461645	-38.770852748414775	12.898593544953131	1.0814260258932304	1.1828754166605528	1.138227104056353	1.2116920747549536	1.0963883066579807	1.1368800888419928	1.1648052790252366	1.1129384127822997
50000	-25.65179943155929	-38.598012418900595	12.946212987341305	1.1384440679567058	1.0847024813964157	1.0922884302570903	1.1820208335721167	1.16090109431089	1.2171612258747078	1.1676577211722805	1.1174000350765145
55000	-27.447363884967604	-38.61729914414127	11.169935259173666	1.259729844941222	1.163949728076472	1.162584120093244	1.194799858073864	1.1877564613591263	1.1118422969918775	1.1356953618720864	1.045423892150384
60000	-30.875551191024993	-38.94752229498988	8.071971103964888	1.1042633396872825	1.060870849178589	1.242429892290127	1.0884452557378452	1.1003944866181123	1.297769562747545	1.2148151746559992	1.1720598140516696
65000	-25.005275734266167	-38.26559861609927	13.260322881833101	1.176723765740673	1.158209511618469	1.0917694084798968	1.1261277627005009	1.1398542416288069	1.1384602229552254	1.2396403939499359	1.1975358200446786
70000	-27.885293427188227	-38.1463948840273	10.261101456839075	1.1853630778935624	1.0841675765026013	1.103945346332148	1.0545804183195855	1.120498880825679	1.2281232800874426	1.0849845284656026	1.1910481131776895
75000	-28.620508323126696	-38.50988800804526	9.889379684918563	1.2332755312997576	1.341059784887952	1.187869041815376	1.1796496646173902	1.1715606313079296	1.1951615173724823	1.1347801053497468	1.1489837441804065
80000	-26.128281979789563	-38.411481740450675	12.283199760661113	1.1940099948568785	1.2064143156000404	1.1376743505071165	1.1577680205001801	1.119796577538111	1.269401034076175	1.097672207032138	1.1348241459786708
85000	-28.818222832156536	-38.25878198396939	9.440559151812856	1.1665705264103503	1.310537824016372	1.0787418827808477	1.1518198000038185	1.159767123648787	1.0629238900995097	1.2067875480341694	1.1842461403500193
90000	-28.31873784344299	-38.08918975429102	9.77045191084803	1.23246622704598	1.1626695441928063	1.111297848552543	1.0234801967772236	1.2055048966489712	1.1035190381794218	1.210064526204634	1.20388440088933
95000	-25.87686355170387	-38.577876362356086	12.701012810652218	1.1309616987913929	1.1475636223480035	1.1946011562753733	1.1111218592953014	1.2636916863829326	1.1664948755069107	1.2186545978649699	1.1437894305452847
100000	-26.320128272038424	-38.28934783042984	11.969219558391416	1.176722843176271	1.187115110054311	1.1200041372795326	1.129725991204173	1.091044340150931	1.2775872272692603	1.2023554491090669	1.144848951489418
