#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.23093468385113 1.24378964554333</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.14544312007538 1.18647196319959</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.12867800865874 1.10940707762341 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(sp97:8.153602923,((sp103:0.1809264074,sp104:0.1809264074)nd102:0.4644860669,(sp101:0.4055118508,sp102:0.4055118508)nd103:0.2399006235)nd99:7.508190448)nd25;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp97" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp101" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp102" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp103" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp104" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp97=1,sp101=1,sp102=1,sp103=1,sp104=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214803.61077381772	-14.973401121745447	-214788.637372696	1.23093468385113	1.24378964554333	1.14544312007538	1.18647196319959	1.0E-10	1.12867800865874	1.10940707762341	1.0E-10
5000	-3.7140542250431885	-14.995473569340298	11.28141934429711	1.1850440640143824	1.1928534717128538	1.208048099334808	1.0164972653243352	1.1462089510478357	1.162262008828237	1.1650659311051588	1.1794629622045354
10000	-1.0212097705902643	-14.92386104429475	13.902651273704485	1.2057633837849395	1.179862552878686	1.1715377408936034	1.225616404606321	1.1566145941812738	1.1314973561536732	1.1816013677877637	1.2049940201448706
15000	-3.0413467508226937	-15.095862979743295	12.054516228920601	1.1357619688603173	1.2124953672078187	1.2250200428724731	1.1980579381996186	1.245923410568867	1.113118052309358	1.1325497313866357	1.2222150518259383
20000	-2.0683116903630925	-14.873722686787533	12.80541099642444	1.186810969900106	1.1806505194414632	1.1273928054589744	1.184702384973461	1.08221640027444	1.212419671971751	1.2204515145573889	1.2052962460149235
25000	-5.295506421412949	-14.821695700112537	9.526189278699588	1.100290579914956	1.2444981653822849	1.0702935806925018	1.180551910920717	1.263606854086803	1.0986966697903093	1.1336500812619474	1.236865207949881
30000	-1.0644247604216766	-15.09029820112643	14.025873440704753	1.1737607319157388	1.1519547966199046	1.229481816139119	1.2026698966154148	1.151796383565429	1.1112916970950173	1.1560535563849332	1.1461171790029312
35000	-7.759232970646267	-15.00803375129246	7.248800780646193	1.073210766945197	1.344485180786988	1.1958579108494187	1.120087846532904	1.1158827364112647	1.0782080726241987	1.1265342928690536	1.0940310697275921
40000	-1.5036410395549975	-15.127608763928567	13.62396772437357	1.1252201615051654	1.0917787989976828	1.1519155791145097	1.2218320845997102	1.156804361736266	1.185334409128987	1.169621732396215	1.120421472494778
45000	-3.190370759094227	-14.883678767988503	11.693308008894276	1.1841213566595914	1.1185078798703196	1.2013951338060063	1.162046309818996	1.0900711027040524	1.0462263950302502	1.2027656316790383	1.1655457839419603
50000	-4.570886665857634	-14.92328164844803	10.352394982590397	1.1361193150184532	1.2247138905799537	1.1885787128113068	1.1776283036201483	1.107911233796698	1.075916495636988	1.1615547394857986	1.3015325245136977
55000	-2.6966808976266066	-14.885046619034503	12.188365721407896	1.1337800220952161	1.2256254617944091	1.1452822317278513	1.2035690919443787	1.2757697282241072	1.1232518251443175	1.1815411859512197	1.135353091687562
60000	-2.205492398949737	-15.051375333217496	12.84588293426776	1.125918395013755	1.194638214791368	1.2133024849709624	1.1871346457053278	1.127492421030548	1.1268012640349503	1.169214958938824	1.258791686406703
65000	-2.8321319965612055	-14.816050289324032	11.983918292762826	1.1686222436089178	1.1085848793268642	1.0624871854276698	1.1808026586294829	1.1285076997032244	1.0841021576133762	1.107769153412271	1.150031249549147
70000	-4.600812287525052	-15.387802043786248	10.786989756261196	1.065011840912706	1.168303757055939	1.1823029492298358	1.3105774039073983	1.1733485110518496	1.1757284323524266	1.16317421333677	1.1697627311418775
75000	-4.121842910062748	-15.042899581722144	10.921056671659397	1.1438127546659662	1.1551900537910285	1.2023069939612765	1.1203993129052185	1.0790153381858438	1.2872547905875567	1.2316682672107033	1.157201028947237
