#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.10595502733963 1.14252433615509</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.17180230157908 1.15278502775456</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.05950228980262 1.22939522783952 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(sp32:1.706625769,(((sp51:0.65300566,sp44:0.65300566)nd46:0.05332796134,(sp53:0.5351709639,sp54:0.5351709639)nd53:0.1711626574)nd45:0.6028052303,(sp43:0.6909885807,((sp58:0.1266868746,sp59:0.1266868746)nd52:0.5014830517,(sp47:0.580893529,(sp56:0.1887071821,sp57:0.1887071821)nd58:0.3921863469)nd51:0.04727639737)nd48:0.06281865429)nd44:0.618150271)nd36:0.3974869175)nd31;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp32" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp43" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp44" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp47" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp51" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp53" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp54" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp56" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp57" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp32=2,sp43=1,sp44=1,sp47=1,sp51=2,sp53=2,sp54=2,sp56=1,sp57=1,sp58=2,sp59=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214809.17144803918	-20.103904549689457	-214789.06754348948	1.10595502733963	1.14252433615509	1.17180230157908	1.15278502775456	1.0E-10	1.05950228980262	1.22939522783952	1.0E-10
5000	-7.783479882333111	-19.739462450771725	11.955982568438614	1.1355613809255498	1.1591484587664473	1.0692577828648262	1.1518372230056688	1.1108512743233159	1.1945483273922	1.1889068605765885	1.260365000910438
10000	-7.901077092864487	-19.89467128780748	11.993594194942993	1.1262134179212107	1.1430036380176136	1.1479930387134771	1.1137003236891874	1.2233124757104936	1.179638410594947	1.22301799459896	1.0578189285102986
15000	-8.456940643331162	-19.919979841791996	11.463039198460834	1.1113075789508096	1.123163275448869	1.1154481683610582	1.1195705307340955	1.0837782848426172	1.0735204518924537	1.1001420528613723	1.1172810068583952
20000	-7.539573716304535	-19.749314636924378	12.209740920619844	1.1840387569015496	1.1185472865565689	1.0551774862752268	1.2212192218312574	1.193050588672333	1.1524182994761127	1.1767119928449503	1.111944710376384
25000	-9.39120616718536	-19.627272977349268	10.236066810163909	1.273734099943129	1.16172973457752	1.118860220655139	1.2447499079721978	1.1010663356642965	1.249310085604159	1.1924690540438216	1.2061853529254603
30000	-8.067398892744933	-20.007415261939588	11.940016369194655	1.1176586484202893	1.1310152582659247	1.1278234065064203	1.1517729185552812	1.1636447768835823	1.2977546473798722	1.116052054435506	1.1850223961374875
35000	-8.510428784079135	-19.50277023594653	10.992341451867397	1.2842413388940794	1.1442611345407316	1.2005049030107393	1.0689070789900772	1.17550284784943	1.216313806496871	1.167493226411708	1.197745457202466
40000	-5.945138357060959	-19.905920742656114	13.960782385595156	1.213020881229707	1.1486524055130598	1.2293514354435033	1.1597563048524158	1.14085393847314	1.1295214042957542	1.1781631766330305	1.1333304649582698
45000	-9.541759214712005	-19.94361449359068	10.401855278878674	1.2365457790985217	1.0812304609157681	1.2390803701742732	1.1437696738734455	1.2220130782031244	1.070498007825982	1.195076848425774	1.116422345008617
50000	-9.503296034680904	-19.849009184462062	10.345713149781158	1.201887066205412	1.1702901558174914	1.2022004143252543	1.1553942235400916	1.0418614644145554	1.1342783703860189	1.0546440703871587	1.2109300481383607
55000	-12.065730550281671	-19.92647695622256	7.86074640594089	1.1894024269603591	1.2579797664140515	1.2571015935186456	1.1820364507195948	1.093285915468062	1.0391412083887666	1.2659506152067022	1.179631355379794
60000	-10.59538205897512	-20.082545367612777	9.487163308637657	1.1633993085665262	1.13892151573318	1.279596486818809	1.1102450570986018	1.2045121933787897	1.1539260292504312	1.2906830145591925	1.0828100739817006
65000	-7.633407965141519	-19.918731057428772	12.285323092287253	1.143966314161319	1.2102408689836919	1.215791256428907	1.1250150914566357	1.0998065687593508	1.1665413883438187	1.103200947979714	1.0778603090826249
70000	-6.136908090445161	-19.91727440683915	13.780366316393991	1.1523406020081588	1.0984620554931326	1.110069339810223	1.1720936934974744	1.132153098512348	1.1155692622501923	1.2002866332538804	1.170716703806248
75000	-16.16642166035003	-20.71341761769481	4.54699595734478	1.1571909729165186	1.1528689823045593	1.3436109925716233	1.3505034064857457	1.14884443974666	1.1359587928388852	1.1836893132284414	1.0587861223777273
80000	-6.84422243323597	-19.679986032787372	12.835763599551402	1.1457967517639747	1.1369802061966996	1.0652885099868643	1.1213632457801326	1.143547208761817	1.1963772126514702	1.1812853541841006	1.2208363387450483
85000	-7.020518257844822	-20.10851960807691	13.088001350232089	1.0705314739119844	1.1689599847605825	1.1788663996814464	1.1236866286312046	1.1702658417333869	1.1214460589356807	1.217845432208013	1.1832985280611334
90000	-7.366238444154211	-19.662334971389292	12.29609652723508	1.1486395849140685	1.1580706120844537	1.132550694909167	1.0503554187978423	1.2022975804157654	1.1395217475689945	1.1170902413313366	1.103899289108508
