#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.23535219883953 1.28802215678255</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.20591971577145 1.20954999458779</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.11288986357734 1.07365541799906 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(sp86:9.671243714,(sp87:0.1419391772,sp88:0.1419391772)nd87:9.529304536)nd1;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp86" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp88" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp86=2,sp87=1,sp88=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214802.39873041192	-11.789470043042682	-214790.6092603689	1.23535219883953	1.2586419348034972	1.20591971577145	1.20954999458779	1.0E-10	1.11288986357734	1.07365541799906	1.0E-10
5000	-0.6695770010489692	-11.667112471186778	10.997535470137809	1.269067192838718	1.1130751336679383	1.1489363656742706	1.1650617211495435	1.201785220619159	1.22100003202662	1.0971135320815453	1.2448538208893072
10000	2.3573431314392685	-11.705979570132037	14.063322701571305	1.1414323995422995	1.1545114381936599	1.2214911029935263	1.1021643057768316	1.1689015589466563	1.156999901056888	1.123895511808764	1.1406059250976532
15000	0.9610325139894282	-11.7230653096225	12.684097823611928	1.2012967389367286	1.1934614924860514	1.2207556146794256	1.071936726760988	1.1637200108306953	1.1762159642102785	1.1973901187422742	1.1155052496462354
20000	1.0365786414418814	-11.77104455228184	12.807623193723721	1.1685411439471785	1.1562303040427118	1.2397716504474223	1.1422436829651383	1.1424618730450464	1.2436411343586586	1.2012704397186025	1.1109952048847878
25000	1.8514919758869848	-11.653234736990315	13.5047267128773	1.1208819603495273	1.1814924750736613	1.1389999376987017	1.0693783265258228	1.1885216028092194	1.150451697654944	1.1872492056828083	1.1492109073342456
30000	-0.0853460854949919	-11.799135706565162	11.71378962107017	1.0884435946964357	1.0847820514374367	1.2100237233791236	1.1102713930093173	1.131111215308198	1.2013472349674714	1.0855999690319171	1.1819504214564986
35000	1.3089611107010946	-11.597492684010298	12.906453794711393	1.1029780998403207	1.1382468411252396	1.062098326707567	1.1722485733386578	1.1639666940075002	1.1165465286622676	1.1879176120044082	1.1675841376678087
40000	1.6549547167164231	-11.704633349189686	13.35958806590611	1.1560273187256465	1.2030134415171794	1.1028580992974564	1.1124630163758495	1.1217503362029098	1.1834556909391474	1.189890790598353	1.1013975179190427
45000	-1.2465943459682194	-11.708807897966906	10.462213551998687	1.207438359228531	1.019683361540822	1.1642539809500327	1.1826484251064882	1.1660371626888155	1.166603346114648	1.2457625962970202	1.19638775499234
50000	0.8993983514335291	-11.73445844214077	12.6338567935743	1.1030486288363286	1.2358139904180898	1.1249804891418738	1.2112598354525579	1.2190369344068606	1.1871856870335495	1.2029649487658447	1.164514644959016
55000	0.4038457613451545	-11.70822032293736	12.112066084282514	1.1931074576825438	1.106622227211032	1.2443858080222068	1.1091964409016641	1.1351323084353264	1.168594564331567	1.118578489639125	1.2424553180969353
60000	-4.24486282553375	-11.783605168923348	7.538742343389598	1.2214178011041188	1.2350089496294967	1.1311975909475591	1.1859611489964186	1.3182926015023346	1.252460353505442	1.272963995381675	1.16936191643029
65000	2.3414022840343307	-11.673553958701067	14.014956242735398	1.170188078370445	1.1743135930873256	1.1611351736392046	1.1378916703757933	1.129712875769141	1.1366863655731287	1.1207655942778285	1.2373934185048487
