#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.23384330720018 1.20041472662203</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.19159472702554 1.22163157458051</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.23776257439543 1.19083300269405 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(sp30:1.034566563,((sp34:0.3314289096,(sp35:0.1364989927,sp36:0.1364989927)nd35:0.1949299169)nd34:0.3490809057,sp33:0.6805098153)nd33:0.3540567482)nd31;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp30" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp33" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp34" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp35" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp36" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp30=1,sp33=1,sp34=2,sp35=2,sp36=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214796.5761483749	-7.568019568139041	-214789.00812880677	1.23384330720018	1.20041472662203	1.19159472702554	1.22163157458051	1.0E-10	1.23776257439543	1.19083300269405	1.0E-10
5000	6.695792658992222	-7.613235544933854	14.309028203926076	1.1977186466219694	1.1276851157909256	1.1488550664004333	1.1856161952229098	1.1957665035789982	1.1843710079742509	1.1548114831847345	1.1122769069682041
10000	-1.0649154648448187	-7.833487276957384	6.768571812112565	1.2304453036134066	1.090798381646204	1.14708461818799	1.3554718978587936	1.2175190991370393	1.0995941822734536	1.2503934635993332	1.1827490576615427
15000	-2.8992863289718818	-7.561971439639305	4.662685110667423	1.0265348133499865	1.2604068223677314	1.2441225571926404	1.2112621244646677	1.2328041226631927	1.312944549119278	1.1558980674633739	1.2495884564176845
20000	2.938561221768958	-7.370649292767598	10.309210514536556	1.0764536005801417	1.2414440360267078	1.2004654613661327	1.058542301605197	1.2375893764016843	1.168416311231965	1.1207636733383206	1.183662873272402
25000	2.265010108280272	-7.415671087773626	9.680681196053898	1.1190945062197262	1.1494455412489473	1.1643858944876475	0.9929186924114158	1.0967184223947417	1.1553855017060137	1.1833466685768184	1.1631866135308417
30000	2.4515654427763334	-7.604034012230326	10.055599455006659	1.1371527140559685	1.1212676683893505	1.134321108708452	1.1734296670757345	1.3358581778201324	1.1353813359521479	1.1233492159283047	1.0952154061233164
35000	4.835392745610675	-7.315704709592777	12.151097455203452	1.18566872207143	1.2556845519357551	1.1216290736318242	1.1121167365217024	1.1529946558852298	1.071579829490635	1.133892173144004	1.1574724138257384
40000	5.16782949374509	-7.625199582426225	12.793029076171315	1.21211299430965	1.123381488543331	1.1153183143748475	1.231881664205931	1.1820863008243507	1.1002517153876095	1.1445157738181717	1.208114695329888
45000	4.737394367229898	-7.449430851903889	12.186825219133787	1.1914463571060794	1.1920047809834433	1.1432780608518367	1.1074849637326243	1.1992303873391679	1.255616184605799	1.1075590158472413	1.2212039043675262
50000	6.161081477651058	-7.487342326503962	13.64842380415502	1.1063708441195899	1.1494582579601815	1.123433009630494	1.0971242530660863	1.186932617519856	1.1669687357644953	1.1166237514978647	1.1896748469641656
55000	3.433731414914038	-7.499329531763144	10.933060946677182	1.175649210992894	1.1195412539068363	1.1151464204264594	1.0691499046705675	1.2782262820292731	1.1852473391870866	1.207511007078447	1.1181857272613118
60000	2.9479607073026406	-7.478422954034969	10.42638366133761	1.2240891872821504	1.2636081057823962	1.173796976643904	1.2382210825832447	1.1797205775889632	1.2342142975898933	1.149701748477642	1.2493073543609787
65000	5.6634635068729695	-7.536267041678921	13.19973054855189	1.1526956692388661	1.1470249388193179	1.0642056162281133	1.190570821000888	1.1542601854301167	1.189680927844474	1.1909898887195112	1.114273821850743
70000	-0.36837254984548196	-7.628889389206929	7.260516839361447	1.156258955845381	1.1553381679406118	1.0459408055115793	1.3300345080449436	1.133161258211344	1.1599767481035392	1.0571784141529117	1.1039020947012013
75000	2.7647591686100323	-7.756516093825562	10.521275262435594	1.2422298148043784	1.0924929498955747	1.2545393761091044	1.2133603884066948	1.242189194245859	1.1011503663520057	1.141777454860914	1.1438508447004765
