#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.25738292575642 1.1228378876849</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.09709924025608 1.12565500880344</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.20450422234117 1.15174041890799 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp107:0.6704067667,((sp123:0.05477939547,sp124:0.05477939547)nd122:0.2271766718,(sp114:0.2713943318,sp115:0.2713943318)nd123:0.01056173549)nd118:0.3884506994)nd108:0.956414145,(sp125:0.01453676062,sp126:0.01453676062)nd125:1.612284151)nd84:6.325062034,(sp119:0.1255981273,sp120:0.1255981273)nd119:7.826284818)nd6:1.384126228,((((sp121:0.09530186081,sp122:0.09530186081)nd116:0.575147862,(sp116:0.1789411171,sp117:0.1789411171)nd117:0.4915086057)nd114:2.097082474,sp91:2.767532197)nd68:0.4491698735,sp109:3.216702071)nd51:6.119307103)nd2;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp107" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp109" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp114" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp115" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp116" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp117" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp119" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp120" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp121" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp122" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp123" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp124" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp125" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp126" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp91=1,sp107=1,sp109=1,sp114=2,sp115=2,sp116=2,sp117=1,sp119=1,sp120=1,sp121=1,sp122=1,sp123=2,sp124=2,sp125=1,sp126=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214821.9228875515	-33.06387852155585	-214788.85900902995	1.25738292575642	1.1228378876849	1.09709924025608	1.12565500880344	1.0E-10	1.20450422234117	1.15174041890799	1.0E-10
5000	-22.811288139298306	-33.22701365933422	10.415725520035911	1.1383732549656917	1.1053939252856624	1.0974580056827823	1.1880132103389542	1.288673088137633	1.191652695578901	1.2575438205441785	1.1753255347322045
10000	-21.97263559175654	-33.68855571459624	11.715920122839702	1.1056397448919149	1.1378970945874434	1.218727669412537	1.1281608408215944	1.132621065439403	1.20727312042627	1.1985905791388347	1.2769631139226791
15000	-19.979828356651694	-33.57751979195544	13.597691435303744	1.1445415577463771	1.1864647291321593	1.2373294041301095	1.19766061513656	1.1124579403554455	1.1248722682707162	1.1371564546534703	1.1725418111704526
20000	-20.674830508780396	-33.01310581312838	12.33827530434798	1.1716009749437903	1.1655349266663393	1.0790075256900202	1.12618151788859	1.1727091064114255	1.2581732627588262	1.217854268807283	1.1570804641213859
25000	-20.70469232745425	-33.03433890962961	12.32964658217536	1.1566579497841827	1.2609388684755318	1.213333418384838	1.1773193407737816	1.20540267271042	1.155803807711511	1.2103545731522936	1.2191291452343922
30000	-21.93773743206305	-32.741437310085054	10.803699878022005	1.1486496143032454	1.1775598428803165	1.0344248933123712	1.181305543388731	1.077986101581884	1.1407942703199074	1.219007229982629	1.1157595252269963
35000	-20.534709220798725	-33.16455551289706	12.629846292098337	1.1042954534233294	1.237549356238696	1.1311858016326404	1.2089135700834823	1.2131410872176709	1.1690921754258894	1.152351309000806	1.2214975254273839
40000	-22.51094389233527	-32.888397650665475	10.377453758330205	1.1600930717895943	1.2863421457245914	1.169414124597585	1.2047780348874715	1.1586117204546733	1.2057776072136392	1.2659705798819632	1.0933421401664059
45000	-23.6212656068412	-32.68756798263018	9.06630237578898	1.2497134554518974	1.1926971000532456	1.1348488371553498	1.2333659218585618	1.2747325085729	1.0502195901660245	1.2142544805195008	1.1635487419947217
50000	-23.293304986850664	-32.89711666540997	9.603811678559303	1.2170286894506044	1.1878369294277764	1.0519006530543016	1.1722858665517706	1.293928057926835	1.2170656660255634	1.191021329560995	1.1178786686875313
55000	-22.84066580027943	-32.58678146765289	9.746115667373461	1.156752398321757	1.2504218899893964	1.106879648988596	1.1205148144329868	1.1889795653123725	1.0164275894857828	1.1468668607313797	1.2029006154312474
60000	-18.914659294971127	-32.94048681869079	14.025827523719666	1.1480834466686491	1.2210229931892806	1.119221666324801	1.1943354271688036	1.1509865979263292	1.1554719772440907	1.1914175212678833	1.2004518660390975
65000	-22.859946123465217	-33.39987124662452	10.539925123159303	1.0924684602198718	1.2710544927746674	1.170284771141146	1.1665819810677942	1.1360965764235866	1.1827732719331656	1.0432519823834498	1.1823174936420573
70000	-22.796928207146156	-33.67563086270888	10.878702655562723	1.1659469702195588	1.167731514553808	1.2762774964331405	1.1467913840673123	1.2114272085642073	1.109100148614211	1.0719956265863202	1.226888688809718
75000	-24.902963312306735	-33.118441729965866	8.215478417659131	1.2683805525562148	1.213983806305728	1.2409985057544757	1.0190545630326353	1.1991165608303032	1.1352283919898414	1.1022351250061921	1.13549935966668
80000	-24.50935897620051	-33.12262860240451	8.613269626204001	1.148614672364051	1.2489295754041931	1.1234038795327392	1.3366457836852816	1.0906972149595384	1.1001689282496345	1.1520289902883265	1.1301133525093325
85000	-18.862544697635354	-32.886759993167985	14.024215295532631	1.1938506276501855	1.1789364252698447	1.0878567757932929	1.1336281441645486	1.1323278023367875	1.1748351834699096	1.1846472755522885	1.1459490380236657
90000	-22.942159723042895	-33.81298308236974	10.870823359326845	1.0553525208857286	1.205995307283529	1.2058037922475389	1.1985339054102426	1.227574267064399	1.2282655675376917	1.202513309242873	1.2072352753321334
95000	-25.622690663433296	-33.179936329871424	7.557245666438126	1.1362027682137144	1.0573057289821184	1.180173667816208	1.0168753724690642	1.083793089473415	1.130252466492212	1.2634509438739452	1.1329611844625616
100000	-19.78486491389532	-33.3650336486619	13.580168734766582	1.205128656124015	1.1597107952572443	1.1462618486030525	1.230600821488971	1.1415035137202147	1.222312301058798	1.1469061697535485	1.1266504223760518
105000	-21.79782327258703	-33.066711235547814	11.268887962960783	1.2838066212700248	1.2283463311092475	1.229365157231319	1.2176831200804596	1.1255765091371999	1.1523156269843973	1.1494463584050438	1.1665610759704321
