#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.20892143206447 1.17160931543935</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.14356473801913 1.23184087034685</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.18510597016017 1.13506233906532 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp60:0.379795665,(sp62:0.1060067399,sp61:0.1060067399)nd61:0.2737889252)nd60:7.547590003,(sp58:0.5457289976,sp59:0.5457289976)nd59:7.381656671)nd8;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp60" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp62" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp58=2,sp59=2,sp60=1,sp61=1,sp62=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214802.58427864374	-14.984525617586534	-214787.59975302615	1.20892143206447	1.17160931543935	1.14356473801913	1.23184087034685	1.0E-10	1.18510597016017	1.13506233906532	1.0E-10
5000	-0.6959277619443558	-14.945049992911436	14.24912223096708	1.207442706311861	1.1716784697421676	1.1701421479895693	1.1408115234395642	1.1850447108886548	1.1500080523308613	1.1855457467079464	1.1006498580667345
10000	-2.2237069959840277	-15.007259864666281	12.783552868682253	1.1580134659911785	1.1381534481089777	1.1666275970783488	1.1682856632101208	1.2444205847415402	1.1321561273080094	1.0673018727756187	1.1368001141095216
15000	-4.2362643962534925	-14.88645390154803	10.650189505294538	1.1389153056819874	1.1017870689863902	1.1780820842628625	1.0313777138785043	1.068213514156904	1.1350430665491902	1.1618375542833406	1.1679963941346019
20000	-1.9356199178414748	-15.201072623330269	13.265452705488794	1.1061751016951888	1.0756948312351542	1.1875778583047827	1.1570474504983295	1.139005006169516	1.1191675820515985	1.192909992779834	1.1714205727165472
25000	-7.122684555402131	-15.13048882929332	8.007804273891189	1.1989288162103793	1.0700854289871324	1.251915507418745	1.127708693819309	1.296498430687624	1.0835839557512623	1.1563383484378933	1.2503301355869412
30000	-3.447244467024385	-15.024880199156895	11.57763573213251	1.1564423124042726	1.2411722846218993	1.1603388391713891	1.251228067477322	1.1403712262817813	1.2001594587673783	1.1382571750435617	1.0668800360793511
35000	-1.1662837201448841	-14.972825427784892	13.806541707640008	1.1735186362423413	1.147945022319257	1.1923192331984411	1.1628276779362536	1.246604117131107	1.2040738913686384	1.143549270014508	1.1494424975125725
40000	-4.1573754214735565	-15.028096677799102	10.870721256325545	1.2731519792686667	1.2140262851651105	1.1732748586370578	1.105071728014033	1.1455739169710122	1.0731094752168007	1.2001414457826922	1.213080848016102
45000	-2.876282405374738	-15.120636575210764	12.244354169836026	1.1855729441211516	1.1698583215367069	1.174554039844109	1.2522162518088147	1.1561224578116114	1.1515200593885355	1.2568799825510009	1.102482219795903
50000	-2.821798638553007	-14.921016757996409	12.099218119443401	1.2191048847820487	1.1939808987049418	1.0813545096806112	1.138701659123313	1.1080373272247546	1.146201259299987	1.0751111625558447	1.139364204339682
55000	-2.5435931212245393	-14.926646680322204	12.383053559097664	1.1821842155727713	1.2096496207211493	1.061577938785983	1.1676013431730519	1.2045268958880175	1.1483829926207791	1.0943003639637068	1.1372298277249568
60000	-2.761745610816279	-15.001041987848483	12.239296377032204	1.0723966696175975	1.1457430869846101	1.1222941983147177	1.1767814628736277	1.1167762886645136	1.2386859631924758	1.1505723406796524	1.2201768384022917
65000	-6.637371076361601	-14.99275265048274	8.35538157412114	1.1305710353118656	1.175472748772321	1.2672383873415607	1.099118537247338	1.341542671722611	1.1953372489437557	1.1256956185919011	1.1858586978987051
70000	-4.978075386045704	-15.234470672403853	10.25639528635815	1.130938203797465	1.0425925454398175	1.1619563451882906	1.2041914361910329	1.1131051466874502	1.1771475589122533	1.2602898309942265	1.2313697804555017
