#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.1289956804576 1.21558413270771</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.16087587507354 1.21942973869782</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.29584249010907 1.17229353257274 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp60:1.400705763,((sp69:0.2295597078,sp68:0.2295597078)nd68:0.6749785366,sp63:0.9045382444)nd65:0.4961675188)nd61:0.6928054815,sp62:2.093511245)nd55:0.1831372001,sp67:2.276648445)nd54;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp60" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp62" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp68" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp60=1,sp62=1,sp63=1,sp67=1,sp68=1,sp69=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214805.29285303704	-14.71336564001257	-214790.57948739702	1.1289956804576	1.21558413270771	1.0925318529336443	1.21942973869782	1.0E-10	1.29584249010907	1.17229353257274	1.0E-10
5000	-0.5343322254611564	-14.461554035019901	13.927221809558745	1.2268251524523148	1.114944758972812	1.1631421242806843	1.1452448338324241	1.1341035553172252	1.1636874738472576	1.2124508020672509	1.1686186808613082
10000	-4.452659461555953	-14.493389167428225	10.040729705872272	1.095742610791288	1.136791184344472	1.1339172984236714	1.2811821290948047	1.2366109820973146	1.1893741737473902	1.2672329447629733	1.1557254917951987
15000	-0.7963771744044177	-14.267421658855785	13.471044484451367	1.156858741704102	1.1915972122397793	1.0887403387750003	1.1182964700741695	1.1750922814705769	1.1722745793100602	1.2159835870451348	1.1197771909097314
20000	-1.114911171139342	-14.293925998882093	13.179014827742751	1.0749148878640329	1.1787622701255087	1.1257645198159014	1.118717500564369	1.1565116357523357	1.1015887159776336	1.1847668020978304	1.1463632869298752
25000	-5.115359920968274	-14.4342563554304	9.318896434462125	1.2063605073280599	1.0315684024071257	1.0637939875607363	1.126374963406289	1.132820532404814	1.1243723675930508	1.089584490773834	1.1085881669743038
30000	-1.754201121040314	-14.071995018037006	12.317793896996692	1.1519915388543969	1.2233297727044932	1.1352773685120734	1.1362396918496183	1.1482808085817842	1.0683676953730974	1.2353989328142863	1.1955494345013744
35000	-1.9176966512638316	-14.806007163760173	12.888310512496341	1.2227909432222155	1.2208181345713822	1.1663371728119116	1.1377321411967403	1.148554849386761	1.2140759956114149	1.0881836519726855	1.1331453117713672
40000	-3.4042677912121437	-14.524061932000544	11.1197941407884	1.1135838280443981	1.2152896896816716	1.1320408020565866	1.3033201510478483	1.151415834672156	1.157327436206026	1.1745407313197007	1.096030925111894
45000	-4.612990783194714	-14.405631179537753	9.792640396343039	1.1260216740526698	1.0835911098535849	1.152726941172348	1.0328127978428319	1.0670904708276445	1.1478973294663573	1.215895308336741	1.1391491232676116
50000	-5.113627060900335	-15.088822719807666	9.975195658907332	1.1291438936161726	1.0882619008725907	1.2894161554976311	1.2336102913279383	1.1086780742703148	1.1595001570881096	1.1424944483212205	1.2452227990824716
55000	-1.4375979289105665	-14.22828496604626	12.790687037135694	1.2054530282315572	1.2472478053475884	1.0857736076264641	1.1718545000336489	1.1582524867654804	1.1574895625460757	1.2037698062983955	1.1825947115661308
60000	-4.113071795394845	-14.364408816868007	10.251337021473162	1.1703958931444172	1.195567677893927	1.192532493385214	1.0926389718530989	1.0510148929332948	1.1556094258560747	1.2587980590772305	1.2357505348093576
65000	-6.793497988650758	-14.40937102237091	7.615873033720153	1.255289461573616	1.1817363099047593	1.1632943498092156	1.1284890129878924	1.3142155825772877	1.2072270698043785	1.2627241181480433	1.2579963803625502
70000	-2.2251990556425003	-14.174904210056754	11.949705154414254	1.1182225459502493	1.0919509601288295	1.0827983858907768	1.1966513675865063	1.1533212888557398	1.0848387567492044	1.2094723835130552	1.1899262163196591
75000	-1.4669363159979216	-14.281938861816743	12.815002545818821	1.1726302773184936	1.1595796020604827	1.1004008673703363	1.137129982642204	1.2638754543031587	1.1508630358939975	1.2071070441706926	1.1886355931803254
