#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.15653702247831 1.12594395935244</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.13097388353826 1.23501600132695</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.1876747376872 1.20927225280661 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp80:0.05537284561,sp81:0.05537284561)nd77:0.7661552837,(sp73:0.1600012193,sp74:0.1600012193)nd78:0.66152691)nd72:4.926741826,(((sp75:0.1123389425,sp76:0.1123389425)nd71:2.391377227,sp57:2.503716169)nd50:1.931338053,(sp78:0.07742517793,sp79:0.07742517793)nd79:4.357629045)nd26:1.313215733)nd17;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp57" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp73" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp76" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp78" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp79" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp80" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp57=1,sp73=1,sp74=1,sp75=1,sp76=1,sp78=1,sp79=1,sp80=1,sp81=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214807.60162179486	-19.77154330312056	-214787.83007849174	1.15653702247831	1.12594395935244	1.13097388353826	1.23501600132695	1.0E-10	1.1876747376872	1.20927225280661	1.0E-10
5000	-10.032159754398613	-19.72321731894242	9.691057564543808	1.2885367377534584	1.1273576133460588	1.1856347459178322	1.1495304978362268	1.2634662927948384	1.13444760796919	1.0587978215373433	1.1579044468566178
10000	-7.795354432651189	-19.622219189792457	11.826864757141268	1.0992867330951626	1.2011010026289362	1.0884263849510614	1.095248278400544	1.1709574472716822	1.1285599922782128	1.1532753767268071	1.2518542178987961
15000	-6.95165460133299	-19.440738628534444	12.489084027201454	1.1402895067272556	1.2025101804867113	1.1284935150542472	1.082828285372678	1.12413583660591	1.133723259181876	1.2513798909030611	1.1352665686863768
20000	-5.394349469075765	-19.804529723096312	14.410180254020547	1.1466321419909853	1.178521057459245	1.1597228563095687	1.1320708892787545	1.1935515261433753	1.1315175430488345	1.1165975513936686	1.2015034829862108
25000	-7.532730908019021	-19.59111546676081	12.05838455874179	1.1573996564631757	1.0909125782924063	1.1379947902415966	1.121794129084117	1.2816574848398572	1.135435162433954	1.1984796194254812	1.1705580982589927
30000	-9.732108097903865	-20.019219537711507	10.287111439807642	1.0600000997407995	1.1342676054131575	1.1329846687655256	1.1981167216363298	1.0789530705648502	1.0814259322309474	1.081663230251748	1.1957292223115945
35000	-11.34022069838516	-19.981765591517057	8.641544893131897	1.1055579572555192	1.1702370153351602	1.2287863715514442	1.1811830804151318	1.0893629762358337	1.1863372566767805	1.2999017958099706	1.2824404046079438
40000	-5.239777634319736	-19.964499969556563	14.724722335236827	1.1426385106641712	1.1521050831067194	1.1623392792669904	1.1983168722417477	1.1468014731626779	1.1506948411589153	1.1099321850428063	1.1468759558165895
45000	-10.164267372018294	-20.174488885229625	10.01022151321133	1.1010244770566076	1.1887393079220798	1.1195410764635194	1.3312939247401414	1.1182850747263542	1.2104655383624403	1.1422350124243084	1.1594801549568579
50000	-10.592482415987227	-19.300060182579642	8.707577766592415	1.2160704715812822	1.2800536707709205	1.0944287300893598	1.1843137232574577	1.0463453829080873	1.1248352099616636	1.2149857540629265	1.235292145728165
55000	-6.070811922307509	-19.91877554095168	13.847963618644169	1.1116851909718979	1.1331856352951828	1.1333196550603113	1.1356030832631838	1.1567454788826383	1.132296125546612	1.0881407690782656	1.1760394270179781
60000	-10.536140961537662	-19.368143139967938	8.832002178430276	1.2801704276731436	1.2358758179551326	1.2359075111825655	1.2368918624845282	1.2215386283837952	1.0677977452395424	1.1974546658473881	1.1630399987050895
65000	-10.210036918721057	-19.217861972278346	9.007825053557289	1.2929736672458558	1.0826045888906786	1.0812033195434203	1.2156459520629295	1.0895653361000475	1.1498173569118497	1.2096410003350875	1.1007336015145632
70000	-8.886705374583649	-19.719978887337007	10.833273512753358	1.086635840970607	1.0656776537633914	1.0774840758009394	1.075492709061355	1.1620762917036782	1.1757691872421092	1.1890439625341502	1.1572165222685598
75000	-9.31283396389362	-20.009906021844802	10.697072057951182	1.1066951348930636	1.131093385615858	1.1043113440120997	1.1956954755820568	1.1369595079110835	1.213185872753296	1.14264481912249	1.0255417515148946
80000	-8.128856271962235	-19.44740902557734	11.318552753615105	1.2207259173313507	1.1116620545423883	1.1772994346797974	1.2142453977547074	1.071330467474201	1.1174331339415675	1.2498447380824367	1.1342138513968507
85000	-7.940853757453702	-19.319104179294584	11.378250421840882	1.2294956964254808	1.0910942308382545	1.1350359702781816	1.1580745581780543	1.1576250471653542	1.1613807321215066	1.2930337252420958	1.1893257395967571
