#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.112885683747 1.19699260930435</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.18039391529028 1.21460458846704</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.14222853190878 1.13038395831187 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp70:0.008474982774,sp71:0.008474982774)nd70:3.19566955,(sp68:2.457743312,sp64:2.457743312)nd60:0.746401221)nd54;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp68" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp71" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp64=2,sp68=2,sp70=1,sp71=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214028.83436247258	-10.700298228083081	-214018.13406424448	1.112885683747	1.19699260930435	1.18039391529028	1.21460458846704	1.0E-10	1.14222853190878	1.13038395831187	1.0867010145178669E-10
5000	0.8169960831854404	-10.680187678502957	11.497183761688397	1.1244694474590144	1.1672046815199213	1.2379859640171125	1.1352571313056121	1.2499680160802982	1.0738811707903246	1.1513455614132642	1.1044013316921273
10000	1.688218769361015	-10.460410533901339	12.148629303262354	1.1775884703402524	1.1285458982152572	1.1500868524736836	1.1193401937113219	1.2204760667124264	1.1509232645853689	1.0836411420961973	1.0664705306200943
15000	1.8303237403171018	-10.547956094620485	12.378279834937587	1.1777946461487387	1.0975062950552765	1.1754619715993204	1.1725968739500956	1.1869473109766548	1.1098298828887938	1.0639857921457874	1.2107711602099465
20000	-1.398911399109517	-10.519791568408452	9.120880169298935	1.0359295953119159	1.154060407494722	1.1603881983561568	1.054876800243706	1.227093518245242	1.246640740762042	1.1325825507198857	1.1239088325343511
25000	1.42783270273309	-10.613326197103367	12.041158899836457	1.1595821087276945	1.2267128965570828	1.2510902311357515	1.1025753151936046	1.221865944997655	1.1367577291794406	1.1711318736563363	1.212828925766564
30000	1.974676280780832	-10.64493748173071	12.619613762511541	1.1128740545128522	1.2221483499621764	1.153569405885693	1.1692448470906407	1.0794274658492102	1.104115162434078	1.1362609672034176	1.2072634604677368
35000	3.0811602700031813	-10.421546909541005	13.502707179544187	1.168926602890123	1.151011290934066	1.1258306077614615	1.0927770780280603	1.1519047981511041	1.1943566095250098	1.1023641823562536	1.208372236327206
40000	-0.14459475530664	-10.471934852202084	10.327340096895444	1.2375387129999034	1.0714293985989503	1.2065055003854173	1.1079768783713766	1.2647914304116967	1.1022838856699892	1.1387644877700867	1.194531517262832
45000	2.393223072172699	-10.500059997396043	12.893283069568742	1.1835727480022125	1.192701689443739	1.0769839054291528	1.169150610743925	1.1846094876841475	1.1466169011512963	1.1265219761159655	1.083467507707084
50000	1.770171660378388	-10.441605485062764	12.211777145441152	1.1584878832108494	1.1256500627162895	1.104478778708241	1.120608932696024	1.2261482629605904	1.1363406163807876	1.0712184877351574	1.2120255488882108
55000	3.1877370676710104	-10.485963829946689	13.6737008976177	1.161341791211465	1.113400692096528	1.1167253978325042	1.1371211465351787	1.2444031371787285	1.1774631304183814	1.1604380140363761	1.1480752356600565
60000	1.3535286168717136	-10.510463386873772	11.863992003745485	1.2102307815012	1.2699608249873438	1.1041615328288708	1.1640714261384688	1.1876390931110061	1.1917827334683804	1.100452574631024	1.1205910359626603
65000	2.9365660405589527	-10.53461403112612	13.471180071685072	1.217617460233593	1.1977335498581032	1.104871314194616	1.208745416571841	1.1579040043656528	1.2051913430204768	1.1793282076779517	1.1374094240793622
70000	0.029980099810130056	-10.535189152807643	10.565169252617773	1.1487239501296362	1.1441088571243594	1.1011050086951544	1.084729343410681	1.1314557570722072	1.114932290510024	1.3097256720485306	1.1540361993452597
