#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.21866832664582 1.2820214331308</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.11708028889369 1.22537592161073</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.11246817867154 1.08529048973908 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp67:1.442270836,((sp73:0.1817106503,sp74:0.1817106503)nd73:0.3871602294,sp71:0.5688708797)nd70:0.8733999568)nd56:0.2898977134,(sp69:0.4088476697,sp70:0.4088476697)nd67:1.32332088)nd54:1.722685796,sp65:3.454854346)nd38;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp71" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp73" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp65=2,sp67=1,sp69=2,sp70=2,sp71=2,sp73=2,sp74=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214806.9224733145	-16.037553423140945	-214790.88491989137	1.21866832664582	1.2820214331308	1.11708028889369	1.22537592161073	1.0E-10	1.11246817867154	1.08529048973908	1.0E-10
5000	-3.3936621649888288	-15.994315368239272	12.600653203250443	1.1666977289998768	1.1454899877891145	1.0974051326850123	1.1888470526592456	1.1375307220363644	1.144308484588691	1.0502749933805708	1.1467478953345889
10000	-5.735895885778351	-16.168003960798192	10.43210807501984	1.1740194294406405	1.170118110265157	1.164732470459904	1.098496755260925	1.3183988648379508	1.1068668439091365	1.2069809107012184	1.2035253287008807
15000	-7.811106759323154	-15.89770271145726	8.086595952134106	1.175082407245078	1.1865991814220276	1.0265008016355208	1.2221002554977738	1.1024218721380163	1.2307753332490547	1.0709660441394646	1.0721921096897151
20000	-6.434440776859105	-16.061728944483164	9.627288167624059	1.323990554919503	1.2316153720263816	1.1077147491850186	1.1492608505550002	1.1076804019580304	1.142005223881644	1.1793333386492946	1.2227833773151338
25000	-3.2629115385381553	-16.069924613208155	12.80701307467	1.1258793418532558	1.2016186069589028	1.1363977336652824	1.2183573627227255	1.1197651670643165	1.1557761307362948	1.07045244624769	1.1318676008721624
30000	-5.816445532923545	-16.510237908913727	10.693792375990181	1.0995734350544715	1.1359841176077194	1.2334499263293741	1.219758268377178	1.1896285838054355	1.210215792087964	1.2137310435557846	1.2762374120851792
35000	-2.9164613892796023	-16.13004964319135	13.213588253911746	1.1416265568061665	1.1658470832800496	1.0943483578072883	1.1980627131442687	1.2057319932670683	1.1655016677507541	1.1295341315468095	1.2359743832513843
40000	-7.108885287718101	-15.67844158907438	8.569556301356279	1.1644729108814527	1.211503692991903	1.1335539698319002	1.1297721544956862	1.1418196164483383	1.1394398370453243	0.9866439123097743	1.2414508435856957
45000	-6.78528834296684	-16.001387734567356	9.216099391600515	1.2790639036488736	1.1356820726830001	1.196376774403274	1.041138244149584	1.1578664537293673	1.1015677879497443	1.1730804114277587	1.0748143457221202
50000	-2.2648686477870967	-15.980164410872689	13.715295763085592	1.1668228412377222	1.1784725110698187	1.127598203793024	1.1108837477797215	1.139481747217937	1.2332220093114936	1.2043436243186332	1.1506484730505244
55000	-4.950570195745369	-16.05364560684182	11.10307541109645	1.1911217161416663	1.169497874538562	1.2120149240637685	1.1831867715899054	1.1336142995713239	1.273902751286653	1.146880629146548	1.0551854035822692
60000	-3.2626029119172575	-15.978331934920151	12.715729023002893	1.1813363974352877	1.190617753785191	1.1712498759233099	1.1822596684779527	1.1011592649396575	1.1987015072346694	1.0901686519493476	1.084182207664478
65000	-6.720080079190682	-16.311229130259868	9.591149051069186	1.1017512707303212	1.1740916263910643	1.1092924620243245	1.199132355263634	1.0758369789976523	1.1340605135298838	1.183868816628006	1.319817654547548
70000	-4.631893215531047	-15.73709452854721	11.105201313016163	1.123663919901936	1.1696726998563114	1.1942401917106868	1.0960825585898355	1.1523591806003646	1.2912808630109935	1.0907227992988109	1.120439967433881
75000	-5.999958652140123	-16.19236150211578	10.192402849975657	1.1597856060513538	1.1774101062889848	1.3040080353600505	1.120836827998175	1.2024994348083033	1.2458852589955336	1.236014799336419	1.1453394130339476
80000	-1.3856503121095365	-16.109823911756532	14.724173599646996	1.172819280370176	1.1470349984768486	1.1707734601629638	1.1673798233166923	1.1852665735405503	1.2194204214649864	1.1576222465528672	1.1605979230977883
