#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.18832177781098 1.10440901352983</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.13815382927304 1.12481261226789</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.12438670762991 1.18411712692302 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(sp123:2.440260155,((sp126:0.3776845572,sp124:0.3776845572)nd124:0.2866737536,sp115:0.6643583108)nd123:1.775901844)nd92;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp115" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp123" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp124" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp126" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp115=1,sp123=2,sp124=2,sp126=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214797.07283841228	-9.710328494704788	-214787.36250991758	1.18832177781098	1.10440901352983	1.13815382927304	1.12481261226789	1.0E-10	1.12438670762991	1.18411712692302	1.0E-10
5000	1.991430712942618	-9.784619645471276	11.776050358413894	1.174521535944747	1.2149514263424035	1.244298035463492	1.1024591090528895	1.0731952093426775	1.1167421654637184	1.126498903745344	1.1754199788435806
10000	2.2930521027637596	-9.715294218852488	12.008346321616248	1.2540648975779787	1.1471234433119648	1.1932819489690927	1.1096064551902896	1.0906492232963703	1.1931637977411147	1.0978344156614137	1.1861333519339186
15000	2.914595078829425	-9.739126924331828	12.653722003161253	1.2422249037790978	1.1594156317210584	1.1703378066060226	1.1817547661051582	1.0988556618316996	1.2145830664030928	1.220414782473425	1.1255410220487378
20000	-3.037582041717897	-9.61543899570575	6.577856953987853	1.0788148815820344	1.2617662290411205	1.0473672470015414	1.080188049241834	1.1797224693355375	1.2624771217769293	1.0879336474083694	1.2442060259554537
25000	1.0661756469785661	-9.714878798391615	10.78105444537018	1.2012045255913981	1.1506311047842093	1.1857436606353915	1.090378271906346	1.1792671228867195	1.0964314790488068	1.229001761682359	1.044448170978788
30000	-0.04592574567379515	-9.997780533101615	9.95185478742782	1.1507322966430262	1.1651040039939016	1.3492971249488372	1.1913563862209715	1.1103687654545686	1.1657760362292173	1.119359241791826	1.1384263586955352
35000	1.6943045618119594	-9.692156013014138	11.386460574826097	1.2177203557678864	1.1144979898428349	1.0821076404466792	1.1901180177594106	1.0683863013702661	1.1848143885036635	1.1668757363484146	1.0909825595704354
40000	1.5414524882886642	-9.853387538114369	11.394840026403033	1.0831142533536355	1.0911968950382567	1.1765379567139584	1.1538031511413942	1.1331183970363141	1.162490037753956	1.0531224389321896	1.2121099717816968
45000	-6.242568405902373	-9.917827646689332	3.675259240786959	1.0445202535666906	1.2471733898844377	1.274094643130664	1.1483131516967378	1.3066127844723694	1.1895505115222451	1.0775078647100935	1.0334832984298432
50000	-0.5578658808305512	-9.74739200559619	9.189526124765639	1.1421134472472014	1.148416114453137	1.2623434731458922	1.0422214416131768	1.1943162378475025	1.1676788309265003	1.2527287444635966	1.2463469907031286
55000	0.663880045368682	-9.688333329875183	10.352213375243865	1.3253563278137053	1.1117685100581485	1.1326325270267732	1.1520882813503326	1.1786664605906352	1.1666660648713594	1.0843852952788937	1.1384496596467542
60000	-3.3134504921016346	-9.978448289274304	6.66499779717267	1.18921669035012	1.1487088317533396	1.1710129011912378	1.3560326472181459	1.1949666006940904	1.043776612374199	1.142121710701669	1.0713634819301825
65000	2.79275328952361	-9.682263052548873	12.475016342072482	1.08435261316489	1.2115480078442489	1.1005252728228996	1.102873897031414	1.1425957777420672	1.157694125407403	1.1251052548555074	1.213782134473453
70000	1.9287160460008614	-9.750377726684745	11.679093772685606	1.1738506030445577	1.2394748801529987	1.1782677001167836	1.1726609189918469	1.1887370205466912	1.2985867290478343	1.164238030714846	1.1531049345119768
