#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.09807385385793 1.17770953877969</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.21987747628998 1.24295264338182</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.11522840915008 1.16404500008237 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp127:0.2282525043,sp128:0.2282525043)nd101:3.031655264,(((sp103:0.9899761695,sp104:0.9899761695)nd119:0.3349119845,sp90:1.324888154)nd89:1.24163956,(sp110:2.214296099,((sp111:1.139694052,sp118:1.139694052)nd115:0.1053911804,sp91:1.245085233)nd98:0.9692108667)nd90:0.3522316141)nd82:0.6933800551)nd77:6.308193232,(((sp129:0.2215168545,sp130:0.2215168545)nd128:0.4591862423,sp115:0.6807030968)nd108:4.972409788,(((sp120:0.4864379598,(sp131:0.2002431727,sp132:0.2002431727)nd129:0.2861947871)nd127:0.3995106932,((sp122:0.3430457235,sp123:0.3430457235)nd130:0.05043886545,(sp124:0.2957375828,(sp125:0.265607806,sp126:0.265607806)nd133:0.03012977679)nd131:0.09774700616)nd125:0.4924640641)nd113:0.3067390599,(sp121:0.3868673361,(sp133:0.1168257057,sp134:0.1168257057)nd132:0.2700416304)nd122:0.8058203768)nd93:4.460425172)nd47:3.914988116)nd1;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp103" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp104" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp110" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp111" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp115" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp118" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp120" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp121" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp122" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp123" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp124" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp125" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp126" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp127" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp128" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp129" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp130" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp131" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp132" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp133" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp134" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp90=1,sp91=1,sp103=2,sp104=2,sp110=1,sp111=1,sp115=1,sp118=2,sp120=2,sp121=1,sp122=2,sp123=2,sp124=1,sp125=1,sp126=1,sp127=1,sp128=1,sp129=2,sp130=2,sp131=1,sp132=1,sp133=1,sp134=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214840.40967855428	-51.71863920863159	-214788.69103934563	1.09807385385793	1.17770953877969	1.21987747628998	1.24295264338182	1.0E-10	1.11522840915008	1.16404500008237	1.0E-10
5000	-39.167540636365224	-50.56709870846493	11.39955807209971	1.1961054676197573	1.2050935550096202	1.1452387644815534	1.1057273578147173	1.1986757336446014	1.2724665978321796	1.0798318203833475	1.136474722129029
10000	-37.86715871676641	-50.36289965988673	12.495740943120314	1.1274543759384674	1.1562314029800622	1.109233981568959	1.0678938028788625	1.1736062051835054	1.1466228253114734	1.0798845237397798	1.1573578097030082
15000	-39.57570687080964	-50.7528971434904	11.177190272680757	1.0950965187132868	1.2766779029089514	1.1812608424729962	1.1299755509383935	1.196533667166034	1.2484202463596477	1.19758057102231	1.1525180606199417
20000	-43.550145791040954	-50.19393166728208	6.6437858762411235	1.1668762395244652	1.0802999533306523	1.0098083024056463	1.1169746368149027	1.1784553708988812	1.1787041131292364	1.0262222364577576	1.0948854631942821
25000	-37.89462833859622	-51.39490580798907	13.500277469392849	1.1506644844987282	1.1211452452560458	1.257781671019364	1.13465434026712	1.150475567697638	1.1358173980220772	1.12538314330753	1.1586412895102327
30000	-36.15738814922875	-50.57385378156537	14.416465632336614	1.132869244177335	1.179901675601654	1.15656441158656	1.1315832091346425	1.1186909326554255	1.1887315557224287	1.2056843606693641	1.1740747928035498
35000	-37.15815689697532	-50.36252318491098	13.204366287935656	1.2331352298138594	1.0918310792993067	1.1686569024961728	1.1526782302938066	1.2015113965607314	1.1126506472162054	1.1578666278988825	1.1883528357235091
40000	-37.903836151768424	-49.91499119378222	12.011155042013797	1.282561552243884	1.208652549811494	1.1638041725521733	1.1937270681653356	1.1940344058594428	1.1116680102206258	1.1932679531256738	1.1295671181046398
45000	-38.30437758430771	-50.666631937791934	12.362254353484227	1.1822276478297076	1.129506566818024	1.131973272984006	1.2329046831972852	1.0543727293932958	1.1416464039500032	1.163152529175955	1.1288616540924588
50000	-38.234135231167556	-50.02819123649307	11.794056005325512	1.238101197965166	1.129817852576214	1.1455890375757987	1.0954664667443248	1.1933337579970784	1.2073923612221964	1.2480207012840314	1.110617970523749
55000	-38.844401464973714	-50.111026359373334	11.266624894399618	1.268983199332371	1.094455388450803	1.092266767639423	1.1410461030754757	1.1243536104236913	1.2130145788731053	1.103345522221352	1.1715269025229431
60000	-36.95062071373769	-50.16008523280947	13.20946451907178	1.1719130281670365	1.1348330091549803	1.1509444184040485	1.0983775415396837	1.2012763882600974	1.098239085659507	1.2185344583345676	1.1249694565989465
65000	-38.21969270470453	-50.14170726270713	11.922014558002601	1.2376552938635175	1.1544620067414062	1.1256519575096555	1.1704066534731843	1.2862369616085338	1.1833148092835075	1.170070726476557	1.1257328688330723
70000	-39.25814829875735	-49.61107241133474	10.352924112577393	1.2781248682968922	1.2284911286517288	1.1409056001430236	1.1342190778702836	1.1801057575675986	1.0682560116143718	1.2384280884914887	1.139059422057654
75000	-36.55456584282675	-50.07932077056508	13.524754927738337	1.2338709175530993	1.128313679363532	1.1293184436217503	1.1178117229187088	1.110172513901013	1.1755163662231158	1.1714511278522584	1.128353814580536
80000	-36.39291199867184	-49.95845052188134	13.565538523209499	1.1597679030230668	1.217296623520748	1.1068148383954395	1.0923070558628776	1.1769744484785052	1.133808518731587	1.18599723838383	1.1563892741411492
85000	-37.587302090849256	-49.94288725119783	12.355585160348575	1.2198320965182727	1.2444586167630858	1.1082082168247465	1.226301879854661	1.153515467749804	1.1186026048465862	1.1846679358643575	1.1287371779760969
90000	-38.548770989043966	-50.32999073484663	11.781219745802666	1.1527718039099395	1.2374612336920052	1.1060643197042306	1.175817014906127	1.227069991427769	1.2217232884221059	1.1767589093510291	1.245755617612807
95000	-38.395953451315634	-51.3071500539972	12.911196602681567	1.1285041649901786	1.188993370235581	1.184380091087505	1.191428463523308	1.182445556586176	1.270186098523213	1.1290059510222499	1.1844861274949772
100000	-39.87763614513749	-50.33643964244845	10.45880349731096	1.1141738856364074	1.2066273719045635	1.0439612147550181	1.2283762123506838	1.0686724152555076	1.1611405194225284	1.1483315760732646	1.128985030680991
105000	-41.661133383016676	-49.88324212034963	8.222108737332952	1.3281155441342287	1.248869253966428	1.204809365948399	1.1178841322454556	1.1652207850844798	1.0775332965306883	1.106954622169448	1.1133212133480161
110000	-39.38971202874113	-50.51302346192647	11.123311433185341	1.108555517835262	1.0573799066079677	1.0697004144218871	1.1125296234054038	1.154780169884694	1.1637542079222	1.2035722906702735	1.113877804287033
115000	-36.994670582072615	-51.022349710499874	14.027679128427256	1.1346055312750045	1.1358513964853452	1.2102744074218208	1.1280155811926431	1.1383000253223674	1.14262461910731	1.1622578628352769	1.097296664817487
120000	-39.08728693077119	-50.754885127873756	11.667598197102564	1.1314235571897668	1.1712808936654726	1.1607057528768674	1.1617466283243632	1.0707268246382655	1.2264446306761252	1.2554839055164653	1.105708342778563
125000	-37.63080836975537	-50.92070476886418	13.289896399108809	1.11647186927711	1.1509640405371022	1.128444936100873	1.2255600676448595	1.186020978493	1.1693722598465677	1.2361063748234677	1.1302972782990388
130000	-41.59539820506311	-50.17390728759084	8.57850908252773	1.1123669719242018	1.133162794302868	1.011557898722568	1.1880373039128589	1.2368775259227072	1.1923765198753058	1.236327865349111	1.0905107958147253
