#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.0483012924995 1.10102801301391</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.07961259785997 1.14696114958363</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.24504904011893 1.24530082340354 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp54:0.4901362086,(sp57:0.02472022232,sp58:0.02472022232)nd57:0.4654159863)nd51:0.4840597665,sp51:0.9741959752)nd50:1.726976713,sp48:2.701172688)nd41:1.871777507,(sp52:0.8933626361,sp55:0.8933626361)nd43:3.679587559)nd36;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp48" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp51" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp52" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp54" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp55" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp57" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp48=2,sp51=2,sp52=1,sp54=1,sp55=1,sp57=1,sp58=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214809.23902591897	-17.359851215751796	-214791.8791747032	1.0483012924995	1.10102801301391	1.07961259785997	1.14696114958363	1.0E-10	1.24504904011893	1.24530082340354	1.0E-10
5000	-4.49914592209139	-17.44792712934182	12.94878120725043	1.1821447671481107	1.1806891622760831	1.1751812117590614	1.1777148675887588	1.1576506134058941	1.2716634047837625	1.1416495293930595	1.1041739821434093
10000	-5.066965039399282	-17.221136578472194	12.154171539072912	1.1381268268756817	1.215938177796856	1.0723371843984701	1.2391605235752443	1.141799100724058	1.1589257227074334	1.2000880271259269	1.1112332777093872
15000	-6.663092029011761	-17.225326511646113	10.562234482634352	1.0922785672868196	1.126190095196347	1.1430975878118836	1.107366759640346	1.1944973828674028	1.0215866091853216	1.1483032912093947	1.1923710322064118
20000	-5.255368155574056	-17.406607606187602	12.151239450613547	1.1212519226071962	1.1684009727643823	1.216377645428978	1.0606015397302822	1.0898969648430847	1.197088185309027	1.1438295626779393	1.1629199970240118
25000	-5.702458853352342	-17.247010292957494	11.544551439605153	1.129747339238733	1.2164400793881325	1.1949484176410838	1.1125373438017734	1.122530213188263	1.109334682673377	1.2797608842518426	1.1967357375277554
30000	-6.820494260431076	-17.5017303467958	10.681236086364724	1.260286401467548	1.1182992510275493	1.2922132258839285	1.2017596321817452	1.190432531562972	1.1627696640637586	1.1974252915231391	1.183743221644351
35000	-5.489983400849642	-17.196385855451418	11.706402454601776	1.2203916525147798	1.1514461977328507	1.0726583682745605	1.172746910398022	1.1339210759778189	1.2660793304129314	1.1543267823076242	1.203787086572554
40000	-5.305130780700724	-17.062458321110313	11.75732754040959	1.2495755519355698	1.149300663896959	1.1534830609181033	1.1071612409645286	1.1373319395133403	1.1157492961145419	1.2275374847057048	1.0769657932445869
45000	-3.970734118809741	-17.38583567935855	13.415101560548809	1.112892629721035	1.1972802825582163	1.1417565719139542	1.2344806649455744	1.1527675511173954	1.1036550415885005	1.163463882733299	1.190008388679946
50000	-6.410498219791961	-17.274622506225537	10.864124286433576	1.2043698293530498	1.1430778394713212	1.1203019366642684	1.2184399229721778	1.1419426263226018	1.2365729233597689	1.226983531516204	1.0497141601965003
55000	-6.4441672753347525	-17.487759111740203	11.04359183640545	1.1115331322951405	1.1264594619913382	1.1452110683227485	1.2158709189982426	1.2416411776021603	1.0987265515322553	1.0524374600103654	1.1642456333204785
60000	-9.43024839667483	-17.094667984510632	7.664419587835802	1.1272781351087575	1.1752312452399996	1.1017916426258338	1.0480628777633094	1.2599522810317274	1.132160414527631	1.1750871757228738	1.0155320554031306
65000	-4.517009400913729	-17.291612626360042	12.774603225446313	1.153013533300146	1.1733131469537035	1.1828115617456367	1.0718976306486876	1.1038390236618267	1.2041525496170895	1.176635562584974	1.218262378449306
70000	-6.289199676246353	-17.25045055349997	10.961250877253617	1.115186171279104	1.1692202620415797	1.106487093007019	1.1409050414506128	1.2259789982979217	1.239117576102484	1.2607720985308872	1.2309477950991878
75000	-4.069699995472504	-17.036225921699163	12.966525926226659	1.2092393218654482	1.1111734934903152	1.106989926119332	1.079864075827251	1.1552914091487843	1.1146374611968526	1.161376407030035	1.1695579917828929
80000	-4.428861565930177	-17.2455503897673	12.816688823837122	1.109585521017838	1.200698373527823	1.1127179601638666	1.1523080439719027	1.253794450956507	1.118464402703565	1.148731830402872	1.189355492371528
85000	-4.679464627757806	-17.485940117299926	12.80647548954212	1.2018108893777744	1.1901920066575264	1.2316192724801285	1.2449983999341125	1.1195448647599933	1.1322317475612877	1.1504671523944556	1.1349640388308717
90000	-3.1725925294558195	-17.184504362213303	14.011911832757484	1.2269268462645126	1.153202396365544	1.1694323670562259	1.1405510373630552	1.1198923900802973	1.1357470555469145	1.1882056659758589	1.118748647972942
95000	-5.587874193637957	-17.45090219266905	11.863027999031095	1.1296851686809284	1.209297074161393	1.1824212639112652	1.1445092441813067	1.151913102119077	1.143480365126919	1.0407692924096061	1.0971399208920842
100000	-4.145624870661528	-17.238375613775275	13.092750743113747	1.2056095862002698	1.1163708676093584	1.1398833375630266	1.1537569748204035	1.1558473512500558	1.2185147929337128	1.2093415629463542	1.08729767483007
105000	-7.692755615123438	-17.30482645339467	9.612070838271233	1.158891565004886	1.0964793264839108	1.1951717039649137	1.0279633736945948	1.110323372025303	1.1405376165104872	1.056584626318751	1.1645322797278903
110000	-3.5100630914563133	-17.389558795333986	13.879495703877673	1.093694400834017	1.1318038903953536	1.1359352381164993	1.1926397391845467	1.175406898852348	1.1163953567081875	1.177661605527768	1.1906296311700204
115000	-4.152088931101893	-17.371181794624523	13.21909286352263	1.140969434429231	1.1160037553638797	1.1727651213470045	1.2055100542882635	1.188260444737739	1.0935701733844168	1.2278167589997657	1.1803710747174099
120000	-5.27986141803701	-17.43510047793005	12.15523905989304	1.1357443843654367	1.1999948623707632	1.1692809706161091	1.2034519531852128	1.2792648979136434	1.1445870720703872	1.1127531571651477	1.112694704257938
125000	-9.678179449477836	-17.40090959581718	7.722730146339343	1.1680111391574353	1.313492102415938	1.2509932609132337	1.1165721972908096	1.2971612859014332	1.1415611802758037	1.1513747338830678	1.2192993359682487
130000	-4.674862002439415	-17.250271672042278	12.575409669602863	1.172604628762448	1.1599496532495472	1.137305456116299	1.184324293507401	1.165984831214057	1.189720656750214	1.2515356625121763	1.2573896252105992
135000	-8.040758465009203	-17.19978361038065	9.159025145371446	1.3046446992140235	1.1850461390159728	1.1617224205161383	1.1042183057193349	1.2350400297709805	1.2793173202000987	1.1887644985705916	1.1604145396353713
140000	-3.816678916840761	-17.15023640261227	13.333557485771507	1.1789238752262596	1.1605266044233997	1.1294571426856395	1.122434157641218	1.1321848813892401	1.1876701051764258	1.2597111383090078	1.1367350403262568
145000	-4.979209967673269	-17.368400890455774	12.389190922782506	1.1627987635063837	1.2130152379650931	1.2145377867719944	1.2013182290989035	1.136603682007083	1.0609574453601514	1.1712941023458596	1.2015674981224274
150000	-3.1522254221883976	-17.347532321376956	14.195306899188559	1.1840530618535794	1.1909049171006982	1.1975072189916287	1.1795989674641787	1.2089628594407136	1.1683817663043778	1.2076276887522812	1.1545518371552432
155000	-2.7581656219835793	-17.249463418476346	14.491297796492766	1.2297556989536298	1.1669239979115755	1.1733434550358144	1.1590802202696509	1.1250928281016717	1.1672314464520932	1.1627677757755008	1.1558754875237227
160000	-6.45312239831792	-16.9881652502312	10.535042851913282	1.2539497524850403	1.191665750340407	1.1177751038476627	1.1060406708477486	1.1550686898505984	1.0403762445321665	1.157098831620615	1.2160209874812131
165000	-7.371469557224312	-17.15554748867909	9.784077931454778	1.1143328085847688	1.0591826188305309	1.1029421189245203	1.1279729766209952	1.1956388818600088	1.0428901818956067	1.1871508101619412	1.2206681438227265
170000	-10.620468228208658	-17.310132181828042	6.689663953619383	1.3565095200851434	1.1922152906529542	1.174527438804174	1.1473231238908115	1.1258465092116046	1.2789860723272146	1.0696915914625316	1.1258838921296588
175000	-4.2473392454697585	-17.136404935429184	12.889065689959425	1.1946235064333426	1.1624942193135288	1.0951566170073632	1.1672419563911782	1.0805863592320306	1.1415145233680224	1.1607712767834801	1.0936572586427415
180000	-8.587002449009727	-17.37088153227825	8.783879083268523	1.1437583989792817	1.162532956895159	1.1405567814582331	1.2425265569143191	1.0149398437989425	1.0703982027896068	1.0969203845253517	1.1233638057262176
185000	-4.477968527852253	-17.2526407960547	12.774672268202446	1.1186407259042237	1.149562069248859	1.1504969798881421	1.1280359229759414	1.1050915316989127	1.0608659564648537	1.1379493054314878	1.190731863191956
190000	-4.2834497064609405	-17.29266940999161	13.00921970353067	1.1289448305134733	1.0819919837388814	1.1075325976065917	1.1256966615898936	1.1656226464559114	1.1678353355359161	1.1016340808901957	1.1210965964123518
195000	-6.894401119865629	-17.233415894435748	10.339014774570119	1.3064717610944583	1.2505173197801762	1.189336032973256	1.15103737084286	1.1510026737754333	1.157816257197056	1.1065160485423102	1.216813253826439
200000	-2.789683063432552	-17.36172972849034	14.572046665057787	1.127724716043162	1.1015744563236125	1.1640556564771825	1.1361421464900163	1.1499994787283558	1.1362114736558728	1.1493324745077427	1.1564146140919866
205000	-3.86303691245541	-17.406307492784713	13.543270580329303	1.1223013151035255	1.1529767234544148	1.1851378755274582	1.180018244205179	1.1121662480480146	1.0942380370093323	1.1674050062705663	1.2180230792517606
210000	-3.7103692730478564	-17.24611029426585	13.535741021217994	1.1540629409595684	1.1506273489920233	1.1457044584041753	1.0718738916855035	1.1721056816061912	1.1868238924522423	1.126670354678168	1.2070247140088834
215000	-6.651568179017191	-17.792595245131476	11.141027066114285	1.0815100898542653	1.1160551639118592	1.1938784667844304	1.298028543228015	1.1702285767408922	1.1510737745798147	1.202183266960914	1.1605665216225198
220000	-7.306412332341935	-17.421293603633366	10.11488127129143	1.2392198900370277	1.1237691011516682	1.2800377139040688	1.1585529504007204	1.1868930643856908	1.0937500337030073	1.1338254957872569	1.2588112734096677
225000	-4.1421099051571915	-17.220647378174196	13.078537473017004	1.1950509768673638	1.1039959205211718	1.1153984997942965	1.1354943990556978	1.0876028676563592	1.1960212479676928	1.1314291754468022	1.195033703214755
230000	-6.158983606370727	-17.12413155028335	10.965147943912624	1.1660736001438334	1.116937228242996	1.1337361104750934	1.0184990007201726	1.1407688800224947	1.171271121243718	1.1537977544874982	1.2279529640330735
235000	-5.315594027766494	-17.088067731473767	11.772473703707274	1.1794536962859052	1.2126830849054162	1.0570469070479789	1.1078486162151253	1.1621227141757442	1.2257756076322008	1.2120165034065493	1.1769668534378166
