#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.16736755921672 1.19196349545336</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.13485136328259 1.28754379028073</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.06007343682638 1.27829770925764 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(sp29:3.107793751,sp30:3.107793751)nd23;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp29" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp30" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp29=2,sp30=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214799.66793157032	-7.431454566347991	-214792.236477004	1.16736755921672	1.19196349545336	1.13485136328259	1.28754379028073	1.0E-10	1.06007343682638	1.27829770925764	1.0E-10
5000	-2.7634633073494506	-7.351927457777192	4.5884641504277415	1.1638669680565037	1.0965790040992855	0.996225002089631	1.3440440795690864	1.234554426767749	1.1285448815937842	1.1145256469340423	1.1525825511092271
10000	2.723721378259955	-7.368989105761968	10.092710484021923	1.1401612558364995	1.3195031569197682	1.0760210428745378	1.1946336449390256	1.2145767013233326	1.1902581971098711	1.1422068202958715	1.160824875796017
15000	4.64016759755131	-7.396796257638176	12.036963855189486	1.082907692083834	1.167845709030086	1.211504278474686	1.186315493070955	1.0838681337357101	1.1806237130865171	1.1435669377392148	1.2416695628525765
20000	6.470909555469893	-7.303378648449071	13.774288203918964	1.1439308972812907	1.1101961649131793	1.1810511338380278	1.0993482161716255	1.2141294324448935	1.1338609236123172	1.153318119984353	1.183060942283115
25000	6.276637058271511	-7.35656310811699	13.633200166388502	1.235323392975585	1.2009739758445375	1.1026179667191085	1.1615435119637538	1.1277766340361755	1.1573793217906745	1.1810687974406178	1.1644600024465068
30000	-1.9088390630063996	-7.367455246544194	5.458616183537794	1.3972171351847695	1.071585990076331	1.1558834871243677	1.083335062998924	1.1091783960431616	1.1178711015695664	1.1335076743098806	1.183774114358062
35000	4.867786740557468	-7.256331173598554	12.124117914156022	1.141764595414765	1.1157305105840059	1.064242034020947	1.1415086515945214	1.141124180646617	1.190251465435952	1.07970874806144	1.202723357920416
40000	4.123481622179264	-7.408981535185581	11.532463157364845	1.1384252557119776	1.0570075180162304	1.2232731398058767	1.184939327581493	1.1448561356560751	1.0831267896285202	1.2187009147447163	1.1588557376953228
45000	2.340639438627587	-7.430647123109633	9.77128656173722	1.2188204891760883	1.1756271908522296	1.2021980900241558	1.2075248446701097	1.0884047776249584	1.1182702802228222	1.2777449552975144	1.0612759480678426
50000	1.6650980551827494	-7.34573526393104	9.01083331911379	1.2482124032791249	1.224232748455928	1.0675403895551865	1.1205613495755848	1.2470644367885266	1.2184996401843733	1.071463542776136	1.1130433344132304
55000	4.330694927330225	-7.411560958385496	11.742255885715721	1.2080887470751098	1.2028432614476436	1.2028454747368509	1.180642025344647	1.139780595728136	1.140469657185352	1.1022750868003313	1.2841520093891048
60000	0.9745311142703255	-7.332161805535991	8.306692919806316	1.08802641924658	1.1511971954340827	1.0595490367959566	1.2633833451558114	1.233389282774292	1.2467372512866424	1.1653840105730953	1.2587915702051062
65000	5.325758894743871	-7.350589047480306	12.676347942224178	1.1486716364238547	1.1815520685025493	1.1283462203262602	1.187212490309524	1.2250128103609321	1.2643465745346507	1.1206181792077738	1.1423811756173265
