#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.1169166227812 1.12451455480784</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.18325655482066 1.21465955660404</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.12905662875531 1.20530574648946 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp79:2.273695689,(((sp115:0.06938909694,sp116:0.06938909694)nd113:0.365523722,sp98:0.434912819)nd108:0.1979509583,((sp111:0.1478754632,sp112:0.1478754632)nd115:0.2533480379,sp102:0.4012235012)nd109:0.2316402761)nd106:1.640831912)nd80:2.128257665,((((((sp113:0.07904280907,sp114:0.07904280907)nd112:0.3867872778,sp97:0.4658300869)nd111:0.05156776475,sp96:0.5173978516)nd104:0.3210314566,(sp117:0.03176437924,sp118:0.03176437924)nd117:0.806664929)nd97:0.6178671402,((sp104:0.3453934512,sp105:0.3453934512)nd114:0.08349222852,sp99:0.4288856797)nd110:1.027410769)nd78:2.857447604,(sp94:0.6976658109,(sp106:0.2483095131,sp107:0.2483095131)nd116:0.4493562978)nd102:3.616078241)nd37:0.08820930147)nd35:0.04564362828,(sp81:1.628373472,(((sp100:0.4276419426,sp101:0.4276419426)nd103:0.4303384202,sp92:0.8579803629)nd93:0.7137325341,(sp109:0.150613952,sp110:0.150613952)nd94:1.421098945)nd92:0.05666057463)nd62:2.81922351)nd31;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp79" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp92" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp94" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp96" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp97" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp98" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp99" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp100" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp101" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp102" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp104" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp105" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp106" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp107" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp109" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp110" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp111" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp112" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp113" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp114" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp115" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp116" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp117" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp118" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp79=1,sp81=1,sp92=1,sp94=2,sp96=1,sp97=2,sp98=2,sp99=2,sp100=1,sp101=1,sp102=1,sp104=2,sp105=1,sp106=1,sp107=1,sp109=1,sp110=2,sp111=2,sp112=1,sp113=1,sp114=1,sp115=1,sp116=1,sp117=2,sp118=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214837.46818637082	-49.789005181896265	-214787.67918118893	1.1169166227812	1.12451455480784	1.18325655482066	1.21465955660404	1.0E-10	1.12905662875531	1.20530574648946	1.0E-10
5000	-36.21842928396319	-48.1438960580667	11.925466774103516	1.2406679857881353	1.1323852842988789	1.0764916941745584	1.1997531245284607	1.158074205522492	1.0870968263766156	1.2028144121887692	1.1751465025609518
10000	-38.89710580667155	-49.93470020742217	11.037594400750624	1.189709407164698	1.0861435117430187	1.274501880670741	1.106686372453874	1.084172734010579	1.1713244752456053	1.1176450719106812	1.158692403017983
15000	-46.95342488635142	-48.35643086912975	1.403005982778331	1.314798626867604	1.1635923036056957	1.1841754498072257	1.158542419073287	1.3605509407136003	1.1798278402248568	1.1547764384193975	1.3685798553326474
20000	-41.288340997481534	-48.89223666367067	7.603895666189137	1.1751770976758524	1.2444670004746148	1.253479673643647	1.2163114663424186	1.0691130446820225	1.126875428382652	1.3232996143462745	1.1341356846588238
25000	-35.652233613226706	-48.20402019320121	12.551786579974502	1.196848651174622	1.2136620839746712	1.0754670924769552	1.124347704914793	1.1336934729507957	1.1616511732941863	1.1321679545036554	1.2311738628132498
30000	-36.78943673163076	-48.2608827819216	11.471446050290847	1.2293566602220398	1.2215778324677182	1.1429953987248012	1.238744894187659	1.1893443947278488	1.0954358828187654	1.2409864865364415	1.181153338761864
35000	-34.838309358540215	-49.20038089578442	14.362071537244201	1.165680879094868	1.1585170255468007	1.2129834887947877	1.1164417585931203	1.1473448176394532	1.1971942253245327	1.1876691567821802	1.1670403876560704
40000	-36.79066519576373	-48.64719260852204	11.856527412758313	1.1369414846183359	1.2535939421922404	1.1636876102107157	1.1577951646080595	1.1982125237224432	1.0543071988655317	1.1758151141354283	1.1225485173743006
45000	-36.29082397977508	-47.72956545553739	11.438741475762313	1.2419047601922324	1.221643628713194	1.0661035344010803	1.0861355526022352	1.1507554094847208	1.1376846873335522	1.161135543772922	1.1920652323283412
50000	-40.823715788884044	-48.5194781956265	7.69576240674245	1.2486823259381505	1.0800411272512402	1.1104283229159617	1.0615831719743798	1.1249766053324917	1.1075321854478184	1.072367957351416	1.0506911434249915
55000	-38.31529014068198	-48.70083710485456	10.385546964172573	1.194304250779018	1.241844682345589	1.151241758511987	1.161259756560342	1.249341653562168	1.3018701652525557	1.1725446230219883	1.173793371936766
60000	-35.76828010311996	-49.31278660707882	13.54450650395886	1.1244282343167085	1.1370753163133787	1.1801789206807844	1.165413165629578	1.1665010231234716	1.100881707093646	1.2410967391351146	1.1819649117442357
65000	-36.7282907602614	-48.84385021024644	12.115559449985039	1.1316678424046385	1.1487904177025168	1.1473323040838372	1.0543489207906678	1.2441976089361775	1.1317162746526452	1.1659489433408445	1.1192635969634788
70000	-36.428967853581	-49.8461053227647	13.417137469183697	1.0886199685307067	1.1610443755366666	1.1921596228172082	1.1713868301326027	1.167220393500093	1.2268130901843626	1.1914529750443357	1.1988316215926584
75000	-37.472130779521734	-48.86538410152818	11.393253322006448	1.171848969026907	1.2309867609241916	1.2001280480373342	1.1828091482889185	1.2223866890159762	1.1340058403216167	1.1952831656115388	1.2839285739788175
80000	-43.85206042041141	-48.48821309910832	4.636152678696911	1.1549376809206378	1.1515966697140816	1.1568856910132848	1.127362669614021	1.0325250500892122	1.0075027374387644	1.3282687205457195	1.1137892514526122
85000	-41.0607884350016	-49.37823487551634	8.317446440514741	1.1070540770589645	1.2560814754882192	1.1596061709827363	1.2251709933337906	1.0942285170185262	1.1078180430893607	1.0829298824208091	1.304125391737575
90000	-35.70779461342963	-48.71663641694076	13.008841803511128	1.151956993058121	1.2126839699888683	1.18980870100389	1.0650521834043163	1.1882933577092425	1.1192975104797462	1.1553952294051195	1.1795857936535454
95000	-37.13572522004459	-47.978582739404146	10.842857519359558	1.2570911377705813	1.132689943176509	1.133469489559579	1.0659395704373187	1.2248393866274758	1.1457922337653403	1.2443580314185403	1.165912720371047
100000	-38.51678404206827	-49.298146271225775	10.781362229157509	1.1205521617045038	1.2077559407058636	1.142910179353512	1.2188322181323825	1.2093831140381652	1.079190439093133	1.1022602696680381	1.0584049534613564
105000	-37.28311345263181	-48.69886557492773	11.415752122295917	1.2550713717230795	1.1148407829999998	1.1426474299147518	1.2311963510004937	1.0634159298673722	1.1456050784912368	1.1912726767630955	1.1517128685095293
110000	-41.256645579409216	-50.230976060153395	8.97433048074418	1.1157626291174116	1.2452428386843344	1.2652465176654728	1.2684144515300189	1.2473648381379692	1.1602131253453705	1.0991238191958501	1.2059601813790803
115000	-40.3943772447941	-48.90334621693093	8.508968972136824	1.2259615456183701	1.1069431900341478	1.1543385651099334	1.2733549190285525	1.2198305756626506	1.0276869929701618	1.2251749701355998	1.1781464134087831
120000	-36.459003719135175	-48.8408049497391	12.381801230603925	1.2028955467444697	1.0992239310565883	1.1227671030614943	1.2067925534899597	1.0822498141661683	1.127739965011297	1.209397274728274	1.198703110414129
125000	-35.09947013037522	-48.40076135462218	13.301291224246969	1.1837427531546416	1.1474724484530066	1.1075816067638606	1.154244504538962	1.1342998653387086	1.1552037661340915	1.2632602926235654	1.1476489511210681
130000	-38.68932974717994	-47.96804812481898	9.27871837763904	1.2121739545326828	1.2447775216993877	1.0889385446078779	1.1322212713613682	1.2812321870858263	1.2116012787937502	1.2065864400945088	1.2482893085781634
135000	-35.147370762905055	-48.497108131826394	13.349737368921335	1.221888205816525	1.147677722610681	1.09321535676478	1.2137387779532864	1.1266388591180543	1.1337584153601805	1.1626731735009193	1.1887548430864319
