#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.10681389152549 1.16559586079849</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.34679605757689 1.19772229158989</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.17413686824038 1.14083397186713 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((((sp75:0.09664704527,sp76:0.09664704527)nd70:0.8997267659,sp52:0.9963738112)nd49:0.5429535762,(((sp73:0.113671695,sp74:0.113671695)nd71:0.3335900883,sp64:0.4472617833)nd66:0.8854615041,sp42:1.332723287)nd50:0.2066040999)nd39:1.374559942,sp50:2.913887329)nd27:2.503837414,(((sp66:0.4153942647,(((sp80:0.00629795765,sp81:0.00629795765)nd77:0.194197851,((sp77:0.05070776525,(sp78:0.0128202627,sp79:0.0128202627)nd80:0.03788750255)nd79:0.0665306669,sp72:0.1172384322)nd78:0.08325737652)nd76:0.03734616407,sp70:0.2378419727)nd73:0.1775522919)nd68:0.4202274649,(sp65:0.4203357746,(sp68:0.2704095506,sp69:0.2704095506)nd74:0.149926224)nd69:0.4152859549)nd61:0.3133039311,(sp54:1.106093905,sp60:1.106093905)nd62:0.04283175571)nd56:4.268799083)nd14;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp42" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp50" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp52" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp54" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp60" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp66" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp68" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp72" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp73" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp76" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp77" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp78" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp79" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp80" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp42=1,sp50=2,sp52=1,sp54=1,sp60=1,sp64=2,sp65=2,sp66=2,sp68=2,sp69=2,sp70=2,sp72=2,sp73=2,sp74=2,sp75=2,sp76=2,sp77=2,sp78=2,sp79=2,sp80=2,sp81=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214824.40023630226	-32.903206535702566	-214791.49702976656	1.10681389152549	1.16559586079849	1.34679605757689	1.19772229158989	1.0E-10	1.17413686824038	1.14083397186713	1.0E-10
5000	-19.828560071783087	-31.970813538613644	12.142253466830558	1.2206911980587907	1.2105304030883517	1.1845855217044512	1.2041699666801369	1.2772537559887516	1.177992893229773	1.150690560279525	1.170870356982942
10000	-19.749730606891575	-31.60411503884215	11.854384431950573	1.088861597963937	1.2261684583022114	1.2062439469929547	1.1516368700194195	1.2067264767556736	1.1786150101450072	1.104270838521734	1.2428594601878353
15000	-21.550015397436898	-32.77541994152733	11.225404544090434	1.1642323163275445	1.159644193718576	1.1725072236717877	1.267360525269468	1.0614763348594565	1.103396122938286	1.1139875720245236	1.1988608337010478
20000	-19.01916316448246	-32.243590216006844	13.224427051524383	1.0856889834144026	1.1805406643565768	1.2294412215136559	1.1359741603581242	1.1982260366682158	1.1830031103549437	1.1787276124608799	1.1897048915743345
25000	-23.942803405639104	-31.804095302272522	7.861291896633416	1.174876974288833	1.143144123355156	1.261940651334614	1.0587822846190926	1.2804360754066155	1.247628775517798	1.0699808160031403	1.1779578671678175
30000	-23.862079109102833	-32.086914268960534	8.224835159857701	1.0450034221648146	1.152411199350545	1.0515593992245598	1.125966378995977	1.219784255477179	1.2476635364746755	1.183745194002751	1.2559434456646965
35000	-24.287074649373814	-32.613671882198794	8.326597232824978	1.1754904135419566	1.118662412792194	1.047207259892014	1.1063588901783197	1.0570212308219482	1.0602063106543151	1.243423310271843	1.1775292305752865
40000	-22.511454175356565	-31.50483764820577	8.993383472849203	1.2080309163557217	1.2148273581585076	1.313332234400179	1.0783478828906699	1.07574820876424	1.1987152167631836	1.1289960080770336	1.1619780250815872
45000	-21.145086180499938	-31.095867077734077	9.95078089723414	1.1787939632896438	1.2651002975015742	1.135005469388933	1.1712924515997138	1.283232312362789	1.221579018302363	1.091345629686166	1.2130997360899765
50000	-19.30359092390046	-32.226732445744005	12.923141521843544	1.0776714641197853	1.146267772992245	1.1787249541328888	1.1446542799153265	1.1366166340547448	1.162560519188803	1.0731122168378338	1.1809079936618976
55000	-21.57186848507555	-31.71598618387717	10.144117698801619	1.1771665673195948	1.1805217286933782	1.2674966225650734	1.0981696085089407	1.161477103409044	1.1090512514152875	1.0555315607957967	1.086006552534502
60000	-19.034085373341583	-31.817429736196285	12.783344362854702	1.137688754212369	1.1775214676945271	1.0983586939445862	1.142084546347864	1.2077446743586402	1.1842652190981127	1.125455353621061	1.0692671629677029
65000	-22.14596277830279	-32.44822021248342	10.302257434180634	1.3517642004105803	1.1201663553315722	1.1400029073375866	1.161874596022962	1.1554950523877614	1.1482059870727388	1.138821824123574	1.169669949894552
70000	-19.70819623063699	-32.34616441883281	12.637968188195817	1.1351841606323025	1.1693733220096023	1.1815184363731663	1.185387071191154	1.1191179121123909	1.0568776990326911	1.10631482535459	1.1294867788432004
75000	-22.30173296733461	-31.082663200620814	8.780930233286208	1.2577620011119468	1.3298318939450633	1.17479323997708	1.1441215748907987	1.1394871000920908	1.1201077072995549	1.236288905940288	1.113117218156206
80000	-18.96574884355531	-32.178712220844886	13.212963377289576	1.2148334385272803	1.1423149219416258	1.1892228515226733	1.151020405695287	1.1259083548391098	1.237948056896889	1.103753275761841	1.137423587079864
85000	-22.184526608379507	-32.9941080319349	10.809581423555393	1.1334420893190922	1.137044505860519	1.1449252009412403	1.2113093157419301	1.079791765074667	1.0986999542974432	1.2072473716363612	1.0455801854618907
90000	-18.283619037115365	-31.559851181887982	13.276232144772617	1.1226365087188055	1.235278509086612	1.0956119464529273	1.1706051558994817	1.1341451705378915	1.1856241320651304	1.1651148010982035	1.2029004573114437
95000	-18.494594086453965	-31.750576924790597	13.25598283833663	1.2251140152645483	1.208695253134488	1.1416101455379495	1.2000761747564703	1.1897036714395608	1.171096077789678	1.1008664237489791	1.120979805682637
100000	-22.820195761528176	-31.88250894489511	9.062313183366935	1.1284828321565101	1.2072525374603564	1.2056648259982177	1.2032940100799125	1.2434393400939405	1.2060461583118733	1.0729171891717486	1.0297368752228089
105000	-21.542376893628607	-32.053792686616475	10.51141579298787	1.2185613849446602	1.2317997124874354	1.0795587637872448	1.2856762611270547	1.1436925457530167	1.1250505049488364	1.1605969605510276	1.1153860004007714
110000	-18.509302836588333	-32.37331226145251	13.864009424864179	1.110054659054969	1.157462275240127	1.1926767300147219	1.1339682685719255	1.195950647177795	1.1935049772819477	1.1908799798151974	1.2126568449982227
115000	-22.65044404305695	-33.35364391851202	10.70319987545507	1.2045823727887077	1.0882583644161157	1.2363755519072577	1.1912832073811426	1.1704177606538133	1.0704396524728421	1.1477983395491769	1.067767699605865
120000	-19.067302037706526	-32.2003911840763	13.133089146369777	1.1008915330460678	1.1306543490936944	1.1660351180794624	1.0697903825005377	1.1941698647016583	1.1390549320882837	1.150378379886271	1.133014490019022
125000	-19.904648421166428	-31.71370585548193	11.8090574343155	1.1425044519198215	1.1662161680970389	1.180941269757584	1.0741854621473512	1.1391053718132318	1.2622900473005405	1.1358443394877396	1.2317418973817225
