#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.18060099056959 1.1482196990877</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.15271725635416 1.15438472457106</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.17517961722662 1.2315432936719 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp59:2.361395595,(((sp89:1.160004723,((sp86:0.1173819053,sp87:0.1173819053)nd87:0.07538429919,sp82:0.1927662045)nd81:0.9672385187)nd74:0.1133213303,(((sp84:0.173922762,sp85:0.173922762)nd88:0.01472410912,sp83:0.1886468711)nd76:1.042800896,sp79:1.231447768)nd75:0.04187828593)nd73:0.1630581414,(((sp80:0.2097296311,sp81:0.2097296311)nd83:0.3617383951,(sp75:0.4515837993,sp73:0.4515837993)nd84:0.1198842269)nd82:0.489068364,sp67:1.06053639)nd72:0.3758478048)nd69:0.9250114)nd61:5.030808851,(sp72:0.4873413296,sp76:0.4873413296)nd66:6.904863117)nd25;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp72" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp73" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp76" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp79" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp80" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp85" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp86" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp59=2,sp67=1,sp72=1,sp73=2,sp75=2,sp76=1,sp79=2,sp80=1,sp81=1,sp82=1,sp83=2,sp84=2,sp85=2,sp86=1,sp87=1,sp89=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214819.2478146479	-32.05183358353499	-214787.19598106437	1.18060099056959	1.1482196990877	1.15271725635416	1.181446286168639	1.0E-10	1.17517961722662	1.2315432936719	1.0E-10
5000	-20.058131965025233	-31.41215060824886	11.35401864322363	1.1922523799960414	1.1854034340299575	1.0919085024381596	1.0906977816862788	1.1404410510419625	1.1579765138928082	1.0412634387055641	1.169643438753478
10000	-18.7689337158639	-31.77843548239033	13.00950176652643	1.2310406714257673	1.156422063013302	1.161934977545469	1.1810971138191682	1.186156503761351	1.178303348561388	1.0648859071808257	1.1696162514822281
15000	-21.484143054080533	-31.599422421501075	10.115279367420541	1.1826559602573559	1.2498701438499376	1.0761779919214558	1.1886895772517352	1.2767950557104122	1.2327020717460995	1.1603472010360494	1.1210009627890918
20000	-22.251285543102874	-32.47061881130376	10.219333268200884	1.062111073628267	1.202262345053719	1.1267757511438803	1.2514143066463583	1.2170373215915544	1.2497765658428726	1.137509620052561	1.2111803011863866
25000	-19.84646434780944	-32.12830639119175	12.281842043382309	1.1919903658388913	1.1510776907921427	1.172803556619153	1.2350163502952125	1.1131214136348149	1.1115329827764446	1.082139579056201	1.2197965114617768
30000	-20.311645914705334	-31.90289962811653	11.591253713411195	1.1711546524648273	1.2221921272285368	1.1704075715464202	1.2126249504487054	1.2147607793993211	1.1718307755110111	1.041009606696501	1.1767124041130073
35000	-19.599057203949698	-31.748715205590997	12.1496580016413	1.199244603099523	1.2469822191558002	1.2412134444031886	1.1264122112859902	1.1443522162428723	1.1459251275526428	1.1471149591154541	1.0884683723841417
40000	-18.43130628020141	-31.890730192513765	13.459423912312353	1.130846679731019	1.1913984717405632	1.1296150819288273	1.1629536102985336	1.2161716366145872	1.0854050955911518	1.1416257762705129	1.123864498253787
45000	-20.207111812485206	-31.862188916671826	11.65507710418662	1.1753506429209706	1.1360465406144802	1.1655381304301209	1.114400840805	1.152932021135208	1.019364789471274	1.152835864990685	1.1442683585268725
50000	-25.989274291672245	-31.665217061379188	5.675942769706944	1.1317700342006543	1.2117322153364414	1.1076079606586173	1.0658042944531265	1.028673783325373	1.291901198842802	1.2675056016744353	1.225214998625224
55000	-21.021620897385652	-32.319082603198154	11.297461705812502	1.2178652147317035	1.1453555422729873	1.1864238009918129	1.2809459855617418	1.2331657581052968	1.2028914148630565	1.1338179491379037	1.2083797762622326
60000	-20.77449374962335	-31.64693987093699	10.87244612131364	1.173958985897095	1.2152993249306585	1.1895219959396814	1.1068535542017215	1.1250451690337102	1.168016154364091	1.0208187994400402	1.1332674695303215
65000	-19.806439859896518	-32.42662033930596	12.620180479409445	1.1218554984384284	1.1281736353188938	1.187005709596597	1.181074055215617	1.2291534505915036	1.247924007295492	1.1112326245739717	1.1878832813801383
70000	-21.295399205976576	-31.433272603559526	10.13787339758295	1.2343575803852604	1.2053765136667542	1.0551441717863432	1.1214309065893018	1.1890229943113144	1.2022853006815626	1.222646332550146	1.2535466056521158
75000	-20.563389896216453	-31.459213842543573	10.89582394632712	1.1376950447353473	1.2193530116379654	1.0847345935658874	1.042063635685265	1.1557822211415987	1.1325219383070175	1.1928575591425152	1.1005725070843284
80000	-20.709283996833122	-31.59265201194013	10.88336801510701	1.1983538397211655	1.245047973988586	1.1326996822094606	1.1860720914142382	1.0830571357844327	1.1486761648456887	1.0522462274070887	1.1163921457013424
85000	-25.46426976900373	-31.900982165616476	6.436712396612744	1.1474910032921235	1.30480105348709	1.1546904823632695	1.2486642557282073	1.0643669854067754	1.2859771564466025	1.066881101526903	1.1391609525256692
90000	-18.900096211985105	-31.515130212552428	12.615034000567324	1.2508314622641192	1.2124168343550983	1.1549679362649659	1.1461961913259178	1.1975807318127416	1.176427226586941	1.0864901623392265	1.1873640246629427
95000	-19.174440971369137	-32.0338167757102	12.859375804341063	1.160368784375863	1.1595924744359376	1.157666209672701	1.1783119572308762	1.1909089120785816	1.2184450448474993	1.1173366999042715	1.267102283288098
100000	-18.578752356013208	-31.905651648290593	13.326899292277385	1.1583746828824253	1.1232536998545666	1.1776740681332123	1.0909462733795503	1.1228757185142297	1.0875684102994179	1.1396707094863383	1.1784138461506315
105000	-23.049851155343266	-32.26943378837696	9.219582633033692	1.101877161126904	1.1209885683265692	1.28411718489332	1.0247358039192667	1.1873871886860867	1.188146526484088	1.1706099389065145	1.136199864680653
110000	-20.054759686422486	-31.811674040395705	11.75691435397322	1.2230111274556188	1.150831770923847	1.1926709673613507	1.1424759353598646	1.261535240391567	1.1747191055863613	1.1021686459458833	1.2389985125466407
