#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.1061101975432 1.14790956353965</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.0876831166606 1.1891522371444</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.21408972486423 1.13020985856965 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp79:1.482557284,sp75:1.482557284)nd76:3.116751194,((sp81:0.5948241891,sp82:0.5948241891)nd87:1.258676532,((sp85:0.9381757255,((sp87:0.2481484899,sp89:0.2481484899)nd88:0.3052756405,sp83:0.5534241304)nd86:0.3847515951)nd84:0.2466371382,(sp84:0.2765632232,(sp90:0.08509846662,(sp91:0.04824709795,sp92:0.04824709795)nd91:0.03685136868)nd89:0.1914647566)nd82:0.9082496405)nd75:0.6686878572)nd70:2.745807757)nd61;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp79" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp85" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp92" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp75=1,sp79=1,sp81=1,sp82=2,sp83=2,sp84=2,sp85=2,sp87=2,sp89=1,sp90=2,sp91=2,sp92=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214812.15161520388	-23.949095459243235	-214788.20251974463	1.1061101975432	1.14790956353965	1.0876831166606	1.1891522371444	1.0E-10	1.21408972486423	1.13020985856965	1.0E-10
5000	-10.166930591793328	-24.31697133204578	14.150040740252454	1.1716598171163224	1.1027300694514792	1.155952805725023	1.2002774346435987	1.1796183535833742	1.1064764900532407	1.164475989498186	1.1682814131963843
10000	-14.10598221117781	-23.992630365602473	9.886648154424662	1.2447847149934823	1.0944126089462078	1.183084393982407	1.0948705978623336	1.256192596575317	1.1856360516445177	1.220757105969003	1.2516849775762744
15000	-10.775038783237637	-23.63197719380635	12.856938410568713	1.2513172739806866	1.21376817691986	1.195850472605224	1.1231014755967283	1.1554706561899557	1.1522580211824243	1.1020581581449784	1.1782538474424076
20000	-11.724647932120469	-23.814456073030087	12.089808140909618	1.1519313818540347	1.1753603923877642	1.1440186957993446	1.124946635130281	1.1964869667621463	1.1065320014503068	1.1562339897365728	1.2944015301073808
25000	-10.442534622087399	-23.627032862262563	13.184498240175165	1.1173606123981936	1.2078736569019886	1.0854757983270602	1.1370145674712	1.1146155342869257	1.1258187851710573	1.122208939787057	1.1708142266831232
30000	-12.958107008943895	-24.23672159644024	11.278614587496346	1.1231852377683305	1.0734584123024908	1.2084749945842468	1.073344839808847	1.2278568023750427	1.1007960412067739	1.1756755027922243	1.151001646985798
35000	-15.012158452586608	-23.824455562818702	8.812297110232095	1.196582724083471	1.1518297606846113	1.248819814853003	1.041128347591731	1.119400174292464	1.0902130227482512	1.1599978434867146	1.04871021766378
40000	-14.176568014886252	-24.143711980808114	9.967143965921862	1.0667834718845002	1.2030972998976328	1.1740802509260764	1.254196706959523	1.2199900408407207	1.1881533610826445	1.0539473928764829	1.1805326875750892
45000	-13.150261902096123	-24.680869901029528	11.530607998933405	1.1189433915590028	1.0599738468478155	1.234445947273782	1.1784400882908803	1.1212021542236266	1.2013192381506457	1.2286057176701697	1.1421806812084687
50000	-13.768372793460305	-23.30200380801832	9.533631014558015	1.2145928904279304	1.214662654867644	1.0443833429241698	1.0404913832580953	1.1191442151443955	1.1956545174193325	1.1805504182435305	1.1678397311898863
55000	-12.027951227849652	-23.46744764269745	11.439496414847799	1.1881416894664327	1.2662104811447032	1.2129272599604686	1.108007409146382	1.130727218985447	1.183536147285709	1.0925710561788278	1.222474798890115
60000	-12.124611075544014	-23.617156726443927	11.492545650899913	1.0983470977013312	1.1901271905172865	1.1217496173741461	1.113602882527589	1.1400736186291378	1.1971449939848795	1.0412647067173524	1.188413288500075
65000	-11.915591895974451	-24.20227684301787	12.286684947043419	1.1120519662748851	1.136655313943673	1.2820923974913492	1.109060766154534	1.1712363973697473	1.1840907991004135	1.193752087449027	1.1533841470640787
70000	-11.082092100240862	-24.37502661330531	13.292934513064447	1.158327514985629	1.1161971042396643	1.2171578976946948	1.2134584003466546	1.19096079817959	1.2142860447499833	1.1513564181275227	1.208669259217316
75000	-17.93111675596049	-23.916482509798257	5.985365753837768	1.1448114251526789	1.1847419615825971	1.1338784112904359	1.2002089780380119	1.0204099626238405	1.0592780724022752	1.004240909048041	1.1513584026477592
80000	-12.276013665231268	-24.13951194904466	11.863498283813392	1.073708834792294	1.1925639281238312	1.1624338598634258	1.2288308642367411	1.257586473673356	1.178921962489811	1.1673106019063786	1.1898897421015384
85000	-11.857103329086971	-23.826244070925544	11.969140741838572	1.1885125612532292	1.1838416839173211	1.1910608140336523	1.1424334814682902	1.0260325138720763	1.175366711483447	1.1477587296811678	1.1710315385972287
90000	-12.495011905051866	-23.47994178828433	10.984929883232462	1.1455306654828317	1.2207154555320552	1.1372535829858088	1.0985353200001222	1.0582866331134166	1.2267355651622616	1.0999726898304225	1.1091144340077606
95000	-10.121829011955217	-23.95201082261975	13.830181810664534	1.1917653033311957	1.1607261182993907	1.1083595479533892	1.2023801367071738	1.1025739947198936	1.1685658582136655	1.1908458901200734	1.1864608888146098
100000	-10.829301118341053	-24.19622164179182	13.366920523450766	1.1590958358152605	1.1602414450787766	1.2352425450495221	1.2033917357623567	1.1219251897821356	1.1575584235926235	1.0908686413090525	1.1696348212602485
105000	-13.638156956229903	-23.64835273331063	10.010195777080728	1.1545968406660108	1.1772837192492587	1.1744104926745473	1.080314557170788	1.2261797296798302	1.1507983848839451	1.062872857410617	1.2869739720579723
110000	-9.634550466831227	-23.53986803495415	13.905317568122923	1.177949833230681	1.2570765780086213	1.1401702521490684	1.1423299805071696	1.1702925454850919	1.1583946135549736	1.169010384035668	1.169177061951837
115000	-10.185736301293717	-23.86198847992584	13.676252178632124	1.1786120587186526	1.1611291493086264	1.0744737045981625	1.2038246231153225	1.1567780288145295	1.2007938907168383	1.1553064826205037	1.1550967831939993
120000	-9.574985000148086	-23.92776863554104	14.352783635392953	1.2036595646410981	1.1494921203357586	1.167773487457262	1.1308355427973162	1.2063083518576196	1.1273933715571058	1.1919347503904008	1.1514398764076426
125000	-12.67182340885948	-23.911719033014165	11.239895624154686	1.1991811490949873	1.2088591866770566	1.2209613448535699	1.2136421409339417	1.2350250151029927	1.247382637438568	1.0909011339152868	1.1640018282323623
130000	-11.510479439251128	-24.154549918087298	12.64407047883617	1.1467613593667918	1.1164851468139982	1.1080175012734281	1.1939398242360124	1.1060703174731072	1.1185745821923891	1.151253258816905	1.0724593571878076
135000	-17.76019868810947	-23.959538701045762	6.1993400129362914	1.2147930500863486	1.2157583051995726	1.307274169893388	1.087232399063761	1.1450361493996282	1.0600232384910258	1.2951427728982083	1.219327697356019
140000	-13.855106502173042	-24.202215990511995	10.347109488338953	1.1342598991737134	1.1231150796743312	1.168527057252283	1.170959188257414	1.134009215954992	1.0400003398369575	1.0593048304846577	1.0924850636278636
145000	-14.039496873935931	-23.39738050328103	9.3578836293451	1.1640301860803244	1.1833869540835231	1.1086136655161107	1.0429373756221856	1.142627783864505	1.3132964098071311	1.1582837904419072	1.1951886485756895
150000	-10.578910870408627	-24.257397782165096	13.678486911756469	1.1454684275916847	1.1181449669115735	1.1977562483800481	1.1539315848728737	1.1903049375775285	1.1393669723860842	1.2301069417958455	1.112814145535586
155000	-10.504342795696665	-23.90659156792319	13.402248772226525	1.1534269577558678	1.1990181486003126	1.1184191251285254	1.2263035101790585	1.204629143151897	1.20121515483488	1.177734259242299	1.2036638235559307
160000	-12.251970977349718	-23.501296841741144	11.249325864391427	1.160196147026021	1.2016954582788206	1.1211568233974838	1.0966889500041697	1.1669577938863593	1.249345952996891	1.1214029406309132	1.2718302794237375
165000	-12.402158225994171	-23.53099500155886	11.12883677556469	1.1123916915306937	1.1813065498671462	1.0731535067555438	1.1004487048820848	1.2290333950283732	1.2116894963864004	1.0781739430349087	1.1749865667398094
170000	-11.326625477147969	-23.59263350815031	12.266008031002341	1.1824441229211564	1.2504080327119598	1.1796810726735985	1.1213528410751679	1.0782632382715223	1.1253769062609535	1.1762444609817049	1.1091603525035416
175000	-14.380155967518203	-23.681630559364763	9.30147459184656	1.206771567579191	1.23262610676268	1.0628354000347489	1.2189990936117137	1.1340442937638833	1.1236583741439348	1.1490529745666285	1.031221350410744
180000	-11.89649246616024	-23.91988020325246	12.023387737092222	1.1976846986789305	1.1600084054652156	1.1304554549683272	1.1766161746532497	1.1832009560040269	1.1298566478367154	1.1451517605156893	1.030237930470625
185000	-11.281609875602207	-24.229063177426927	12.94745330182472	1.1487226711046852	1.1372842936027034	1.180855741814596	1.2181597068677865	1.1875840240786406	1.2057693999962715	1.1356538352900438	1.0689156808524205
190000	-13.339388778156678	-23.4952943210608	10.155905542904122	1.1630831295074868	1.192452604428206	1.0145106023437156	1.1294635497498722	1.084569151278955	1.1807305708955598	1.1286272965922888	1.112231235143838
195000	-17.526885252309523	-23.437820421210443	5.910935168900921	1.2356420742114593	1.2963097435916824	1.1972139408370694	1.164911014800353	1.162036484965645	1.3700141755134034	1.2063859006646596	1.1420931304811797
200000	-10.87980531403019	-23.94326937903203	13.063464065001842	1.2444354753171358	1.1020041788282395	1.1789843116531409	1.0997651300855558	1.178930826006527	1.1580420912666158	1.1396028568649736	1.1872795207214915
205000	-10.60789149251142	-24.06465255733428	13.45676106482286	1.2469295587100193	1.1563622637723623	1.2217606200461015	1.1857262863038482	1.1239939418562568	1.1667709880355805	1.168255286556558	1.1717484696504084
210000	-10.495956403238836	-24.23262360857589	13.736667205337053	1.1423982664866195	1.1439346895857436	1.2108442497531349	1.1853388289379996	1.1192199130776592	1.198976825551281	1.2265209186966668	1.167339464251325
215000	-11.240167342202398	-23.562972445855582	12.322805103653184	1.2870408975911007	1.2135965564629039	1.1274356185403773	1.1306839885052373	1.1285134478161902	1.1738531200275446	1.1493073484304408	1.1484810767326434
220000	-10.162823228007305	-23.948217163371293	13.785393935363988	1.1957961634727645	1.1251171581977724	1.1303002085963534	1.1406283602258362	1.1498770468638781	1.2034725984397578	1.2313914993327992	1.139144073096919
225000	-13.507995496209922	-23.84512353424551	10.337128038035587	1.2141291158327034	1.1506902940084802	1.1014869922660306	1.2024456230441043	1.2233744105808682	1.3148232043753783	1.1472913035481653	1.1798573284052585
230000	-11.307295347209774	-23.917704737383367	12.610409390173594	1.0723703738089623	1.2158669772760433	1.2125622197818335	1.1436436518822541	1.152524823080946	1.1804461112556432	1.2136890662887228	1.1965585652474444
235000	-12.200459176211993	-24.063320392100294	11.862861215888302	1.1305103955467912	1.1881948519888126	1.2482719539290579	1.1766386219861364	1.0868088767164394	1.2370558735001562	1.1764692769878096	1.1056529948697107
240000	-11.776580122879666	-24.365953053483224	12.589372930603558	1.165708874683669	1.0798294733771336	1.2100628610423594	1.1408014027292779	1.1453314921302469	1.0696981521743576	1.1341204334423012	1.1608712636943073
245000	-15.604158063595609	-23.55213400520573	7.94797594161012	1.1480685221185525	1.2174922217752213	1.1346151723703206	1.0594075046414368	1.1796816488374726	0.9982826574985875	1.1133679990839433	1.2140848150636836
250000	-13.663427202304447	-24.40928105340942	10.745853851104972	1.1593531228622138	1.1230122331507775	1.225226778895801	1.2189534515150673	1.1617961657205829	1.1038083206265836	1.0718827226279493	1.2693311010954056
255000	-10.440635053080676	-23.97648587886325	13.535850825782575	1.129363313825467	1.107047620950401	1.109223981893092	1.1326307370213495	1.1130379126944345	1.1592189724617958	1.1014938182711556	1.1627629935444093
260000	-10.315479132654142	-23.818613145057135	13.503134012402993	1.1660959469160173	1.1342278467057905	1.166516293060149	1.0835870239977505	1.1321779884779137	1.167831747228262	1.13886352875307	1.2309364814914248
265000	-14.72455255915072	-23.73084376700713	9.00629120785641	1.1178167253581832	1.127710598266729	1.108882155733823	1.043928112567435	1.1048826659309086	1.0470490261869017	1.0882426744410543	1.1881333746365752
270000	-11.910420064310625	-23.944487289780074	12.03406722546945	1.1273748362990121	1.1574503546187518	1.1127025998126354	1.173783993241295	1.1873375937605695	1.219051331745498	1.2236053269730645	1.2693066862977902
275000	-14.950200393862877	-23.672344580594718	8.72214418673184	1.2690701180554513	1.2092542201123309	1.1431288011295138	1.1388227921237373	1.0485569729843665	1.209472695376169	1.2747960781736603	1.107640031080073
280000	-12.449936328059964	-23.701435402392846	11.251499074332882	1.1710898509380738	1.273594024921005	1.1268952935724492	1.196681537010082	1.1172373123888824	1.1302270487362338	1.2640382156585765	1.1860177759114268
285000	-13.52353845371718	-24.260225647163185	10.736687193446006	1.1446993685648135	1.139965644204731	1.208897474803212	1.1723040572292924	1.2150622633104526	1.1953470493569396	1.3027450896544845	1.2367505554104856
290000	-13.438830838343318	-23.69288683217737	10.25405599383405	1.2361706284367884	1.1088148058454657	1.1572002317296926	1.0363046590566523	1.135820013119366	1.1677136478667918	1.0853198325426803	1.2178004536139058
295000	-12.15775104451917	-23.72941185933525	11.57166081481608	1.1905549067788737	1.1898137408683482	1.0623455600094251	1.200000833070595	1.2199223579377656	1.146907575481593	1.0955541387343275	1.0955825942744384
300000	-12.540226796035741	-23.891827880786938	11.351601084751197	1.1407524968248177	1.1247405942146815	1.0708705038316768	1.143840637615375	1.148331875208846	1.0775586383069302	1.0634367409755725	1.1641303614934846
305000	-13.06465634470889	-24.001670551574076	10.937014206865186	1.1710455348678799	1.1531365544312284	1.2168351501459909	1.0812879216640607	1.1495701652464394	1.0854539690860547	1.2739485847292835	1.1106867609467819
310000	-11.892369978959266	-24.48810380028333	12.595733821324064	1.089888511385279	1.10250204714551	1.1185599764252212	1.249614816946202	1.184679859410834	1.1542087952786209	1.178467995442978	1.1739959750988775
315000	-8.861360448935601	-23.856068897868617	14.994708448933016	1.1790435612802785	1.157596223856019	1.1192113102284094	1.1571474087476348	1.1689746234310292	1.1604123122330205	1.154741200148986	1.132238822472758
320000	-13.492007061699155	-23.73227541489241	10.240268353193255	1.1790275798958973	1.1409032028351587	1.0965858127701251	1.134645547455794	1.1373373319189004	1.1966670369184471	1.0145418096008139	1.2217528358362906
325000	-13.359970676999634	-23.93619111889742	10.576220441897785	1.2824071630957987	1.1871791820120243	1.1957516758027902	1.2326394445175999	1.1712984801294493	1.2706403352843672	1.1671156553811979	1.160438401128476
330000	-10.996596941658407	-23.87377509698352	12.877178155325112	1.1632673894972312	1.2291628173665834	1.1919088389979164	1.1963754991084548	1.0976459031099384	1.1185694430488926	1.1402996870064446	1.2240808841724373
335000	-12.419431709560936	-24.006970408610357	11.587538699049421	1.1829390190404647	1.0860355253886793	1.1232282184079825	1.1158502975199178	1.2239797331537015	1.0985254025142195	1.0706644199887425	1.156283682923053
340000	-10.21300887243819	-24.04066000374302	13.827651131304831	1.1238127279017813	1.1744226284604387	1.1289565023440367	1.2065479053127888	1.2300486936604589	1.1405726771005056	1.1808144673647543	1.1823695870124338
345000	-12.635726859447361	-23.37443734295297	10.738710483505608	1.1315394792252351	1.3220965250765164	1.1749425455973084	1.1335598155496607	1.1377050439166834	1.1389630920167775	1.1100687736624861	1.1043398080446445
350000	-10.424356431839335	-23.768493097849504	13.344136666010169	1.2296473058158157	1.1946395871154991	1.1967613867919416	1.1242170462951844	1.121677230540833	1.1105079634499428	1.1507841306682922	1.1975897516575784
355000	-14.219368782338098	-23.77109813865617	9.551729356318074	1.1671399549592063	1.204288748775033	1.1301730790457127	1.2066417218071936	1.3044042195470835	1.227514587179664	1.0623945484337298	1.1280682470911003
360000	-12.521040907390514	-23.75355081898707	11.232509911596555	1.25625509244969	1.1814978251111126	1.118568150476566	1.1373932586138331	1.137907437455142	1.0436520518701915	1.1200659199363556	1.1594304168264127
