#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.22416144568023 1.31136877318255</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.11084439949266 1.12807763136457</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.28220024734291 1.12863154508853 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp183:0.1370124783,sp184:0.1370124783)nd185:0.09262114475,sp174:0.229633623)nd174:7.87320106,(((((sp160:2.591030731,(sp166:0.3147748628,sp167:0.3147748628)nd169:2.276255868)nd99:0.1989447732,sp122:2.789975504)nd96:0.5312676191,sp153:3.321243123)nd69:0.5574158675,((sp170:1.935618145,((sp182:0.1616588316,(sp185:0.1314203042,sp186:0.1314203042)nd189:0.03023852744)nd176:0.432477807,sp159:0.5941366386)nd165:1.341481507)nd117:0.4964307958,(((sp190:0.002120766038,sp191:0.002120766038)nd177:0.5069727499,(sp175:0.2008683122,(sp178:0.1679390028,(sp188:0.07252048894,sp189:0.07252048894)nd187:0.09541851387)nd186:0.03292930942)nd178:0.3082252037)nd168:1.301044272,(sp134:1.249050731,sp172:1.249050731)nd146:0.5610870564)nd131:0.6219111535)nd101:1.44661005)nd49:0.4353627021,((sp176:0.1833350585,sp177:0.1833350585)nd184:0.08053003521,sp173:0.2638650937)nd183:4.050156599)nd45:3.78881299)nd11;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp122" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp134" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp153" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp159" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp160" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp166" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp167" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp170" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp172" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp173" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp174" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp175" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp176" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp177" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp178" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp182" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp183" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp184" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp185" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp186" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp188" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp189" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp190" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp191" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp122=1,sp134=2,sp153=2,sp159=2,sp160=2,sp166=2,sp167=1,sp170=2,sp172=1,sp173=2,sp174=1,sp175=1,sp176=2,sp177=2,sp178=1,sp182=2,sp183=1,sp184=1,sp185=1,sp186=1,sp188=1,sp189=1,sp190=1,sp191=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214842.32574957755	-49.73057868334568	-214792.5951708942	1.22416144568023	1.31136877318255	1.11084439949266	1.12807763136457	1.0E-10	1.28220024734291	1.12863154508853	1.0E-10
5000	-37.93870819448705	-50.12287330502078	12.18416511053373	1.196230498630643	1.2506563343832124	1.1211997218600158	1.2316125760740788	1.1485711549646085	1.2275986122482465	1.189938517953492	1.185399401141594
10000	-38.25230758273193	-50.37627188528278	12.123964302550855	1.232449393101053	1.1636311368863477	1.2520362207465041	1.1654551357892418	1.0867051159951429	1.2067421064717687	1.1247585763368544	1.1652599135958999
15000	-36.04863865515152	-50.185417284407706	14.136778629256181	1.1594269741399552	1.1642254264409513	1.1461041225239903	1.1092580076212266	1.1723095917723232	1.227251498122002	1.194438719728043	1.1672255392014634
20000	-39.649093168105495	-50.17972258852246	10.530629420416968	1.1269401889201696	1.1587973394754936	1.1787307972358427	1.0181031213275478	1.2228069759787328	1.2080529573506957	1.1178347389319772	1.128511603131122
25000	-41.01176355116948	-49.93307891751132	8.921315366341837	1.2054652915836874	1.0659189937494762	1.1419728970461611	1.07607247623166	1.1298256619975946	1.129601910013503	1.208515923336304	1.0245631313510688
30000	-36.86080484447129	-49.6586573035565	12.797852459085211	1.2046575731958449	1.13765669225228	1.1026910043230815	1.0768520613221282	1.1826687686758988	1.1863709386505217	1.1623247877092213	1.1029213923361283
35000	-38.23961274561937	-50.347321212596285	12.107708466976916	1.1823169682138455	1.085326530780193	1.1516767263338235	1.1246424107960034	1.1584901303916433	1.1309181938838362	1.2808044026240404	1.1377546795094637
40000	-35.77240446686196	-49.810736080948665	14.038331614086708	1.2145504866521435	1.1626678874425813	1.105368888304885	1.1526438196721454	1.141498359884049	1.1911896852540769	1.17181710160525	1.202275169289878
45000	-38.80935874532212	-49.4835303790143	10.674171633692175	1.2249218313364787	1.2117376323280848	1.0386288463805828	1.1186858255624357	1.197726120380259	1.188058272047818	1.1967878204363775	1.2208016534770525
50000	-36.22253529492605	-49.907166485121095	13.684631190195045	1.1776024567347578	1.1842701005203744	1.1233284317028294	1.0997306455771514	1.1624933764285488	1.2301884513157506	1.137629897992517	1.180456544463614
55000	-37.51860751483097	-49.89806073373797	12.379453218907	1.1737478625858246	1.1761485001288279	1.1542499749038164	1.0525320056518357	1.1901805338198246	1.1204153254082139	1.1905128548084312	1.2239834562386749
60000	-41.80031853621266	-50.72305218790083	8.92273365168817	1.1396098921998972	1.1614561995713149	1.1726088833811856	1.1557124343934944	1.200451890417646	1.3273452632681575	1.0539866778679667	1.0931276222256967
65000	-36.128906340543516	-50.042565126661664	13.913658786118148	1.2143985405958704	1.2169919833011296	1.1600911934801073	1.1890923255562582	1.1874739295883117	1.1741896190708396	1.133981455007484	1.1976689728296448
70000	-39.69292776485411	-49.58724339104031	9.894315626186199	1.2929124774648333	1.1060306266457356	1.0972627078074917	1.2030704932857694	1.2041021772706073	1.0815966976660703	1.2201457438027536	1.1767108798151031
75000	-41.37996843808236	-50.202710925756094	8.822742487673736	1.2247855425022411	1.3258311758649115	1.2740350838336336	1.1702177653777468	1.1862741198737041	1.1462214315122345	1.1975677798337432	1.1971430328129038
80000	-39.94629621421975	-49.8145268459842	9.868230631764447	1.1712046151746252	1.1341821900226063	1.0598366825350651	1.1043328286492802	1.0811356809549282	1.2681627913930575	1.121776351287526	1.2228509723340188
85000	-38.490637440733245	-50.683789762637616	12.19315232190437	1.19369400864673	1.1035873467843682	1.218925096462911	1.153492044290182	1.2242866619264936	1.251234471058172	1.1952793916769984	1.1846995392355828
90000	-41.79011291568528	-49.782228711575684	7.992115795890407	1.1190055343216296	1.1565475698376941	1.0196871965565009	1.0555683052666962	1.2046701607499029	1.1699666889979192	1.1279028698251066	1.0569153273990475
95000	-36.08703696974371	-50.12418760815593	14.037150638412218	1.1712043141856934	1.2150484288399332	1.1286508563136388	1.1723068786477568	1.1718716547175585	1.1675025731524353	1.0968094940279103	1.1862737017113927
100000	-35.789871736641	-50.22833949587496	14.438467759233966	1.1784939175613227	1.1767764404080256	1.1875734941822986	1.1198452744472336	1.1855895083444217	1.1893727837908614	1.1647502424259095	1.2035723749886469
105000	-37.566859617215655	-49.6223015791109	12.05544196189525	1.2567902070875698	1.1690378352873874	1.087027371270753	1.1900790145609674	1.1571807152165796	1.21532779283791	1.1817878548337464	1.2213412969743715
110000	-38.889775808629054	-50.35914281927741	11.469367010648352	1.1816150256184959	1.2069044696488007	1.1555132762265103	1.1997448827563293	1.2119933487219228	1.2911443880395361	1.0984473384458573	1.1594822103842743
115000	-38.933240894549144	-50.34287373772368	11.409632843174531	1.1649208640509277	1.0801704521874378	1.052774447170847	1.2262412315970737	1.149250386285281	1.1096196620669634	1.1285305503311556	1.1554508986898986
120000	-37.18279820742001	-50.11637253306768	12.933574325647678	1.157212316075214	1.166981819730802	1.104588381957061	1.1364258600282395	1.141730111794261	1.233942875864581	1.1641894556959647	1.2484457730478322
125000	-35.9988959440391	-49.77507231038437	13.776176366345267	1.2183370141079948	1.2038427808288577	1.1430988420513282	1.1180042882490604	1.1105451891235791	1.1491847472067447	1.1941714514731143	1.1528929438004911
130000	-36.67140442518991	-50.58524157652068	13.913837151330766	1.189421316009713	1.1035887747372601	1.1571835828668309	1.202947651487149	1.1432725912206267	1.184685858068639	1.1743454960934478	1.215225017790737
135000	-40.92393612796596	-49.80678540742983	8.882849279463866	1.1776705223755632	1.2042222044924757	1.067003381467307	1.1271620148032975	1.089716442752509	1.2490691773785996	1.2198366239660792	1.0418024884973964
140000	-42.02330372344936	-51.12268213677534	9.099378413325976	1.134962765139852	1.1527703593261251	1.1572296415312655	1.2491142848646015	0.999409706330304	1.2129338718535565	1.1234660999500432	1.1869679752345919
145000	-37.22890305802721	-50.94024506076956	13.711342002742356	1.1009226125390703	1.1527778669728248	1.194289782920876	1.1207859983174782	1.2259572477447382	1.1664893829502412	1.1891724789186857	1.1625632491247664
150000	-37.60690342735552	-49.67819776739491	12.071294340039392	1.1893918106535843	1.1718557814684873	1.0317832519398802	1.1573073602771138	1.1928719625882294	1.1208054402145082	1.1330718787137104	1.1579028801868578
155000	-40.1962630756903	-49.690164864606515	9.493901788916219	1.2589169319436218	1.2688897420193876	1.1109293094601516	1.2167143873689357	1.1763114593923452	1.256876940238229	1.095487794313066	1.1840100034011343
160000	-42.366372012470215	-50.292224973122416	7.925852960652201	1.1266619872345023	1.0735224562926713	1.1410616707999919	1.0397836728337488	1.3071126590103856	1.162758664345025	1.108405999437018	1.2164770227139194
165000	-40.83762008195589	-50.13865633435734	9.301036252401454	1.1255599292749965	1.1883035067428958	1.0254496945595146	1.1945499417669996	1.0758253486317417	1.0799253522706294	1.1501934576076962	1.1006104205356133
170000	-40.95384687535818	-50.15965170911252	9.205804833754332	1.1964051742039812	1.2024446107521911	1.1978479776633457	1.121423976092743	1.2644800071847833	1.3056176949134424	1.1947122979695417	1.0894375400984238
175000	-39.982686310427994	-50.97427290969223	10.991586599264242	1.161041806855756	1.0757556081117454	1.212014032024133	1.1432304290980526	1.2561683242477806	1.2382336717575333	1.1724011104631407	1.0931286772745474
180000	-38.73207932076086	-50.97990685892948	12.247827538168625	1.127937767332499	1.093716252436912	1.1951240162016485	1.1208924456331248	1.1452721009041222	1.2358092419888542	1.2375945536736963	1.1201982455004162
185000	-37.40329867442631	-49.82412353055304	12.420824856126726	1.2390232387401698	1.205380987295753	1.1001472475435286	1.233948175697271	1.1094479662990087	1.1539151608719773	1.1432721950402522	1.1776422670861342
190000	-40.53936237199257	-49.48248645487734	8.943124082884776	1.313322997013511	1.1479938877551132	1.1054141329020246	1.1994890891308903	1.087593075257811	1.1193548980266257	1.2595843167406282	1.1976143109587964
195000	-42.79853651012519	-50.65209456409893	7.853558053973739	1.1869126264885115	1.228948842632095	1.2197125883852646	1.2038503198764097	1.1956357389904986	1.0187293172037737	1.2676865793240029	1.086697843081553
200000	-36.24052062471382	-50.223820602773834	13.98329997806002	1.1802130922018137	1.1982013612918936	1.1815964349270622	1.1358882243947914	1.1986916158990044	1.1175920984408643	1.2091405646524076	1.1906649795885498
205000	-36.39564146159634	-50.38362417266742	13.987982711071075	1.1683893627902258	1.1585219134002216	1.1109622453037786	1.2161753104474344	1.1360911832763385	1.1932546192085542	1.1305325770988448	1.1987445318509211
210000	-38.280884343367234	-49.88778065669258	11.60689631332534	1.1965647221144717	1.1347105827083825	1.1675686274204307	1.0552174035733177	1.1953434582377231	1.2420916824614687	1.1290903364878708	1.1042545448320698
215000	-39.56333635007451	-49.480100198687666	9.916763848613154	1.287154519227532	1.2404889484005788	1.1562087438681765	1.1144591489718483	1.1874331083476504	1.1638318249333384	1.202158511526693	1.27028424125781
220000	-36.67804773433924	-50.02860172860406	13.350553994264821	1.188103160411841	1.1772222751409693	1.0936092703735947	1.1983884081854972	1.1549875673727126	1.0969350146644157	1.1312770047171763	1.116349971220667
225000	-38.00961210010651	-49.973546501291025	11.96393440118452	1.2685084187287856	1.1576399192216724	1.209569376228798	1.1694518568980348	1.187995298421791	1.193390743404145	1.1987371718917037	1.2404146894698795
230000	-36.86376062160848	-49.69130959382951	12.827548972221031	1.253660353525761	1.1325252170176345	1.1448691629492154	1.1222320001708523	1.1194764002008346	1.201421775509817	1.209487405832423	1.1916694244937056
235000	-40.72642810221751	-50.55407961894011	9.827651516722593	1.079043034999419	1.159155385996579	1.1076848269197936	1.0998576233863668	1.0443025272376558	1.2470305682838463	1.112745515985019	1.1414970369238726
