#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.16971727781001 1.13013664018111</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.18241859633096 1.16778573770752</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.23626335033923 1.06789321102369 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp64:0.4872613898,sp59:0.4872613898)nd61:1.077729201,sp54:1.564990591)nd55:1.43195514,((sp67:0.2017688118,sp68:0.2017688118)nd50:2.665697616,((sp65:0.271917117,sp66:0.271917117)nd65:0.3341678297,sp58:0.6060849467)nd63:2.261381481)nd43:0.1294793028)nd36:5.382445736,(sp61:2.418541147,sp46:2.418541147)nd40:5.96085032)nd1;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp46" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp54" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp66" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp68" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp46=2,sp54=2,sp58=2,sp59=1,sp61=2,sp64=2,sp65=2,sp66=2,sp67=1,sp68=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214816.61424475885	-27.952300894389783	-214788.66194386446	1.16971727781001	1.13013664018111	1.18241859633096	1.16778573770752	1.0E-10	1.23626335033923	1.06789321102369	1.0E-10
5000	-20.432604912748378	-29.161864030877787	8.72925911812941	1.0966484194679154	1.1006018084110696	1.1749731380562995	1.3044906229419397	1.0380097253877967	1.1334068070559964	1.15859957541417	1.124105310014361
10000	-20.433476128529634	-28.22917070331919	7.795694574789558	1.3010925948947243	1.1361425467748545	1.053401153455443	1.160651123443577	1.2468320737883378	1.063996588162259	1.1908225558574865	1.1100467674946894
15000	-16.678215899198005	-28.29024853550517	11.612032636307166	1.1974939407480978	1.179697498146797	1.223114197448474	1.2398293096319606	1.2434603178720887	1.1639797894533914	1.078243066251704	1.165723638387653
20000	-14.396070303150026	-28.26963839587996	13.873568092729933	1.1723199329665508	1.1732030818992096	1.197925746815855	1.1398095394931003	1.131524919508277	1.1298173512582295	1.2240828905211216	1.1096428947778645
25000	-16.01449662073136	-28.28965002152199	12.275153400790629	1.1522827760602448	1.132004486927887	1.186927846449714	1.161306257104312	1.0445488816742825	1.1845826815549991	1.205149479412509	1.1110593536385749
30000	-15.721917051697162	-28.093616055646688	12.371699003949526	1.1763131957131219	1.0986528625196879	1.1062932997152783	1.1737131478123217	1.2526342235706263	1.220163359350386	1.1979431473666393	1.1489062612336165
35000	-15.100454243358772	-28.12930523287181	13.028850989513039	1.0533544634393874	1.1890917335811062	1.1377154389927329	1.1397707714686711	1.1934125895709895	1.174923300438167	1.1550901069781296	1.1855533459870484
40000	-15.469330405653041	-28.320142081577483	12.850811675924442	1.1885549310491106	1.1759619747191534	1.194017541686149	1.2432459611711697	1.1810622000488524	1.2319907241228982	1.1617487715317258	1.1070689098509139
45000	-16.69902673653168	-27.633005282835263	10.933978546303583	1.179019494158231	1.0860195283853424	1.0709924636273715	1.0539477983119616	1.1486736264707025	1.1724585963546412	1.1140380029727492	1.1243988770690732
50000	-16.83798689537367	-27.987578720506374	11.149591825132703	1.184863737734676	1.1322821136944157	1.0850389905414353	1.1661587380765757	1.169980096635499	1.1324922461659448	1.1243860255456393	1.3068300549729601
55000	-18.00401518265087	-27.740448567083376	9.736433384432505	1.2775240433686281	1.1206670896699493	1.0645075922257812	1.120589490544912	1.2005771450302336	1.2686789512092784	1.1656612248623468	1.1583715595950421
60000	-15.045537591142084	-28.20967332973242	13.164135738590337	1.1313985299272147	1.067234616851601	1.0977275708423349	1.1775136959755952	1.1877109430798447	1.1682323496751648	1.1495772635994699	1.1595075861964692
65000	-17.45267966879902	-28.459486437540235	11.006806768741214	1.1266669253263348	1.0904907437352758	1.116714141409922	1.206354519549324	1.2884765034735532	1.0965368340880808	1.1542850052912936	1.1789416773112664
70000	-15.510169478688683	-28.61866906147393	13.108499582785248	1.136632004323911	1.1674276014948959	1.2595259056970887	1.1798290385244783	1.1909469419853613	1.12892862345235	1.206440027709747	1.1255087642909798
75000	-17.42923036726767	-28.563000436922493	11.13377006965482	1.0991354219989566	1.096104798220689	1.096072825291324	1.1973524012946934	1.1808282633448461	1.081819349938088	1.2126661527105633	1.2367268610990942
80000	-16.875435701291963	-27.890352644006075	11.01491694271411	1.1011792056710454	1.2422889299072526	1.20105441139764	1.0600140640061608	1.1825617245890137	1.1722516436059935	1.1520055727243252	1.0813440335793536
85000	-14.762404023548909	-28.317657109719555	13.555253086170646	1.1601550612388782	1.0715268990413942	1.1420647537317044	1.1834406662754013	1.1822107485839939	1.1576832896147702	1.1646555519739308	1.1067620829189655
90000	-14.764237155901498	-28.29343317091573	13.529196015014232	1.1172734317823454	1.1650147518487688	1.1311235292325363	1.162850495606259	1.0822905068894342	1.1257616403794681	1.2100207556010432	1.171769714311489
