#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.19598255115409 1.22937279573114</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.22556555239555 1.09903313626801</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.11513086039009 1.19485280413329 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp82:3.283087351,(sp92:1.221147153,(sp94:0.1315940581,sp95:0.1315940581)nd91:1.089553095)nd87:2.061940197)nd61:0.6405440871,(sp90:0.2647412283,sp91:0.2647412283)nd52:3.65889021)nd44;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp92" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp94" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp95" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp82=2,sp90=1,sp91=1,sp92=1,sp94=1,sp95=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214803.59865711865	-15.264366937671412	-214788.33429018097	1.19598255115409	1.22937279573114	1.22556555239555	1.136165294097231	1.0E-10	1.11513086039009	1.19485280413329	1.0E-10
5000	-1.685042126626504	-15.147693430664583	13.46265130403808	1.2309448934997105	1.118652735201126	1.1681571574543979	1.107068345154046	1.1230231249183147	1.1116963578003727	1.161047682537742	1.151771594730211
10000	-4.857956650566839	-15.129918323265352	10.271961672698513	1.198600154513008	1.1430824828207329	1.0468298195859587	1.0795358692932546	1.1686251175637334	1.2157660117580285	1.1340299010220247	1.2540373893699974
15000	-2.9294162860366075	-15.37972020627692	12.450303920240312	1.2025024169420646	1.1357728072350584	1.1358440191078727	1.203254105272946	1.2554446470903537	1.2427156439571185	1.1547332932932581	1.161213850571235
20000	-1.2610410738872595	-15.20651433759632	13.94547326370906	1.1625147919571874	1.1922104625223502	1.1444064953443502	1.2024692861063324	1.2110435146082903	1.1243800669167845	1.200592277059181	1.1234551213683726
25000	-0.723532542061637	-15.172865519163738	14.4493329771021	1.164252394589194	1.1233067104851497	1.12312412751226	1.1801954429891262	1.1746379961755107	1.1395963709567942	1.2132047218526645	1.1614989066289167
30000	-7.931107830120202	-15.15607150791434	7.224963677794139	1.1731359321529036	1.1405059413591483	0.9778634169899253	1.2141525521593668	1.1394067258871607	1.2677602131447945	1.1516037402024455	1.1994310446206367
35000	-2.5443361437856122	-15.163704161752092	12.61936801796648	1.161468867050303	1.1506099789934354	1.1374429393465633	1.2408706181443934	1.1415039559605973	1.0753811735592091	1.2112164634044955	1.1198682260027644
40000	-3.7371032931093087	-15.493159536365178	11.75605624325587	1.1335182714883454	1.1630311555886228	1.2067943071659015	1.1483102440527004	1.1236629910799716	1.273915925408706	1.2472423710389922	1.192572980601101
45000	-1.8049781235423747	-15.18063410168849	13.375655978146115	1.1424799077798737	1.1483654868780082	1.1315226512073984	1.1869184352764743	1.2221115619416987	1.076444235462249	1.1491635950348922	1.1843824867100863
50000	-4.098222291367183	-15.408700089311104	11.310477797943921	1.1195755861551522	1.1879320531116417	1.1077113276904087	1.1639718642803207	1.1795459562942856	1.2747076116025917	1.156813824170313	1.2624699289016175
55000	-3.965600364126141	-15.23989983200528	11.274299467879139	1.169259951034925	1.096252123873006	1.197312322780736	1.166213785947644	1.0836277236379015	1.0731132971501975	1.2055511499127907	1.2392601327645785
60000	-2.9869973501039873	-15.269157210459312	12.282159860355325	1.1336478398972285	1.2090194260326488	1.154895913233678	1.199723011610859	1.281956787096356	1.1086974601668993	1.1591943582753959	1.1483963256238516
65000	-1.0082933803113114	-15.390416216145985	14.382122835834673	1.1671405213637045	1.2061991298842423	1.195108339165755	1.1715165973635564	1.1451650270459814	1.148583693150469	1.117985156379173	1.195878061193081
70000	-3.132697132830577	-15.25132476354632	12.118627630715743	1.2036166893620242	1.2781085006514186	1.173083674537932	1.1076588908709086	1.1744926949272911	1.1414420621455748	1.141388244803435	1.2205086790485302
75000	-2.8529773864848895	-15.634992160093562	12.782014773608672	1.1041226375365418	1.1862789918953807	1.2228180680652114	1.2504437465821328	1.1770128964216198	1.14799601041952	1.1173437270904554	1.1596559004594804
80000	-3.9124441705114386	-15.52950008667666	11.61705591616522	1.1746918928466465	1.138309403389952	1.256582841188372	1.1717287220802777	1.2160467336426652	1.2311055396534716	1.2465361623817035	1.1875086948573321
