#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.11899605057976 1.16806625363159</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.19565520267833 1.16492603809259</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.23805357308033 1.14560015520378 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp138:0.1582269097,(sp143:0.1005700427,sp144:0.1005700427)nd145:0.05765686702)nd133:1.221652823,((sp139:0.1353850615,sp140:0.1353850615)nd139:0.7305233614,(sp133:0.311666965,sp134:0.311666965)nd143:0.5542414579)nd134:0.5139713093)nd130:1.051979629,(sp145:0.01630744619,sp146:0.01630744619)nd136:2.415551915)nd106:5.412100904,((sp141:0.127949612,sp142:0.127949612)nd144:0.03437385979,sp137:0.1623234718)nd141:7.681636794)nd2;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp133" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp134" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp137" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp138" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp139" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp140" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp141" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp142" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp143" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp144" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp145" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp146" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp133=1,sp134=1,sp137=1,sp138=1,sp139=1,sp140=1,sp141=2,sp142=2,sp143=1,sp144=1,sp145=1,sp146=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214810.34085531972	-22.73061412213638	-214787.61024119757	1.11899605057976	1.16806625363159	1.19565520267833	1.16492603809259	1.0E-10	1.23805357308033	1.14560015520378	1.0E-10
5000	-10.912034326353822	-21.969707392991275	11.057673066637452	1.1646383118741999	1.2085828832259815	1.0542467407854605	1.163475765576037	1.068843838772272	1.163059885036787	1.136500506814597	1.0868132294321569
10000	-9.825534853353581	-22.272034404939365	12.446499551585784	1.2140729984183618	1.077188510859716	1.1466723134157382	1.1779989289748343	1.0921239084035206	1.1584867244984327	1.1079305871505316	1.2038830928342563
15000	-10.772611586152129	-21.85952691218072	11.08691532602859	1.1947031009498414	1.1164367287814299	1.16861459455307	1.1358216315314826	1.2223729573207294	1.0804061021251534	1.2413586379357013	1.255527179853728
20000	-12.109503442198253	-21.979644673382346	9.870141231184093	1.141196661407311	1.116478985606932	1.0688972754910755	1.1749166460116476	1.2146671464867274	1.2073839347939268	1.3098236903447569	1.1320962471277733
25000	-9.66096395576971	-22.453794771461517	12.792830815691808	1.154238192088143	1.1032316623135765	1.172617987221839	1.2218711260758588	1.2307155758375532	1.1410931758521898	1.1748075486128084	1.232053201749
30000	-10.648248242911471	-22.051467706794593	11.403219463883122	1.2732616883883145	1.111381904907397	1.205991507158709	1.144786024920014	1.2518694796406549	1.1529318794069263	1.1458950094869589	1.1126814429358316
35000	-10.75166936726787	-22.022168983918537	11.270499616650667	1.1167360891108176	1.2230187578637028	1.047756961145883	1.2119455483813473	1.2209755263976987	1.1525830908856975	1.1634964399105654	1.1140426360396585
40000	-12.799346717558231	-21.830535642267193	9.031188924708962	1.1869851199688617	1.053061664818539	1.0531839837268915	1.1108232632717712	1.1967229883829016	1.0970100949024755	1.1672352861799318	1.0648521475883581
45000	-10.620456719387523	-22.680967086787224	12.0605103673997	1.1427267268650934	1.2109254636024398	1.2090702345662914	1.1599211233619358	1.1577424280803836	1.1770808603170178	1.035839599348479	1.1507997816925133
50000	-9.38957164414618	-22.151665870602123	12.762094226455943	1.2037604041067207	1.1547787157121232	1.213499613370593	1.171684767735471	1.1433665767935792	1.0805511484777168	1.1179552385198248	1.094819209704654
55000	-8.345861483638611	-22.104803086964644	13.758941603326033	1.1421870879924503	1.1795937153441434	1.14249472393247	1.1763985237565693	1.1684682388494765	1.0725229450581741	1.1241867812676065	1.1816644803893364
60000	-8.996860222064832	-22.066758598624144	13.069898376559312	1.2111824729775738	1.2389232427454477	1.1538239953755514	1.195663926660085	1.11051359797611	1.1589315470456885	1.1129792525087965	1.1242769949195865
65000	-9.878040290057784	-22.173581051440433	12.295540761382648	1.166325445397122	1.141444912119416	1.0570963439917445	1.1720252014687842	1.2330925883391923	1.2160854207681953	1.1304787658490731	1.1564167894786967
70000	-10.605506510165089	-21.824252359235334	11.218745849070245	1.2187574090582072	1.2579633477195191	1.212563520785226	1.1712791451294853	1.2245292358538717	1.0692275350582252	1.1700154388407864	1.1579035117840557
75000	-7.974083614228533	-22.173417424636792	14.199333810408259	1.2041238106489265	1.18227312950213	1.1864115269939883	1.1946995293957439	1.1605012963146415	1.1903289454779813	1.1862226375461062	1.2052150571836895
80000	-9.22185039272727	-22.239451249206375	13.017600856479106	1.1553416004567312	1.2046506288150858	1.0947656465699123	1.1761064692853542	1.1525179620843944	1.1798420107399115	1.0846224144332508	1.2161775258268184
85000	-10.879449429991489	-22.2216798235458	11.34223039355431	1.1166877776747637	1.1449913180057643	1.1716771491106943	1.1724445490714044	1.1086907824836998	1.0208531334848652	1.138511256680124	1.1776679572393742
90000	-9.571318594522753	-22.074362960200023	12.50304436567727	1.2325383942199561	1.2043364178510136	1.209096032837487	1.1018801879565252	1.1503322931409474	1.1735978593001957	1.1583037939651106	1.2418973523106245
95000	-14.766243373135499	-22.259492945950672	7.493249572815173	1.125695154062884	1.187698399026257	1.1459364763890763	1.1788193741526687	1.0647038621076832	1.2764128876107015	1.329545555092892	1.1033540015549999
