#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.16976823040857 1.23780911202722</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.19862817925981 1.21996353428602</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.1647500549702 1.1591848611635 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp74:0.3971124632,sp75:0.3971124632)nd84:0.1979398431,(sp82:0.2084387519,sp83:0.2084387519)nd85:0.3866135544)nd77:0.3083798802,((sp86:0.007540535269,sp87:0.007540535269)nd81:0.6928234295,sp68:0.7003639647)nd78:0.2030682218)nd71:1.942005833,((sp76:0.3189952721,sp77:0.3189952721)nd80:2.433015615,(((sp70:0.5975440777,sp84:0.5975440777)nd72:0.6002666248,sp72:1.197810703)nd67:1.302911618,(sp65:0.9614316267,sp63:0.9614316267)nd74:1.539290693)nd48:0.2512885674)nd44:0.09342713212)nd40;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp68" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp72" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp76" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp77" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp86" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp63=2,sp65=1,sp68=2,sp70=2,sp72=2,sp74=1,sp75=2,sp76=1,sp77=1,sp82=2,sp83=1,sp84=1,sp86=2,sp87=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214816.9317397461	-28.382974247053017	-214788.54876549906	1.16976823040857	1.23780911202722	1.19862817925981	1.0732626943546917	1.0E-10	1.1647500549702	1.1591848611635	1.0E-10
5000	-17.220252311902257	-28.63706469919205	11.416812387289793	1.2193225206513647	1.1453237429587892	1.1403135023110393	1.1634245373405652	1.2949948635347137	1.2078365168073013	1.185856592422911	1.2181400759787617
10000	-15.57135324494731	-28.347313548654498	12.775960303707187	1.2087341160906846	1.208044119836563	1.1247989294205598	1.1395989612574977	1.1210097568847877	1.2562527266999444	1.1657583689115123	1.1241351124005663
15000	-16.125536034205666	-28.647302749864085	12.52176671565842	1.2095049192701701	1.1368115951731426	1.0855630081849066	1.1793327378762761	1.126622075739182	1.1222285039726336	1.0977517814856466	1.0975789040956283
20000	-16.65407992059417	-28.795988929693287	12.141909009099116	1.1832079601857812	1.1157608088559376	1.0520348261221304	1.2153144369505091	1.1252221657566441	1.1274612721362915	1.1918236532741373	1.185326200970142
25000	-18.29807401691047	-28.470578626196804	10.172504609286333	1.1895425826628352	1.1319826998868932	1.056144854734587	1.1550029190271083	1.096674109356945	1.2454676465750325	1.1368128577580308	1.061072292011236
30000	-19.927620220863837	-28.715020007075246	8.78739978621141	1.2226872781393718	1.2017565983598275	1.2892539584376987	1.1082896113487821	1.147058044935333	1.1858921287389144	1.2647444849554286	1.063530973116346
35000	-18.58836967882509	-29.31603669952966	10.72766702070457	1.106473971119104	1.1346522708232512	1.1325187326166484	1.267125489407809	1.06700194843593	1.1359345945744952	1.0786279641931895	1.1569094878171542
40000	-14.959432416942837	-28.813906618258574	13.854474201315737	1.1779590850049209	1.2078789436526265	1.1512227251099187	1.2306908049965	1.167476230770557	1.1541330044896938	1.1476773608655015	1.1075934668744347
45000	-17.071040725795115	-28.441666033225648	11.370625307430533	1.096020514621511	1.2401593801656483	1.0959310525120516	1.1425731685408613	1.2552542384710732	1.2187761346915487	1.1496534714446074	1.1779413780578574
50000	-16.811123029582788	-28.815080230282906	12.003957200700116	1.2266415151600285	1.1081030505335776	1.1137250715636546	1.2122914109348542	1.2449501668841483	1.18425201551474	1.1665324639552943	1.21981588430171
55000	-17.592372951085473	-28.526257831895357	10.933884880809885	1.1664150667319217	1.3174245939051794	1.195132670411939	1.1952613363800038	1.2166330878742402	1.1531533646556336	1.1500010621763561	1.2067834444132528
60000	-14.37785064256268	-28.8489845325513	14.471133889988618	1.173792709588116	1.1742000688393104	1.1776659943796934	1.174873674521338	1.1714269577174834	1.1344973114881323	1.1797817890892788	1.0961525433657782
65000	-16.342191865639847	-28.704956559382378	12.36276469374253	1.1593248820809863	1.1072031454972013	1.1277411450228214	1.105854825240284	1.1524952715110692	1.169919374281358	1.0479632731607265	1.1526337170700451
70000	-16.99922966954591	-28.998951565932796	11.999721896386882	1.1126034436772332	1.2124256112602754	1.1898699759509255	1.1990703155703055	1.150897538756838	1.1443749346447492	1.251447229506264	1.0763638364340058
75000	-15.482896727494794	-28.59939511850488	13.116498391010087	1.248022574177882	1.1954576754663881	1.229815320035429	1.133840908839176	1.1763242819495003	1.164456509596364	1.133795273106359	1.1370632035074786
80000	-17.91353279403041	-28.79912462298587	10.885591828955464	1.2654265468772459	1.1481113186499254	1.2517132391498935	1.11921982559373	1.1740675158308802	1.0692646411225093	1.1337307550587163	1.1310222023598413
85000	-17.657776048251748	-29.0229524567701	11.365176408518353	1.122284476303526	1.2176098889104638	1.2505907255477329	1.152430996005651	1.1006153419071034	1.06460398485329	1.1909278091225428	1.181860961497136
90000	-15.74594217263338	-28.480895703812962	12.734953531179581	1.2769646695159427	1.1580068436508537	1.1807772427080232	1.1169737111734916	1.2062205360290053	1.1670785565597463	1.148780885515371	1.1878086641477137
95000	-17.18025173718419	-28.251108903009076	11.070857165824886	1.151819126983858	1.273489756531269	1.1008006025871393	1.1276369087603286	1.2110589301800083	1.164206311653266	1.0777517122305935	1.1056371508786398
100000	-16.35003782415164	-28.123523039412554	11.773485215260912	1.2386558136579635	1.2450332077811734	1.1106391658433714	1.0927244783019427	1.1758749918997167	1.159619780939452	1.143005414243016	1.2243860615211861
