#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.04002812978538 1.1924947707544</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.11613965174431 1.15966114446774</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.24250721712082 1.23622134464323 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp87:0.465612393,sp88:0.465612393)nd87:2.760429589,sp83:3.226041982)nd72:2.56106348,(sp86:0.5793752838,(sp89:0.07617682666,sp90:0.07617682666)nd89:0.5031984572)nd86:5.207730178)nd26;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp86" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp88" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp83=1,sp86=1,sp87=2,sp88=2,sp89=2,sp90=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214806.9987406127	-16.152580452144825	-214790.84616016055	1.04002812978538	1.1924947707544	1.11613965174431	1.15966114446774	1.0E-10	1.24250721712082	1.23622134464323	1.0E-10
5000	-3.4523345203864544	-16.07849703103058	12.626162510644125	1.0916475481256664	1.1829020379654485	1.1448141894594435	1.1138181080281229	1.1066073753799925	1.2197887869650508	1.1617131000182555	1.2296500781412134
10000	-1.433119103199946	-16.329449442706302	14.896330339506356	1.1615276880004526	1.141586119551328	1.193144985804677	1.195795065694658	1.164044880800975	1.16353726238036	1.133347080966873	1.1669388918060777
15000	-5.131950078535862	-16.172154094751296	11.040204016215434	1.188319257959491	1.1278512248799102	1.0815995536060055	1.1599219883312228	1.2524184452373375	1.074644106324252	1.118078467409702	1.099443190842468
20000	-4.189410939578025	-16.416647540299675	12.22723660072165	1.160189572673036	1.1360792835917664	1.2464817482877382	1.1536200713445273	1.2246455945291357	1.0876744705413484	1.2262791612583996	1.161253516951553
25000	-5.632707325832117	-16.114542985258367	10.48183565942625	1.2339787156571418	1.1273108225623276	1.11260019680724	1.1379159930811804	1.2777387575845436	1.1895932036589805	1.0683913189540217	1.119673314213143
30000	-6.498473391547989	-16.30603211478487	9.80755872323688	1.2413494392633622	1.1445748057272156	1.2277633650078845	1.14484186592489	1.0535160628359992	1.203133564875741	1.2755240370443222	1.1668488684212142
35000	-4.371684091483381	-16.029626376190443	11.657942284707062	1.1913455882495672	1.1466225425916816	1.0890177365503642	1.0712502352116737	1.0936354822363712	1.152048738306651	1.1262316098528138	1.0907377310100181
40000	-3.766877404892506	-16.044002844894923	12.277125440002417	1.0927740157485741	1.1847035086388884	1.056058281042259	1.1437855145716695	1.1243780748590049	1.1765532360986375	1.167402492119647	1.1109721016936889
45000	-5.12275088078181	-16.157879408768615	11.035128527986805	1.2340505698744484	1.2447046843559844	1.126376459676447	1.1855939123458077	1.0729586556885207	1.1228928544723884	1.134947717985775	1.2365123281001262
50000	-4.40532160911145	-16.16413284726448	11.75881123815303	1.1713625070193256	1.1915372659344985	1.2015124543654572	1.1023673942919847	1.2587973692554997	1.1741508531675067	1.2480382484813646	1.1988941679421123
55000	-4.388708111687798	-16.467480947224537	12.07877283553674	1.115629304678594	1.130074354994694	1.227952223909611	1.1879337567210435	1.1184574176202124	1.185018408802004	1.23041866132646	1.0772434317108632
60000	-2.5713748863897017	-16.349776479005257	13.778401592615555	1.1476438178123187	1.1177703170541908	1.190617433497075	1.1680382902167914	1.1832772880813731	1.1620967835937808	1.2027211504398072	1.0860207497069896
65000	-4.263599555160702	-16.181166960498846	11.917567405338144	1.1611900810872822	1.231060232930118	1.2765661382631792	1.1041849896234208	1.197488037913736	1.121863562940293	1.161123818293336	1.168376679909516
70000	-2.245105985797645	-16.18823786678174	13.943131880984096	1.1136988975190139	1.1337682712240278	1.1485499210208838	1.140147954640958	1.1342696742401406	1.1824224021928607	1.1451704549833184	1.0880525011039437
75000	-5.773213507394406	-16.27202782796891	10.498814320574503	1.1256535403954178	1.2430400079796466	1.2114895719200027	1.1757806723408721	1.123314464587973	1.180939463235274	1.303103270877539	1.1132192772414549
80000	-5.116801541319774	-16.412024540853363	11.295222999533589	1.207993066545039	1.0733899374377318	1.2174741364276112	1.1729995929016712	1.19559614398254	1.1719923292014676	1.143063600788596	1.275517210668288
85000	-4.296003319617714	-16.391935500895194	12.09593218127748	1.0953672101345175	1.1702834569798544	1.225734326043382	1.1868079274357417	1.1896805416841267	1.0734605181265282	1.1283670597013657	1.2169995029657417
90000	-2.9662596655099804	-16.193789806268082	13.227530140758102	1.075508774109886	1.1713844267564768	1.187724572852374	1.1130195662977527	1.2035265137949789	1.1355902617226323	1.1904897357511668	1.133524912871532
95000	-2.307581360396071	-16.277878564756275	13.970297204360204	1.1565024473496905	1.1173227209134982	1.1981957960006906	1.1365098740403532	1.1394707841028642	1.102805167368277	1.1281764670014092	1.123531867778317
100000	-6.28062527136907	-16.216261660037855	9.935636388668785	1.2098235020139396	1.1777258369304782	1.1724037018958944	1.171917599495415	1.147975247562128	1.027764712081165	1.0624130027427667	1.2241948845142718
105000	-4.806267971849943	-16.03648245634003	11.230214484490086	1.1974895968116093	1.2660381505331118	1.089572081215249	1.1310758455105787	1.1665599746318072	1.1684353832631884	1.0903111350343226	1.0892049723894284
110000	-3.882861009162319	-16.2613125495518	12.37845154038948	1.118089853203645	1.1777648211395915	1.265642381929129	1.1340673677835584	1.1735232005586178	1.1894527766689185	1.116165220040954	1.0951170523706635
115000	-4.094716696848607	-16.227591626358286	12.13287492950968	1.2028320323937256	1.2128721123579955	1.2076336407055188	1.2075661388259482	1.1860739993786455	1.2441490414819623	1.1175538705160397	1.0999385857435546
120000	-3.8289996980723977	-16.27420737050483	12.445207672432431	1.1600488654580163	1.1238204775683969	1.1908180046027448	1.1724810779707588	1.1026916410384477	1.1952856142888688	1.0754613632745258	1.0873881155459704
125000	-8.840478884280298	-16.783363728554338	7.942884844274039	1.0837517086811592	1.1023527164008264	1.1960833848544388	1.2908309706452812	1.0296576712155476	1.1569682226255629	1.2326001743963413	1.1579215272628391
130000	-7.658974004497427	-16.622303325960242	8.963329321462815	1.2090373718166334	1.1018281761384605	1.2987411248519845	1.2415881084900058	1.1753648732284754	1.2367320142380733	1.073971283497356	1.1530465895641637
135000	-4.90822690959023	-16.255735960492302	11.347509050902072	1.1673194242571034	1.1809027855964092	1.2273510645657653	1.1353543260126393	1.2413213830392626	1.0893303134261814	1.1803560009826901	1.2628876755179737
140000	-7.088296373889939	-16.130763839064137	9.042467465174198	1.2407749664690952	1.2136937266364982	1.161742281277579	1.1635223332140865	1.004847258768375	1.183560133823683	1.0859470646812077	1.1689310698009474
145000	-5.6374530303962285	-16.070850859867956	10.433397829471728	1.1034215041506616	1.0980256039973542	1.0960885381775274	1.0835098929356684	1.067860259999278	1.1431454986137355	1.1187635542793328	1.233253480611102
150000	-3.9457126666047575	-16.123394597479294	12.177681930874536	1.1066363574541023	1.2422440831353838	1.194183555818913	1.1522370890088123	1.1993789124902097	1.1536150711401711	1.0960239086875632	1.0875793800686975
155000	-4.302778682782208	-16.05234414063748	11.749565457855272	1.1861218974204495	1.2443446463935066	1.1186936225689468	1.1531139099361938	1.1172234977669349	1.2124385957809707	1.0926893966703028	1.0824534648774922
160000	-3.6788056906380397	-16.08951872145071	12.41071303081267	1.1025991438803235	1.2514217260873404	1.1705593659970495	1.1552642237760742	1.154577738213656	1.2222825889425988	1.1274804176738769	1.2239200743631435
165000	-1.5311384632823142	-16.14789048611631	14.616752022833996	1.184833010103732	1.1755663426495588	1.1447138579407317	1.1609714643638018	1.2056359069466378	1.1825234065991694	1.125323137995321	1.137212399603261
170000	-3.871090608555299	-16.38483306255511	12.51374245399981	1.1453643551130925	1.1591192747694732	1.1373023272365312	1.2756659952592952	1.1399229928282526	1.1972941737965652	1.1527678691790897	1.2294299239182107
175000	-2.775470896791578	-16.164494082461975	13.389023185670396	1.113865280342495	1.1448311683526549	1.200123806395281	1.092830816388079	1.1545343488844622	1.1121467933868385	1.118665432813214	1.126185370969409
180000	-2.8878568965502645	-16.166282449011767	13.278425552461503	1.2490594342470815	1.1678989501767199	1.1373945290058116	1.1707805314901316	1.1620464028587674	1.2384550041726274	1.148496317907686	1.146682931324129
185000	-7.60643193470591	-16.21087973059634	8.60444779589043	1.1506272963831183	1.1758586269066305	1.1666129768783446	1.1076427749701496	1.0443522218223575	1.0987459980277432	1.290993234576562	1.0697075969910617
