#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.15401899031206 1.04359046239988</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.33482657927571 1.19075873956929</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.09799780560696 1.13516097711081 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp66:0.1764004421,sp67:0.1764004421)nd65:0.5283998357,sp58:0.7048002777)nd51:5.962325488,((sp61:0.2928510552,sp65:0.2928510552)nd53:2.25201218,((sp63:0.7381452193,((sp50:0.6883866955,sp51:0.6883866955)nd59:0.04649626236,(sp60:0.6547769349,sp52:0.6547769349)nd60:0.08010602294)nd58:0.003262261447)nd55:0.05433815422,sp55:0.7924833735)nd54:1.752379862)nd42:4.12226253)nd3;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp50" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp51" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp52" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp55" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp60" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp66" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp50=2,sp51=1,sp52=1,sp55=1,sp58=2,sp60=1,sp61=2,sp63=1,sp65=2,sp66=1,sp67=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214820.2669595568	-27.003024743307897	-214793.26393481347	1.15401899031206	1.04359046239988	1.33482657927571	1.19075873956929	1.0E-10	1.09799780560696	1.13516097711081	1.0E-10
5000	-12.89429191968163	-26.029551342861794	13.135259423180164	1.1792237096147828	1.2151766913904802	1.1849890180157825	1.1880178716345127	1.193329221983477	1.234895057788772	1.2142341221399626	1.1280174249819055
10000	-14.634897849690756	-26.387817986291076	11.75292013660032	1.1280101648860466	1.192294656899835	1.2656889429269784	1.1766147834739102	1.167316841671333	1.126186021663659	1.1879406879864858	1.0637660252611107
15000	-14.740715893441475	-25.83868236304687	11.097966469605396	1.2684033891929796	1.1108148384520964	1.170077098186126	1.1433929139388754	1.0599842458372346	1.1930976401143294	1.16254476437643	1.2194946975293373
20000	-12.944975966704286	-25.889555847743747	12.944579881039461	1.0925739496308482	1.2392232576714801	1.1396972086495432	1.1076728006461978	1.169613492931899	1.1272904320027772	1.198042506633681	1.14452635165446
25000	-11.745253082415323	-25.83670076978215	14.091447687366829	1.1804764420783922	1.1816049715505024	1.1050374666167144	1.176099324684203	1.1633674945760224	1.1584238508024396	1.132582874004765	1.0979467981395479
30000	-15.800780284168761	-26.22352614530582	10.422745861137058	1.1271849993737113	1.165601763707448	1.1420237167727123	1.2620694916156445	1.1626481952965937	1.0336024268193542	1.222314337019249	1.1916571817671369
35000	-13.925274520070257	-26.129444508583486	12.204169988513229	1.193172693862852	1.2171360725816702	1.2110348857153712	1.2175792203318927	1.0719169843614236	1.1517891055103733	1.1233001629691675	1.2027290279324374
40000	-14.221423755724746	-25.942610453146195	11.721186697421448	1.1718298342393179	1.191865511617686	1.075743225356422	1.2823828604570515	1.1112349078056605	1.154304700365079	1.1654606033582293	1.1582442461173827
45000	-12.232747345778508	-25.84987472769091	13.617127381912402	1.1700981061036337	1.1827368485590726	1.1605514136201014	1.108124379522506	1.2264779298101325	1.116657938193994	1.1659076380991213	1.2104750918320328
50000	-17.843876720056556	-25.670123729814545	7.82624700975799	1.2369604555320395	1.2930341250017698	1.1134466463072443	1.1200998217452103	1.192850066383059	1.227109998761041	1.283322978268382	1.083756104567164
55000	-12.058029721439343	-25.832052050422174	13.77402232898283	1.1514082736201148	1.1566104489613194	1.144165071978105	1.0755603180081983	1.2105617058528426	1.146871933787104	1.1502634196427164	1.1359449674670272
60000	-12.238965279149294	-26.07008734816186	13.831122069012565	1.2103554598615311	1.1685825998556114	1.2253712636846323	1.1679761686838985	1.1076895118298007	1.165197509041854	1.1895210054681133	1.147874095506628
65000	-14.422345443946732	-26.5060814702918	12.083736026345068	1.1604851800417813	1.1839418011197536	1.2962082858197805	1.2069085380194085	1.1189421738308265	1.1299736453991183	1.151616995000924	1.144582361261304
70000	-14.918122118113628	-25.71001053936199	10.79188842124836	1.2175678469498221	1.1784422128784708	1.091533338444459	1.11968089578988	1.09286016292925	1.2487146012939043	1.1545546531858568	1.2573469503756134
75000	-16.3105131326407	-25.818818821595347	9.508305688954646	1.2185115690341262	1.0754963630195118	1.0972368897334122	1.1841853363206725	1.077501458597287	1.0881118807997416	1.1579073418517865	1.272522734296921
80000	-12.813948166161289	-25.84635454980076	13.032406383639472	1.1823846307983021	1.1433566829389914	1.0966657023879358	1.1829899421621202	1.129484945915915	1.2119305869508896	1.233795823075761	1.2018676787596683
85000	-13.359019212800877	-26.21819239853819	12.859173185737312	1.1930762660688496	1.211030262378305	1.2339278347749338	1.223610405378489	1.1200920470766633	1.1746524804320944	1.1491396295125393	1.2084872747450246
90000	-14.369796201588816	-25.955095071919125	11.585298870330309	1.0850337300180366	1.2626611418512876	1.1210867224647887	1.1569821955553647	1.2544151939648736	1.1628978592040518	1.1505023700227122	1.168513302621544
