#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.18023608248047 1.11559426215643</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.16857942928245 1.12789282011326</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.28256917541134 1.20178449210906 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(sp52:2.627213106,(((sp58:0.3463114867,sp59:0.3463114867)nd62:1.280291298,(sp60:0.2024303875,sp61:0.2024303875)nd58:1.424172397)nd55:0.2280191146,((sp62:0.04524203007,sp63:0.04524203007)nd61:1.551889214,sp54:1.597131244)nd56:0.2574906558)nd52:0.7725912062)nd35;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp52" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp54" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp60" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp62" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp52=2,sp54=2,sp58=1,sp59=1,sp60=1,sp61=1,sp62=1,sp63=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214805.87115781516	-16.78152605172207	-214789.08963176343	1.18023608248047	1.11559426215643	1.16857942928245	1.12789282011326	1.0E-10	1.28256917541134	1.20178449210906	1.0E-10
5000	-5.102076804419088	-16.787427396070452	11.685350591651364	1.1366646673192042	1.0877708214821435	1.108402298516162	1.206624260083491	1.1929438845821285	1.1426213638546492	1.0525736468455784	1.136404250781083
10000	-6.55352891275259	-16.621133543257237	10.067604630504647	1.1414010683189169	1.1944647514675355	1.1364611351339606	1.0659961730306684	1.1408064049099478	1.1557215393004763	1.0834024309850148	1.3015590743147247
15000	-6.358858369868184	-16.793455335383307	10.434596965515123	1.195334070468248	1.121403173169401	1.2538204706590286	1.1927706718296627	1.2512827872686973	1.0698786078006064	1.167310950307389	1.0917642439974777
20000	-6.248964132178976	-16.638692025280793	10.389727893101817	1.0831474014405127	1.2122760100759908	1.091035884995295	1.2058835221296194	1.2632860561448949	1.0741177111263964	1.1673771568970015	1.1700140289738996
25000	-6.380595190443254	-17.07187478380744	10.691279593364188	1.108572788046136	1.2024446055626394	1.283563774732364	1.1451604986430637	1.1523469077954187	1.1909687279021546	1.1876651753971774	1.270045664521395
30000	-6.32074868785589	-16.889182185537877	10.568433497681987	1.1524885274327419	1.1376090316638476	1.1534214996720242	1.1337173914104546	1.2050902696543855	1.2371579343289298	1.031156415543659	1.0882616849138151
35000	-9.891245600144694	-16.251236086107767	6.359990485963072	1.1861777205785808	1.2419867690825233	0.9887081793793845	1.0458915670083646	1.1984294754264357	1.1644650628415982	1.0968986796390814	1.150675744116659
40000	-8.93582100728116	-16.814715742103065	7.878894734821905	1.2933113377132068	1.123699918286716	1.2412038891064863	1.159821605869492	1.1960760344231343	1.3174757452864787	1.1730590035248163	1.2177779629829724
45000	-3.3671295280325264	-16.66820631684681	13.301076788814283	1.2282795056987417	1.1858435314046671	1.2008910255421328	1.1424912601828527	1.2274665560966085	1.2065411016255485	1.178639060958524	1.1660519077578417
50000	-7.635367555771591	-16.839028326487057	9.203660770715466	1.0474862654113222	1.2682737850092216	1.1650345656434213	1.0604361763138728	1.1925678891783744	1.16654840928839	1.0977948453223958	1.1221985177228087
55000	-4.347574553373157	-16.54561425324596	12.198039699872805	1.1629834457416395	1.1044195355332458	1.1038850426811153	1.1929538723828368	1.0717384832854364	1.1008498077909263	1.1864582995388402	1.2011470505881088
60000	-3.4383397538380507	-16.790961477388933	13.352621723550882	1.1023804751004236	1.1977267417216513	1.1506137576592317	1.1586712319301857	1.1432510268067888	1.158139784701287	1.1500386490819146	1.2560393102520087
65000	-5.623690825287239	-16.407325479440505	10.783634654153266	1.2870438417755485	1.1277706676918173	1.13488740794326	1.1389002848996455	1.1745228364279665	1.16960148509808	1.1556924053112585	1.0462972194068072
70000	-5.72234390810126	-16.47754550807039	10.755201599969128	1.2194538660959269	1.1379331088041924	1.0738518843370306	1.2350924745200356	1.257867510573875	1.1864100242138838	1.2221190921847644	1.184548582184634
75000	-6.904439722542556	-16.279768399390402	9.375328676847847	1.2730299272264352	1.12394321505726	1.131377742738617	1.1566855200084338	1.083755130299041	1.0850486246710014	1.2772910089926466	1.113328397310183
80000	-3.288680677008088	-17.01835033346506	13.729669656456974	1.1446968930375603	1.1158654691900578	1.2259775142715457	1.180852006949655	1.1474145081753033	1.184387667371395	1.103618518080774	1.1826141282483846
