#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.18081349078571 1.10171556509632</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.19938909299803 1.23164754915079</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.11660737636 1.16645803146022 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp24:1.14142177,(sp25:0.4181614123,(sp29:0.01667287517,sp30:0.01667287517)nd28:0.4014885371)nd27:0.7232603576)nd23:2.624936591,((sp27:0.1264767661,sp28:0.1264767661)nd29:0.2626779825,sp26:0.3891547486)nd25:3.377203613)nd15;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp24" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp25" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp26" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp27" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp28" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp29" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp30" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp24=1,sp25=1,sp26=2,sp27=2,sp28=1,sp29=1,sp30=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214802.4592252646	-14.362274514054707	-214788.09695075057	1.18081349078571	1.10171556509632	1.19938909299803	1.23164754915079	1.0E-10	1.11660737636	1.16645803146022	1.0E-10
5000	-1.981578639109852	-14.383564758573925	12.401986119464073	1.1292026123787715	1.1662904827551497	1.2024633516380723	1.1225181291635546	1.1432409669229153	1.1114077617766456	1.055734175712339	1.1166657888185105
10000	-6.275986268703885	-14.230358021518475	7.954371752814589	1.164177803901847	1.1964039440143395	1.229965858469658	1.1799900521417648	1.1552173845947649	1.231266650989205	1.2951897058075654	1.3173864903215717
15000	-1.4516973050517414	-14.26421510532351	12.812517800271769	1.1359429535025496	1.1818238366977638	1.1355979852742473	1.209055918271138	1.2714611693568534	1.1371173584401504	1.1303505048820934	1.1333861766639537
20000	-5.970720227300635	-14.416217565952518	8.445497338651883	1.076692147489492	1.12816273953296	1.1023196231006465	1.1867691279507053	1.078483418681697	1.275770394961061	1.1624929730483389	1.0422083983113328
25000	-3.068880221585596	-14.124859194388973	11.055978972803377	1.2356619202335264	1.217116892190414	1.1251886557999757	1.1441076017900997	1.0612410754415131	1.220626570117183	1.089340201286925	1.1545990167306308
30000	-6.327556093814712	-14.121423490384531	7.793867396569819	1.189206267418097	1.1967389333468708	1.104978438437103	1.2648184552745958	1.055042989709201	1.0792274725820303	1.131577263126212	1.0383443516919428
35000	-5.0077003597193865	-14.222306441149197	9.21460608142981	1.1185297252553106	1.2476348840973466	1.1913030946439664	1.1155357163272908	1.0359259837217483	1.199139656032985	1.1860624187832003	1.2662779192094455
40000	-1.181858780015764	-14.415690794995202	13.233832014979438	1.1458516070589972	1.118319073954752	1.1611265927343912	1.196439847095398	1.2058879231971351	1.2538708901433053	1.1439427122342567	1.1311925716973652
45000	-5.48648790319111	-14.054128375387604	8.567640472196494	1.1385282007508137	1.2776540377307306	1.2224626238075103	1.1408659597392516	1.1970811480889831	1.0690883632526405	1.3018273589614109	1.139600366185412
50000	-6.405620805879787	-14.336095993527339	7.930475187647552	1.1018480621513027	1.2100156376078475	1.2043398483588015	1.1168408187364753	1.2565896745084302	1.2344321050222251	1.1784682428448534	1.332157189411697
55000	-2.216289179631623	-14.356631727086379	12.140342547454756	1.188144405280893	1.2073447680410485	1.2544193643618828	1.120440048590793	1.1926592495956114	1.2112365012621784	1.09195966516879	1.135938647734357
60000	-1.3162448453688746	-14.283356405248611	12.967111559879736	1.1116845075438309	1.1750987547873368	1.1511276415396556	1.1118370263446664	1.1226675350379587	1.2598466607937906	1.1744634908228677	1.1349723587600222
65000	-7.0981704185299765	-13.837013025663747	6.738842607133771	1.3318574399113006	1.1520240557833457	1.0562424591266686	1.0448375669784016	1.1906190629697635	1.1697837416416863	1.1516545754034715	1.0892399733001947
70000	-1.4803495481383795	-14.167082956626452	12.686733408488072	1.149171629287853	1.1677169308868376	1.1040613755027124	1.1974592524216434	1.1884570365839489	1.0695597970085478	1.1099220560170882	1.1195231888685078
75000	-1.7010545665610106	-14.064074750367054	12.363020183806043	1.1415451154897023	1.1652169452378855	1.066530292720266	1.1637494962760258	1.1770191367500844	1.1923069333161118	1.2239866861993787	1.235563220397182
80000	-6.0146222365355015	-14.240471440751774	8.225849204216273	1.078426017728081	1.1588297546977584	1.073464241171365	1.2258559935460303	1.1388898755536594	1.1473161280540638	1.2016635674479663	1.3353239701386592
85000	-4.359039936461912	-14.048841902762115	9.689801966300204	1.0882250147994936	1.1493859104519506	1.0621008588997212	1.0759340039454313	1.2702871047023707	1.1269547186777864	1.2145456871883586	1.1711511803995942
90000	-1.081093301360692	-14.046119836142974	12.965026534782282	1.22543307993508	1.1850774201952405	1.134700781389212	1.1136707444722271	1.1092799765813282	1.12331204219002	1.1209723470530295	1.1007707919681098
95000	-1.0290433946158508	-14.262888761752041	13.23384536713619	1.1347310346771082	1.1476139561087253	1.2127277220647996	1.1264966177288935	1.1499313091353025	1.167585009541632	1.2398158950004663	1.0983885793787593
100000	-3.264792858402755	-14.375040789709569	11.110247931306814	1.1202792462984434	1.0682916740154689	1.0996840792928286	1.208009391417036	1.2279296121975047	1.1022669961539282	1.0928242370211991	1.1618717957400915
105000	-2.6079223059112273	-14.049949079080308	11.442026773169081	1.1921166891996244	1.240644732718054	1.113086989517293	1.2365125810446678	1.0873292342519418	1.1940031980939303	1.2304223193308017	1.1709428286488661
110000	-2.361230818466103	-14.009209251110773	11.64797843264467	1.2059062970459646	1.1995445638871205	1.067172702816187	1.1633482270391733	1.2251520821497701	1.1199171329038962	1.1144395537623424	1.2296239122831927
115000	-0.41248575470049786	-14.137822670091772	13.725336915391274	1.1516166710185747	1.2093601650031096	1.117333475992324	1.1980941762095456	1.1300022468156634	1.1011626865309423	1.1402242990610587	1.1290660994631248
120000	-0.8186232607828678	-14.090838241208365	13.272214980425497	1.2226071150914304	1.15111393503635	1.2130723265881511	1.108067755019365	1.1550951255533177	1.1047319721985462	1.203848582338326	1.1613343831347978
125000	-2.820792129314862	-13.967040139149795	11.146248009834933	1.25610935295857	1.297609251981423	1.1797932350809364	1.131911680009334	1.132157191770773	1.1519375490425554	1.1881092698302385	1.1677008936124569
130000	-7.628811099176661	-14.020470224825662	6.391659125649	1.240107342265621	1.3042165364786396	1.1614617256087838	1.1910987257692704	1.3513724640867344	1.1171226770003662	1.136436147021217	1.1322069758717284
135000	-0.9063132104617324	-14.194662452808126	13.288349242346394	1.1629428054640776	1.0803341955477914	1.1451621432937524	1.1682908314301705	1.1690198082458907	1.1007796965297731	1.2214737807187424	1.1663366005067044
140000	-2.349677698779807	-14.434314369804571	12.084636671024764	1.1301574055677666	1.1509819155803294	1.2658788475298501	1.1051962725142275	1.0928551690272792	1.2157912102632809	1.1694563622622702	1.144739432714195
145000	-1.3849695780582625	-14.166342349455965	12.781372771397702	1.1234155187545818	1.1446881109297522	1.1269859836662819	1.0718103758275608	1.2171550906199486	1.1146811301152166	1.1297717212766716	1.1300621895417247
150000	-4.48005393435683	-14.547622435988552	10.067568501631722	1.0324927543872064	1.0771540233870576	1.164776305299314	1.1156059080494132	1.083143448189122	1.207323614707646	1.1735524496518412	1.175500613411212
155000	-1.6936744890795037	-14.005143937528564	12.31146944844906	1.230505499875796	1.1206963996408217	1.082698886975767	1.07822613830427	1.1727799161581185	1.1906304420763973	1.1523820142152366	1.170944551505716
160000	-3.8204677370819056	-14.025796933012549	10.205329195930643	1.1433279450342313	1.2867815112629408	1.0569312246569385	1.2214925826933332	1.159064059218003	1.1581654783258815	1.1756830198820698	1.2295923032250817
165000	-2.543312258553632	-14.334564755277338	11.791252496723706	1.1521157532528388	1.1077581698751329	1.1424689015382825	1.1550453143996684	1.2644231815366562	1.2001801806585415	1.11399574857862	1.2481402766038214
170000	-3.0075101071166195	-14.35137671923247	11.34386661211585	1.1097443252922423	1.0537091752140215	1.1336956419905242	1.0871774560349075	1.1340207311891568	1.226909562639896	1.1645122247836737	1.1988647819376752
175000	-1.768449998666	-14.202278557718135	12.433828559052134	1.1459806851303906	1.1589088241319099	1.1934891691839322	1.1754640180935823	1.095506795430674	1.088587756087747	1.2409306394836184	1.1082428548351524
180000	-3.995290457498527	-14.431005042132112	10.435714584633585	1.2077289525709405	1.1050343864637477	1.1911522370709162	1.1441730690720282	1.1513649929185552	1.277418495375381	1.0629193009718791	1.224858672527126
185000	-0.5459177054073656	-14.127882398221699	13.581964692814333	1.1945240603822693	1.1095291646825762	1.0995485990790268	1.1526894180444662	1.2284385023280713	1.156295349580585	1.1446254723559466	1.150660484271931
190000	-4.481049088929042	-13.982385058324047	9.501335969395004	1.2589575336538859	1.136549176475337	1.1194520534354933	1.1562181534250708	1.2285046184244595	1.1441550881876603	1.2033321289383232	1.3162295282697212
195000	-1.3154343050599913	-14.318225872992823	13.002791567932832	1.1044294672664494	1.2128012389980165	1.1930071310455443	1.2006265415694566	1.2308274322796229	1.1622229375035553	1.208698558927501	1.1768814091332418
