#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.13290304876138 1.1749425020008</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.1524492475426 1.2123731000965</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.10986365945268 1.12578518913529 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp111:0.2440786499,sp112:0.2440786499)nd111:0.4492307216,(sp110:0.2556087561,((sp114:0.08430492764,sp115:0.08430492764)nd114:0.01180666516,sp113:0.0961115928)nd113:0.1594971633)nd112:0.4377006154)nd110:8.451372193,sp108:9.144681565)nd4;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp108" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp110" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp111" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp112" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp113" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp114" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp115" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp108=2,sp110=1,sp111=2,sp112=2,sp113=2,sp114=2,sp115=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214802.90391215144	-15.554592160719338	-214787.34931999072	1.13290304876138	1.1749425020008	1.1524492475426	1.2123731000965	1.0E-10	1.10986365945268	1.12578518913529	1.0E-10
5000	-1.6037153669651953	-15.450871662535883	13.847156295570688	1.200367777480961	1.2067109532372582	1.1457829483771096	1.157699436858706	1.1745430227299016	1.1625757351332813	1.2329850762149128	1.1934925519438604
10000	-1.3029848227997771	-15.448851468130316	14.145866645330539	1.1657399986314716	1.1832811216657513	1.128947918453171	1.174909462800699	1.154515629299981	1.182015609519066	1.2093154343395471	1.2223339104901219
15000	-2.933559279619459	-15.382741844499801	12.449182564880342	1.103462305620235	1.1525366264592645	1.1497526707050396	1.113965372680331	1.2802417709646752	1.163496369260485	1.1514954226883014	1.1930824542591825
20000	-4.18727006372243	-15.48560695947473	11.2983368957523	1.1323400946869304	1.1504643787136173	1.0999144794461886	1.129496974402969	1.0784487869417447	1.0518084930503921	1.1182563661153506	1.191747406082624
25000	-5.090020385689515	-15.369340183342356	10.27931979765284	1.1662632893426867	1.14945074324704	1.1625243994055459	1.1090128888437658	1.0490780439329237	1.1057778064459565	1.0889574230581622	1.264999364354214
30000	-5.814340461320938	-15.384048530101673	9.569708068780734	1.1692332651309876	1.1839520537219315	1.1831719177407376	1.052973668578726	1.1618666455372146	1.1593474106184338	1.259609655480288	1.2941103809898375
35000	-4.522803962161067	-15.660760222388417	11.13795626022735	1.1206214141777147	1.122218935077512	1.2827708776365256	1.1348751026759605	1.2272350444867468	1.2195723521708242	1.1825208330681976	1.2150073421850112
40000	-1.9596958364362926	-15.568576844248712	13.60888100781242	1.1810868301829867	1.172563300432763	1.139688768416603	1.2556764881164024	1.1470470190215123	1.202476739354136	1.1804422705199753	1.1685962605444988
45000	-1.4834908125429394	-15.320656526671467	13.837165714128528	1.140666738807029	1.158540971326038	1.1810332057041206	1.1260331763111573	1.2252362903160097	1.219117182446064	1.1367301134234422	1.1342147880837006
50000	-5.021597961133988	-15.246369332478872	10.224771371344884	1.1262784983781262	1.2529423462076301	1.132485291027223	1.146518493734158	1.1935858731433688	1.1430996794724766	1.1322834202316578	1.319574472961225
55000	-1.4987902757051668	-15.19765665074209	13.698866375036923	1.1661862850206342	1.214399976899518	1.1848470740321442	1.0844922011946874	1.1674112096300904	1.200065149681788	1.1430405719183039	1.151065142174495
60000	-3.0037597896874804	-15.348477045148746	12.344717255461266	1.216896110205975	1.2031104627527438	1.2178662460638154	1.1558959924965007	1.2614035073089436	1.1637931327985338	1.141205589056361	1.2079546890610526
65000	-7.118061511581523	-15.75149841828695	8.633436906705427	1.0941052419748523	1.1529267599312045	1.1596415093802637	1.206831947866047	1.2189923348886444	1.1066343671978651	1.199624879610613	0.9955308991555234
70000	-3.4267224740341486	-15.777627061476375	12.350904587442226	1.162304651071866	1.168444633369341	1.1775632412504347	1.2207932052028871	1.1956049249065683	1.1025594550199307	1.2665864860858966	1.19591259970826
75000	-2.8263588312710546	-15.53489806577323	12.708539234502176	1.1768736793660708	1.188765980374159	1.2384631988684998	1.1615687213694945	1.2480179533356435	1.1056946649075652	1.1860999797933303	1.167487725009342
80000	-3.8403644370790193	-15.437831594073794	11.597467156994774	1.0639402856635523	1.196542912841318	1.0949210410669472	1.2118088948927321	1.180242159438795	1.114214015393702	1.0905281209367084	1.1595753465088199
