#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.19475558175532 1.10607505213946</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.27645675186984 1.18168055678563</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.19247312056526 1.11564706127475 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp69:0.1862691177,sp70:0.1862691177)nd67:0.5677197851,sp67:0.7539889028)nd52:3.896334384,((sp72:0.08949161511,sp73:0.08949161511)nd66:2.289214811,((sp74:0.08779934052,sp75:0.08779934052)nd74:0.0598447615,sp71:0.147644102)nd71:2.231062324)nd38:2.27161686)nd20;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp71" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp72" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp73" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp67=2,sp69=2,sp70=2,sp71=2,sp72=2,sp73=1,sp74=2,sp75=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214806.05062642196	-16.78246611210638	-214789.26816030985	1.19475558175532	1.10607505213946	1.27645675186984	1.18168055678563	1.0E-10	1.19247312056526	1.11564706127475	1.0E-10
5000	-5.036023061158161	-17.088128786563132	12.05210572540497	1.0959170817023667	1.1071976302229893	1.1278689389313425	1.279251912076299	1.126684514477055	1.16337624518453	1.1452972914202593	1.1424991141947487
10000	-1.7385477232040358	-16.6792932249595	14.940745501755465	1.1687874173565627	1.1760365603314085	1.1900800758844754	1.1782850069006818	1.1356808787925017	1.1388165224861313	1.1547095901811097	1.1353294939416632
15000	-7.122212944574912	-16.566804437246173	9.444591492671261	1.2368894459623403	1.1965654423873515	1.1183689579387661	1.1696277767786691	1.2830620156978925	1.1594049052185986	1.1886604813580204	1.2948129943693525
20000	-5.518743506043558	-16.296710297181058	10.7779667911375	1.144558712951866	1.1623352515402707	1.087031350953221	1.112536447693806	1.1838437947286389	1.2765994321222538	1.1453082699386021	1.0636974882134915
25000	-4.862654586454118	-16.53558269843548	11.672928111981362	1.130782355256911	1.2780745706350172	1.1678214398247546	1.1174887284738853	1.1536533564590745	1.0728068370758614	1.1953816278319607	1.1773847916400786
30000	-8.936556829548511	-16.653646300960553	7.717089471412041	1.102678495320842	1.2567576544870784	1.2326148424618322	1.071982539185516	1.244355069486822	1.07267051292107	1.2703732496284157	1.172844425422287
35000	-2.6877179330701573	-16.653084859541888	13.96536692647173	1.1419359214587983	1.191242756521654	1.203661447477195	1.2151039389564762	1.161740403992083	1.2128970868902431	1.160803361681262	1.1868522863020545
40000	-3.4415076774972526	-16.553917072118647	13.112409394621395	1.230610597376409	1.1433426404281293	1.1217446858409412	1.1258988019254834	1.0907665541384608	1.127244181528993	1.1308643809494792	1.1260099469958353
45000	-2.797744729733088	-16.47010132310902	13.672356593375932	1.2262716553312658	1.1497870713016085	1.1317278404971833	1.0837744496539123	1.1620671545896872	1.1697383073834013	1.177654593975785	1.1704139629051562
50000	-3.284188539612952	-16.669803019487116	13.385614479874164	1.2063313474032193	1.1323988445830584	1.0746478662022159	1.168386719309216	1.1129135130591739	1.165328794114106	1.1826577480728102	1.175460900690443
55000	-3.602506525077313	-16.88792690013893	13.285420375061616	1.131918547272959	1.1075365628817513	1.2377555254563586	1.16054004634644	1.1697488727822345	1.1116801506419263	1.118812304524481	1.1897496902417084
60000	-8.510499894008891	-16.8876881925938	8.377188298584908	1.032433180182766	1.1842382907000053	1.2338095411024474	1.1568369920575883	1.2032164911293792	1.1825913146036962	1.2642610503135951	1.2681165720440424
65000	-6.793067472732076	-16.49383471369864	9.700767240966563	1.129067263000607	1.125005634790448	1.1595284820586351	1.1989234225099192	1.1320627238524321	1.2282709592492262	0.999327381434724	1.164179790096154
70000	-11.068630761855179	-16.427799304997873	5.359168543142694	1.1975940011918587	1.3198383403473568	1.2220549281191317	1.0743982895657442	1.1077791930570184	1.1348496713542726	1.2823262963992963	1.0431318549335553
75000	-4.980353078120585	-16.838945907456022	11.858592829335437	1.0665906755123604	1.10268617219693	1.107180318800888	1.1955653219153195	1.151891798149117	1.186513202233186	1.1377095065139002	1.083967083614519
80000	-7.312409734274654	-16.561559979288166	9.249150245013512	1.2618131184405161	1.1045015472615038	1.0891864603017827	1.0954764382459168	1.1881959654440686	1.1700071326671164	1.1747828553605841	1.3012088307410512
85000	-4.112149675144844	-16.30965039081994	12.197500715675096	1.1890847453945221	1.2265407814886424	1.0944560938975176	1.1403461454014325	1.1063223231485593	1.2345112671772325	1.165152199480325	1.218883006956297
