#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.12482712179039 1.14221358251002</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.1452218788831 1.13227297011651</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.13017173105673 1.17291338474092 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp69:1.67059559,sp86:1.67059559)nd65:1.254500437,((sp84:0.4179198916,(sp81:0.2912957185,sp82:0.2912957185)nd85:0.1266241731)nd63:1.880908922,sp63:2.298828813)nd49:0.6262672143)nd46:0.7468677105,(sp74:0.8292472114,sp77:0.8292472114)nd80:2.842716527)nd41;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp77" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp86" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp63=1,sp69=2,sp74=1,sp77=2,sp81=1,sp82=2,sp84=1,sp86=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214808.64167459682	-21.876291207321394	-214786.7653833895	1.12482712179039	1.14221358251002	1.1452218788831	1.13227297011651	1.0E-10	1.13017173105673	1.17291338474092	1.0E-10
5000	-10.465386117465572	-22.30270795899937	11.837321841533798	1.1862056377384023	1.09405407221775	1.1881934875442453	1.2966001454358522	1.1757403896446958	1.1794731640818794	1.1379708071725505	1.1562588584581994
10000	-12.107753220914864	-21.690975590622045	9.583222369707181	1.2689819220067757	1.0990609797365765	1.1128977805951992	1.112797433429978	1.2568470208913163	1.071146642395296	1.1251182630328056	1.1193157429101384
15000	-10.99177994617607	-21.907493502051874	10.915713555875804	1.2418201540916098	1.136666879282618	1.1147376038563197	1.2412512483241214	1.1162743166341187	1.1063150951841847	1.182577123264753	1.2615737335434734
20000	-10.996759233203884	-22.140240862967556	11.143481629763672	1.0744300462376206	1.09243870489065	1.1981689169403305	1.1220049707384714	1.1814083931824717	1.0593353429900145	1.1162408655078664	1.1438461359184822
25000	-10.083108463911888	-22.26730620233813	12.184197738426242	1.0963536412859303	1.0929272604869098	1.2020652084751233	1.1958988234035888	1.0701551307766686	1.1262234388324623	1.1556493117332927	1.1434732819635178
30000	-10.427665932915067	-21.896694721696903	11.469028788781836	1.078010656521796	1.1739053194680977	1.1064896201976182	1.1644191737081533	1.099650173630102	1.1165702618610438	1.2392833755678838	1.230275851558409
35000	-9.232666149167855	-22.258259142512237	13.025592993344382	1.1377249467079453	1.121378284630772	1.1812597223521577	1.2544949418115257	1.1282760524668034	1.0973228767333847	1.1443301560232233	1.1498463507008172
40000	-9.658557338923028	-22.175960025150154	12.517402686227125	1.1261602762288982	1.1183632325840867	1.191806197720921	1.1976610649515795	1.2248923741929814	1.0813669565011355	1.2099703553891914	1.193406488279155
45000	-8.95427493306469	-21.6287483453678	12.67447341230311	1.2354231845852301	1.207412610440789	1.1031313060135879	1.0957949763094255	1.135453693319253	1.1294792001028382	1.1610321840031592	1.1174783951677594
50000	-7.549617322175539	-21.841821389286164	14.292204067110625	1.1501710580433686	1.1375535450132936	1.1284876655474771	1.1368483755052288	1.1596151128125638	1.0911126837478795	1.1442127605657295	1.1816690787607902
55000	-12.162092555603802	-21.746716446640164	9.584623891036362	1.3129183893430605	1.1066894028863055	1.1155408264283377	1.184103718449431	1.1063739732148858	1.2368639445610428	1.0953035090033738	1.1549563067700301
60000	-10.195978867445994	-21.74268693994591	11.546708072499914	1.154687699455983	1.048364497853167	1.1361637962114899	1.0756721049590392	1.1742732610387696	1.215106960799696	1.1857168115263785	1.1833193258824206
65000	-7.963068492249635	-21.876005198412084	13.91293670616245	1.20164198350589	1.14771336710357	1.1995812472143252	1.134097816952291	1.174355818576787	1.1880469988764357	1.2280640998551877	1.1807525133466583
70000	-12.895478620364866	-21.88686166690817	8.991383046543305	1.2306047881447213	1.0655871061642876	1.151833283328583	1.180265475747603	1.1648434686327385	1.2513708091815463	1.1793277949346923	1.3095182792112021
75000	-9.721079748608101	-21.776745810746515	12.055666062138414	1.1356206853059263	1.2028731733549272	1.178270535115489	1.0762042424173592	1.2205992150136513	1.1383098633611786	1.2539257324413218	1.1492180391276146
80000	-7.735434999506854	-21.88985092941024	14.154415929903386	1.203900231948139	1.1546060996902623	1.1398689695038535	1.191510159091373	1.15760209081915	1.1161571578062635	1.188376988532807	1.2091303617538605
