#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.23258115890221 1.12397856695788</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.18920930930799 1.18889345500763</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.19341499768346 1.22393684798113 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp91:0.4766335548,sp93:0.4766335548)nd91:0.7580219458,sp84:1.234655501)nd89:3.533018363,(sp89:0.8827689134,sp90:0.8827689134)nd88:3.88490495)nd49;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp93" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp84=2,sp89=2,sp90=2,sp91=1,sp93=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214803.0462057844	-14.537217087130623	-214788.50898869726	1.0783940774602638	1.12397856695788	1.18920930930799	1.18889345500763	1.0E-10	1.19341499768346	1.22393684798113	1.0E-10
5000	-2.9000992229393088	-14.40912247604629	11.509023253106982	1.1756766891110741	1.1890859911690652	1.2474382781967497	1.1924041129665512	1.1426048171896324	1.1763018995733787	1.0538303616911229	1.0969220519054796
10000	-0.48905361212069565	-14.417903519648494	13.928849907527798	1.1351462877227259	1.1451178312678396	1.2019983113693635	1.1845664084153409	1.2263967763854324	1.1832364098248709	1.1171912064212162	1.1465088337223737
15000	0.3172719555274952	-14.364917431643256	14.682189387170752	1.1845002153890138	1.1194854888743875	1.1756178767092966	1.1702461389231273	1.152797306550507	1.193905013591279	1.1925993630441305	1.161442874664406
20000	-0.2485573676278907	-14.369746896117578	14.121189528489687	1.114980758317678	1.159218026783016	1.1451252712005793	1.1671376091602252	1.1217483314295236	1.1764256959738943	1.1948132121591648	1.101213218717863
25000	-9.712205420197101	-14.18175426180851	4.469548841611409	1.174216300732492	1.0005168536273776	1.1033129877701495	1.0714137330706122	1.2207488433607556	1.2716938239211306	1.2973943451319132	1.1372856191941805
30000	-2.7925569453129597	-14.412125196973864	11.619568251660905	1.0590784748214537	1.1856314182730978	1.097648477597894	1.17818048714391	1.1815761080523346	1.0767233055352805	1.1978986617865677	1.178573041187351
35000	-1.0251919003235646	-14.290612385475454	13.265420485151889	1.1550003288946067	1.1612271866247144	1.1995596752255282	1.1330833837212868	1.2194371598527551	1.1816830704721843	1.08677116958109	1.2117014889670275
40000	-0.6723178555770044	-14.367221490487033	13.694903634910029	1.1647933473048697	1.1939014133496177	1.2130793827448547	1.1717721897476558	1.1195057800496724	1.1476091857399597	1.0873241503267193	1.1439490977160385
45000	-0.34291066314630925	-14.326970748625438	13.984060085479129	1.162738652916321	1.1571735553785716	1.1369396588213077	1.155803572335016	1.2129218913014863	1.1839091510238813	1.226025282641988	1.1208061077631997
50000	-2.0826962992962024	-14.20205422448133	12.119357925185128	1.2515982681162132	1.1758243030415356	1.0616747044460269	1.1611324697304932	1.1240462470683614	1.143761775626701	1.1207772962402642	1.1847000880798177
55000	-2.4325769781181688	-14.419431456345809	11.98685447822764	1.2359959913505878	1.2188787242584616	1.1731650355729686	1.1735289269606841	1.205790531056875	1.111882602994136	1.258173393681313	1.1445928359181343
60000	-3.6998589219834344	-14.1810807186617	10.481221796678266	1.285116848337359	1.1279437369600587	1.1758199675476166	1.115800476332488	1.1156242293861258	1.2146368175337228	1.0989085394136777	1.0785331817418016
65000	-1.5219701035606104	-14.309878839808174	12.787908736247564	1.1362429466467954	1.157660501501829	1.1834502167422571	1.0967254449357717	1.2162550888043155	1.206960591633906	1.2405764539049753	1.1287975420069847
70000	-2.791433225237098	-14.318876141127701	11.527442915890603	1.1738616087832596	1.1771227365475403	1.1013021120597197	1.1135755783061396	1.1861602702550071	1.0610911654522976	1.2557627638700808	1.1460604925899693
