#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.21356995654796 1.2832937752737</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.32687479334765 1.20201822243678</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.21114372135764 1.28157139056943 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((((sp73:0.406076803,sp65:0.406076803)nd63:2.033279454,((sp72:0.1521125156,(sp81:0.07910030847,sp82:0.07910030847)nd81:0.07301220711)nd71:1.172070416,(sp51:1.292995279,sp58:1.292995279)nd59:0.03118765338)nd53:1.115173325)nd38:0.1689692451,(((sp77:0.1016087592,sp78:0.1016087592)nd72:0.9085204403,(((sp70:0.2311095906,sp71:0.2311095906)nd75:0.179637449,sp64:0.4107470396)nd73:0.1291166163,(sp66:0.3830030681,sp67:0.3830030681)nd74:0.1568605878)nd68:0.4702655436)nd66:0.2522826157,sp52:1.262411815)nd57:1.345913687)nd28:0.8473785135,sp43:3.455704016)nd27:1.296941926,((sp75:0.1214876728,sp76:0.1214876728)nd79:0.1043891657,sp80:0.2258768385)nd78:4.526769103)nd18;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp43" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp51" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp52" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp66" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp71" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp72" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp73" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp76" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp77" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp78" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp80" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp43=2,sp51=2,sp52=2,sp58=1,sp64=1,sp65=2,sp66=1,sp67=2,sp70=1,sp71=1,sp72=2,sp73=1,sp75=1,sp76=1,sp77=2,sp78=2,sp80=1,sp81=2,sp82=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214831.80153140315	-36.70516248979646	-214795.09636891336	1.21356995654796	1.2832937752737	1.32687479334765	1.20201822243678	1.0E-10	1.21114372135764	1.28157139056943	1.0E-10
5000	-27.258663316447716	-35.75381756310095	8.495154246653238	1.2161209900619017	1.237704519535784	1.2133860411227892	1.0216240560647498	1.1438615444270903	1.1064902246366506	1.0848066646580525	1.094175247556464
10000	-26.43899055128399	-36.001703333769846	9.562712782485857	1.3082441276145025	1.1561701730806146	1.2337539585830517	1.1039933343476698	1.1006444704675153	1.2467455450758693	1.1793602932275726	1.1664012957278638
15000	-26.97157716445043	-37.146270919898555	10.174693755448123	1.10228532145811	1.1407154669533432	1.2108832214808352	1.159994120824088	1.0246022025768704	1.171116802622746	1.231980499173913	1.1019768559786405
20000	-23.3699184059833	-36.02950553165632	12.65958712567302	1.177629106765926	1.1354855885615134	1.0930357636789145	1.0687087405653966	1.196651958033941	1.1312572959398064	1.2052950366853987	1.161637833189002
25000	-28.032126538588642	-36.7689116700082	8.736785131419559	1.0744777539126227	1.2055750870825372	1.152466486954354	1.12935781523082	1.2094383208911375	1.2009118219861008	1.3382247234026863	1.1123974593696602
30000	-22.284678885475167	-36.25551640094681	13.970837515471645	1.198263449340309	1.1679784983984431	1.15521189684162	1.1391905746514974	1.1225661785790593	1.1681506687519132	1.191499543628943	1.234015575617944
35000	-25.431334023282304	-36.72226469943126	11.290930676148953	1.211386865553623	1.0787911234802687	1.1943606131808295	1.1859400750008937	1.164363092365942	1.1117051836473701	1.0466615459832234	1.1591116579168483
40000	-22.729698909359247	-36.59783899292754	13.868140083568296	1.1923279092360024	1.1450280066567304	1.1576176462258192	1.2103346633101526	1.0849160919432206	1.182939275884716	1.1731343334723836	1.1538339984637416
45000	-24.02033404635127	-36.63521701979031	12.614882973439041	1.1889804679220672	1.0725360713681649	1.1319709124347428	1.184693448941294	1.2318375727799042	1.1413102848848546	1.1036090449720275	1.1568365583302016
50000	-22.41346413256028	-36.304683395301105	13.891219262740826	1.2032898396563934	1.189315844928172	1.1825030218755377	1.1447895585767376	1.1033612367364425	1.1393910698160927	1.2102416777373062	1.1837436984149894
55000	-25.12355540200074	-35.79745762074945	10.673902218748706	1.1584548716663707	1.3173350190261255	1.1188295059167255	1.1132747210937344	1.1164138051896135	1.171587381607219	1.1325334208279392	1.1031011666509378
60000	-22.67056437464022	-36.60154739771875	13.930983023078523	1.1441161371486244	1.1376889448050436	1.2022473731533905	1.0909696775289455	1.1669819097589527	1.1784781742476949	1.2009497267464135	1.1812756005492537
65000	-24.242858117909854	-36.208909660341455	11.9660515424316	1.2389302612797108	1.181063597606262	1.2123136324253967	1.1439057641472241	1.1281713177977863	1.064566839326054	1.104529135552959	1.1524644095140377
70000	-25.688287846768546	-36.32397543400287	10.635687587234322	1.1313397056504977	1.2298631819661474	1.1909197670764295	1.1305280738638326	1.1899583973463732	1.1761152917996043	1.0297826491372832	1.2306223707603472
75000	-24.20747763495209	-36.08968751121169	11.882209876259601	1.222812794156062	1.136920438913333	1.1865979699117901	1.0881550402595792	1.1663132028350804	1.1677610481403025	1.0553673492106117	1.1215385428752482
80000	-22.424696283092363	-36.70455353995282	14.279857256860456	1.1570843410132245	1.0844810949055206	1.145139504252026	1.140650298542524	1.1511499548892095	1.1444287400004662	1.1896270072091226	1.1528575113882533
85000	-26.470224050315405	-36.21108490440961	9.740860854094205	1.2378950988407056	1.1440830190513909	1.204458746536349	1.0894036479470972	1.2299699221565437	1.2284453067017052	1.2505725318745105	1.2512225646455095
90000	-29.49896985701951	-37.18529117887539	7.686321321855878	1.186888151646009	1.1345639602734354	1.264326108548535	1.1857272168725468	1.1327683194087605	1.171375887038656	1.364154137157983	1.1040190912615737
95000	-23.279998064276576	-35.891810136336936	12.611812072060358	1.2414148458442942	1.1921819136130423	1.1659427743293085	1.0940265911386224	1.2395208502931898	1.173960471841657	1.157851023598325	1.1849175956092128
100000	-26.308695579687377	-36.69810975618861	10.38941417650123	1.1675574119558676	1.1018735403313933	1.1049299726289397	1.2152514304757895	1.3108203125747484	1.1864811968733313	1.1917439499739637	1.2053801315098247
105000	-23.11083007215885	-36.7121680151064	13.601337942947548	1.083849999950698	1.1656247627949132	1.1116031616227537	1.1583201809848152	1.14460895523636	1.183082559511161	1.211183934017311	1.1802425353467116
110000	-24.369002462648996	-36.037037870045445	11.668035407396449	1.222450355833633	1.1999591294995147	1.1239618420281985	1.1661980285736149	1.287518824372628	1.113534791227634	1.157904747354907	1.1214952063437145
115000	-25.22945935843817	-36.19747625266928	10.968016894231111	1.1441117333484943	1.1406099761626827	1.0512801335494535	1.1158588577702848	1.204494657433505	1.0734717794898294	1.213555455021132	1.2038696031870024
120000	-23.58896058089986	-35.928017307907204	12.339056727007343	1.2253911568139282	1.1492531502830188	1.0449609620871745	1.1715109969652988	1.1786976346335072	1.185402947806257	1.175340002461144	1.182940095747176
