#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.26097563852412 1.24664106023945</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.17575226608247 1.09441705825029</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.11433420206462 1.09063567540616 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp136:0.213588614,sp137:0.213588614)nd139:2.065677805,sp96:2.279266419)nd86:2.765021206,((sp141:0.07212257349,sp142:0.07212257349)nd141:0.5084777794,sp133:0.5806003529)nd90:4.463687273)nd26:0.6460765094,((sp131:0.5984641182,sp132:0.5984641182)nd135:0.7326267161,(sp134:0.7849402424,(sp138:0.2094498092,sp139:0.2094498092)nd138:0.5754904332)nd134:0.5461505919)nd120:4.359273301)nd25;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp96" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp131" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp132" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp133" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp134" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp136" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp137" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp138" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp139" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp141" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp142" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp96=2,sp131=1,sp132=2,sp133=2,sp134=2,sp136=2,sp137=2,sp138=2,sp139=2,sp141=1,sp142=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214814.74271191825	-25.519959422381156	-214789.22275249587	1.1923723473544008	1.24664106023945	1.17575226608247	1.09441705825029	1.0E-10	1.11433420206462	1.09063567540616	1.0E-10
5000	-15.547943523770522	-25.915345012382236	10.367401488611714	1.1780266663763332	1.221873348766195	1.1872913222315353	1.2034223833571263	1.2994390388686008	1.2072601927498026	1.1825575990899004	1.079460967577133
10000	-16.505687251245767	-25.968272528823245	9.46258527757748	1.241697146563463	1.1491110813189553	1.205548691291594	1.2784881710821066	1.149130382861526	1.285418012860246	1.119617366373965	1.1109071226359664
15000	-12.264779755577603	-26.003699027778918	13.738919272201315	1.1582824351085819	1.1201694430953713	1.1707254373871498	1.1205666739390499	1.1883913781270918	1.1570520781573121	1.219435307744898	1.0990846367534335
20000	-13.25820911749856	-25.956143226323157	12.697934108824597	1.1665545775856099	1.2541459638283912	1.1900295742921632	1.1699768378998128	1.1556457866041436	1.0852795761431326	1.1532563740697566	1.1055887473039425
25000	-12.339816874366539	-26.053470444542405	13.713653570175866	1.1726063725967202	1.1287784156393919	1.1517682275647056	1.204887243462966	1.0993510549630339	1.1741863511477955	1.158244467642933	1.2265254755106774
30000	-12.443709337300426	-25.581936081974323	13.138226744673897	1.1600159011664037	1.225335490358711	1.2159311099760295	1.086794744377573	1.1859567162433402	1.1999022084590176	1.1558970726444002	1.1729887161005121
35000	-18.13487281708121	-26.68743300594407	8.552560188862861	1.1467403281083062	1.18761165736102	1.3141978236642158	1.2315432001424422	1.0549698700148906	1.1458386585977482	1.2451969065831252	1.1655599561443197
40000	-11.810792494306098	-26.0997682505746	14.288975756268501	1.1513152545909675	1.1823760688043865	1.202541149282744	1.1781411061005413	1.1787129088297539	1.164179181304899	1.202034747801271	1.1087742798367766
45000	-11.089781289833024	-25.950182589407973	14.86040129957495	1.1663295010858863	1.176725358015931	1.1673519169289654	1.1569224413424486	1.1781727271216882	1.1071091636278372	1.1520958815979714	1.1701512873222815
50000	-16.184672774025064	-26.776607703785334	10.59193492976027	1.115919753219075	1.1284710466617252	1.2636823143588127	1.2687253578328679	1.242953708086178	1.1569685057275203	1.149451731131837	1.1167742189005505
55000	-12.812954343977285	-25.443513436938986	12.6305590929617	1.169715457816487	1.169969799755313	1.1804015088790176	1.081070858937227	1.1035380462470004	1.215407936801886	1.1054106782678916	1.1118368114986277
60000	-15.119633346427799	-25.706778171621288	10.587144825193489	1.237383773526706	1.1357229294964608	1.290186521517048	1.1178635557131986	1.112941988078279	1.2359751039995668	1.1464541995921067	1.1916539489646572
65000	-13.895504009150905	-25.934004019998696	12.038500010847791	1.203939904212992	1.1574604939718938	1.192273048159516	1.1539777573409198	1.079843166483212	1.214959432931997	1.2416059832537043	1.1004609140074586
70000	-17.479141024035528	-25.596799017631167	8.117657993595639	1.1781448675516912	1.0984353061179244	1.0210334993486716	1.2120324500344297	1.19522544613163	1.2874795666721193	1.0948011538232723	1.1691577746752153
75000	-12.49433459036272	-25.95937046328766	13.465035872924938	1.1324006527887258	1.211400596366535	1.21246217742455	1.1984427264077042	1.216188114706448	1.2028341906473279	1.1354009144440251	1.155545463970082
80000	-18.06175381227393	-26.33426609370142	8.272512281427488	1.0802647219088206	1.2043684651791504	1.2827232428810937	1.168285116130275	1.2267195143347414	1.0461548682767685	1.0960303084669571	1.10644050487768
85000	-17.168865961968095	-25.720035602701067	8.551169640732972	1.2767710423162446	1.2704829904868937	1.1489962906243736	1.23114705783697	1.1871590807829666	1.2736621094878606	1.2153094620294307	1.197473619382381
90000	-11.751617296787169	-25.63238675001304	13.880769453225872	1.2040087745096633	1.2115334232950536	1.2065551664964809	1.1432121939814466	1.181600487389365	1.1731042794672633	1.110505228266633	1.1453634866088958
