#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.2548538047119 1.20152487876988</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.15592638282802 1.19649989945839</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.23605026860876 1.18706943211061 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp152:3.770556205,((sp131:1.239211135,((sp165:0.08066156628,sp166:0.08066156628)nd165:0.5858608774,sp146:0.6665224437)nd148:0.5726886918)nd144:0.169608744,sp162:1.408819879)nd123:2.361736325)nd81:3.871859198,(((sp151:0.5703133387,(sp168:0.3856031995,sp156:0.3856031995)nd164:0.1847101392)nd156:4.171951888,((sp157:0.3627377925,sp158:0.3627377925)nd159:0.337237058,sp144:0.6999748505)nd155:4.042290376)nd55:1.226090745,((sp154:0.3875460257,sp155:0.3875460257)nd158:0.6868277202,sp134:1.074373746)nd146:4.893982225)nd47:1.674059432)nd33;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp131" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp134" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp144" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp146" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp151" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp152" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp154" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp155" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp156" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp157" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp158" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp162" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp165" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp166" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp168" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp131=2,sp134=1,sp144=2,sp146=2,sp151=1,sp152=1,sp154=2,sp155=2,sp156=1,sp157=2,sp158=1,sp162=1,sp165=2,sp166=2,sp168=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214827.82946814856	-38.9013398799896	-214788.92812826857	1.2548538047119	1.20152487876988	1.15592638282802	1.19649989945839	1.0E-10	1.23605026860876	1.18706943211061	1.0E-10
5000	-31.2033204334899	-38.97216821185929	7.7688477783693894	1.1763438859406965	1.1087584283186178	1.1083726391844013	1.1752031447094236	1.2945206459025482	1.1755134350601635	1.0915433736849274	1.0138787279740569
10000	-24.741424710553396	-38.89192168265855	14.150496972105152	1.1965117363004798	1.1331303644321256	1.1472985262175674	1.146287302073068	1.2227448806999108	1.135831608151268	1.122017221719221	1.1790349984562516
15000	-30.841783579020152	-38.77172331478468	7.929939735764529	1.1092455840698838	1.1446570476358364	1.1447569400620856	1.0959446905912007	1.1019991363112551	1.045828168294075	1.047587701598902	1.2731699309680895
20000	-27.440830360412704	-39.182598258434936	11.741767898022232	1.1847250770316082	1.1452074210107346	1.1977357714870964	1.1638627628026679	1.22116100798071	1.26538431960524	1.2413900186499776	1.2047328273680453
25000	-25.795003018231043	-38.96213662562133	13.167133607390289	1.210121396754064	1.1273475502010573	1.1144142548110736	1.1987634270882077	1.1399674951119205	1.0877275994747828	1.147827102558831	1.2061187672404512
30000	-26.718492154054143	-38.629083539444025	11.910591385389882	1.0673720558269653	1.1934013473755842	1.0672985205944683	1.1233838755195802	1.1997892624567104	1.1291494516416323	1.1477768609220718	1.1758279036547765
35000	-27.841260183750187	-38.54128310635582	10.700022922605633	1.1982892206031157	1.2601438484498464	1.0859803443568756	1.065406303393622	1.1278012673278244	1.2247757682368392	1.1450229355898953	1.1773403821295154
40000	-24.51988277549246	-38.82116852354898	14.301285748056518	1.1133691500004084	1.1651568520398987	1.1281219364429345	1.1246312795060127	1.115356867645071	1.1467106813206172	1.1554044527040692	1.191296140947455
45000	-25.834399211467762	-39.61356555620064	13.779166344732877	1.140270753114242	1.0954443079649288	1.1711787475819937	1.2195798549032284	1.1727996263644649	1.1819135075645335	1.1654045958579036	1.2049791133144578
50000	-27.72528289096794	-38.784802857175436	11.059519966207496	1.0911222007977321	1.2786300911815907	1.1539696265575743	1.145165603740477	1.1106427421369076	1.2352970593322177	1.2110949763362693	1.1863148527578453
55000	-30.20938518381165	-39.32261828952783	9.11323310571618	1.1824894283852878	1.0501699103813098	1.1689419550514328	1.1391279158908059	1.0959599098326511	1.3183590113811787	1.1788037451175346	1.1220600799765799
60000	-24.660918383954982	-38.900688699248605	14.239770315293622	1.1634289935628082	1.2173094316695763	1.130057928359712	1.204423664683681	1.1560202689431407	1.1998209643632354	1.157709553418171	1.1441729410307437
65000	-25.234217199659774	-38.86596221114215	13.631745011482371	1.182496519043617	1.1590956901656957	1.1721806564073554	1.12320681938832	1.0676237489439353	1.1835797525499447	1.1479158570123962	1.1745677743727134
70000	-30.390237031273195	-39.074760759399204	8.684523728126008	1.249155793082447	1.1647036739451613	1.2000825372313721	1.1824723429662567	1.2357306249774462	1.274028950793659	1.062900196958923	1.2512050826591556
75000	-30.700547779111552	-39.01434400762818	8.313796228516631	1.1943578568323223	1.2337391374559563	1.2372011237596199	1.147708192421993	1.1916884613269063	1.350653450246353	1.1575862380301267	1.2139881762942248
80000	-26.27530372630357	-38.771223069576365	12.495919343272796	1.1996853537562489	1.1858541853762865	1.1186251215823693	1.1524918630260377	1.2273069389338953	1.247320233554495	1.2122481277825325	1.1242037477689748
85000	-27.62108386815141	-38.433086693001535	10.812002824850126	1.1286680992538378	1.220065600634577	1.0568727332737262	1.0689868589292604	1.1230076519713414	1.0953040878368032	1.1793502614651887	1.142304675297612
90000	-28.009555160157234	-39.16309353021034	11.153538370053106	1.1052808845202964	1.1905409198913834	1.212773420698613	1.1391107196603887	1.040440066647622	1.11215869944834	1.219737039861934	1.1692502927478745
95000	-25.748119968111048	-38.83275180549605	13.084631837385006	1.2173365505112121	1.2059537464706416	1.120612438222233	1.1928035742140526	1.121984657091192	1.1241117311907114	1.2242332557991924	1.1911991994295863
100000	-28.626398324152156	-38.9303539977813	10.303955673629147	1.1013326536881125	1.1884195546679561	1.105774854792769	1.1721978683350311	1.1661058361617958	1.2843223103764998	1.232208941194169	1.2497126758164079
105000	-27.852335132980166	-39.38013271625778	11.52779758327762	1.0633738409913325	1.1158948599561962	1.1066741399221152	1.2033629477033922	1.0797656370921087	1.1459872934681794	1.1477192036905846	1.2102062303508796
