#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.05064429893932 1.08902256597463</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.20128885500836 1.2046999821314</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.23539871701962 1.13863098807294 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp90:0.6302794293,sp91:0.6302794293)nd90:2.837984777,(sp88:0.6426390998,sp89:0.6426390998)nd62:2.825625107)nd54:2.429134068,sp78:5.897398275)nd26;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp78" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp88" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp78=1,sp88=1,sp89=1,sp90=1,sp91=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214805.38394647837	-16.852432434447184	-214788.53151404392	1.1804418270068844	1.08902256597463	1.20128885500836	1.2046999821314	1.0E-10	1.23539871701962	1.13863098807294	1.0E-10
5000	-3.373855840734592	-16.28061639695379	12.906760556219197	1.1745975574897973	1.2329263129852555	1.0990264063580462	1.1623911759618755	1.188955637295312	1.1146222505510477	1.1277994543652454	1.0988302919217747
10000	-2.8182552501813305	-16.151939370975057	13.333684120793727	1.1462456824794807	1.178326791189601	1.0765688190129137	1.2112733263054027	1.14057220203904	1.1172573591233839	1.1761637879280324	1.1933555417809478
15000	-4.369041839993386	-16.34659990204937	11.977558062055984	1.145248966664302	1.1542861053735742	1.1245059402886286	1.2313348574048208	1.16168880203381	1.2183162798024354	1.266739611329366	1.107252387891449
20000	-3.113493441179319	-16.616620702547454	13.503127261368135	1.181078266806596	1.1098849620947397	1.2332729522376324	1.1575939956332482	1.183021385899606	1.15665180490925	1.1786936953306602	1.0992204000165606
25000	-6.795204955173965	-16.1376287218788	9.342423766704837	1.1473005660588258	1.1416151314999359	1.165735470758441	1.0011384774820693	1.1818104710761548	1.0959001499543857	1.2260612730999787	1.2111884981083163
30000	-4.680216740774599	-16.450511475745635	11.770294734971037	1.205396166562999	1.1948871505815148	1.2269724997054876	1.1805705935910362	1.1171965527008996	1.1310510017373367	1.203377412090202	1.2731873053268299
35000	-7.7607943973105495	-16.018678072603286	8.257883675292737	1.203048425800657	1.07001608182838	1.0746063888232003	1.1089977948400405	1.1000027753265753	1.0300800348238337	1.1472811706032209	1.090538918075769
40000	-4.088268563991866	-16.277739097593088	12.189470533601222	1.122387818179453	1.0707851067532785	1.088979848711462	1.1355232878377113	1.2305806664447267	1.127442340960912	1.1413238261226584	1.1562349540689978
45000	-5.089324418303612	-16.831309993731924	11.741985575428313	1.112985936557874	1.1791342275266503	1.2215820612126789	1.2109667952083807	1.1528711820389828	1.2630392127734262	1.1835368197585368	1.088704035692298
50000	-4.675375130370432	-16.48654576859344	11.81117063822301	1.1467001427842152	1.2145089689121	1.1670738282810011	1.2088330593123133	1.2077950628830683	1.205851878502506	1.2024706101692177	1.0524288105246395
55000	-7.334369379138762	-16.687959411190427	9.353590032051665	1.1633890964895408	1.1927762461528322	1.2408280179294742	1.2362492692086473	1.1008027791536283	1.0659233684014886	1.0565658686571704	1.1026435870120104
60000	-7.217087261901849	-16.384897390000837	9.167810128098989	1.0537024324722304	1.0205428583470022	1.104894610891995	1.149879764096793	1.1843208658378812	1.1757915680988842	1.2214026702775618	1.1782988690128842
65000	-4.283543084962766	-16.398729890209868	12.115186805247102	1.1601111836114628	1.1124817531532865	1.1419878970204742	1.1370353131536668	1.1267148254508896	1.1544721595064655	1.1621812400407723	1.3015725669154552
70000	-6.481976306924764	-16.00794498064894	9.525968673724176	1.1621099936445265	1.2405607343960081	1.0962243280144799	1.2426704935265263	1.2121143685989664	1.1083015402539964	1.2710129793370983	1.0848800686152418
75000	-2.9275179132132365	-16.144215638296533	13.216697725083296	1.1934895383296145	1.2250868672573305	1.1112306473883664	1.1365403485128824	1.1451366564828689	1.0912920604478502	1.1905185061163184	1.1342597636707556
