#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.18288652527188 1.08478732840207</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.14867756405951 1.0944263483707</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.23413244303631 1.20798560789743 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((((sp81:0.2562281378,(sp93:0.06868714774,sp94:0.06868714774)nd96:0.18754099)nd94:0.1720226475,(sp95:0.0437992651,sp96:0.0437992651)nd95:0.3844515202)nd89:1.371828284,((sp83:0.1864149725,((sp91:0.09050587594,sp92:0.09050587594)nd99:0.03897640964,sp90:0.1294822856)nd98:0.05693268696)nd88:0.6289715454,sp73:0.8153865179)nd74:0.9846925517)nd51:1.069914977,sp97:2.869994047)nd34:0.7476330296,((((sp68:0.8009796608,(sp75:0.5504099392,sp76:0.5504099392)nd87:0.2505697216)nd81:0.9131815578,sp77:1.714161219)nd52:0.7655102972,(sp88:0.1550985615,sp89:0.1550985615)nd49:2.324572954)nd39:0.2601687815,((sp99:0.002569364343,sp100:0.002569364343)nd93:0.5096681029,sp80:0.5122374673)nd71:2.22760283)nd35:0.8777867789)nd29:2.452178026,(((sp84:0.1612155776,sp85:0.1612155776)nd97:0.05034896751,sp82:0.2115645451)nd78:0.8806252155,sp55:1.092189761)nd72:4.977615341)nd17;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp55" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp68" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp73" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp76" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp77" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp80" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp85" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp88" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp92" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp93" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp94" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp95" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp96" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp97" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp99" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp100" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp55=1,sp68=2,sp73=2,sp75=2,sp76=2,sp77=1,sp80=1,sp81=1,sp82=2,sp83=1,sp84=2,sp85=2,sp88=1,sp89=1,sp90=1,sp91=1,sp92=2,sp93=2,sp94=2,sp95=1,sp96=1,sp97=2,sp99=1,sp100=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-212545.95755883792	-45.45153596128126	-212500.50602287665	1.18288652527188	1.08478732840207	1.14867756405951	1.0944263483707	1.0E-10	1.23413244303631	1.20798560789743	1.2817415810272458E-10
5000	-31.908138560109165	-45.03678096916191	13.128642409052745	1.1744878611980962	1.196168816280897	1.1141643238807872	1.1268570858062985	1.1799803330832352	1.2272983131699293	1.1503899105486444	1.2374506246346189
10000	-32.92008276297658	-44.41497439563152	11.494891632654937	1.2690136880027933	1.2297477627075974	1.1478915547614914	1.0718671351657931	1.1771487968112175	1.1710196285565124	1.1439357841320434	1.119724532642622
15000	-32.587677592223045	-45.661853828028704	13.074176235805663	1.208253877236291	1.1298792815252656	1.192990908316471	1.191147473461968	1.2034870391909465	1.10158862715317	1.1896807412217867	1.225233395001908
20000	-31.154332757180427	-45.41070063888535	14.256367881704927	1.14574777802767	1.1766044656599348	1.1122251583758598	1.1678942410053124	1.095175368013606	1.1720072959165597	1.1821990065506731	1.1616660859043646
25000	-33.204984374589	-45.26024353770044	12.055259163111433	1.235122836670782	1.116667643481415	1.1494202357351473	1.1721014977057134	1.1217209466843756	1.0910454051688558	1.1301786856006735	1.2512620661502516
30000	-33.242370675189306	-44.915553941647204	11.673183266457901	1.1789168380272683	1.214160151486715	1.1164147938704783	1.11129460537648	1.1161464211874617	1.2680906349586325	1.202206462516156	1.2155670031176051
35000	-32.970065899041906	-45.52317091725625	12.553105018214346	1.1748149719629384	1.1649332990817047	1.149483650978387	1.188137204288822	1.1466082441201169	1.158263126950996	1.2565642723187687	1.2585638470300746
40000	-33.48728266210456	-45.4053196784497	11.918037016345142	1.1184625845305702	1.1129695762350464	1.098109628365288	1.0683954427141398	1.162401990523932	1.1044143402865791	1.100058768974873	1.1678489120535012
45000	-33.482803496639704	-44.9879754713153	11.5051719746756	1.1582529944304678	1.2570170780519943	1.1663310578999864	1.0950688900167884	1.2229011677353638	1.1003206668639227	1.1261766531409538	1.0938544484279349
50000	-32.063978864610526	-45.36320585811875	13.299226993508222	1.1669255115645276	1.1166579561426515	1.1264021475227168	1.1096227317221294	1.1794474410713267	1.1306745997295644	1.0835871242530268	1.121804750423489
55000	-31.18973155168635	-45.4426519547793	14.252920403092949	1.1180560418511287	1.2067911198551178	1.1199747257278905	1.1543743539590159	1.1974212602555971	1.1396340496269444	1.1362159152946476	1.1565292510330012
60000	-36.27630941447093	-46.00267745865134	9.726368044180411	1.0799110277182282	1.0881303216132514	1.0812538944279813	1.130195574601214	1.0825956663090117	1.1446672350460638	1.2698403912094776	1.1240113666038956
65000	-40.897601122160104	-45.38170938515176	4.484108262991654	1.138947629229597	1.2158433911037734	1.150605374227428	1.1278692335226395	1.317621486696314	1.1082358193647852	1.3583424613303818	1.0619654746562752
70000	-34.0540433467096	-45.19622686030602	11.14218351359642	1.1047770672616477	1.2203078159303804	1.1182061759781932	1.074631133978799	1.1863726520617746	1.252982880068776	1.202441860627937	1.2043905199118548
75000	-33.785205911056806	-45.54172644043233	11.756520529375523	1.1124819885013641	1.1504515515248508	1.1080524508283172	1.1132897247660134	1.191181492888824	1.2769067001670165	1.1529501624899985	1.2219581627030398
80000	-32.042146062895796	-45.60896303776967	13.56681697487387	1.1306020046012235	1.1921684238146142	1.1726360425590812	1.1446634297803977	1.1265776235555416	1.1047643691650315	1.149609526851098	1.238654627614347
85000	-34.316053500124696	-44.51601366624015	10.199960166115456	1.231739433668528	1.186164657586616	1.1103560613725825	1.03514829047969	1.1046724430661339	1.2346179941030282	1.12513409294381	1.1473650818341734
90000	-31.95345548637723	-45.857562716540606	13.904107230163374	1.122045741057548	1.1962601794938297	1.142020446534219	1.2245584618072414	1.1548731142080788	1.1135495347200852	1.18498099147603	1.1427428264829609
95000	-32.36279570390921	-44.97977678658382	12.616981082674615	1.1849151284683912	1.2091956507412973	1.082761178646007	1.1828460149058846	1.079254945650141	1.12643812867223	1.1290662176718915	1.1727078635285224
100000	-31.701139591060844	-45.0929416117187	13.391802020657854	1.1652997407716452	1.1660074677375698	1.0946574402153972	1.12361377954767	1.2344309446812523	1.1277762048761832	1.1518920402792663	1.1983644010639705
105000	-35.49333090267281	-44.5378520114068	9.044521108733985	1.2925340025719978	1.146516165314419	1.0459507236850152	1.1820228233060273	1.1816799082721956	1.0867849641799305	1.2365108625762393	1.140349838700243
110000	-31.407793410876906	-45.04694303544448	13.639149624567573	1.185057891786128	1.1881422237077173	1.1461425884231933	1.1092411093365209	1.090878773789708	1.1650831542310005	1.16109615722921	1.107360915073897
115000	-32.42448121335046	-45.30092070887627	12.876439495525805	1.1081069383511588	1.2500668535456987	1.121182137948146	1.142140599798335	1.2202198358030552	1.1509977296303295	1.1353238644757826	1.1867422854950604
120000	-33.58288552266761	-44.91023936186881	11.327353839201198	1.2591422610816345	1.1714698269587553	1.1318928180679457	1.1924325681445063	1.2117297206477533	1.1103683141875107	1.1536954073184058	1.058105174031986
125000	-34.59820194474914	-44.792732598295274	10.194530653546131	1.2931189038648574	1.1818906423538011	1.2216891429187533	1.119560177000707	1.2374041516851324	1.1056259033627769	1.210067755545474	1.1161902508398613
130000	-34.86066839556575	-45.67767429225332	10.817005896687569	1.1646393193417657	1.185384741215361	1.2345291171019548	1.1341813269726053	1.176875763336387	1.1796061959435864	1.0271257566682246	1.0979844286005869
135000	-32.33775651842578	-45.66099731268147	13.32324079425569	1.184007485818996	1.1366207646822961	1.2087026415759012	1.1443026790072306	1.1598838994320873	1.070454295083969	1.116425384283744	1.1659041260941319
