#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.2314432275809 1.15475374688391</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.14659489112626 1.23056401439829</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.24220368602689 1.21403543942242 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((((sp146:2.023989037,sp117:2.023989037)nd128:0.8608800424,sp136:2.88486908)nd105:1.377357915,(((sp162:0.06289910398,sp163:0.06289910398)nd162:0.08212379134,sp161:0.1450228953)nd144:2.400826569,((((sp159:0.1705497527,sp160:0.1705497527)nd159:0.3295462823,sp152:0.5000960351)nd155:0.1258679323,sp144:0.6259639674)nd131:1.453348644,sp149:2.079312611)nd123:0.4665368528)nd106:1.71637753)nd74:1.890145943,sp156:6.152372938)nd56:2.973479454,(sp128:3.929075967,((sp157:0.192946416,sp158:0.192946416)nd157:0.3383585077,(sp150:0.3386034269,sp153:0.3386034269)nd158:0.1927014969)nd142:3.397771043)nd81:5.196776425)nd3;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp117" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp128" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp136" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp144" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp146" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp149" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp150" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp152" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp153" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp156" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp157" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp158" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp159" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp160" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp161" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp162" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp163" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp117=2,sp128=2,sp136=1,sp144=1,sp146=2,sp149=2,sp150=1,sp152=1,sp153=2,sp156=1,sp157=1,sp158=2,sp159=1,sp160=2,sp161=1,sp162=2,sp163=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214836.47323500537	-47.3443829281272	-214789.12885207724	1.2314432275809	1.15475374688391	1.14659489112626	1.23056401439829	1.0E-10	1.24220368602689	1.21403543942242	1.0E-10
5000	-35.653402166312674	-47.474618064229574	11.821215897916904	1.1706945430235653	1.065292483719763	1.1029984177214553	1.1566417324192944	1.241898607963547	1.1755697444381474	1.102561394661768	1.1941182959927201
10000	-33.66638828880888	-47.19137308621648	13.5249847974076	1.2438276107926711	1.1315855824826484	1.1192070661881663	1.1743911689928601	1.1323431533717565	1.1574426392600363	1.2090584349957638	1.1425131435208826
15000	-35.517339411128006	-48.21685538628729	12.699515975159283	1.1807501896221386	1.0861203161178763	1.178994036917118	1.2522666786048662	1.1769801205451291	1.1901664172776796	1.117838381929223	1.1327385576908782
20000	-33.77450661998669	-47.52807223313373	13.753565613147039	1.1888773165512008	1.1978590079364846	1.1758299406764952	1.2100249714713007	1.1957675496415854	1.116888303546285	1.2015047977190685	1.1247703755514182
25000	-34.26067132779941	-46.991277230725096	12.730605902925689	1.1593013960151404	1.1832984547507082	1.1174129260629566	1.0784155928211157	1.233620052276072	1.1861221059498788	1.1495016796641058	1.2121383360441658
30000	-36.05589899295037	-47.33141814210042	11.27551914915005	1.179766647181109	1.151302507542268	1.1072832353992312	1.2103973040206408	1.122148322999071	1.170243188967761	1.2194326507728082	1.2971403030884068
35000	-36.378236204320864	-47.14152854118965	10.763292336868787	1.1480890667903765	1.2090572640377266	1.1070408841224295	1.1213693522215078	1.1492267059391525	1.104602799561928	1.1530830688674416	1.021885861425918
40000	-35.439442210179806	-47.29982375968897	11.860381549509164	1.1561044638663371	1.154728405804741	1.1164730266236889	1.1273564122512754	1.1732299510255417	1.0486828988334538	1.2379377818964543	1.1989446132666803
45000	-39.39280700646222	-47.31232126910712	7.919514262644905	1.1135518245078788	1.259664465676877	1.2298704961001907	1.0812019270291755	1.2439563182675089	1.0832684514812454	1.2688726218558153	1.098703425970602
50000	-34.12842249905382	-47.252421796446	13.123999297392182	1.0814871031958642	1.207142406762962	1.1592627749007496	1.1121074160662021	1.1943443831816594	1.216407774626801	1.165118466614681	1.1486674886822188
55000	-36.68042128999679	-47.500084692204936	10.819663402208146	1.0406632280929438	1.202044971309919	1.149219599029074	1.1064910370347347	1.1179764895359614	1.0757398242344298	1.1744836287128606	1.1935531283174083
60000	-33.62615600453569	-47.2959938739483	13.66983786941261	1.1399385157001334	1.2185465582286852	1.1430481145290607	1.152382288264817	1.0935288443550533	1.1251595178332168	1.1522361587314622	1.1152209378303313
65000	-37.18900489225406	-47.62544659194574	10.436441699691674	1.1030098188930715	1.1682472682225908	1.1424850129083448	1.1770850820703185	1.1936962390951875	1.2023306523149937	1.0733274625366998	1.3037853215156112
70000	-34.62160479903555	-47.059287117945416	12.43768231890986	1.1180102457653964	1.273962129261201	1.115770587143665	1.1107068602887622	1.1271421360140803	1.1609701940065327	1.147087407456685	1.131916109827934
75000	-33.192544969919396	-47.336264898873075	14.143719928953681	1.194412721951561	1.2033980215547162	1.1685214825040835	1.200184657595397	1.176126363317413	1.1956817763539027	1.2059541381181793	1.16297889399466
80000	-33.943642240394055	-47.39623932862791	13.452597088233855	1.1581529179697778	1.2292368989474534	1.1218686567273548	1.210060559353523	1.133161819848193	1.105118134910391	1.1300011233365568	1.1496995173122324
85000	-33.420864156643475	-47.56117112069253	14.140306964049051	1.1892559201427317	1.155650614940409	1.2085269341415752	1.142595590245172	1.1862143556934643	1.1289799201146196	1.1042161168899494	1.1418094217145773
90000	-37.299900759183835	-47.24758388313661	9.947683123952778	1.2170172843171507	1.1482758791106251	1.0958544429224923	1.1812788109935595	1.300632231319419	1.087488269567601	1.2254687822337857	1.1949950080403824
95000	-33.69552535323061	-47.00210481768701	13.306579464456401	1.1769561137221802	1.1946081674974698	1.1469121748678888	1.0937961539638894	1.201365461376948	1.2357869212031332	1.1658020726998757	1.185822090875389
100000	-36.223741049834736	-47.64745229796871	11.423711248133976	1.235447815364985	1.0348817786761437	1.187171214911706	1.15261910414502	1.154471564016574	1.1784162783789638	1.1939805891082305	1.2016274845208583
105000	-38.054934572469975	-46.98934617308757	8.934411600617597	1.1370087376577627	1.1579097838869865	1.151042490317891	1.0230141424648629	1.2251312551280804	1.2118207316453846	1.12280748218808	1.2833332191190978
110000	-35.64886056212457	-47.07033074526636	11.421470183141793	1.270451416563639	1.1954108357400075	1.074137752887303	1.1881600461881396	1.206867416067623	1.184541462449001	1.1571156629736046	1.107055274138284
115000	-35.41219323725711	-47.09955129007311	11.687358052816002	1.1066581150477388	1.1805123666081347	1.1807177484770064	1.0299586284565512	1.1826613018158438	1.1591181385828082	1.178209103973788	1.1184378894373612
120000	-33.82373763680378	-47.20020731180681	13.37646967500303	1.1528711634322586	1.1718729588087702	1.0946374333408613	1.1783287325802658	1.128224844604567	1.1491242890891615	1.2501781655736675	1.1639214377709668
125000	-33.47323708659158	-47.30845075430797	13.835213667716385	1.0993651718330886	1.2102811361291088	1.1543676926563597	1.131643675086095	1.1825074745776256	1.144642608252503	1.2118322011999518	1.1449729769281647
130000	-33.69288879868469	-47.298406583764425	13.605517785079737	1.2038959688401047	1.1998519777849377	1.1929102565841643	1.1557747209685019	1.1001164500387104	1.1969529583907448	1.149473722909804	1.1110926819788802
135000	-34.777305456611444	-47.3303305674542	12.55302511084275	1.1055334471434628	1.1830360758742773	1.1239511415727148	1.1145308743838285	1.1348898373117124	1.065946141459231	1.1655588542309259	1.1111215594074835
140000	-34.45980042491493	-47.344094586346884	12.884294161431956	1.1797812313886888	1.1771185919411749	1.1427288977770036	1.1494445181226343	1.1821097512447314	1.0615139711405321	1.225665535912383	1.1885873062364967
145000	-36.20216348237245	-47.771835315170854	11.569671832798406	1.1476900525947125	1.0699125490844479	1.2229134277429037	1.0970378080669736	1.1790615607600123	1.1832953844186909	1.1760065059937268	1.072916185623696
150000	-37.259707140608356	-47.74825839866218	10.488551258053828	1.2496281388081332	1.0246092802198241	1.2010617549868992	1.1615946708437166	1.1331495699769543	1.211809417136166	1.159716956966681	1.1508308027395884
155000	-35.85826616828223	-47.70477393344263	11.846507765160407	1.18943854299308	1.1011220441269836	1.2516080694863823	1.1080351224204097	1.0973643250103737	1.1824560871662773	1.1301393317081863	1.2200835575037097
160000	-34.10946407834729	-47.03948011804784	12.930016039700552	1.1708581067184929	1.2348349585669889	1.1014592048119216	1.0998554065277364	1.1071804386448985	1.1247973277709566	1.1619265331612914	1.1525565941745841
165000	-38.31976250453909	-47.12324375438817	8.80348124984908	1.1101174003207748	1.2238878017234889	1.1491605955504895	1.0537373454889445	1.0680842032313267	1.08778253922271	1.1632596744756811	1.0570928598789675
170000	-36.710458184454524	-46.80112517333761	10.09066698888309	1.2098463100748664	1.1260493917113954	1.0316141176806226	1.0888519803527559	1.142421228938281	1.2533232143526671	1.1622709052618718	1.1421585867706576
175000	-37.82254417996067	-47.467685785903335	9.645141605942658	1.093456465222623	1.1338859623638295	1.1198419104038813	1.1042224733619619	1.1613287457355925	1.0433210617984712	1.1806404224689029	1.0479782126450963
180000	-36.598510426345655	-47.80118798734164	11.20267756099599	1.127579297698845	1.0644218783689852	1.111438985880355	1.188696392416783	1.100908614709538	1.1376241843584944	1.1975227890653815	1.068044955041055
185000	-35.333619299094394	-47.2248806373521	11.89126133825771	1.1578813786103852	1.246507857906711	1.1866659521930059	1.1541433625265651	1.2534232840528619	1.1797131980854236	1.2388543485879222	1.1251429389681886
190000	-33.646099761989625	-47.07026384133493	13.424164079345303	1.1787263764366456	1.2243943873668839	1.1682889933907776	1.1084162640514768	1.0995746608761308	1.2004969862799786	1.184469363157075	1.1738361278817497
195000	-35.318908422154806	-47.628052183613676	12.309143761458873	1.0732240873748935	1.1320760929464704	1.1585567951723181	1.1072102549213754	1.095177550203855	1.138068990604637	1.1190937138049342	1.2156522844066167
200000	-46.11539775893935	-48.46455522695388	2.3491574680145284	1.2774855989701148	1.0932859040198395	1.3580244526625078	1.2224433594921176	1.0565848262457582	1.2845961869303328	1.1983916195414992	1.0858349953876552
205000	-35.248216833312696	-47.59441033169898	12.346193498386288	1.134798865883954	1.2335005941484776	1.1917026796270198	1.2161312263679458	1.2490949014278951	1.1828840857152978	1.1975227541247795	1.125495155989134
210000	-34.85623866430066	-47.18055994472391	12.324321280423248	1.1741065253283747	1.2269591265763138	1.1109129090914476	1.171425654035796	1.2505608189128399	1.1162970304412756	1.1939692155043016	1.1071468946489729
215000	-36.22960288574876	-47.87325310714345	11.64365022139469	1.1175785424330855	1.153533066524467	1.252247364462168	1.1501052186465655	1.1843783948374789	1.2168671014069703	1.27153273518131	1.1677406810109832
220000	-33.47873217295562	-47.24357684457411	13.764844671618487	1.1485059016144983	1.187957765616992	1.1272241095758992	1.1676115730640895	1.156542256935871	1.1841710517506625	1.1892864191870687	1.2493368527676536
225000	-35.92549746235759	-47.2267302062448	11.301232743887212	1.2766326080068295	1.1752572864058084	1.1979703748181545	1.1451884742157963	1.2166808252107175	1.1366920158967733	1.2400863120296692	1.218395112728218
230000	-34.86605222484766	-47.41601429752369	12.549962072676031	1.241230371006301	1.2175647914336056	1.1555917923162615	1.2328058931844397	1.1275584671754042	1.1122392689075689	1.1491886196633858	1.1939760881747656
235000	-33.58431622652591	-47.36640322443513	13.782086997909223	1.16243701349068	1.141301997313884	1.1371036693866223	1.15415389214698	1.0712513420035474	1.1365820213873434	1.195590908383957	1.1507547785939236
240000	-34.70257041378356	-47.40911186067651	12.706541446892953	1.103861659541615	1.2316848301381924	1.2041755900325102	1.1158500677598169	1.202356574886093	1.1701310102099307	1.1040466523387207	1.1263966787220758
245000	-39.563881041914065	-47.46111984536436	7.897238803450295	1.0368749524971301	1.2792195112712499	1.2275270861858476	1.1008767660147216	1.1022778415982808	1.183358412902994	1.099909368234697	1.0890195813798298
250000	-35.53472300858226	-47.225603622753994	11.69088061417173	1.2025053938075394	1.0980718360689512	1.0728725374681614	1.1557479841751421	1.2535119634167682	1.1190222807210246	1.1285439854433228	1.1806757327012325
255000	-38.88399670292136	-47.339016250786116	8.455019547864758	1.2734326840262238	1.2080846106676668	1.1570974983132227	1.2132629068919771	1.1708656359265939	1.075471689419859	1.3125433176459034	1.123570454281772
260000	-37.28883336179749	-47.45307175676109	10.1642383949636	1.1004990311581049	1.247801263520407	1.1153311376745585	1.1815785494377742	1.20938236634319	1.1016608311755907	1.0389931453085435	1.1600059333001533
265000	-35.470598489236934	-48.328066864901174	12.85746837566424	1.1152974973754881	1.0796683948371295	1.1736923125856198	1.215066496707068	1.2307352050421392	1.1786706697181344	1.1526649745041138	1.1541668452516147
270000	-33.66921790134376	-47.18383893073786	13.514621029394103	1.1266955017832452	1.2215956456417625	1.080748328686395	1.1828333561875741	1.1426982616761805	1.1491415740669209	1.158484192201171	1.1356025629330833
275000	-33.84479599147984	-47.065177054140825	13.220381062660982	1.1904893155051044	1.147136889559349	1.1014706585423284	1.1396602930192397	1.1481663162307014	1.2510257161114755	1.1336047357650145	1.1246063305962888
280000	-35.63663261649954	-47.21526659324192	11.578633976742378	1.1881052457617127	1.2301613428940166	1.2649112977349806	1.0832401978146902	1.1491409938854218	1.1972055535598651	1.2041063307437283	1.1409495337563254
285000	-33.740966572472246	-47.10497024836223	13.36400367588998	1.1557131064524824	1.1622063478973892	1.0723545440368876	1.1261976619758831	1.1396179210113089	1.1288271598730188	1.1234757376110138	1.1149666939307883
290000	-35.781445249794785	-47.174114291711895	11.392669041917106	1.142836541846279	1.1288380897498171	1.1617265741350515	1.099762409463817	1.1468441363924275	1.2266168452249384	1.2960245407726827	1.1897139308250844
295000	-35.88756718248402	-47.365058277435885	11.477491094951866	1.2830802056149657	1.1282361242626047	1.1936266647199567	1.1391960617460395	1.1710343573402504	1.0759542948194836	1.2048575282973246	1.1372913849805044
300000	-38.06251448747114	-47.72627113653485	9.663756649063707	1.1946744095187256	1.1834162354410287	1.2266182218053896	1.240218245709057	1.2412076407791457	1.2996442767144725	1.2089808870419871	1.1612956028639683
305000	-35.39806314521637	-46.960228779460614	11.562165634244248	1.151756671627236	1.197280453582384	1.123634769104747	1.056575803614894	1.0981035886604942	1.1432501633340602	1.2099465477040618	1.0900235679631942
310000	-35.72084152075285	-48.05518511140368	12.334343590650832	1.147815254218959	1.0659792349571537	1.1772822136045704	1.176687377229549	1.2387001829441493	1.1706174481034677	1.1122476964641077	1.1125627626543715
315000	-36.69555186028241	-47.29691922005413	10.60136735977172	1.2606624929654255	1.1408399889552372	1.1578869411857184	1.1465249914249314	1.13382826978744	1.066609744565175	1.2688272329168966	1.197894973920287
320000	-37.05602363176382	-47.0446438662013	9.98862023443748	1.295711338447757	1.2045160753112618	1.0791891234324928	1.170980279101041	1.1095362704089973	1.2016684973902239	1.1844728538554863	1.0847825315339301
325000	-35.43488317877836	-47.962562297844606	12.52767911906625	1.0745974786638297	1.1269723380025924	1.2284664215682255	1.1070012952996393	1.1127842399171812	1.1418433299931179	1.1793006980404543	1.1798756275938511
330000	-36.496281032896164	-47.19620456246123	10.699923529565071	1.1664629523631609	1.3113840443385827	1.1366214184339478	1.171977772512313	1.103210128445007	1.1108854122051721	1.1860451880958203	1.2247210655945338
335000	-39.05723098831214	-47.38697406724066	8.329743078928514	1.224946811169781	1.336359606029818	1.2501364605013563	1.192960909471163	1.1928945229744707	1.1966177000418368	1.1020475968984345	1.1988239228977802
340000	-35.03990156480941	-47.506079296649794	12.466177731840382	1.1500004948346425	1.1001305028060027	1.18783955034891	1.090762856511522	1.2342963163933502	1.1191899821752498	1.191967221096109	1.2085999336285955
345000	-34.38996682756847	-47.029545508228885	12.639578680660417	1.1505153225455502	1.1267006210965267	1.121675150372347	1.0623913182985674	1.2286415398179475	1.1839913139920983	1.1664350512350603	1.132523415520645
350000	-36.41038849726086	-47.08806739158099	10.677678894320133	1.2422329498591826	1.262044958262408	1.13868366324044	1.1931570087965018	1.0939173958074397	1.2572092947891174	1.157972222267503	1.1324574392624676
355000	-38.80399063324431	-47.71301612912165	8.909025495877337	1.119621096500904	1.1532059112049198	1.2303872150373119	1.1137860542075682	1.2155467706707275	1.1469267525768274	1.1413310450723264	1.3513111590841258
360000	-36.112364181717865	-47.33446043652416	11.222096254806297	1.0727108301574433	1.1635135465298803	1.2082460881594819	1.0414316324923165	1.1154273279917104	1.180126880091393	1.1674002499321292	1.1555517451978916
365000	-39.07138911565688	-48.03168734474066	8.960298229083785	1.0401672173010716	1.2557330326101692	1.1842432107468597	1.2216946664622688	1.1817897195374534	1.098721908748682	1.1041076304037951	1.2470564724870012
370000	-35.439477022139684	-47.34765027097491	11.90817324883523	1.22858252422919	1.1847825186817524	1.1764793152560151	1.1712909572156176	1.082259701964357	1.0988169479025098	1.2370285875826492	1.1138425209183562
375000	-36.39351656113463	-47.34475303605393	10.951236474919298	1.2267851420405564	1.1963520591008217	1.1803796437661014	1.18120560688795	1.3016183821431693	1.1881069764721213	1.113734298545256	1.1116094372133292
380000	-37.40718457396646	-47.696281217726224	10.289096643759764	1.1168290168738766	1.1464874388580555	1.0947780450547562	1.2528610772590385	1.0407196198757054	1.2005919760368888	1.1702680676412482	1.1087808022721302
