#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.08948026335601 1.1069529833514</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.18081451902181 1.11224155681772</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.18557823897163 1.23600211925539 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp45:0.01696351713,sp46:0.01696351713)nd45:0.004175555761,sp44:0.02113907289)nd44:1.252446108,(sp36:0.7082143357,(sp38:0.3970338139,sp39:0.3970338139)nd41:0.3111805218)nd39:0.5653708456)nd33:0.07254298012,(sp40:0.2326932635,sp41:0.2326932635)nd38:1.113434898)nd29;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp36" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp38" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp39" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp40" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp41" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp44" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp45" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp46" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp36=2,sp38=2,sp39=2,sp40=1,sp41=1,sp44=1,sp45=1,sp46=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214799.81503366446	-11.036537151171176	-214788.7784965133	1.08948026335601	1.1069529833514	1.18081451902181	1.11224155681772	1.0E-10	1.18557823897163	1.23600211925539	1.0E-10
5000	3.5186075775037153	-10.869714497154783	14.388322074658499	1.1082141110765504	1.1715622751394066	1.1283490918845738	1.1514890582184203	1.1930890892875816	1.184800980447566	1.142255873031209	1.1273741585930173
10000	-6.744118009096535	-10.5464307296043	3.8023127205077643	1.1796490742611754	1.3546004806025296	1.2470741452600167	1.03484956025975	1.0534814076972057	1.1901199154417048	1.236508151178359	1.1185640429153902
15000	2.7209951377229498	-10.94050219601203	13.66149733373498	1.1165843477512303	1.1748332166480682	1.164430943602102	1.163830104768976	1.1826234040385473	1.239154748367569	1.2151888817138374	1.1684535220187628
20000	3.633217553102286	-10.816368038620668	14.449585591722954	1.1293073826537627	1.1905428692937539	1.112890404713823	1.190988082598157	1.1244523071467718	1.153330876506631	1.1445798371973044	1.158366772677789
25000	-0.09956435666800978	-10.548186832567671	10.448622475899661	1.2781072361835595	1.0944636625955442	1.1087228864448357	1.2064440871448119	1.222355650898378	1.128241258169831	1.148608136671279	1.2421364644155364
30000	1.036110812497805	-10.741851820561795	11.7779626330596	1.1991467067105726	1.2101593065164544	1.2474582449060942	1.16641008293915	1.1009655138165657	1.1280939462556174	1.1716860778887037	1.2543378046693232
35000	1.1549522951399833	-10.334186152272908	11.489138447412891	1.2769276157635554	1.1818832099128114	1.104433137863862	1.1033328334832382	1.1582297745751369	1.170197150106324	1.0846103146038948	1.1892484793576377
40000	2.0286278698405145	-10.877801542154625	12.90642941199514	1.1274052306871538	1.1564712976828304	1.1047426314032016	1.2301792884932954	1.116569906191623	1.0887350269251566	1.1365123734788334	1.1390565619463007
45000	-0.5418311425060072	-11.223067751707356	10.681236609201349	1.0561603044344157	1.058631037393108	1.1438981934088472	1.1808357377768495	1.1712477406355104	1.1013089985287903	1.2297608094884052	1.1450398704959401
50000	-0.16785494954218727	-10.7079717980285	10.540116848486313	1.238380324183901	1.1774237478187735	1.1991353830325597	1.208161508325924	1.198212376544678	1.235988385719079	1.1834004749628588	1.0426000576824719
55000	1.337297378821681	-10.720103598109418	12.057400976931099	1.17924632536805	1.1967425564982925	1.2555705281526233	1.0985436761368528	1.113963139394692	1.0940180564740172	1.1750995865858636	1.1204045658379926
60000	0.9110320633609543	-10.797977214476903	11.709009277837858	1.12352721776464	1.208466619039015	1.2230827675618552	1.0652108210022087	1.0876646617771077	1.2022968936052292	1.1486684675084693	1.1821156147448946
65000	2.9303748429096945	-10.603124744975103	13.533499587884798	1.2274565196176568	1.1616165015035573	1.096568120394848	1.2036651271961398	1.158782111069212	1.1394560932396003	1.185389225179563	1.1933905649259808
70000	-1.2305969391236609	-10.70511644500957	9.47451950588591	1.1585789492958574	1.197993425020095	1.2559263741600972	1.0462731166911123	1.2531583143961311	1.0955173860174645	1.1758168134308402	1.215182158225953
75000	0.37451353143309873	-10.664400479756534	11.038914011189632	1.2428066340880526	1.1082925542781388	1.1179185216058718	1.2045412755365048	1.0561982670124912	1.1719002892054449	1.222227609072242	1.1288234126617631
80000	2.0604733927518506	-10.947694663113875	13.008168055865726	1.0843368808771294	1.179884578216185	1.2093584362327319	1.1032756772472718	1.216494207232507	1.139074340732578	1.1581990009018603	1.1346466146767922
85000	-1.7941470153461836	-10.849121639449692	9.054974624103508	1.2487472436761815	1.1360247285396963	1.238659274018674	1.2668912952220557	1.1514625786755144	1.250019112885863	1.1840465142205625	1.0640734391905053
