#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.24700993154288 1.05822146652245</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.21360987133856 1.17285534822627</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.25773704054088 1.19994740586713 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp142:3.759011524,sp149:3.759011524)nd92:2.612304125,(((sp134:2.625580465,(sp162:0.08037796252,sp163:0.08037796252)nd162:2.545202503)nd109:0.2413029397,sp154:2.866883405)nd96:1.471879767,((sp113:1.873301461,((sp147:0.9407720482,sp145:0.9407720482)nd156:0.404185006,(sp160:0.4768242921,sp156:0.4768242921)nd159:0.8681327621)nd148:0.5283444064)nd124:0.4275935837,(sp158:0.222155633,sp159:0.222155633)nd160:2.078739411)nd107:2.037868128)nd81:2.032552476)nd27;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp113" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp134" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp142" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp145" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp147" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp149" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp154" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp156" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp158" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp159" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp160" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp162" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp163" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp113=2,sp134=2,sp142=1,sp145=2,sp147=1,sp149=1,sp154=2,sp156=2,sp158=2,sp159=1,sp160=2,sp162=1,sp163=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214829.20092887327	-38.18778360943995	-214791.01314526383	1.24700993154288	1.05822146652245	1.21360987133856	1.17285534822627	1.0E-10	1.25773704054088	1.19994740586713	1.0E-10
5000	-26.5135995474755	-38.13985823669801	11.626258689222512	1.116666421360868	1.2282701459499143	1.1684895975743428	1.1919022976873883	1.1802615527079776	1.1883672467687552	1.1607561088576848	1.295536196384499
10000	-29.163668281633832	-37.59933938550399	8.435671103870154	1.2347577331913915	1.2022783464288362	1.1052651886021423	1.0923917639318785	1.2034711955027309	1.1019843202529294	1.032326697469749	1.0692287326316208
15000	-32.711852306973555	-38.48289307032972	5.7710407633561704	1.0993883984828863	0.9882687756480574	1.181056358265512	1.1061048898861547	1.3054228190804877	1.1082264429690596	1.1581735634384482	1.116311237396851
20000	-28.246206460739515	-37.71087603045571	9.464669569716195	1.2633340944994114	1.2007968939080298	1.0583840750205447	1.135028297912769	1.2016614348008456	1.0817228265363454	1.134269743968421	1.251470850327853
25000	-25.194166555172146	-38.21053240108713	13.016365845914983	1.162046808488919	1.1816528092761271	1.2387686799255269	1.1511965681805476	1.2167414024050405	1.202167101043167	1.2153242367629553	1.1998678809596126
30000	-25.511640497449324	-37.698367865889736	12.186727368440412	1.2385741969632966	1.1962454599780423	1.0897492809770977	1.1033643847792565	1.1342497120114035	1.1232890018761428	1.2235736745451478	1.1745292649804253
35000	-28.92004439595584	-37.96124771930702	9.041203323351175	1.306771736604872	1.0932926878038707	1.154123621171431	1.19136560699111	1.2681859900197516	1.1678811603235462	1.2133344492024987	1.224666138647602
40000	-27.09446820198277	-38.2570636440378	11.162595442055029	1.2183407087093687	1.1259117528202507	1.2504032402845984	1.1499709131087616	1.1430680660075165	1.1559528467011846	1.2180458813702235	1.27739400732208
45000	-27.6640950605848	-38.373643064147934	10.709548003563134	1.1714036326338537	1.1341227859015288	1.1663871768196505	1.2032638247707506	1.0874031288616286	1.0385038503084967	1.1874295984014984	1.0809380639747317
50000	-26.44706679291059	-38.24602218685408	11.798955393943489	1.1185141198285975	1.1843819406947542	1.250431858786971	1.143875344959723	1.2408367740956092	1.2027469357384228	1.1022495293540386	1.2104969446523954
55000	-33.9157960787764	-37.6447893560048	3.728993277228398	1.0555993751548547	1.1758396378990177	1.1937598025227434	0.9723790121677034	1.2554878090714905	1.0951474225084419	1.1527041324315705	1.2689674999619542
60000	-24.40206794096094	-38.02183155661786	13.619763615656924	1.1492871788820749	1.1687841681593858	1.1023639666575944	1.198623004610382	1.2098732657673676	1.1706144755686658	1.2241032724187522	1.13905644718076
65000	-25.646859421410525	-37.81293606593423	12.166076644523704	1.2080735305902728	1.2514985362738849	1.100185487605434	1.1832007770733792	1.1976130438373565	1.1727100042259586	1.1355696689935384	1.2335603530735866
70000	-26.790311991519303	-37.7033155558816	10.913003564362299	1.1320901194117916	1.0780751233444916	1.1120769940630588	1.0607359454093126	1.0946894200716282	1.112195846172826	1.1617839763067457	1.2156404071527278
75000	-25.37707062988298	-37.717291340455766	12.340220710572787	1.2161261101015421	1.1545160841275577	1.1145780801219762	1.1452978242306884	1.122966057332337	1.1664456987457128	1.0535468669616888	1.2014448903129695
80000	-23.834259939771144	-37.85208224513077	14.017822305359621	1.1161958148819793	1.2327006158890974	1.1463112819739207	1.1191353910376842	1.1391445411792789	1.144081874806793	1.1604666160945498	1.1620846495255308
85000	-24.12945558913575	-37.827220697491605	13.697765108355856	1.1676022553431762	1.155184904545561	1.1457139018929412	1.132842468676016	1.1400904282947186	1.1595553060440302	1.0655277150330136	1.1311966605187798
90000	-29.756534094724287	-38.267976681231936	8.511442586507647	1.175232751078215	1.218305658616277	1.1845386733966445	1.2237966293479041	1.055118488501769	1.192963842696516	1.2588733020701488	1.292766999698588
95000	-23.75437247018985	-38.08315161314507	14.32877914295522	1.150319826855449	1.2203620585888975	1.1929240042411797	1.1706031488693263	1.1225272263371604	1.164614283698238	1.1321211090594878	1.1765727786044635
100000	-28.004317674430318	-38.17132172264844	10.167004048218125	1.1981607218275077	1.141742770691896	1.0713876031353875	1.3055430709267881	1.1959669731028932	1.2283069079351723	1.1466641156682278	1.1713750645830792
