#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.23566196780985 1.19045834647823</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.23019486011228 1.14164960103139</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.1530541913994 1.24440372015186 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp105:0.09669096697,sp106:0.09669096697)nd107:0.04084511356,sp104:0.1375360805)nd104:1.650253869,(sp97:1.509369921,((sp107:0.07954877164,sp108:0.07954877164)nd101:1.105743266,((sp102:0.1415872543,sp103:0.1415872543)nd105:0.211604993,(sp100:0.1529323498,sp101:0.1529323498)nd106:0.2002598974)nd102:0.8320997904)nd98:0.324077883)nd96:0.2784200291)nd87:1.316947136,sp96:3.104737086)nd82;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp96" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp97" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp100" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp101" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp102" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp103" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp104" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp105" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp106" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp107" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp108" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp96=2,sp97=1,sp100=2,sp101=2,sp102=2,sp103=1,sp104=2,sp105=2,sp106=2,sp107=1,sp108=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214809.6746193197	-20.680503379959603	-214788.99411593974	1.23566196780985	1.19045834647823	1.23019486011228	1.14164960103139	1.0E-10	1.1530541913994	1.24440372015186	1.0E-10
5000	-7.477301792586873	-20.821208346063138	13.343906553476264	1.1268569488308917	1.1355425472444776	1.1075998998974035	1.2000088590401852	1.1446311478547113	1.2140963586890288	1.094904506421642	1.1819491190714606
10000	-8.335489228181498	-20.80954248722916	12.474053259047661	1.1270004269371507	1.1812486451565827	1.1932091007494816	1.1853583252737134	1.0842586720201441	1.216175811380049	1.2423588944675705	1.1296046570278477
15000	-9.545380055177837	-20.63109717607576	11.085717120897922	1.0887726485954563	1.2343429421651717	1.2882152185858677	1.112374994049596	1.1529182708334367	1.1606458353933873	1.1920455954183853	1.1722556494540826
20000	-10.78660734719812	-20.65833687106268	9.87172952386456	1.1580417224330635	1.167565942642967	1.0163266399824054	1.207417651143903	1.23250847040095	1.1675974866136685	1.138524873466645	1.2405092035780552
25000	-10.411415151954213	-20.622671697992057	10.211256546037845	1.2070436135703093	1.0876363231636748	1.1055924789524165	1.0768493918270208	1.2396333963338502	1.2418824338820373	1.2088178614881937	1.2073774064041594
30000	-10.672919069110996	-20.40968531738613	9.736766248275135	1.2035302051878207	1.2626040047403506	1.2332734814625614	1.130999687884514	1.2948234974858226	1.1671639255340864	1.213621385182454	1.190933849670876
35000	-6.992623675664397	-20.518023321167117	13.52539964550272	1.1178368783499455	1.2239242114062954	1.202072303544743	1.1033109540989254	1.1794985343733122	1.1556059324365762	1.1874800918046178	1.1864241647823914
40000	-8.539104227837205	-20.768138757918834	12.229034530081629	1.2541468320172522	1.1553610937508532	1.2159610811033819	1.1828271409777489	1.1634884597413202	1.187860616589765	1.1792900004492803	1.2529399417742484
45000	-6.479552151282842	-20.921142477125677	14.441590325842835	1.152143894050997	1.1635121329329374	1.1850214578337464	1.220810880413365	1.170921078028652	1.1677046668282367	1.1301559819479758	1.1252946446612804
50000	-13.126399355811365	-20.516583286979536	7.390183931168171	1.1552122750635765	1.1159701604057326	1.1873430134416287	0.9973612103323918	1.0929051935987728	1.1387046283411313	1.0420021813798563	1.132275133541581
55000	-8.268734323260947	-20.845750832482352	12.577016509221405	1.1788624558472134	1.0782908051110653	1.1093107844950687	1.1105279970980517	1.2289446529892714	1.1853717218244846	1.1940164775497784	1.1439081408498735
60000	-8.922464117918224	-20.96351106860368	12.041046950685455	1.1662318679858017	1.19847806814402	1.2381949169312378	1.2236353712189636	1.1256520539695234	1.1449030891515823	1.2452538711543164	1.1050656198996764
65000	-9.420538224111436	-21.21331775618894	11.792779532077503	1.1466403391253976	1.165139371716924	1.230066277457077	1.245312345360757	1.1133850607550964	1.1122249740314503	1.2375037579273254	1.1121636440881129
70000	-11.690683871851821	-20.596776574566086	8.906092702714265	1.028397105648512	1.220196014172135	1.1408310245169868	1.147556127828279	1.0812899266361558	1.2096716247675277	1.187117404663094	1.268008852636907
75000	-15.326889820588532	-21.3911262483994	6.064236427810867	0.9890026982618454	1.160342220695119	1.297114480749515	1.217541824748944	1.0832842387169244	1.1350912385920546	1.1259690832705356	1.19033888646045
80000	-8.223796088724193	-20.3675940708586	12.143797982134409	1.18916383046656	1.1894555249461853	1.1463360178089221	1.1282452246885106	1.1998623528639256	1.284804758248274	1.156188815961663	1.216912195689738
85000	-8.381122458596693	-20.625470102648	12.244347644051306	1.177021684877319	1.1748823469608645	1.152089738839657	1.1331684849303476	1.1582085048299466	1.213594206098312	1.285983292422017	1.1084005896030908
90000	-7.880014618749849	-20.806833997777574	12.926819379027725	1.132816914814158	1.167015465342706	1.0949395862195572	1.2262828610859597	1.157938824594267	1.197719506597981	1.1679552513115339	1.2380234334064515
