#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.16021041415434 1.15244053647408</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.15838097305397 1.248234498186</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.05471756085856 1.16033059387151 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp109:0.8316121298,((sp126:0.2124082599,sp127:0.2124082599)nd129:0.2271712286,sp124:0.4395794885)nd122:0.3920326414)nd118:0.1625494693,(sp122:0.3248936598,(sp130:0.1310095309,sp131:0.1310095309)nd131:0.193884129)nd116:0.6692679393)nd86:1.941798277,((sp112:0.7145154905,((sp132:0.03141586324,sp133:0.03141586324)nd132:0.2354893426,sp125:0.2669052059)nd128:0.4476102847)nd120:0.1305011342,sp115:0.8450166248)nd119:2.090943251)nd85:2.339421097,((sp120:0.7342597218,((sp128:0.1498023492,sp129:0.1498023492)nd127:0.3756515745,sp114:0.5254539237)nd124:0.2088057981)nd106:2.483725029,(sp118:0.4379604759,sp119:0.4379604759)nd126:2.780024275)nd75:2.057396223)nd31;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp109" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp112" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp114" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp115" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp118" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp119" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp120" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp122" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp124" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp125" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp126" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp127" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp128" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp129" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp130" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp131" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp132" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp133" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp109=2,sp112=1,sp114=2,sp115=2,sp118=1,sp119=1,sp120=1,sp122=1,sp124=1,sp125=2,sp126=2,sp127=2,sp128=2,sp129=2,sp130=1,sp131=1,sp132=1,sp133=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214823.35454089503	-33.9717089497622	-214789.38283194526	1.2002515632765551	1.15244053647408	1.15838097305397	1.248234498186	1.0E-10	1.05471756085856	1.16033059387151	1.0E-10
5000	-21.830432556175523	-33.568509104290854	11.73807654811533	1.1825292608487439	1.222009992483581	1.1467555825857003	1.1587609966086747	1.049467805731495	1.2046948236523896	1.1552827062088313	1.2321330149568686
10000	-19.480235545749586	-33.593585009699126	14.113349463949538	1.1591237202171882	1.2066704411282394	1.1827532106924425	1.0924400615338525	1.1346250477155024	1.1404303148647983	1.1408388802799756	1.1496589528829484
15000	-20.992221467747598	-33.77795966330059	12.785738195552995	1.2082708092232144	1.0908525735515386	1.117113089871829	1.1532548881005331	1.138753898616966	1.2145708758098595	1.2322248654072603	1.1449487831233942
20000	-23.117961094738128	-33.708615945405384	10.590654850667256	1.1611175638746132	1.3143040985171444	1.2398020202742281	1.19258589395809	1.1894869746350418	1.1584430447026897	1.1941749939848554	1.1164650193030716
25000	-20.243377343258032	-33.31660716619423	13.0732298229362	1.201322868377551	1.2128301877545358	1.1193765932560273	1.1272045749552329	1.096931592104701	1.141800401660648	1.2197916878640784	1.1866309879106156
30000	-25.71444607899829	-34.10504081987841	8.390594740880122	1.1304666351303303	1.1478786680288329	1.2357741953102255	1.1001463732284789	1.188521241639096	1.103878338881429	1.321461916110898	1.0634103039736327
35000	-21.783577114309917	-33.93599481895526	12.152417704645341	1.19192866514004	1.1723951729084858	1.2222094666925045	1.1488687323775704	1.0648196546028232	1.197084869434593	1.1105630771199901	1.1024519944453617
40000	-20.48923741407574	-34.21050133323264	13.721263919156902	1.1349010225276153	1.0757657117508905	1.1106256631659246	1.1765059302565914	1.1467569683904666	1.1517727970959521	1.1441232170587587	1.1436449811127292
45000	-21.83112531041128	-33.98699889665166	12.155873586240382	1.1666673126368967	1.0868657859211088	1.1534244212391818	1.1148765648924863	1.2535498860028118	1.133488147110017	1.0929391973505524	1.1317766942748182
50000	-22.562210368444482	-33.55409808722431	10.991887718779829	1.154344919718757	1.2350505163128351	1.1769229404347599	1.1237761705559448	1.1972356794435295	1.0805443075390877	1.2233749623674939	1.267534530121327
55000	-22.67814591735643	-33.59967596465956	10.921530047303127	1.2329641387810253	1.1346864369547702	1.2052576466524296	1.0563841962962972	1.1003008715706275	1.1911589198034798	1.0837362834204407	1.173918490662755
60000	-24.202373450857888	-34.14955006736408	9.947176616506194	1.2445853566960543	1.134077340977213	1.2442422930248214	1.2317285158744014	1.0850478259009229	1.081522333457934	1.1071431704033567	1.1099206998235591
65000	-23.63292867725433	-33.19763379126711	9.564705114012778	1.2878379909053137	1.1774455928568215	1.087768587557612	1.1325566737466712	1.0730058882104652	1.2306566384464734	1.0904102066652095	1.1718869445998203
70000	-23.56881530914512	-33.75351649264988	10.18470118350476	1.1487291453696926	1.1971311652744632	1.0896802696790076	1.2273833759410644	1.0233732922859877	1.1415748724970278	1.161236977624758	1.1049764054601854
75000	-22.713438219662372	-33.51088689487227	10.7974486752099	1.1724653505818448	1.17449800567428	1.110971798499108	1.1311970290821258	1.0736607442233685	1.048803020480083	1.0830760336650962	1.1503674304691363
80000	-22.215770929134422	-33.10144299862564	10.88567206949122	1.2408352219281837	1.2614004673863413	1.0798078754614597	1.1540074556929956	1.1578456355722597	1.1686052396854851	1.100146185231595	1.2247796731114429
85000	-24.658507240345603	-34.58322249161859	9.924715251272989	1.137459147178257	1.1322302508770126	1.30047315500344	1.1485731745019334	1.143299112569375	1.1403745907384268	1.2818802985684874	1.1009387242769113
90000	-22.780617260082572	-34.01767308768397	11.237055827601395	1.2372793310287578	1.1543216354425738	1.2430176332740754	1.1873192686305774	1.1714049404467763	1.2397697217920807	1.166943450871669	1.2557849776642838
95000	-27.62723376020068	-33.963139336581385	6.3359055763807035	1.1770107840121569	1.2842525452723235	1.209968191532513	1.2874346480675294	1.0603243365874975	1.241636607193286	1.2717101600135123	1.1841578568114255
100000	-21.887839174564842	-33.511190906809844	11.623351732245002	1.1813211510741637	1.2490428652472099	1.1723898849262058	1.1650202847844189	1.1924901050646648	1.0618875119029678	1.1983565476769726	1.2273511452581942
105000	-18.930672956561708	-33.66648302574852	14.73581006918681	1.180736420562201	1.161530933245249	1.147524975586687	1.1413540319189013	1.1616223661876406	1.1256138088228647	1.2052471319179168	1.1813502280637291
110000	-21.948566657716775	-34.477710974961255	12.52914431724448	1.079982503577141	1.1265669231125277	1.2297231620778166	1.1038430864951077	1.1198625770624755	1.2002161949262997	1.1636764776130148	1.1820690040424826
115000	-26.500202270873665	-34.164418639473524	7.66421636859986	1.1734321459883872	1.0581027416759898	1.134786613216323	1.1842081605858494	1.0655688019437841	1.059478051470105	1.2794072018073908	1.2399583521786093
