#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.11820944871477 1.1839253170741</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.08281520640145 1.12736704474675</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.11726413143544 1.14400233411672 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp82:0.1692650958,(sp83:0.1452108237,sp84:0.1452108237)nd83:0.0240542721)nd82:0.4206249912,sp79:0.589890087)nd74:4.99726545,sp77:5.587155537)nd39;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp77" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp79" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp77=1,sp79=1,sp82=1,sp83=1,sp84=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214799.49702542325	-11.51972801136589	-214787.97729741188	1.11820944871477	1.1839253170741	1.08281520640145	1.12736704474675	1.0E-10	1.11726413143544	1.14400233411672	1.0E-10
5000	-1.4519959760687655	-11.429188521071765	9.977192545003	1.274769947472044	1.2012766513890423	1.2314273523611556	1.1252644206162257	1.1688710968258256	1.0581469754091548	1.2074738702239383	1.1048018825776311
10000	-0.9304407650717241	-11.479978066415493	10.549537301343769	1.1432401725291979	1.1551828016798829	1.0958324894859186	1.0281927553044983	1.1476919677973294	1.080697676270584	1.1171264540205497	1.1363881999949916
15000	-2.761507303599757	-11.664394011506085	8.902886707906328	1.024007578512549	1.185780591773158	1.127217155887285	1.1323206248793676	1.043384549901496	1.0948730094869914	1.164245829314118	1.120007839967235
20000	-2.9940820584347527	-11.438519664657385	8.444437606222632	1.228778968723486	1.0562088543141175	1.1102947490219324	1.073096657063351	1.3005890988376325	1.1410288493691259	1.1801210512973042	1.2003329390618447
25000	2.392763978207812	-11.674040559362988	14.0668045375708	1.2122299095624367	1.201659683406782	1.1379679888948966	1.1597123431813687	1.175703129085464	1.2148288706603758	1.158979623634529	1.128744501320542
30000	-2.542945294306433	-11.48976684817297	8.946821553866537	1.2722088862424668	1.1208528920321703	1.2020036564966845	1.1427116267989395	1.1735506658735413	1.1973429952429642	1.3290125681514409	1.1215845915288514
35000	-0.9798391848855967	-11.848891741992015	10.869052557106418	1.1513738058806877	1.1844757129633958	1.1195452163341746	1.1472502171186099	1.1162504894022516	1.3043287623586466	1.1592242247622773	1.0754912153100946
40000	0.5528084017237447	-11.533268045115028	12.086076446838772	1.2223382658843167	1.0683769180731573	1.109126657899029	1.1680921994373945	1.1170652616919259	1.203251006903551	1.2107919970800372	1.186807133849578
45000	-2.585811001468933	-11.429205354926049	8.843394353457116	1.1418444690420295	1.1118728185688747	1.0245481420062232	1.0717248777340336	1.1171248005827106	1.095078087979903	1.0861816691303727	1.1940368140298288
50000	-2.5077082640027957	-11.715751671861048	9.208043407858252	1.2223012817118237	1.2131465456764872	1.0647120430873578	1.170923963273968	1.0890631359468874	1.2919625281154008	1.1574709767615248	1.095334838042174
55000	-1.235801797189275	-11.781556324470554	10.545754527281279	1.1883672175713265	1.0596623543925303	1.1491093908749421	1.0930024566060472	1.1958277196663616	1.2867297739635035	1.1779436333721753	1.15053419519761
60000	-1.4588617721313906	-11.59267102251073	10.13380925037934	1.14633433624143	1.179228271770278	1.1688722826151963	1.0273791183331633	1.2437074824142362	1.144980697259412	1.204015801591836	1.0809355604268316
65000	-0.891838948903958	-11.564287555045274	10.672448606141316	1.1347110230752606	1.2650541947008742	1.1710910148759237	1.111175238523806	1.2214587713937195	1.0891680466716955	1.1779247227503624	1.066700881005305
70000	-1.3619092130521775	-11.869891687625854	10.507982474573677	1.0663651298773174	1.2659475814644405	1.2376718540165794	1.124833387005189	1.1439510323371758	1.1064058395911263	1.1195959924372456	1.1984794588254233
75000	-1.4515756230718768	-11.831705323093066	10.38012970002119	1.1354740845373774	1.1206265769783825	1.2007221697371058	1.2365678739949886	1.3228595572065545	1.1462229698987085	1.1530596136349116	1.1317209737312879
