#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.18204254332557 1.13414309483124</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.23479746192358 1.21042255757898</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.1465912878392 1.10832180059152 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((((sp117:0.201159644,sp118:0.201159644)nd119:0.005256819877,sp116:0.2064164638)nd118:0.4503771559,(sp119:0.0227460332,sp120:0.0227460332)nd117:0.6340475865)nd115:0.04982628322,sp114:0.7066199029)nd111:9.118014023,sp113:9.824633926)nd1;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp113" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp114" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp116" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp117" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp118" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp119" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp120" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp113=2,sp114=1,sp116=1,sp117=2,sp118=1,sp119=2,sp120=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214806.1632051172	-17.52990450902868	-214788.63330060817	1.18204254332557	1.09242119486381	1.23479746192358	1.21042255757898	1.0E-10	1.1465912878392	1.10832180059152	1.0E-10
5000	-3.9620221047369064	-17.22771122976702	13.265689125030114	1.160654225687079	1.1155415619980227	1.1915671111320592	1.10905133292867	1.1396514726578606	1.1136976609970008	1.153784268716106	1.2415495217153585
10000	-6.112729372611112	-17.11462357605832	11.00189420344721	1.13486437290355	1.2570639868438183	1.1166285109650613	1.1489819472747262	1.2769508864145729	1.1658890478013073	1.0938625775528703	1.192793550353133
15000	-7.292198533959304	-17.14642474805788	9.854226214098574	1.119257247670842	1.240059733431736	1.1408003271739489	1.0340607417462186	1.1920242864518589	1.0995911138133556	1.2014101752074717	1.234227970463485
20000	-4.493067418541816	-17.094963117400308	12.601895698858492	1.2166632342145685	1.0809799329296983	1.1226515236000456	1.0962092650495678	1.1963053767573917	1.1247281622075085	1.1260473592980904	1.1500385327391078
25000	-5.510925926422107	-17.231457141987704	11.720531215565597	1.1559595872648367	1.1751045080992182	1.2141098202807517	1.1592370267458443	1.0389688307941556	1.1812320929215994	1.152251964671132	1.23282502507158
30000	-5.9882199849441236	-17.336957491052168	11.348737506108044	1.1710348494704508	1.1253158832041918	1.2083719009759057	1.1817416836871806	1.0796705498628207	1.1503927731573296	1.2926429769048178	1.1785928882949268
35000	-6.589549908358606	-17.45725264108541	10.867702732726805	1.1407468276233592	1.1931771321054374	1.2465533766695482	1.2398246132254174	1.237827911069441	1.214531341731037	1.2370659079968025	1.122303092048708
40000	-10.700770172040569	-17.16409687943554	6.463326707394971	1.3151834011924348	1.1075367554309492	1.1876420457673318	1.0363334106842146	1.1581027478381616	1.0425219841679148	1.1208321082916641	1.201929245957019
45000	-7.3074111525662175	-17.71496983290204	10.407558680335821	1.1866899402483253	1.0579564654739584	1.2227605074179462	1.2601656365957463	1.1408217359223596	1.1662629831144096	1.148706001244956	1.251948520607168
50000	-4.837232816137771	-17.122668406773816	12.285435590636045	1.1745956823030457	1.2412553751657787	1.1309722465843821	1.0882842844803775	1.2047670941498878	1.1293804684623923	1.2232104027650192	1.1200056439923196
55000	-6.067131969783706	-17.10516343426084	11.038031464477136	1.2524714493718128	1.1815141648979224	1.2631144299592805	1.1433933761591795	1.1828215358025518	1.2311737100719449	1.2301214663592168	1.1385094769720847
60000	-5.959303269363815	-17.286543782049137	11.327240512685322	1.084901738948766	1.1881245725407739	1.115432611388268	1.2355875377276648	1.0843741175992583	1.2290775972135992	1.1167629588372698	1.189887599364554
65000	-5.7988325867859025	-17.11193367906625	11.313101092280348	1.3047614876447604	1.1199445370686316	1.152453354704784	1.188722189168658	1.2166950907411203	1.1349787228999895	1.1874561705026716	1.2009714583480067
70000	-4.8891460486649585	-17.49497118959017	12.605825140925212	1.131129613547696	1.1776012685129913	1.2527241643266793	1.1878957753437562	1.1841054917252958	1.074803546125978	1.1765782271552572	1.17596364153453
75000	-4.843443986907726	-17.13490131260066	12.291457325692935	1.1098817826368947	1.1628779731078478	1.1833377880856546	1.0471175254561345	1.1252292679936027	1.1712972161460193	1.1406866699104963	1.2094308763776291
80000	-3.4402808994987755	-17.181030527800964	13.740749628302188	1.209465850301313	1.164034337301953	1.2005836094959905	1.1833031203809388	1.1619312557353993	1.1734633803878087	1.0991457480154374	1.1091194740595165
