#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.20524062585436 0.986269902928444</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.09117673858646 1.1513916866578</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.17357695360371 1.17155626065519 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((((sp80:0.4643547038,((sp87:0.3313040492,sp83:0.3313040492)nd94:0.1034886934,(sp94:0.08956146345,sp95:0.08956146345)nd95:0.3452312791)nd93:0.02956196119)nd82:0.9495065648,sp69:1.413861269)nd77:0.6011196817,(sp92:0.1114266619,sp93:0.1114266619)nd73:1.903554288)nd53:1.727091147,((((sp91:0.1315072279,(sp96:0.03537550626,sp97:0.03537550626)nd98:0.09613172159)nd97:0.08508594801,sp86:0.2165931759)nd92:0.26501801,sp79:0.4816111858)nd76:1.61234074,((sp98:0.01949925042,sp99:0.01949925042)nd88:1.149813764,(sp84:0.5323448478,(sp89:0.1652373323,sp90:0.1652373323)nd91:0.3671075155)nd86:0.6369681667)nd83:0.9246389118)nd65:1.648120171)nd42:2.545010293,(sp81:0.3697753712,sp82:0.3697753712)nd89:5.917307018)nd17;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp79" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp80" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp84" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp86" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp87" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp89" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp90" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp91" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp92" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp93" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp94" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp95" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp96" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp97" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp98" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp99" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp69=2,sp79=2,sp80=1,sp81=2,sp82=2,sp83=2,sp84=1,sp86=1,sp87=2,sp89=1,sp90=1,sp91=2,sp92=1,sp93=2,sp94=2,sp95=2,sp96=2,sp97=2,sp98=1,sp99=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214829.67628324384	-37.121757201665325	-214792.55452604216	1.20524062585436	0.986269902928444	1.09117673858646	1.1513916866578	1.0E-10	1.17357695360371	1.17155626065519	1.0E-10
5000	-23.389072089116254	-36.00375822705186	12.614686137935607	1.2160034141868195	1.180640278151259	1.1596343440089745	1.1346431838801234	1.169718121631163	1.2234660084250653	1.2280660161807746	1.2399423184735663
10000	-23.631154992716723	-35.848493687628945	12.217338694912222	1.1425626211309796	1.2276580393742689	1.115310698674578	1.1239574108629329	1.2744996539645759	1.136126131578622	1.1420900716384026	1.1343869273321332
15000	-24.38261144992363	-36.39635446936549	12.013743019441861	1.205426062185945	1.129771349468764	1.0850691619093105	1.172943485752031	1.2050792106358854	1.103625873300073	1.2170158655937788	1.235259177238244
20000	-23.922515702149507	-35.81911858510155	11.896602882952042	1.1478377464074898	1.2897114851280596	1.225319487403913	1.1597787018180394	1.1779544259636587	1.1737173201649855	1.103607269816387	1.1751442173333129
25000	-24.257963496396403	-36.38277194865278	12.124808452256378	1.1179850182814022	1.1732616524976436	1.1482068247133643	1.1659282620005642	1.217889409511788	1.2151173471674641	1.117656728291278	1.0545335295185279
30000	-24.19342285531272	-35.44290464742157	11.249481792108853	1.1526311810181635	1.300009470524513	1.1033730312236238	1.1372568996884473	1.139307864908713	1.1820333228375826	1.0866522003831083	1.1507094219226437
35000	-23.70403578332273	-36.664974310309724	12.960938526986991	1.0793174552330782	1.1423100334178913	1.1332242005304811	1.1478200958576075	1.173905295707898	1.2213021026930975	1.192971811313373	1.1002873480114765
40000	-24.76765931169402	-36.67808054009169	11.910421228397674	1.1439016740466663	1.2021836849896632	1.2928292099183876	1.1900317525969997	1.1501363918421474	1.221230848524107	1.1679812640565987	1.1862263378462303
45000	-26.31041922839659	-36.05483428836718	9.744415059970594	1.1881520885289802	1.1479172467543661	1.1971064406704408	1.0232916162477494	1.151708368357319	1.1740346784266027	1.2863929886542607	1.167165359461543
50000	-26.36159015121295	-35.671391346311545	9.309801195098595	1.1151412622313839	1.213431953028814	1.1034839237245926	1.0464787812355458	1.2910827274697747	1.1730905799234046	1.1212204104659813	1.1186145734151116
55000	-25.991188301394118	-36.537544968755334	10.546356667361218	1.2786858485302184	1.0939745867774264	1.1784434293877726	1.1784314590354963	1.2731099854280206	1.1322080437582245	1.1620848224114686	1.115550094679223
60000	-28.620353376649874	-35.785720052889495	7.165366676239621	1.3564020786984774	1.2297652188818353	1.2252340702109592	1.2037301676339687	1.0919293431432773	1.2018393336612163	1.2307980149369167	1.159392335813414
65000	-23.419293268968293	-35.867649323342725	12.448356054374432	1.235752119179588	1.1806374359843366	1.0742469999370585	1.183565109449171	1.1573083549117396	1.235347869449534	1.1506279757254827	1.148253274899428
70000	-24.93755960696547	-36.24539438559999	11.307834778634518	1.1683750401038397	1.2688012365377346	1.2409537240083082	1.2219967945211778	1.0997619754900212	1.1387314414514984	1.1800304204699001	1.1156487965105941
75000	-26.65076637816156	-36.61836313040441	9.967596752242851	1.158257762229536	1.2472214518244873	1.23780417359598	1.2357233995708032	1.1144015863164647	1.0590756493577187	1.2314120247304485	1.1710756644267801
80000	-23.029543834123835	-35.74781587163766	12.718272037513826	1.1446062807442727	1.2568441932934258	1.162077740566959	1.1282465267505035	1.2288735654697454	1.1697262173973562	1.1019203542964735	1.1617567964810447
85000	-28.74681430282925	-36.339167204880184	7.592352902050934	1.0830882190548428	1.2042047249259298	1.0937146156468043	1.1998887470625859	1.046207409161318	1.1026740147586924	1.0292937155131052	1.2051629637230155
90000	-23.475722134906903	-36.46167955786677	12.985957422959872	1.1428687075816557	1.2068688508767462	1.2292715283395348	1.1836634768782042	1.221199934266166	1.1621422710215727	1.1519850692685691	1.2311522979755962
95000	-24.895347980982244	-36.60508008821367	11.709732107231424	1.1488102596679695	1.2312606797776873	1.2812746147713028	1.2087998323932956	1.1605394479278033	1.1826024608036207	1.2192407744267868	1.1576638844945268
100000	-24.305580733035992	-36.661850838834056	12.356270105798064	1.1302805497432633	1.1334633297059031	1.198591486518	1.1544520666998648	1.200902710968002	1.213598797137428	1.0677314629233179	1.0975156438072928
105000	-23.469546582610693	-36.38180385279721	12.912257270186519	1.1315782312500144	1.1026900826080244	1.093140931722498	1.1045710026488942	1.1293270033942553	1.1866604086595156	1.1154220588637027	1.197981452348003
110000	-25.87649967437968	-35.81077410551504	9.934274431135359	1.236783747927145	1.2517898417946025	1.129288414246075	1.190352052778656	1.20288433794917	1.035252958417631	1.1126742088798705	1.1714445555087427
115000	-23.49484384616655	-36.07204288252528	12.577199036358731	1.1046191797398126	1.2505492579510844	1.112596792220091	1.168262113136339	1.1304597232097608	1.1524704793481602	1.2314068082866252	1.1696459230549465
120000	-22.86786468651149	-36.3444492022256	13.476584515714107	1.095033212122114	1.1651183946208596	1.1300306404583917	1.1079959061826008	1.1925658319257375	1.100712271286181	1.1392395933022934	1.1684624658455656
