#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.144299517757 1.15102929978068</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.09342286692213 1.18434879553034</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.16858068482282 1.13220432298643 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp55:0.7195638843,((sp61:0.1427537902,sp65:0.1427537902)nd62:0.3032588519,(sp62:0.1000942356,sp63:0.1000942356)nd63:0.3459184064)nd60:0.2735512422)nd58:0.3241341512,sp58:1.043698036)nd50:3.037449974,((sp56:0.6454663596,sp57:0.6454663596)nd55:1.156975206,sp53:1.802441566)nd49:2.278706444)nd35;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp53" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp55" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp56" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp57" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp62" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp53=2,sp55=2,sp56=1,sp57=2,sp58=1,sp61=1,sp62=1,sp63=2,sp65=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214807.38978294726	-20.201244054828756	-214787.18853889243	1.144299517757	1.15102929978068	1.09342286692213	1.18434879553034	1.0E-10	1.16858068482282	1.13220432298643	1.0E-10
5000	-7.029105216547139	-20.25102063306988	13.221915416522743	1.1333445858567877	1.2263885520109088	1.1451402406867972	1.1625586648951436	1.1041769064992903	1.1743084385601068	1.0866119953016125	1.1849223224820291
10000	-11.729181784040822	-19.961478235664615	8.232296451623792	1.2443150075446732	1.190342381814082	1.1159774123365191	1.1130747207435152	1.2871848089992455	1.2618729638992194	1.0561530604325808	1.1406214582616123
15000	-9.293928364164543	-19.987694962088888	10.693766597924345	1.2802805681790217	1.163343452192478	1.143734872678977	1.1344816542578517	1.213987596528815	1.1015378890210563	1.1133756016166285	1.2581805165728563
20000	-8.186320970467833	-20.04671145850439	11.860390488036558	1.1874801510296802	1.2357896593069833	1.122104225675887	1.1278477207888113	1.2569143907405438	1.1339241694850273	1.1172739848670448	1.0979742933371057
25000	-10.31746892739246	-20.103988545821394	9.786519618428935	1.1354649495281206	1.2961900454011557	1.12203811442303	1.1581525635257743	1.2101558896107378	1.1162651234517087	1.2543543442043292	1.0824789480692965
30000	-10.346469122982501	-20.407577386771862	10.061108263789361	1.1039973475769527	1.265306583140218	1.255322452618197	1.120791478426165	1.1091989616359543	1.0921073669156678	1.1842095063692357	1.0939755016617174
35000	-8.834186210660786	-20.09730381233127	11.263117601670483	1.1482907890568677	1.0560531682330878	1.0967293904228124	1.0767343397254967	1.165118446058635	1.1261270221750685	1.1940721351166796	1.1097760204459641
40000	-10.25636538509632	-20.118396050639422	9.862030665543102	1.0864144016644857	1.2100679002259414	1.0636528949324193	1.1315427527915973	1.1259458524049735	1.1653131538142134	1.1714235538998952	1.2981057583448512
45000	-5.3929721902089085	-20.256340759473826	14.863368569264917	1.1288858000878261	1.157394453014533	1.1709866635016453	1.115187319591324	1.166757845758659	1.165283263202409	1.1631104996247414	1.1834273649049745
50000	-8.413519803318877	-20.24530796149967	11.831788158180792	1.0846464206884636	1.239993580197166	1.1391517343969437	1.1398918113854943	1.0853286549427485	1.1379201866096065	1.2227663659497976	1.1945799189576125
55000	-9.777264321864745	-19.949984476781175	10.17272015491643	1.311205003262833	1.203209638177915	1.138869181356863	1.1889471548219883	1.0868973957585581	1.1761788235867892	1.1425928209243572	1.0869096444448825
60000	-8.614224998752938	-20.087944733546685	11.473719734793747	1.2530259221291793	1.220562902206002	1.2110375169124645	1.1135183150293693	1.103591475174532	1.0908203129978171	1.1167142119968068	1.1569141443376927
65000	-13.381801990148041	-20.13071168304617	6.748909692898128	1.2438921389977862	1.134144258852914	1.124624555081333	1.1657871956106902	1.1948961937138034	0.9671239719487331	1.2084805265455982	1.114257803797617
70000	-8.05904629849312	-19.948321831971853	11.889275533478733	1.2414110101144478	1.1985868998068843	1.0839088029833246	1.1994649982318553	1.1442865559108246	1.2478598712112223	1.1806023345677283	1.1748364801414464
75000	-8.11304864451515	-20.047351249121686	11.934302604606536	1.153307762590673	1.244471967513582	1.0965881181541006	1.121300873710017	1.2415463553501218	1.0960360962680664	1.1579994953564066	1.1373780758488499
80000	-7.633394020840125	-20.358826172190287	12.725432151350162	1.170763614236152	1.1676480683415935	1.2094987145362623	1.1877346971900045	1.2382626587629868	1.1999027514753131	1.1464875004201858	1.245607368179119
85000	-8.292169365235074	-20.200896734762324	11.90872736952725	1.1822693743889026	1.0723563158756262	1.2075896566674853	1.0732229613428028	1.1267756550833044	1.1952098380474812	1.2051937783775424	1.1786243170878774
