#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.24324532901201 1.101208244031</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.15063148778757 1.15143447664244</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.07510561393749 1.11288857647413 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp174:0.3933173596,sp175:0.3933173596)nd172:0.6919908664,(sp179:0.5018385349,(sp176:0.180812093,sp177:0.180812093)nd178:0.3210264419)nd174:0.5834696911)nd169:1.567417264,sp169:2.65272549)nd156:6.583317863,(sp172:0.584714292,sp173:0.584714292)nd175:8.651329061)nd6;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp169" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp172" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp173" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp174" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp175" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp176" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp177" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp179" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp169=1,sp172=1,sp173=1,sp174=2,sp175=1,sp176=2,sp177=2,sp179=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214810.7478214296	-21.51153502178072	-214789.23628640783	1.24324532901201	1.101208244031	1.15063148778757	1.15143447664244	1.0E-10	1.07510561393749	1.11288857647413	1.0E-10
5000	-11.544685270717405	-21.625360432863182	10.080675162145777	1.0092076330100517	1.184143283426081	1.1767394984683144	1.1456343026604459	1.115572570819201	1.1499293956650116	1.1868500980379084	1.2409158910501703
10000	-11.793376522998159	-21.399189376792442	9.605812853794284	1.1930701676424582	1.1813620424871385	1.0081964216578558	1.2476898623243242	1.1073908234460292	1.1709953499062022	1.138932227294285	1.1862384958855285
15000	-9.613078936935047	-21.660720211663733	12.047641274728687	1.2248227648441194	1.2143791053590502	1.2618743753541295	1.2143716504603297	1.1460891390838122	1.1315581253072027	1.167175949306209	1.2042453801886295
20000	-10.575514010365879	-21.843923890020253	11.268409879654374	1.042467127594744	1.1751817345855025	1.2268024620038218	1.172646443206289	1.0865644042692268	1.1638261807586308	1.114326760118869	1.1398434923695928
25000	-10.655168763125676	-21.596388806723805	10.941220043598129	1.2085097202160717	1.1608380468597088	1.1760593421188963	1.2141725496509668	1.1811621176917273	1.1694637578575318	1.317451798112586	1.1164129268272318
30000	-12.499924323724048	-21.495078656268905	8.995154332544857	1.2246246614066603	1.2091066421121632	1.2811316537073374	1.1083828850566348	1.2539225110883017	1.0957473970016567	1.199360403798729	1.2416026055046796
35000	-7.694349102468609	-21.325719210093048	13.63137010762444	1.1563654329722608	1.168839939679351	1.1015147009984287	1.1106005667912187	1.2015615676765272	1.131831152847919	1.1588657402773384	1.2198709585339245
40000	-9.083374331687555	-21.480760869447014	12.39738653775946	1.1731829396066884	1.2133457819076536	1.2057500459144668	1.1477276369467937	1.0515987520375998	1.179080965591422	1.1812267215449752	1.1209244120877133
45000	-11.834102178980514	-21.482215440579882	9.648113261599368	1.264811670510912	1.271631470283529	1.163777006694634	1.0758132332038661	1.2155176172514803	1.0835120524932333	1.1405333286153057	1.1631799753366405
50000	-7.7685194469486945	-21.364097214021385	13.59557776707269	1.1557792728264273	1.2111424149846541	1.1310282531793847	1.161235732698588	1.1107246087403788	1.0903481839329523	1.1225226459826196	1.1672640639402097
55000	-11.189448016384265	-21.773918942976945	10.58447092659268	1.1730707808661671	1.0841723599454236	1.2747758367056552	1.094869160019973	1.2508037777149892	1.1688598298679684	1.2017927909788721	1.1696405009322866
60000	-11.033162247148821	-21.511380820496157	10.478218573347336	1.08735739243922	1.1298138626447827	1.1403890490195057	1.132534536102309	1.0440171473738755	1.1621129687329848	1.2538450051867938	1.1067813772874804
65000	-6.841522966297134	-21.418427262672306	14.576904296375172	1.1706321694726456	1.1741181663654	1.1466863263276759	1.1319549289682362	1.2066206024971216	1.1767694931906523	1.169061604363471	1.2025402616270966
70000	-7.209563567120705	-21.538163311433	14.328599744312294	1.155335763464013	1.1395716227917774	1.1432494364148094	1.1556949970192696	1.1474844504400386	1.242055790346582	1.1573183964713283	1.1701766360884682
75000	-8.581225667581066	-21.309863481155244	12.728637813574178	1.1490586776639735	1.2048448650470511	1.100108057259279	1.1171847024580126	1.257520087366029	1.1373151432112067	1.1590317667023213	1.1262863071321765
80000	-8.68832071219979	-21.601499639827775	12.913178927627985	1.1620481724856253	1.1326062018860796	1.1174852933726123	1.2204378607271609	1.1264682245057311	1.218413517623988	1.2126737652175565	1.1007452256469976
