#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.22933822775282 1.23493985351681</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.17296384682478 1.1516229199182</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.16276217067861 1.22465736460851 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp144:3.394238746,sp133:3.394238746)nd99:0.6165559564,(sp128:3.691453472,((sp154:1.005567365,((sp151:0.2317716478,sp152:0.2317716478)nd153:0.01432623652,sp150:0.2460978843)nd151:0.7594694803)nd119:1.739699204,sp105:2.745266568)nd116:0.9461869038)nd100:0.3193412303)nd92:2.022076387,sp149:6.03287109)nd33:1.609953397,(sp122:2.485460585,sp141:2.485460585)nd110:5.157363903)nd20;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp105" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp122" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp128" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp133" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp141" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp144" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp149" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp150" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp151" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp152" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp154" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp105=2,sp122=2,sp128=2,sp133=2,sp141=2,sp144=1,sp149=2,sp150=1,sp151=1,sp152=1,sp154=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214825.38346813008	-36.98014406789221	-214788.40332406218	1.22933822775282	1.23493985351681	1.17296384682478	1.1516229199182	1.0E-10	1.16276217067861	1.22465736460851	1.0E-10
5000	-25.10569393709015	-36.38610308921673	11.280409152126579	1.2348941675619034	1.184316549479393	1.1125714748088618	1.1237044890218209	1.1037662432075732	1.2664776038716221	1.1066277156139022	1.200025343263443
10000	-25.050209536431794	-37.11336434969869	12.063154813266898	1.0787172448062194	1.2033250115802177	1.0924368876406347	1.1925817126684977	1.0906389505681426	1.1193784510767484	1.1832231717069859	1.1879742431552047
15000	-30.413395653417055	-36.76652929830158	6.353133644884524	1.1150123109026335	1.0317315563598453	1.093479096184225	1.1441124802475202	1.1554162523975722	1.0303640020584055	1.05874830885846	1.2419902370529106
20000	-24.3374007531289	-36.890271466428615	12.552870713299715	1.223846211729485	1.1827174856312292	1.1601541764154242	1.1940707847246912	1.279889997042344	1.165607029501281	1.1670824631759844	1.1451105905424617
25000	-26.312258996977036	-36.93235942889118	10.620100431914148	1.242292029765863	1.2841603013398266	1.2231246553532196	1.1632124713306586	1.1161954292058547	1.2222588803626329	1.1613966935172788	1.1148678421588767
30000	-25.90540708508623	-36.49084519709282	10.585438112006585	1.1210357947677472	1.1352214851318867	1.0726069638401188	1.165887950687875	1.1432724872166529	1.142114194924492	1.020554849734143	1.1494688426915292
35000	-23.1032487216496	-36.42684062211408	13.323591900464478	1.1860630530789071	1.1732206989002663	1.099597497894658	1.0829039341948792	1.1819970768102384	1.2018032279958162	1.1379668565705319	1.1826682997590592
40000	-24.947643973293737	-36.79949082513361	11.851846851839873	1.223345531904961	1.1540144825268197	1.1496851179815784	1.1769214330630584	1.2548449979855076	1.1289536215471174	1.1414145534345943	1.0635525009767968
45000	-26.71993977717719	-37.24013799256148	10.520198215384289	1.0745898265913767	1.1832015228590147	1.128714519082563	1.147417810385836	1.2248543835474022	1.0293562579461513	1.184151631552637	1.1606329731816145
50000	-23.30665119172133	-36.72896538633175	13.422314194610424	1.2108770124791426	1.1697996849547039	1.1351648626867916	1.1433579919267005	1.1468782484814843	1.2136498662041348	1.219793957563534	1.2187310736981378
55000	-26.306335463413067	-36.75047887046152	10.444143407048454	1.1614661536089512	1.2270521712319837	1.1325083732809498	1.18494913472531	1.2821828667843076	1.225286773389081	1.116614139869307	1.2515581174006378
60000	-23.020702273061033	-36.998459225393326	13.977756952332292	1.1564707319642638	1.2126898293493538	1.1812475036559984	1.1560896414599813	1.148334794653967	1.165833474088788	1.1940990971726166	1.0897401078290134
65000	-23.16935873666857	-37.266761293629024	14.097402556960452	1.170659126872457	1.152341028792347	1.1701199471412216	1.239319116293105	1.1738570978257599	1.1674602770437066	1.1933106200684973	1.1258396332855287
70000	-22.312292044312887	-36.706895815613734	14.394603771300847	1.167383773532776	1.1887785879918158	1.1557334234925536	1.1434397349823542	1.1619391021858698	1.1460986013580836	1.0996581374073056	1.2026918875999317
75000	-24.851273649474912	-36.85554323842543	12.00426958895052	1.0698325767862167	1.1123959883904488	1.1446067974470144	1.111622007443651	1.1737690520441448	1.0924353683574326	1.0938235171410173	1.1456724910357101
80000	-26.260532003832505	-37.12506404760285	10.864532043770343	1.1805224251540707	1.0926735939382344	1.2104602798038635	1.201684574967132	1.045839798293013	1.2094994700756687	1.1459470193207495	1.094291290668257
85000	-22.894054066342875	-36.492062327670276	13.5980082613274	1.2014829342592972	1.1666225104610117	1.1402662524448388	1.1192001765647521	1.1202618628899466	1.1783209766770815	1.0988162855312302	1.2125169543293473
90000	-25.317806122723027	-36.77316555595418	11.455359433231154	1.073612189063982	1.1511438979132564	1.1437619559931234	1.1224707003116696	1.0452230696126328	1.1886619174438404	1.123593366617056	1.1335382669997849
