#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.21961213745872 1.06845069946914</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.11795814591556 1.29917453018518</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.13643853528032 1.16418486377533 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp143:0.9528543003,(sp149:0.5689793744,sp150:0.5689793744)nd153:0.383874926)nd148:6.629623537,((sp138:6.190217259,(sp132:2.520107345,sp110:2.520107345)nd125:3.670109914)nd22:1.024892858,(sp136:1.170708345,(sp156:0.04567492671,sp157:0.04567492671)nd155:1.125033418)nd146:6.044401773)nd3:0.3673677198)nd1;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp110" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp132" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp136" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp138" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp143" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp149" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp150" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp156" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp157" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp110=1,sp132=2,sp136=2,sp138=2,sp143=1,sp149=1,sp150=1,sp156=2,sp157=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214820.6109485847	-29.56574852912515	-214791.04520005558	1.21961213745872	1.06845069946914	1.11795814591556	1.29917453018518	1.0E-10	1.13643853528032	1.16418486377533	1.0E-10
5000	-15.371848120967275	-29.297442295409027	13.925594174441752	1.1975418277687306	1.1415044698943568	1.1740471542712585	1.1718737829849026	1.186482112037531	1.1637368342406242	1.2170857947455094	1.0978378140594622
10000	-15.83947477727845	-29.23589822458432	13.396423447305871	1.1304193585391746	1.1511755316858372	1.1996007217544242	1.1136500604630732	1.077998050584442	1.1326205139724639	1.1367332320378487	1.1319876764969141
15000	-15.726436168204382	-29.437257213213154	13.710821045008773	1.1800477078385845	1.1353183996127554	1.201354740790818	1.1903938715192024	1.2383053563347333	1.1521359044154154	1.1298453608846393	1.1278509604880573
20000	-16.95517216489508	-29.1588044837414	12.203632318846317	1.132007396490278	1.1942745704173323	1.2290849923993308	1.0716499358279779	1.1659823521961403	1.0812655733034662	1.1435257934713325	1.152003156253055
25000	-15.979587384751962	-29.24172367356561	13.262136288813647	1.2334759324900764	1.1670589176052855	1.162007330650286	1.1731071282769263	1.2133930827742123	1.1901869608667788	1.2170842042400285	1.2048229068576375
30000	-19.461074136622386	-29.409959354384128	9.948885217761742	1.1923939309019693	1.322414822520349	1.2617951413082629	1.2062421439864153	1.1603317084056322	1.1631383946679281	1.1458843329174588	1.1435192666105298
35000	-15.137874683429597	-29.080998054369214	13.943123370939617	1.135358966742847	1.1030506370250797	1.117652400425298	1.1185978198847828	1.1612506698105916	1.1320382930675614	1.1308337695271145	1.1924602320297966
40000	-19.37231866600265	-29.793115692227	10.420797026224355	1.0555215665234685	1.0687841995167913	1.1269244431079484	1.2227103465500946	1.17466536665107	1.2071215153310246	1.2355912687181534	1.1459656872438897
45000	-15.264093946880188	-29.11295684101527	13.848862894135081	1.2080997345848552	1.1905981074678549	1.1711207804548927	1.0970941082058914	1.137245561881946	1.166746728328272	1.132515763761611	1.1167533675965071
50000	-15.815753448519995	-29.322926928919877	13.507173480399882	1.1956360903184162	1.2321362138539442	1.2012110187510605	1.1947959630032097	1.147087035811819	1.151202239587136	1.1859677302322007	1.108648435255496
55000	-16.0718570717947	-29.47755005502845	13.405692983233749	1.120324111836108	1.1310195497010604	1.1949275438640996	1.162323751251636	1.1758854506003342	1.108569953457818	1.2341737994602566	1.2009018501517101
60000	-17.47879812202158	-29.220086517653623	11.741288395632045	1.1871370949689688	1.2009155737681818	1.173551009973144	1.1789117474760449	1.1776357794370371	1.106918543687529	1.079447145436774	1.0556751605037724
65000	-17.750427780303262	-29.311446637076344	11.561018856773083	1.3017511189835307	1.1797730223860252	1.1868456123182523	1.1720558738821205	1.170101385395861	1.0999493882864655	1.209632260963692	1.144956930395961
70000	-16.32636529937824	-29.107174958879938	12.780809659501701	1.2050270653004003	1.1475521225677414	1.2030469527401673	1.0598023304836488	1.161178775031382	1.14101022662606	1.1834373897975674	1.2050649370051234
75000	-15.625722429114909	-28.99989446453625	13.374172035421342	1.1424610041637722	1.146480286837393	1.1403800635818901	1.0665714169517708	1.1780912132385428	1.1777708650622902	1.1533799461791143	1.2148392165908917
80000	-15.40470032871123	-29.107336629888213	13.702636301176982	1.1687471709411599	1.1342899950991752	1.1643149928959304	1.1063909122438647	1.1974623571988543	1.1595343609011954	1.096514114465837	1.2086792920048448
85000	-17.819467111929775	-29.239560720459473	11.4200936085297	1.0407098674621764	1.195898594222884	1.1120516770727162	1.1846641916009046	1.163018107703043	1.1323088053061043	1.1563678954277263	1.2412951536375878
